Post Description,Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"It’s the second day of our Phase 2 re-opening, and the majority of businesses and individuals are cooperating with the measures to resume activities safely. But unfortunately a few have acted very irresponsibly. They will be taken to task. 
Last night, the authorities were alerted to large crowds gathering around the Outdoor Refreshment Areas (ORA) and on the road along Lor Mambong in Holland Village.  Based on their inspections, the crowds were largely gathering outside one restaurant, namely the British Indian Curry Hut. We will close the restaurant with immediate effect.
All ORAs along Lor Mambong will also be removed. So F&B outlets along this stretch will have to ensure that their customers dine only within their premises, and are not eating or drinking outside. 
Enforcement officers have also issued fines to several individuals in the vicinity last night for violating safe distancing rules. Investigations are ongoing for other possible breaches.
Our officers will continue their patrols islandwide, especially in popular nightspots, and will take immediate actions against any individuals or business flouting the safe distancing rules.",2020-06-20 10:35:36+00:00,"thanks to the enforcement team for going all out to keep everyone safe. Other than nightspots, please also pay attention to coffee shops because those are the establishment that our elder ah peks (who are also the vulnerable group) hang out. They sit around for hours and abuse the rule of not having to wear a mask when eating or drinking.",20/6/20,61,Mask,61,3,-10.72838522,12,4,1,1.529272122,0,0,1
"Phase 2 begins tomorrow. I know many of you have been eagerly waiting for this. But there is no need to rush to go out. You have plenty of time to do so. So please keep your guard up, and continue to stay disciplined and vigilant. 
We are allowing gatherings of not more than 5 people. But do exercise personal responsibility and continue to keep your daily contacts small, and preferably limited to a regular circle of close contacts. If you are dining out, put your masks back on right away after eating. Avoid lingering around at the table and talking without your masks. 
Public officials will be out and about to enforce the rules. But a safe and sustainable Phase 2 re-opening cannot be achieved through rules alone. Some people may even be thinking of ways to outsmart the rules. But in the end, you and your loved ones will end up paying the price. As my colleague Mr Gan Kim Yong said, you can fool the rule, but you can’t fool the virus. So it’s in all our interest to cooperate fully with the measures and comply with the spirit of the regulations (not just the letter of the law).",2020-06-18 15:19:05+00:00,"Thks for all the hard work! 💕. Looking at opening of Phase 2, I have these observations. Old people gathered in foodcourts n coffee shops. Talking w/ mask on n off. School children gathered after school, going shopping.  Highlight for gov to pay attention to these. Thx again.",20/6/20,46,Mask,47,2,-11.84355227,8,0,1,1.553527611,0,0,0
"Singapore will be entering Phase 2 of reopening after 18 June 2359. This means that from Friday onwards, almost all businesses will be able to re-open, be it retail, F&B dining-in or personalised consumer services. The key requirement is that individuals must maintain safe distancing of at least 1 m at all times, and if that’s not feasible (eg when dining at a table), then each group will be limited to a maximum of 5 persons. Sports, gyms, playgrounds, and other public facilities will open, as will similar facilities in condominiums and clubs. Small group gatherings of up to any 5 persons can also resume, and households may receive up to 5 visitors at any time. 
There are a small number of activities that will take more time to resume. These are activities where large numbers of people are likely to come into close contact, often in enclosed spaces and for prolonged periods of time. They include religious services and congregations; large-scale events and venues; and entertainment outlets like bars, clubs and karaoke outlets. We will continue to work with these organisations and business owners on the safe management measures that are needed before they can open.
Phase 2 is a significant step forward in our reopening process. But please do not treat this as a signal to relax and let our guard down. 
Businesses must take the rules seriously. Do not rush to open if you are not ready, because you will be putting your own customers and employees at risk. All of us must continue to exercise individual and social responsibility. There’s no need to rush to go out this weekend. We should continue to limit our close contacts, even if we can now meet in groups. As customers, we should also be discerning about the establishments we patronise, and insist on high safety standards everywhere we go.

Let’s continue to work together on this collective journey to achieve a Covid-safe Singapore!",2020-06-15 14:03:21+00:00,"Wear mask, wash hands frequently & safe distancing , fine with me , can’t wait to see things going almost normal.",15/6/20,19,Mask,18,1,-12.5866816,5,0,1,4.763455506,0,0,0
"Singapore will be entering Phase 2 of reopening after 18 June 2359. This means that from Friday onwards, almost all businesses will be able to re-open, be it retail, F&B dining-in or personalised consumer services. The key requirement is that individuals must maintain safe distancing of at least 1 m at all times, and if that’s not feasible (eg when dining at a table), then each group will be limited to a maximum of 5 persons. Sports, gyms, playgrounds, and other public facilities will open, as will similar facilities in condominiums and clubs. Small group gatherings of up to any 5 persons can also resume, and households may receive up to 5 visitors at any time. 
There are a small number of activities that will take more time to resume. These are activities where large numbers of people are likely to come into close contact, often in enclosed spaces and for prolonged periods of time. They include religious services and congregations; large-scale events and venues; and entertainment outlets like bars, clubs and karaoke outlets. We will continue to work with these organisations and business owners on the safe management measures that are needed before they can open.
Phase 2 is a significant step forward in our reopening process. But please do not treat this as a signal to relax and let our guard down. 
Businesses must take the rules seriously. Do not rush to open if you are not ready, because you will be putting your own customers and employees at risk. All of us must continue to exercise individual and social responsibility. There’s no need to rush to go out this weekend. We should continue to limit our close contacts, even if we can now meet in groups. As customers, we should also be discerning about the establishments we patronise, and insist on high safety standards everywhere we go.

Let’s continue to work together on this collective journey to achieve a Covid-safe Singapore!",2020-06-15 14:03:21+00:00,Oh great. At last green light given to dine in and able to socialise. We will maintain safe distancing and mask up.,16/6/20,22,Mask,22,1,-11.02693683,6,2,0,36.92644554,4,0,0
We have exited the circuit breaker and today’s the first day of the Phase 1 re-opening! A big “thank you” goes out to all have worked hard and made tremendous sacrifices to bring down our community infection numbers significantly. Because of your efforts we are now able to take this first step to re-open our economy and society. There’s still a long road ahead and the fight is not over. So let’s continue to stay united and work hard - to keep infection rates low and prevail against Covid-19 together!,2020-06-02 04:36:17+00:00,"👏👏👏 Hope not to see those no Social Responsibility people outside wearing jogging attire and not wearing face mask but is walking around - ignoring brisk walking also need to wear mask. I think unless SG Govt ban outside exercising, if not these kind of violation people will make.",2/6/20,47,Mask,48,2,-12.27570672,11,4,0,2.050791193,0,0,0
We have exited the circuit breaker and today’s the first day of the Phase 1 re-opening! A big “thank you” goes out to all have worked hard and made tremendous sacrifices to bring down our community infection numbers significantly. Because of your efforts we are now able to take this first step to re-open our economy and society. There’s still a long road ahead and the fight is not over. So let’s continue to stay united and work hard - to keep infection rates low and prevail against Covid-19 together!,2020-06-02 04:36:17+00:00,"In the last two weeks, there were already a lot of unofficial exits from this circuit breaker. Some malls are so brightly lit with such cheery music to draw crowds. Today I already saw a number of people not bothering to wear their masks properly. Seriously if this virus is more deadly, we would be dead by now. Hope you learn to do it better if there’s ever a need to implement such measures in future (hopefully far in the future). It is better to do it properly than drag it out. Please learn from this.",2/6/20,97,Mask,96,3,-10.51748645,17,2,3,1.460944574,0,0,1
We have exited the circuit breaker and today’s the first day of the Phase 1 re-opening! A big “thank you” goes out to all have worked hard and made tremendous sacrifices to bring down our community infection numbers significantly. Because of your efforts we are now able to take this first step to re-open our economy and society. There’s still a long road ahead and the fight is not over. So let’s continue to stay united and work hard - to keep infection rates low and prevail against Covid-19 together!,2020-06-02 04:36:17+00:00,i saw some residents near my estate not wearing masks!!! What are they thinking?,2/6/20,14,Mask,14,1,-11.08285667,4,0,1,8.446146448,1,0,0
"As we approach the end of the circuit breaker, we are now preparing for the next phase and considering what activities can resume in a safe manner.  We will do so in a very careful and calibrated manner. It won’t simply be a return to life before the circuit breaker. 
For example, in the construction sector, we will only re-start with a few projects and insist on very tight end-to-end safeguards for these projects. The safeguards include requiring all the workers involved in a project to be housed together (instead of being at multiple dormitories); safe distancing measures at the work sites; and periodic testing of the workers (at 2 week intervals). We expect only about 5% of the construction workforce to work on these projects, and will scale up over time as the industry gains confidence and experience with the measures. 
We will apply this same calibrated approach in how we resume normal activities, be it at work, schools, or in our social settings. In other words, don’t expect 100% resumption of activities after 1 June. On the contrary, be fully prepared that many of the current restrictions and measures we have today will continue for some time, so as to keep our family members and loved ones safe. 
A controlled and phased exit from the circuit breaker will require patience and discipline from all of us. We must all do our part to control the spread of the virus and ensure that it does not flare up again.",2020-05-17 09:51:42+00:00,"@lawrencewongst Sir, I think issuing guidelines for visiting family members of different household to wear mask, not sharing food or utensils etc while visiting could minimise transmission to our elders. Just for consideration pls.",19/5/20,33,Mask,33,2,-12.79030157,7,2,2,2.046301346,0,0,0
"Over 3,000 healthcare professionals have volunteered so far in our fight against COVID-19. These professionals come from all walks of life, from medical staff in the private sector, retired medical professionals, and those who are medically trained but no longer practicing. 
On this Labour Day, I thank all our essential workers and frontline officers for their hard work and sacrifices in these trying times. Together, we will overcome.",2020-05-01 03:31:02+00:00,"Dear Sir @lawrencewongst and Sir @ongyekung, I hope you to go out and take a look (at places that are open like supermarkets). With school holidays, people are out in full force (mother, father, kids) like excursion. Some people are not wearing their masks properly. All these will undo the sacrifices and great effort your teams, our healthcare and other socially responsible ones are doing. With situations like this, we will not see the results of our CB measures.",7/5/20,77,Mask,77,3,-11.0574275,11,2,6,1.002579729,0,0,0
Salute to our frontline heroes from Limbang and Yew Tee! Thanks everyone for your tireless efforts and sacrifices during these difficult times.,2020-04-20 14:35:44+00:00,"Dear Mr Wong,  MASK ! MASK! MASK! Its saddening to see that your panel has not address the issue of no mask wearing for people who exercise in the open despite many feedback by the medical community that it is equally (if not more ) important for people who is running out there to wear a mask . Why still allow this exception??",21/4/20,60,Mask,60,3,-10.6153754,10,2,1,2.223776919,0,0,0
Salute to our frontline heroes from Limbang and Yew Tee! Thanks everyone for your tireless efforts and sacrifices during these difficult times.,2020-04-20 14:35:44+00:00,Enough had been said by many people on the importance of mask wearing for someone exercise in an open space.! When are you going to take action on this? We do not want to see further extension of CB just due to a few irresponsible culprits! We are a paying a huge price for your underestimation of severity of the outbreak!  Allowing exception on mask wearing for people who exercise is definitely adding more weight to the problem!!,21/4/20,78,Mask,78,3,-10.20890479,16,0,2,1.521832674,0,0,1
Salute to our frontline heroes from Limbang and Yew Tee! Thanks everyone for your tireless efforts and sacrifices during these difficult times.,2020-04-20 14:35:44+00:00,Just wear mask and keep safe distance when out of house! No exceptions!,21/4/20,13,Mask,13,1,-10.97040557,1,2,0,8.878721995,1,0,0
Salute to our frontline heroes from Limbang and Yew Tee! Thanks everyone for your tireless efforts and sacrifices during these difficult times.,2020-04-20 14:35:44+00:00,Enough time spent on thanking and congratulating people. Focus attention and efforts on action!! Do your job properly and ensure people are wearing masks ALL the time!! You are a poor excuse for a human being and deserve to be caned in public for your incompetence. You are shame to the SG ministry,21/4/20,53,Mask,53,3,-10.68676183,11,4,2,1.91009293,0,0,1
"Blessed Good Friday to all our Christian friends. 
COVID-19 has completely changed our daily routines and rituals. But it’s very heartening to see how Singaporeans are rising to the challenge and adapting to the new requirements. As places of worship are closed, many are now tuning in to online services and masses. 
Stay home, keep safe, and have a blessed long weekend everyone!",2020-04-10 08:16:52+00:00,Blessed day to you and family. Stay safe and healthy. I am most concerned with the rise in the numbers of Covid-19 here particularly in the dormitories. People going about out the streets are not all wearing masks. Can the government make it a must for everyone to don a mask when going out?,11/4/20,54,Mask,54,3,-9.938476281,8,3,1,2.299001013,0,0,1
"Visited Changi Airport with Minister @gankimyong last week to meet our frontline workers, from immigration to healthcare, security and transport. They work hard to ensure that all returnees to Singapore are screened and isolated for 14-days, be it at home or in dedicated facilities. Many thanks to our airport frontline workers for keeping Singapore safe!",2020-04-06 13:35:10+00:00,"Feedback to the Ministerial Taskforce : Remember this. Wuhan started with a few. Then a few hundred. Then a few thousand. Then tens of thousands. And a few hundred / a few thousands infected China nationals then went all over the world. And now ? More than 1.2 mil infected. UK, Italy, Spain, France, USA the same stories. It all started with a few, then a few hundred. And then ? Exploded. Out of Control. Like Italy. Like Spain and etc. Singapore started with a few. Now ? More than a thousand. There were ""many overlook"" Singapore Govt made. One of them : letting in tens of thousands of Malaysians before Malaysia borders lockdown. My feel is? Singapore Govt tried to balance $ making (aka economy) with virus crisis management. So a bit here . A bit there. Some good measures here. Some loopholes there. In the end ? We get to ""nowhere"". Is our economy intact by ""this balancing act"" ? No. Because is serious now, we have this ""circuit breaker"" (much like a lockdown). Our economy went from bad (in Jan) to worse (in Apr) . My frank assessment is this : what ""saved"" Singapore from ""explosion phase"" is : our very good healthcare systems. BUT bear in mind, once the community spread get out of control, from a thousand can easily shoot up to tens of thousands. Touchwood. Should that happen, not even Singapore World Class healthcare systems can save Singapore residents. Singapore would be like Italy. Spain. USA. I am sad, worried, very disappointed. Yes we have good Govt. But I feel our Govt was ""too complacent"". Initially our Govt countered it like SARS. Flashback (CNA 1 Feb) : Dr Brenda Ang : “We have a few SARS veterans here. One of the things I said at the first briefings (for the Wuhan coronavirus) was don’t worry, we have been through this before. We can handle it.”“I saw Singapore's first SARS case, I’m still alive and standing,” she said. On how widespread the Wuhan coronavirus is likely to be, Dr Ang said current literature suggests that even people who are exposed to the virus do not necessarily get infected.“It probably isn’t that infectious, (even though) people are wearing surgical masks all over the place.” (UNQUOTE). @leehsienloong@gankimyong@ongyekung",6/4/20,366,Mask,367,4,-11.11970878,58,7,10,-0.1199481,0,0,1
"Visited Changi Airport with Minister @gankimyong last week to meet our frontline workers, from immigration to healthcare, security and transport. They work hard to ensure that all returnees to Singapore are screened and isolated for 14-days, be it at home or in dedicated facilities. Many thanks to our airport frontline workers for keeping Singapore safe!",2020-04-06 13:35:10+00:00,Front liner please wear masks  stay safe🙏,6/4/20,7,Mask,7,0,-14.24531588,1,0,0,8.826499369,1,0,0
