Post Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
2020-09-09 12:01:41+00:00,Me when I recive TT tokens: 50 WAYS TO BREAK A TRACETOGETHER TOKEN,2020-09-14,12,Safe Entry,13,1,-17.280034272083487,2,1,1,3.95630832896923,0,0,0.0
2020-08-10 04:40:33+00:00,Imaging working at a job that forces u to work on a public holiday and doesn’t pay you extra for that,2020-08-10,22,Safe Entry,21,1,-10.015120394325429,5,1,1,6.7119549222774735,1,0,0.0
2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10,7,Safe Entry,7,0,-11.172214124914536,1,0,0,11.752638235706199,2,0,0.0
2020-08-10 04:40:33+00:00,Petition to make a safe entry app,2020-08-10,7,Safe Entry,7,0,-11.172214124914536,1,0,0,11.752638235706199,2,0,0.0
2020-08-10 04:40:33+00:00,Please be reminded that we are still in DOSCON Orange.,2020-08-10,10,Safe Entry,10,0,-11.296138541459776,3,1,1,11.752638235706195,2,0,0.0
2020-08-10 04:40:33+00:00,isit just me or does any1 doesnt check out often bcuz their lazy?,2020-08-10,13,Safe Entry,13,1,-14.433487974468305,4,1,1,17.932132139179377,2,0,0.0
2020-08-10 04:40:33+00:00,CHECK OUT MY IG FOR SINGAPORE’s TOP STUDENT JOB SCAM!!!!!! 🤯 (all i want is for you to warn your friends),2020-08-10,21,Safe Entry,20,1,-14.652135358677338,4,0,4,2.7525372586311883,0,0,0.0
2020-08-10 04:40:33+00:00,"Haha, go to Vivo City and you know where social distancing doesn’t exist.",2020-08-10,14,Safe Entry,13,1,-11.98977513006918,3,1,1,4.391960544089705,0,0,0.0
2020-08-10 04:40:33+00:00,yes the check ins check outs,2020-08-10,6,Safe Entry,6,0,-13.025825656241686,2,0,0,17.932132139179377,2,0,0.0
2020-08-10 04:40:33+00:00,Qr code : I'm I a joke to you?,2020-08-10,7,Safe Entry,8,0,-10.822989088053761,0,0,1,17.93213213917937,2,0,0.0
2020-08-10 04:40:33+00:00,"Good day everyone don’t throw away your old money (coin or note) bring all to me and make a huge amount of money from your old items Malaysia 🇲🇾,Brunei , Singapore 🇸🇬 Jordan 🇯🇴 China 🇨🇳 with ALMIGHTY ALLAH everything is possible 💯💯💯",2020-08-10,39,Safe Entry,38,2,-11.96300075195932,4,2,2,1.6228604345110145,0,0,0.0
2020-08-10 04:40:33+00:00,I buy old  money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝ 🇨🇳CH or any country coin and note.Pm me!!!!!I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾STAY SAFE 🤙🤙🤙🤙,2020-08-10,44,Safe Entry,52,3,-15.835075335241585,6,2,1,2.6659656528582643,0,0,0.0
2020-08-10 04:40:33+00:00,yes omg the number of tabs i have for safe entry,2020-08-10,11,Safe Entry,11,1,-11.711585793316894,2,0,1,8.595831892535436,1,0,0.0
2020-08-10 04:40:33+00:00,Me need type why I phone why I phone y???,2020-08-11,10,Safe Entry,10,0,-11.628606137569756,1,0,1,10.101383253318383,2,0,0.0
2020-08-10 04:40:33+00:00,Use wat app for iphone,2020-08-11,5,Safe Entry,5,0,-15.381852513830367,0,0,0,8.595831892535436,1,0,0.0
2020-08-10 04:40:33+00:00,"My god, if is wasn’t for me to take opportunity to ride on",2020-08-12,14,Safe Entry,13,1,-9.805379730324363,3,1,1,11.752638235706195,2,0,0.0
2020-08-10 04:40:33+00:00,@jeremyltw they made a meme out of you bro 😭,2020-08-10,8,Safe Entry,8,0,-11.34258442193615,2,0,1,17.93213213917937,2,0,0.0
2020-08-10 04:40:33+00:00,😂😂 more like chicken in chicken out chicken in chicken out😅😅,2020-08-10,10,Safe Entry,10,0,-10.61105163834781,0,0,0,15.020444255716818,2,0,0.0
2020-08-10 04:40:33+00:00,The number of safepass tabs I have are as much as the cases daily.,2020-08-10,14,Safe Entry,14,1,-10.177075072425797,2,2,1,8.595831892535436,1,0,0.0
2020-08-10 04:40:33+00:00,"Personally, i dont find safe entry check in and out bothersome. Its just like taking pictures of your food before you eat it..... Think about it.",2020-08-10,26,Safe Entry,26,2,-11.244470399432798,6,1,3,6.7119549222774735,1,0,0.0
2020-08-10 04:40:33+00:00,QR code? Singpass lah ahdoi.,2020-08-10,5,Safe Entry,5,0,-17.424504907740637,0,0,0,6.7119549222774735,1,0,0.0
2020-08-10 04:40:33+00:00,it is my right to stand in a group of 20 people,2020-08-10,11,Safe Entry,12,1,-8.202155945408087,2,0,1,17.143427804681874,2,0,0.0
2020-08-10 04:40:33+00:00,"Get a trustworthy accountmanager, like @brilliant_mindfxt a man ofHis words, tomorrow is too late why don't youstart now",2020-08-10,16,Safe Entry,17,1,-13.664043943567501,2,0,0,6.7119549222774735,1,0,0.0
2020-08-10 04:40:33+00:00,"No matter how many breakthroughs , trials will exist and we're going to get through it . The zeal of staying strong is needed . I've been investing with the wrong people thinking I found people I could trust but everything turned out bad , I was at the brink of giving up until I met Mr @brilliant_mindfxt and I invested with him , right now me and my love family is very happy Click the link to connect him . @brilliant_mindfxt",2020-08-10,72,Safe Entry,74,3,-10.48697532045143,20,3,3,2.421515734068082,0,0,1.0
2020-08-10 04:40:33+00:00,I understand. Check in check out,2020-08-10,6,Safe Entry,6,0,-9.3044363237044,1,0,0,34.168915631337235,3,0,0.0
2020-07-22 10:19:43+00:00,why do yall have to get mad about being told to wear masks??? 😭😭 got nothing better to do sia,2020-07-23,19,Safe Entry,19,1,-11.034891539128585,9,0,0,17.932132139179377,2,0,0.0
2020-07-22 10:19:43+00:00,lockdown the beaches since these ppl dont know how to behave lol,2020-07-23,12,Safe Entry,12,1,-12.797686283263626,2,0,0,11.752638235706195,2,0,0.0
2020-07-22 10:19:43+00:00,"Close phase 2 la, don't bother do enforcement la. Wasting everyone's time only",2020-07-24,10,Safe Entry,13,1,-13.011990958914744,1,0,0,7.383765915254125,1,0,0.0
2020-07-22 10:19:43+00:00,"if can't chill at the beach,maybe longkang is the best place where nobody can be so kaypoh.",2020-07-24,17,Safe Entry,18,1,-11.666317655165985,3,0,0,8.222972447248168,1,0,0.0
2020-07-22 10:19:43+00:00,@autismo_111  all the bitches jokes here tho lmao,2020-07-25,7,Safe Entry,7,0,-14.829871624908426,1,0,0,11.752638235706195,2,0,0.0
2020-07-22 10:19:43+00:00,Paint white circles on the beaches where a maximum of 5 people can stay within each circle.,2020-07-26,16,Safe Entry,17,1,-11.131593580499349,1,0,0,5.4726963388144085,1,0,0.0
2020-07-03 11:02:47+00:00,Yay now can go downtown east to play at the www and stay there,2020-07-03,14,Safe Entry,14,1,-10.958462043388577,3,1,0,17.932132139179377,2,0,0.0
2020-07-03 11:02:47+00:00,Is it time for our staycay???? @_kxl__ @imseorimnoona @joyceeisawesome @maisarah_hassim 😔,2020-07-04,6,Safe Entry,6,0,-15.115484934225115,1,0,1,8.268024125926852,1,0,0.0
2020-07-03 11:02:47+00:00,Is it mean you have open international flights & allow tourist to come again?,2020-07-06,13,Safe Entry,13,1,-10.854973645729897,4,0,1,17.932132139179377,2,0,0.0
2020-09-25 10:06:00+00:00,Wait.. isn’t this ntfgh?,2020-09-26,5,Safe Entry,4,0,-13.601923349112484,0,0,0,8.595831892535436,1,0,0.0
2020-08-25 08:05:25+00:00,I buy old  money collector I buy old UAE 🇦🇪 🇲🇾MYR <10k> per one ☝ 🇸🇬SGD <10k> per one ☝ 🇧🇳BRU <10k> per one ☝ 🇨🇳CH or any country coin and note.Pm me!!!!!I buy old MAL 🇲🇾(coins$ notes)10kkmyr per☝️old Sin🇸🇬(coins$note)10ksgd per☝️OLD BRU🇧🇳(coins$notes)10ksgd per☝️ YA ALLAH 🙏🙏🙏✅🇲🇾🇲🇾🇲🇾🇲🇾🇲🇾STAY SAFE 🤙🤙🤙🤙,2020-08-25,44,Safe Entry,52,3,-15.835075335241585,6,2,1,2.6659656528582643,0,0,0.0
2020-08-25 08:05:25+00:00,Is it to buy the building AHAHAH,2020-08-25,7,Safe Entry,7,0,-10.789298049126382,2,0,0,17.93213213917938,2,0,0.0
2020-08-25 08:05:25+00:00,"Rumour has it that if you scan this QR code,  you wont need to scan anymore SafeEntry QR codes for a year",2020-08-25,22,Safe Entry,22,1,-13.021332256851911,5,1,1,5.088471017184117,1,0,0.0
2020-08-25 08:05:25+00:00,For the convenience of safe entry scanning?,2020-08-25,7,Safe Entry,7,0,-11.126502294731408,1,0,0,11.752638235706195,2,0,0.0
2020-08-25 08:05:25+00:00,Its gonna be a rick roll,2020-08-25,6,Safe Entry,6,0,-12.490435536904485,1,0,0,17.932132139179377,2,0,0.0
2020-08-25 08:05:25+00:00,Our lives are filled with QR codes right now haha.,2020-08-25,10,Safe Entry,10,0,-12.960122031385255,3,0,0,11.752638235706195,2,0,0.0
2020-10-21 10:11:00+00:00,"Now boomers can only complain ""gAhmEn tRacKinG u"" while using it",2020-10-21,11,Safe Entry,11,1,-14.119788032644296,2,1,0,11.752638235706195,2,0,0.0
2020-10-21 10:11:00+00:00,why are they forcing us to use two different systems,2020-10-21,10,Safe Entry,10,0,-10.065266352320824,3,0,1,34.168915631337235,3,0,0.0
2020-10-21 10:11:00+00:00,"Make Trace Together user-friendly 1st please just like singpass mobile app.. i do not have to scan QR code, i just need to search for location... I do not wish to stand and block others way just because I have to scan in.. work on that before you would like to implement it.. Thank You!",2020-10-21,53,Safe Entry,55,3,-11.304086374307873,13,1,3,2.035744838688452,0,0,1.0
2020-10-21 10:11:00+00:00,what but i don’t bring phone to school then how ah,2020-10-21,12,Safe Entry,11,1,-11.105820546100388,3,2,1,8.595831892535436,1,0,0.0
2020-10-21 10:11:00+00:00,1984. The monitor which is always in your house is now mobile. Good grief. The G is watching you 24/7🥶,2020-10-21,18,Safe Entry,21,1,-10.133281450277485,4,0,2,8.595831892535436,1,0,0.0
2020-10-21 10:11:00+00:00,Where’s my tolen then haha,2020-10-21,6,Safe Entry,5,0,-15.048971698467595,1,1,1,34.168915631337235,3,0,0.0
2020-10-21 10:11:00+00:00,*goverment wants to know your location*,2020-10-21,6,Safe Entry,6,0,-11.619020129468625,2,0,1,17.932132139179377,2,0,0.0
2020-10-21 10:11:00+00:00,What's the fucking point of tracetogether when you still have to scan the QR code like the same thing with safeentry? Seems like they're just digitizing for digitizing's sake to look like they're streamlining and making things more efficient 🤦,2020-10-21,35,Safe Entry,39,2,-11.979839074701244,5,3,1,3.9563083289692296,0,0,1.0
2020-10-21 10:11:00+00:00,What if i forget to bring out my phone but only have IC on hand,2020-10-21,15,Safe Entry,15,1,-10.773165569836495,4,2,2,17.932132139179377,2,0,0.0
2020-10-21 10:11:00+00:00,Iphone trying to make it easier to check in & check out with singpass only for govt to be like “Time for Trace Together”👀,2020-10-21,23,Safe Entry,23,1,-11.620782631316409,4,0,0,5.2740390219411815,1,0,0.0
2020-10-21 10:11:00+00:00,tf. the app is fucking useless. drain so much battery,2020-10-22,10,Safe Entry,10,0,-11.677501746252572,2,0,0,11.752638235706195,2,0,0.0
2020-10-21 10:11:00+00:00,Where to get tracetogether token?,2020-10-23,5,Safe Entry,5,0,-13.075974932644751,1,0,0,135.05763719844123,4,0,0.0
2020-10-21 10:11:00+00:00,So basically like safe entry but on an app....? Why need to change then.....,2020-10-23,14,Safe Entry,14,1,-10.118344959117325,1,1,0,11.752638235706195,2,0,0.0
2020-10-21 10:11:00+00:00,sg government becoming like china. tracking the movements of all its citizens,2020-10-25,12,Safe Entry,12,1,-11.446527008934224,2,0,0,8.595831892535434,1,0,0.0
2020-07-10 15:28:50+00:00,How come my place did not hv Safe Entry scan at the polling station? I was wondering too... Punggol Green Primary school for Punggol West SMC,2020-07-10,26,Safe Entry,26,2,-13.278858471576937,6,0,1,2.8467744140682982,0,0,0.0
2020-07-10 15:28:50+00:00,Today I'm proud because I've gained more than I've lost in trading that's why I will forever be thankful to Mrs  @invest_with_elizabeth_morrison.,2020-07-10,17,Safe Entry,21,1,-11.620586406800873,4,0,1,11.752638235706195,2,0,0.0
2020-07-10 15:28:50+00:00,Take selfie no 1 meter distance 🤔,2020-07-12,5,Safe Entry,6,0,-13.027873551204335,1,0,0,11.752638235706195,2,0,0.0
2021-01-22 08:37:09+00:00,So whats with China Town at this point of time? #contradictingwords,2021-02-01,10,Safe Entry,10,0,-11.241097529566288,0,0,0,6.461991358276104,1,0,0.0
2021-01-22 08:37:09+00:00,So whats with China Town at this point of time? #contradictingwords,2021-02-01,10,Safe Entry,10,0,-11.241097529566288,0,0,0,6.461991358276104,1,0,0.0
2020-12-10 10:03:48+00:00,Do we need to 'check out' when we use our ID card to 'check in',2020-12-10,15,Safe Entry,15,1,-13.111357990183166,5,1,2,17.93213213917938,2,0,0.0
2020-12-10 10:03:48+00:00,When can the phase 3 start in Singapore 🇸🇬? 🤔,2020-12-10,7,Safe Entry,8,0,-10.214353320236457,0,0,0,11.752638235706195,2,0,0.0
2020-12-10 10:03:48+00:00,It will be good to incorporate some good features of Safe entry into Trace Together app. Personally I like the search feature of locations within close proximity .  I use that when I’m nearing the building to save time and straight to queue for entry instead of scanning the QR code.,2020-12-11,51,Safe Entry,50,2,-11.216176917507589,8,3,1,1.9775349355167424,0,0,1.0
2020-12-10 10:03:48+00:00,Why sometimes scan using the trace together cannot capture the QR code?? Hv to used the normal QR scanner.,2020-12-12,19,Safe Entry,19,1,-12.980955501150612,2,0,0,6.135079381490804,1,0,0.0
2020-12-08 12:42:34+00:00,Pls dont take any chances now. Just advise or recommend everyone to wear both facemask and faceshield and use hand sanitizer.Install in all cashier counters and customer service counters COUNTER SHIED GLASS or CLEAR PLASTICALL DINE in tables install TABLE CLEAR PLASTIC IN all food courts and hawker and restaursnts as people when eating remove mask In response to recent covid case in cruise ship.,2020-12-09,64,Safe Entry,66,3,-14.591557886794655,7,3,0,0.5541089190751252,0,0,0.0
2020-12-08 12:42:34+00:00,"Great campaign 👏, can be made clearer by showing positive examples instead of the negatives? So ppl don’t get confused on what IS allowed. Emphasis on CORRECT examples 👍",2020-12-09,28,Safe Entry,27,2,-11.773541306461654,7,1,0,2.9586797382302654,0,0,0.0
2020-11-26 02:34:04+00:00,Perhaps review the imported cases. More stringent requirements before they are allowed to fly to Sg esp for non-Singaporeans. It’s a waste of resources to manage them when they land in Sg infected and SHN.,2020-11-26,35,Safe Entry,35,2,-11.939560406296158,7,2,0,4.331989757406174,0,0,0.0
2020-11-26 02:34:04+00:00,Should repatriate them immediately instead of alloeing them to enter Singapore.,2020-11-26,11,Safe Entry,11,1,-12.627874352360337,3,1,0,34.168915631337235,3,0,0.0
2020-11-26 02:34:04+00:00,Maybe we should review who we import into the country first,2020-11-26,11,Safe Entry,11,1,-10.015653252364967,2,0,1,34.168915631337235,3,1,0.0
2020-11-26 02:34:04+00:00,Eh #WhyAh? my buddy @naimpromptu face got come out here... He kena saman isit? 🤔,2020-11-27,12,Safe Entry,12,1,-14.882962826816941,3,0,1,6.7119549222774735,1,0,0.0
2020-05-06 00:00:35+00:00,will there be extra layers of secure to prevent data leaks?,2020-05-06,11,Safe Entry,11,1,-10.750189618890168,2,0,0,8.595831892535434,1,0,0.0
2020-05-06 00:00:35+00:00,🇸🇬🤗星期三 直播 Mambo Jambo Nite Live 40:00 大家一起跳💃 Swing Singapore😉🎑https://youtu.be/5e11TBY8ib4 #sgunited #sgcultureanywhere #sgyouthactionplan #sgexercises #Unstoppable🎐#四面臺 #勢不可擋 #西門町 #兰桂坊 #四小龙 #mediacorp #sphradio #sph #TVB #tvbs新聞 #gratefulheart #grateful #swingsingapore #感謝,2020-05-06,6,Safe Entry,8,0,-21.815756899136414,1,0,0,4.600799974507786,0,0,0.0
2020-05-06 00:00:35+00:00,"I read that my details will be sent to the outlet using the safe entry. I am fine with providing my information via safe entry so that authority can contact me when need arises My question is if it is necessary to provide these info to the outlet. These information can be kept with the authority and only to provide the info for contact purpose when need arises. Yes, you can claim the info use is regulated and protected by laws. But it can be abused. For your consideration to keep the safe entry and contact information with the authority only please.  Thank you.",2020-05-07,104,Safe Entry,104,4,-10.295315562199137,23,6,5,1.5546424965884411,0,0,1.0
2020-05-06 00:00:35+00:00,"I understand that government encourage people go to supermarkets must scan their IC or QR codes but yet don't know why NTUC & Sheng Siong ask their customers to fill up the form when their customers forgotten to bring their IC??? Really defeat the purpose of scanning IC & QR codes! How to trace whether the customers fill up their own particular or just simply fill up only (not their particular) as they just want to go into supermarkets only? Very appropriate if you could look into it seriously, thank you.",2020-05-07,88,Safe Entry,89,3,-11.735961041372395,17,6,1,1.7499567252385322,0,0,1.0
2020-05-06 00:00:35+00:00,What happens if you don’t check out as it’s not intuitive - will you be recorded as still active at that location hours later even if you’ve left?,2020-05-08,30,Safe Entry,28,2,-11.107985738388452,6,3,1,11.752638235706195,2,0,0.0
2020-05-06 00:00:35+00:00,"Great initiative to step up contact tracing capabilities. The more we can get comminity wide contact tracing, the better we will get at identifying potential hotspots and overcome this crisis.",2020-05-09,30,Safe Entry,30,2,-11.738066516719774,7,1,1,4.331989757406174,0,0,1.0
2020-05-06 00:00:35+00:00,🇸🇬#家游#fighting 🎋🏞South Korea fighting to contain new outbreak amid homophobic backlash https://metro.co.uk/2020/05/12/south-korea-fighting-contain-new-outbreak-amid-homophobic-backlash-12692790/?ito=article.mweb.share.top.whatsapp🌪#來了喔 #2nd #wave #unstoppable #勢不可擋 #covid19 #sgdurian #sgch8 #sgexercise #sgig #mediacorp #sphradio #TVB #tvbs新聞 #foxnews #chosun #kbs #mbc #monde #dw #rt #bbc #gaia #breathes #again #eathday2020 #grateful #四小龙,2020-05-12,10,Safe Entry,10,0,-19.37178606850892,2,0,0,3.956308328969228,0,0,0.0
2020-05-06 00:00:35+00:00,Does it require internet connection? What if someone doesn't have internet connection?,2020-05-14,11,Safe Entry,12,1,-11.116728387004033,4,1,0,14.459601199875774,2,0,0.0
2020-05-06 00:00:35+00:00,"Ur token not widely accepted,give like no use",2020-10-03,9,Safe Entry,9,0,-12.409026290633106,2,0,0,17.93213213917937,2,0,0.0
