Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Thank you to all our health care workers who had risked their own health taking care of all the covid 19 patients.,28/12/20,21,Circuit Breaker,22,1,-10.81404319,3,0,2,17.0655204,2,0,0
Thank you so much all frontline healthcare of  Singapore,28/12/20,9,Circuit Breaker,9,0,-11.39331393,0,0,1,36.13113141,4,0,0
Praise is fantastic but please give our frontliners the fat bonuses they deserve for all their hard work! 💪👏 They need to eat well to build up their physical health.,28/12/20,29,Circuit Breaker,29,2,-11.19343536,6,1,1,20.5002706,3,0,0
Thank you to all the healthcare workers and also to all the cooperative Singaporeans who have endured hardship in bringing us to Phase 3.,29/12/20,23,Circuit Breaker,24,1,-10.59571691,4,2,2,26.8352074,3,0,0
"Thank you again, healthcare heros. We can never thank or appreciate you enough for your sacrifices and excellent care. Merry Christmas and be in good health!",28/12/20,26,Circuit Breaker,26,2,-11.08581414,4,3,3,12.05424284,2,0,0
"Maybe on top of reassuring words also just provide many more additional incentives, benefits, perks for our healthcare workers, both in their workplace and as part of their job. Good words are only as good as the deeds that accompany them.",28/12/20,41,Circuit Breaker,41,2,-10.55808639,4,2,1,7.903632895,1,0,0
"Please thank our frontliners with better pay structure and benefits for the nurses, Social workers and hospital support staff.   Forever grateful to all who are working in healthcare esp those who looked after my family in 2020 🥰🥰",28/12/20,36,Circuit Breaker,37,2,-11.3013471,4,1,2,7.467550656,1,0,0
Please be vigilant against the new strain of covid,28/12/20,9,Circuit Breaker,9,0,-11.65441623,2,0,0,36.2041065,4,0,0
It is my pleasure and honour to serve as a health care practitioner! ❤️,28/12/20,13,Circuit Breaker,13,1,-10.50839579,2,1,1,20.83225589,3,0,0
Not helped by lies on masks and mediocre clueless leadership.. benchmark salary and performance with the Kiwis please.. and be the first to take vaccine from China..,28/12/20,27,Circuit Breaker,27,2,-11.25276135,3,1,0,7.354316351,1,0,0
"Most memorable :-  ""Don't need to wear mask if well""!!!  Still counting :- 29 DEATHS n deaths due to complications!  Incompetency n shortage of mask hoping herd immunity is criminal liability!!!",29/12/20,27,Circuit Breaker,31,2,-14.04559888,5,1,0,12.19734818,2,0,0
"Thank you for the hard work and let’s keep Sg safe, stay clean too🙏🏼🧼",28/12/20,15,Circuit Breaker,14,1,-11.42577417,2,1,1,36.26203009,4,0,0
Excellent summary and great motivation to strive hard for the coming new year.,28/12/20,13,Circuit Breaker,13,1,-11.02146039,2,1,0,26.8352074,3,0,0
"To all the health care workers, including the support workers, thank you!",28/12/20,12,Circuit Breaker,12,1,-9.887376377,2,0,0,18.76957494,2,0,0
Dont just talk. Shower them with monetary bonus!,28/12/20,8,Circuit Breaker,8,0,-12.81409673,1,0,0,36.84829056,4,0,0
"Don't forget being flipflopped about the need to wear masks by our pm and being called idiots by ccs. I do agreed that some of the behavior for stocking up were not the prettiest but through them we saw the true government talents, whatever G they fall in.",28/12/20,47,Circuit Breaker,48,2,-10.92692527,12,2,2,8.977799354,1,0,1
I am so proud to be living in Singapore during this extraordinarily difficult time. The government has achieved a remarkable feat in combatting the Covid-19 virus by providing clear strategy and marshaling the passion of the citizens to work diligently to protect themselves and others. Bravo to the MOH and our resilient neighbors here in the Lion City.   2021 will be a better year and it’s almost here! 😊,29/12/20,68,Circuit Breaker,68,3,-10.67737864,11,3,1,5.5391214,1,0,1
"Well done to all for being so disciplined, and esp the nurses & doctors handling those heavy case loads..",28/12/20,18,Circuit Breaker,18,1,-11.62058212,5,1,0,36.84829056,4,0,0
"Thank u all,I just feel each & everyone of us got a role to play in ourselves to stamp this virus down.Even for those in food delivery & hawkers aunties & Uncles who sell fd they do also had contributions w/o them selling fd we may all go to hunger.For we Sporeans so long we practice Social Distance,hand hygiene total we stand in together we can make it💪🏻Wat a year to go through in this 2020.Let’s stride on 2021 with steps taken to look ourselves so tat to lessen our healthcare workers & Govt burden to stay safe w our love ones.May all of us stay in gd health & take care!💪🏻🙏",29/12/20,107,Circuit Breaker,114,4,-12.19656214,21,1,5,2.527601491,0,0,0
"Ain't disease killing human kind... its human's inventions, negligent towards other living things and destroying planet earth that causing humans destruction someday. Well...well.. thanks to those those who put a great effort into containing this bloody virus in Singapore, especially those frontline personnel. 👏👏👏",29/12/20,42,Circuit Breaker,44,2,-12.52861,7,1,0,6.099996827,1,0,1
"Why no one mention frontline workers like security,cleaner,etc for all the extra workload that persist til now and still going on til we all don know when?Please be fair when giving due credits for all those that are involved in this hardship period.",29/12/20,46,Circuit Breaker,46,2,-11.6200555,9,3,1,8.276773537,1,0,1
We thanks our leaders safe guarding our main gantry of singapore. Our citizen who follow instructions given by leaders. Is a team effort and we shall preserve ,29/12/20,27,Circuit Breaker,27,2,-11.8278524,6,1,2,12.81838459,2,0,0
Bump up their salary and bonus please.they deserve it,28/12/20,8,Circuit Breaker,10,0,-11.62993802,1,1,0,56.27175551,4,0,0
Thank You To all frontliners from the medical to the food deliveries staffs and also to the government for all their big and Small efforts to put everything right n proper.,29/12/20,31,Circuit Breaker,31,2,-10.68260965,1,2,1,10.14351294,2,0,0
"Thank you healthcare workers! Hope that with the lower number of daily cases, you have some time to take a break/ rest...",30/12/20,22,Circuit Breaker,22,1,-9.764271656,4,0,2,16.3110724,2,0,0
Agree. All front line workers deserve our greatest gratitude and admiration.  Question I would like to ask is why are we importing so much new covid19 cases? What if a number of cases slipped in undetected? Wouldn't this negate all the hard work and sacrifices they have made to combat and contain the first wave? Has anybody got a good explanation besides the need to open borders for economy sake; which seems to suggest that money is more important than life?,29/12/20,80,Circuit Breaker,81,3,-10.82113568,17,4,3,3.81030835,0,0,1
Hopefully all the PSA staff will be notice as a healthcare workers too. Because they are the first person who are in contact  with covid-19 patients. Appreciate and thank you to them too please.,28/12/20,34,Circuit Breaker,34,2,-10.47811475,5,1,1,11.86503578,2,0,0
"When I saw that he penned a letter, I tot is his resignation letter. Many ppl up there are just GFN & NATO. I think that will be the best thing that we want to see.  Anyways salute to the frontline personnel.",28/12/20,41,Circuit Breaker,41,2,-10.52222213,11,0,2,9.903676034,1,0,0
"Thank you to all the front line workers, on ground team and task force who have made sure that Singapore is safe. 👍🙌🏻🙏🏻👏🏻👏🏻",29/12/20,22,Circuit Breaker,22,1,-10.03729503,3,1,1,11.43272219,2,0,0
"Happy indeed we live , unaffected amidst the afflicted by craving amidst afflicted people we dwell free from COVID - 19 pandemic . ",29/12/20,19,Circuit Breaker,21,1,-14.57692776,4,0,1,25.93404264,3,0,0
Give 4 months bonus to them is better than just a letter because actions speaks louder than words. ,28/12/20,17,Circuit Breaker,18,1,-11.06519287,3,0,0,20.83225589,3,0,0
Talk so much abt front line workers...just give them $500/- each as a year end bonus,29/12/20,16,Circuit Breaker,18,1,-12.24917314,2,0,0,16.87838266,2,0,0
"More importantly, does private setting that contribute to the covid situation are eligible to the bonus that is mentioned. Kinda discouraging simply being perceive as ptd Ltd where everything is related to profit",28/12/20,33,Circuit Breaker,33,2,-12.02473604,10,0,0,11.84118489,2,0,1
"Gan Kim Yong. That is an awesome name he did a #*%&&# good job, and he's my man I love him. (in appreciative way.  no not that way.)",29/12/20,26,Circuit Breaker,27,2,-10.12032115,4,1,2,13.0804743,2,0,0
Maybe consider giving them some financial bonus as a way of thanks above that? 🤔,29/12/20,14,Circuit Breaker,14,1,-10.53718814,2,0,0,36.84829056,4,0,0
Pls raise their salaries by 30% n double up their bonus. Thsnk you.,28/12/20,12,Circuit Breaker,13,1,-12.68190284,1,0,0,26.8352074,3,0,0
I'm proud to be a health workers here at Singapore..,28/12/20,9,Circuit Breaker,10,0,-9.819672274,1,0,0,36.13113141,4,0,0
Being part of SG Healthcare Crops and the frontline have been one of the best decision I have made in my life (by far). I wish to use this chance to thank all Covid-19 frontliners (and everyone that I have worked with) for their hardwork and sacrifice during this period. Thank you very much. 🙏🏻,28/12/20,54,Circuit Breaker,54,3,-10.70251098,10,2,4,6.224090908,1,0,0
"Singapore Airlines cabin crew travelled to the US for work from 12 December to 16 December, why they are not quarantined when they back in Singapore for 14 days or swap test upon arrival instead?",29/12/20,32,Circuit Breaker,35,2,-11.37335895,3,2,1,8.019320647,1,0,0
"What have our construction worker can go outside 8 months already can’t go out company say mom not allowed go outside,government starts phase 3,our people can go outside or no tell me anybody ",28/12/20,34,Circuit Breaker,35,2,-11.18977987,10,1,2,10.16485321,2,0,0
Thank you frontline healthcare heroes !,28/12/20,5,Circuit Breaker,5,0,-13.05103871,1,0,1,56.27175551,4,0,0
This letter would be unnecessary if the situation then was properly handled during the Wuhan invasion. I wonder why this Minister is still in office and not fired long ago after so many screw up including health privacy data breeched not long ago.,28/12/20,43,Circuit Breaker,43,2,-10.98282561,9,4,0,10.32828976,2,0,1
"We salute you, our healthcare frontline workers!",28/12/20,7,Circuit Breaker,7,0,-12.09702619,1,0,2,106.4913813,4,0,0
Monetary compensation is the most practical form of acknowledgement and reward. Can we please slap them with a huge ass bonus next year and a ton of AL in 2022 so they can go out and enjoy the world they have helped saved?,29/12/20,42,Circuit Breaker,43,2,-10.95245426,8,3,1,9.264009927,1,0,0
"Droms workers are human too, phase 3 has been started for all except droms workers!",28/12/20,14,Circuit Breaker,15,1,-12.39914785,4,0,0,27.10551747,3,0,0
"Thankyou Singapore,hoping for a better year ahead.Godbless🙏🙏🙏",28/12/20,7,Circuit Breaker,9,0,-13.3019572,1,0,0,36.13113141,4,0,0
Thank you Minister. Next....vaccination.,28/12/20,5,Circuit Breaker,5,0,-11.40309998,0,0,1,26.40715086,3,0,0
Lucky nv receive hardcopy if not I will give my cat tear into pieces!!! Waste my time reading.,28/12/20,18,Circuit Breaker,18,1,-13.01348215,3,1,3,20.83225589,3,0,0
Thanks to all our frontliners! Appreciate all your hard work and sacrifices!,29/12/20,12,Circuit Breaker,12,1,-11.4607845,1,1,2,20.5002706,3,0,0
Salute & Kudos to our Health Care Workers .......... To Singapore 🇸🇬  huge Tq for keeping us safe !,29/12/20,15,Circuit Breaker,15,1,-13.61669952,1,0,2,13.81653873,2,0,0
"When dormitory workers allowed to go out, from March to till now and still 😓",28/12/20,14,Circuit Breaker,14,1,-10.36696677,3,1,0,36.84829056,4,0,0
Thank you ! Salute !  Singapore all healthcare and frontliners .  ,31/12/20,8,Circuit Breaker,8,0,-11.68521588,1,1,0,26.30534077,3,0,0
Thanks to all health workers and the govt to keep the country safe .. 👏🏻👏🏻,28/12/20,13,Circuit Breaker,13,1,-9.614382257,1,1,0,20.83225589,3,0,0
Thank you for all your hard work and dedication 😊😊,28/12/20,9,Circuit Breaker,9,0,-10.06963295,0,1,2,36.26203009,4,0,0
Thank u MOH & all healthcare personnel for risking their health working tirelessly to serve SG community👏🏻👏🏻👏🏻  God bless🙏,29/12/20,18,Circuit Breaker,18,1,-13.53433821,3,0,0,14.10040367,2,0,0
To all Health Care Heroes 🙏 A Big Thank You .,28/12/20,9,Circuit Breaker,9,0,-12.27441018,0,0,0,20.83225589,3,0,0
Astonishing efforts based on thoughtful strategy and seamless execution! 👏 Wish you all a happy NY 2021.,29/12/20,15,Circuit Breaker,16,1,-12.58850134,2,1,1,20.83225589,3,0,0
"Thank you all healthcare personnel. You are someone's father, mother, son, daughter, husband, wife, and more. You've kept us safe and healthy for a year, working tirelessly through your countless shifts. God bless you greatly.",28/12/20,33,Circuit Breaker,35,2,-11.33837854,4,2,4,6.793444478,1,0,0
Thank you all to the healthcare workers🙏👏👏,29/12/20,7,Circuit Breaker,7,0,-9.258870954,0,0,1,56.27175551,4,0,0
Thank you to our amazing healthcare workers!,28/12/20,7,Circuit Breaker,7,0,-10.59523245,1,0,2,36.84829056,4,0,0
Thank so much to our frontliners .. really appreciate their hard work ..  ,29/12/20,11,Circuit Breaker,11,1,-11.49444094,1,0,1,36.26203009,4,0,0
"thankyou to all healthcare workers , frontline workers and more  ❤️❤️❤️",28/12/20,9,Circuit Breaker,9,0,-11.72017042,0,1,0,44.94915342,4,0,0
Well done people. Keep the strength up for next phase. 👍🇸🇬💪,28/12/20,10,Circuit Breaker,10,0,-10.14858353,2,1,0,36.26203009,4,0,0
Thank u so much sg health care worker,28/12/20,8,Circuit Breaker,8,0,-13.37747889,1,0,0,20.83225589,3,0,0
Bravo to the health worker ,28/12/20,5,Circuit Breaker,5,0,-9.773780337,0,0,0,36.84829056,4,0,0
Tq to the front line workers for their hardworking.,28/12/20,9,Circuit Breaker,9,0,-11.0482718,0,0,0,26.8352074,3,0,0
Hats off to health care industry and Singapore government 🙏🙏🙏👍👍👍,29/12/20,9,Circuit Breaker,9,0,-11.22230348,1,1,0,16.27177812,2,0,0
"Words are good, but actions are worth even more",28/12/20,9,Circuit Breaker,9,0,-10.43445647,2,1,0,56.27175551,4,0,0
Thank you to all the healthcare people!,29/12/20,7,Circuit Breaker,7,0,-8.815162081,0,0,1,55.38369641,4,0,0
Thank you so much Singapore ,29/12/20,5,Circuit Breaker,5,0,-10.88977268,0,0,1,55.20043826,4,0,0
"What date can go outside, sir...?",29/12/20,6,Circuit Breaker,6,0,-11.32012832,1,0,0,55.38369641,4,0,0
Singapo is one of the countries that have successfully responded to the pandemic,29/12/20,13,Circuit Breaker,13,1,-9.808044155,3,0,0,36.84829056,4,0,0
Next Year There Is No COVID-19 Spread Around the World,28/12/20,10,Circuit Breaker,10,0,-13.81328254,1,0,0,36.2041065,4,0,0
Need to give them few mths bonus for year end. More support for them too,28/12/20,15,Circuit Breaker,15,1,-11.05174138,1,0,0,16.87838266,2,0,0
How long take to reopen the border,28/12/20,7,Circuit Breaker,7,0,-9.806639154,1,0,0,56.27175551,4,0,0
"Uncle Gan Kim Yong Talk is cheap and it is the White ministers' character to provide lip service. To show your sincerity, increase the pay of the healthcare workers. Otherwise, we cannot take your words seriously. ",28/12/20,36,Circuit Breaker,36,2,-11.61147767,7,1,3,6.131593059,1,0,1
This year has been been the most busy and difficuilt year for me and my family as a healthcare worker... but honestly our gov leader did a great job in leading this fight... at times the tiredness is really a no joke that make me feel hopeless with the fight but our gov encourage us to go on...thanks to all fellow healthcare colleagues for the strong fight this year.. this battle has not end yet and we will get overcome it..🙂,29/12/20,82,Circuit Breaker,82,3,-10.30660893,14,3,5,5.326689405,1,0,1
Knn phase 3 geylang got open or not??? If not phase 3 fir 搞林huh???🤦🤦🤦,29/12/20,11,Circuit Breaker,14,1,-13.6932139,2,1,0,26.8352074,3,0,0
Thank you to all our health care workers who had risked their own health taking care of all the covid 19 patients.thanks singapore 🇸🇬 ♥ take care of people,28/12/20,25,Circuit Breaker,28,2,-11.21360147,4,0,2,12.81877644,2,0,0
Thank you health workers and help in maintaining singapore  healthcare system to be great and efficiency. Kudos to front line workers,28/12/20,21,Circuit Breaker,21,1,-11.22461206,4,1,1,9.552461379,1,0,0
Can start to count the number of deaths MOH is responsible for with the issuing of vaccination n lies about covid soon.  Welcome to Phase 3.  Let's make more healthy people sick n vulnerable,28/12/20,32,Circuit Breaker,34,2,-11.72617487,6,0,0,10.71944879,2,0,1
Luckily we have billions of reserves to spend. No money no talk. I pity our children and their govts who have to find ways to top up the reserves spent next time.,28/12/20,32,Circuit Breaker,32,2,-10.36072106,7,2,2,11.29106075,2,0,0
Then please open border Sg-Malaysia for Frontliner/healthcare first to travel home everyday..,29/12/20,12,Circuit Breaker,13,1,-13.1346376,2,0,0,36.2041065,4,0,0
We should thank the virus for keeping our civil servants busy for whole year. I wonder what they did before the crisis.,28/12/20,22,Circuit Breaker,22,1,-10.31758555,4,0,1,26.8352074,3,1,0
"Front line workers do remember  "" The urge to be of service to mankind"". Thanks. TAKE CARE",28/12/20,16,Circuit Breaker,16,1,-11.13325039,4,0,0,11.86503578,2,0,0
"Last time I believed in LORD. Now after this crisis affecting the whole world regardless of race language or religion, I now stop believing.",28/12/20,24,Circuit Breaker,24,1,-10.95988491,4,2,2,10.49172631,2,0,0
"Ministry of Health, Singapore may I check if it’s possible to consider to issue TraceTogether tokens to healthcare workers in the Hospitals? As u are aware that our healthcare workers has been on the frontline combating this gruelling 2020 as what Minister Gan has mentioned, as our healthcare workers should take priority in having the vaccination. I was thinking in order to relieve the burden of the healthcare workers, why not issue tracetgt tokens in the hospital? So that they won’t have to deal with the on and off no stock situations at the CCs. I am speaking on behalf of our very selfless healthcare workers who put Singapore before self. Thank you for your review of this matter.",29/12/20,120,Circuit Breaker,119,4,-10.85398868,22,2,5,2.356327372,0,1,1
Just fancy words now important is vaccine for healthcare workers and make sure insurance cover the part if vaccine goes wrong,28/12/20,21,Circuit Breaker,21,1,-11.3193718,3,2,0,15.46335949,2,0,1
Thank you to all the health care heroes..💪💪👏👏👏  Thank you so much for all the sacrifices 🙏🙏,28/12/20,16,Circuit Breaker,16,1,-9.930685541,0,0,2,18.76957494,2,0,0
Salute to all the health care heroes. 👏👏👏 Thank you very much for all the sacrifices 🙏🙏,28/12/20,15,Circuit Breaker,15,1,-10.0263277,0,0,1,16.87838266,2,0,0
Salute and thank you to all the health workers of singapore..,29/12/20,11,Circuit Breaker,11,1,-10.60727342,0,1,1,20.41697144,3,0,0
It is my pleasure and honour to serve as a health care team. 😘♥️ Thanks to all.,29/12/20,16,Circuit Breaker,16,1,-9.658171596,2,1,1,16.87838266,2,0,0
Any plans to take action on them?,28/12/20,7,Circuit Breaker,7,0,-9.653620589,1,0,0,56.27175551,4,0,0
We should thanks the frontline staff but not the stupid minister who get the credit at the expense of the medical staff. Don’t forget he is a engineer and not a doctor drawing millions doing nothing except talk only .,28/12/20,40,Circuit Breaker,39,2,-10.20761456,5,2,0,7.055153863,1,1,1
Salute to all the health workers    .. keep safe always .. God bless Happy new year everyone.,31/12/20,15,Circuit Breaker,15,1,-11.55655395,1,0,0,12.05424284,2,0,0
thanks sg health care we are proud of you 🙏🙏,29/12/20,9,Circuit Breaker,9,0,-11.28427398,2,0,1,36.84829056,4,0,0
Frontline worker deserve a bonus!,29/12/20,5,Circuit Breaker,5,0,-12.87013356,1,0,0,36.84829056,4,0,0
Thank you very much for health worker. God bless,29/12/20,9,Circuit Breaker,9,0,-10.6852528,0,0,1,20.83225589,3,0,0
Salute to all of you.god bless,29/12/20,5,Circuit Breaker,7,0,-11.02475966,2,0,1,56.27175551,4,0,0
Thank you so much May God bless you all with good health. .,29/12/20,12,Circuit Breaker,12,1,-10.7275027,0,0,1,20.5002706,3,0,0
Thank you healthcare workers! You have our utmost respect and appreciation! 👏🤝 Thanks you Singapore  ❤❤❤❤❤❤❤❤,29/12/20,14,Circuit Breaker,14,1,-11.09535551,2,1,3,16.53983844,2,0,0
InshAllah may Allah forgive us all and reward those who really worked hard from the bottom of their heart 💓 ,29/12/20,19,Circuit Breaker,19,1,-11.11364143,3,1,1,36.84829056,4,0,0
Wonderful job thank you endlessly MOH ❤️❤️❤️,29/12/20,6,Circuit Breaker,6,0,-14.51396672,0,0,1,36.84829056,4,0,0
Thank you to the frontliners and PAP government for tackling this crisis well 👏👏👏 Great job guys 🙏🙏,29/12/20,16,Circuit Breaker,16,1,-11.6589627,1,1,1,11.86503578,2,0,0
Thank you for keeping us safe ,28/12/20,6,Circuit Breaker,6,0,-10.41318573,1,0,2,106.4913813,4,0,0
"Mah Yi Hui Boey Ying Henry Qi thx for your service!!!! no additional benefits, but thanks anw!!!",28/12/20,17,Circuit Breaker,17,1,-15.51250308,1,1,1,8.150067483,1,0,0
thanku  so much..  Healthcare Of Singapore,28/12/20,6,Circuit Breaker,6,0,-13.98494384,0,0,0,36.13113141,4,0,0
Pls open the border I wanna go bck home. ,28/12/20,9,Circuit Breaker,9,0,-12.78540574,3,0,1,36.2041065,4,0,0
Thank you all.  Always Godbless.,28/12/20,5,Circuit Breaker,5,0,-12.06476011,0,0,1,36.84829056,4,0,0
Thanks for the support and care,28/12/20,6,Circuit Breaker,6,0,-8.584068011,0,1,0,36.84829056,4,0,0
Ijam Nizam Kirsten Abdul Phoebe Ting Limin Kam thank you champions! Dont forget to treat yourself on 31st Dec 2020.,28/12/20,18,Circuit Breaker,20,1,-16.13384837,2,0,2,7.467550656,1,0,0
Thank you so much!! Cheers and keep going!!🙏💪👏👏👏,28/12/20,8,Circuit Breaker,8,0,-10.04638404,2,1,1,56.27175551,4,0,0
May  gods  blessings  remain  fo  all  th  healthcare  workers  to  keep  Sg  safe  !!!,28/12/20,13,Circuit Breaker,13,1,-14.40937505,3,0,0,16.61032234,2,0,0
God bless all of you for taking care of us. Thank you and take care.,28/12/20,15,Circuit Breaker,15,1,-9.521282652,2,1,2,31.28821344,3,0,0
Thank you lord n god bless everyone stay safe ❤❤❤❤,28/12/20,9,Circuit Breaker,9,0,-13.74773376,1,0,1,20.83225589,3,0,0
Thank you and god bless everyone❤🙏🙏🙏,28/12/20,6,Circuit Breaker,6,0,-11.6182346,1,1,1,56.27175551,4,0,0
Thank you all health care! And salute to all the sacrifice 🌹💙💜❤️🙏🙏🙏👌,28/12/20,11,Circuit Breaker,11,1,-9.820982445,0,0,1,26.8352074,3,0,0
Auzubillahiminasyaitanirajim.Bismillahirahmannirahim.Dgn selawat nabi muhammad s.a.w saya mendoakan agar penyakit Ini akan sembuh dan dgn alfatiha saya akan syorkan bahawa penyakit Ini akan tamat pada bulan 6 tahun 2021.Bismillahirahmannirahim alhamdulillahirabbilalaminarrahmanirahimmalikiyaumidiniyakanabuduwaiyakanastainihdinassiratalmustaqimsiratalazimnaanamtaallahihimghairilmaghdubialahimwaladdolinamin.Dgn surah alfateha Ini yang di turunkan di mekah dan dgn selawat nabi besar kita nabi muhammad saw.Allahumasallialamuhammad.Allahuakhbar.Subhanallah.Alhamdulillah.Kita akan serang habis habisan penyakit Ini dan moga moga  Allah akan kabulkan doa kita Ini.Ameen ya robbalalameen.Tidak lupa juga sahabat sahabatku yang berada di seluruh negara mari kita doakan beramairamai Semoga penyakit Ini akan mati.Dan hidup Ini akan Aman seperti biasa.Ameen.,28/12/20,81,Circuit Breaker,102,4,-23.47549089,6,0,0,1.446352584,0,0,0
A big Thank you to all frontliners 👍👍👍👍,28/12/20,7,Circuit Breaker,7,0,-11.15501377,0,0,1,56.27175551,4,0,0
"懒叫啦。 Cfm is some staff write already, ah gan post only lah.",28/12/20,11,Circuit Breaker,11,1,-15.71163754,3,0,0,26.8352074,3,0,0
thank you all who had  been working so hard to keep everyone safe n healthy.  Thank you Sir🙏 lets hope for a better 2021 ,28/12/20,23,Circuit Breaker,24,1,-11.11964586,6,0,2,56.27175551,4,0,0
Salute to all of you working in the healthcare sector. A big THANK YOU! 👏🏻 #SGUnited,28/12/20,14,Circuit Breaker,14,1,-10.97460147,1,0,1,20.83225589,3,0,0
No good news for foreign workers. They are all more stressed mind with lot of problems. So they try to leave from Singapore.,14/12/20,23,Circuit Breaker,23,1,-9.820991556,3,0,0,16.53983844,2,0,0
"What about weddings? Nothing mentioned about increasing the number of guests at weddings.  Indian weddings in temple premises conducted by the priest - is it considered as religious rites, and capacity is up to 250? Why not? ",16/12/20,35,Circuit Breaker,37,2,-11.23104548,6,1,0,10.45287522,2,0,1
"Well done Singapore, keep going same way to protect from covt-19.",14/12/20,11,Circuit Breaker,11,1,-11.78737613,4,0,0,55.20043826,4,0,0
"To have an apple-to-apple comparison, please give Singaporeans the exact vaccine (Pfizer-BioNTech?) that the Cabinet is getting. There are 3 available: Moderna, Pfizer-BioNTech and Sinovac. Otherwise, what's safe and effective for them may not be so for us if we're getting Sinavac, for example, which works differently. ",14/12/20,41,Circuit Breaker,47,2,-12.05970635,9,3,1,12.05424284,2,0,0
"Hello,How about the SHN to come in Singapore from other countries? Is there any changes? SHN at home not in hotel?less 14days of quaratine?",14/12/20,25,Circuit Breaker,26,2,-11.46198529,2,0,0,10.86658968,2,0,0
"""Households may also receive up to 8 visitors""... Sorry does that mean 8 visitors on top of the number of people residing in a household?",14/12/20,23,Circuit Breaker,25,1,-10.406279,4,1,0,12.64548964,2,0,1
How about our own local candidate lunar-cov19 vaccine? What is the progress? Why can't we speed it up to complete the last trial so that we can remove Sinovac?,15/12/20,27,Circuit Breaker,29,2,-10.74983084,4,0,2,20.83225589,3,0,0
"It's not about big or small country that matter, it's about everyone playing their parts to keep the country safe. Kiasu is the best way to ensure your safety.",14/12/20,27,Circuit Breaker,29,2,-10.03509673,5,1,1,13.0804743,2,0,1
Is trace together token been given out more then 70%. Thought must have the star align with the token given out 70% but not even reach 70% and open for phase 3? Really wayang to the max. Only know about $$$$$$.,14/12/20,36,Circuit Breaker,40,2,-11.22881807,10,3,0,16.87838266,2,0,0
How about odd and even numbers,14/12/20,6,Circuit Breaker,6,0,-10.08224831,0,1,0,55.30260338,4,0,0
How about wearing mask in an open area? Like walking a dog... they are very strict in an open area about 1 meter distance but not in the bus and mrt,14/12/20,30,Circuit Breaker,31,2,-10.72801733,3,2,0,13.0804743,2,0,0
But still need to wear mask???? Or not??,14/12/20,8,Circuit Breaker,8,0,-9.896902006,2,1,0,106.4913813,4,0,0
how about those hard working slaves living in dormitory jails?,14/12/20,10,Circuit Breaker,10,0,-11.76936303,2,0,0,36.84829056,4,0,0
madam/sir how about us foriegn workers stay in dormitory..can we go out?🙏🙏🙏,14/12/20,14,Circuit Breaker,14,1,-12.50215969,3,0,2,56.27175551,4,0,0
Is traveling outside Singapore possible?,14/12/20,5,Circuit Breaker,5,0,-12.3175882,2,0,0,104.5355773,4,0,0
