Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
This is the kind of sai Kang that no one want to do but need to do. And thank you for doing it!,1/3/20,23,Vaccination,23,1,-9.467213116,6,1,1,9.299331385,1,0,0
These people are and should be considered the same as the frontline medical staff..,2/3/20,14,Vaccination,14,1,-9.57194426,3,1,0,25.06360687,3,1,0
"V grateful to you and your team, for sparing no less effort in doing the arduous tasks amidst the worries triggered by the virus spreading... No word can describe the gratitude I feel for the contribution done by all of you. Salute and Thank you for these selfless spirit and work!",3/3/20,51,Vaccination,51,3,-10.86146407,8,2,4,3.025144186,0,0,0
Thank you for the hard work! Wouldn't it be easier to trace using Google Map timeline of what they did? But of course GPS location would have to be switched on.,1/3/20,30,Vaccination,31,2,-10.3301369,7,0,1,5.435687195,1,0,0
Thank you to the whole team who contributed! You guys may be behind the scenes but you are as important as the front line medical staff,3/3/20,26,Vaccination,26,2,-9.746835982,3,1,2,7.340937424,1,0,0
Contact Tracers and MOH should be given a big segment feature at this years NDP. 👏,2/3/20,15,Vaccination,15,1,-12.57486525,2,1,0,6.336397918,1,1,0
"A huge THANK YOU to all the contact tracing teams. You folks are just way too awesome and important as the front line medical staffs. In fact, there were also many on the grounds working endlessly too daily, like local cleaner workers whom I have seen cleaning up premises diligently like ATM, public facilities, clearing utensils and wiping the tables twice at Kopitiam, foodcourt, hawker centre etc. Hope Mothership.sg could do an interview of them too. 🙂",4/3/20,75,Vaccination,77,3,-12.39210907,11,3,2,1.35045406,0,0,1
"Sincere thanks from the bottom of our hearts. We feel safe because of your team's efforts to trace, identify and update. Bravo!",1/3/20,21,Vaccination,22,1,-10.94357297,2,1,2,7.558528054,1,0,0
Haha i like his attitude! That little puzzle piece plays an important role to complete a picture! Well done!,3/3/20,19,Vaccination,19,1,-11.24457291,3,0,1,6.336397918,1,0,0
The initial interview is just the first step. Needs corroboration with other witnesses and CCTV footages etc. If not how to charge people for lying?,1/3/20,25,Vaccination,25,1,-10.96245128,4,1,0,6.336397918,1,0,0
"Despite the tedious work, he looks cheerful and happy that he is making meaningful contributions. SGH is very fortunate to have such a staff with great dedication and work attitude. Keep up the good work.",2/3/20,35,Vaccination,35,2,-10.67534434,5,2,0,6.521237166,1,0,0
Contact tracing is a thankless job. Kudos to the contact tracing team for their hard work and dedication. ,1/3/20,18,Vaccination,18,1,-11.38219422,2,1,0,5.930125913,1,0,0
Thank you so much for all the hard work of these amazing people behind the scene.,1/3/20,16,Vaccination,16,1,-9.479495315,0,0,1,11.94874885,2,0,0
These guys are one of the reasons Singapore is still a safe place regardless of the high numbers. Really really excellent efforts! 👍🏻👍🏻👍🏻,1/3/20,22,Vaccination,22,1,-10.27665136,2,2,0,5.244301231,1,0,0
Truly appreciate your hard efforts! Deeply grateful to every individuals. A big thank you!,1/3/20,14,Vaccination,14,1,-11.48420602,1,0,1,11.94874885,2,0,0
"Can see that he is very exhausted, tough job and thanks you.",2/3/20,12,Vaccination,12,1,-10.21834728,2,1,0,25.06360687,3,0,0
Kudos to these guys!   I am pretty sure Indonesia will have a few cases if they had people like these.,1/3/20,20,Vaccination,20,1,-10.17060512,3,1,0,9.299331385,1,0,0
"Thanks to all who are helping to control the spread including the cleaners at hawker centres, lifts, common areas.",3/3/20,19,Vaccination,19,1,-11.47962322,5,0,0,6.336397918,1,0,0
So much hardwork and effort. Kudos to him and his team! Thank you so much guys!,1/3/20,16,Vaccination,16,1,-10.33205444,0,2,1,7.558528054,1,0,0
Great job! A big thank you to you and your team for all these work. Seemingly simple but oh so important!,1/3/20,21,Vaccination,21,1,-10.20896135,1,2,2,11.94874885,2,0,0
Thank you for your tedious and hard work to help SG keep the covid19 in containment.,3/3/20,16,Vaccination,16,1,-11.70589669,2,1,2,11.94874885,2,0,0
Thank you all working as trackers. Job is hazardous as person talking to may have covid19. It’s exhausting work. ❤️🙏,1/3/20,20,Vaccination,19,1,-11.35307541,4,0,1,9.299331385,1,0,0
What a cheerful lad.... Thanks for contributing that 1 puzzle piece which might be the most important.,2/3/20,16,Vaccination,17,1,-10.98605177,2,0,0,11.94874885,2,0,0
"Edwin is a very cheerful guy. Keep up the good job, team. We are very blessed to have many great teams working together to keep the virus in well control and every part is transparent to us. Kudos to all of you for the great effort. 👏👏👍👍",3/3/20,46,Vaccination,46,2,-9.837294044,7,1,1,4.488854825,0,0,1
Wow... really salute these pple... not an easy job.. and i think we hv one of the best contact tracing process in the world... this i am very proud of. Thank you for the great job!,1/3/20,36,Vaccination,36,2,-10.99373239,5,1,3,5.930125913,1,0,0
"Contact tracing is not easy, tough job, need a lot of patience. Thanks so much to contact tracing team for their hard work & dedication",1/3/20,24,Vaccination,24,1,-11.22658922,4,0,0,4.746664147,0,0,0
"Thank u , everybody at the frontline . The doctors , nurses , paramedics ,medical personnels , SPF ,ICA , Certis , MOH , Ministerial team , leaders in govt n more. U have  made it possible for people here during the covid-19 outbreak to be saved from the clutches of death n to know the direct n indirect links between the confirmed patients so as to contain the deadly spread.",3/3/20,62,Vaccination,62,3,-12.31501929,7,0,0,1.42681862,0,0,0
👍👍👏👏💪💪Excellent Efforts despite the Thankless nature of the job!☺️,1/3/20,9,Vaccination,9,0,-12.12754401,0,0,0,11.94874885,2,0,0
Contact tracing is critical to track down people contact with patients and quarantine them 14 days. Lot of work to contain the virus also need patients cooperation.,3/3/20,26,Vaccination,27,2,-11.19212024,6,2,0,4.400882835,0,0,0
Love this chap! U can tell he is tired but still understands that his small part of a larger puzzle is crucial ... not bad not bad,1/3/20,26,Vaccination,26,2,-10.48878573,6,2,0,11.59359296,2,0,0
The unsung heroes!!! Thank you for keeping everyone in sg safe in some ways or another!,3/3/20,16,Vaccination,16,1,-11.22312887,1,1,1,8.990131623,1,0,0
Simply outstanding! Thank you and the contact tracing team for your excellent but tireless work!,1/3/20,15,Vaccination,15,1,-11.36142284,1,2,2,7.558528054,1,0,0
Pinoy? Looks like they have to use temp job agencies for this.,1/3/20,12,Vaccination,12,1,-11.19919058,3,0,0,16.3881304,2,0,0
OMG you contact tracers are saints & detectives rolled into one. The MOH should give you guys special recognition esp. after this Covid thing stabilizes. An extra months’ salary!!! 👍🏼👍🏼👍🏼,1/3/20,28,Vaccination,28,2,-13.28035073,6,0,2,3.667451007,0,1,0
"Hopefully indonesia can copy this...even it is impossible ,very sad",31/3/20,11,Vaccination,11,1,-12.05088613,2,0,0,187.4342956,4,0,0
A big thank you for all the hard works 💖🙏👏👏👏,3/3/20,9,Vaccination,9,0,-9.559377121,0,0,1,47.76364542,4,0,0
Thank you so much for the hard work 🙏,12/3/20,8,Vaccination,8,0,-9.18701059,0,0,1,25.06360687,3,0,0
Loved this guy! Great sense of humor too...,13/3/20,8,Vaccination,8,0,-11.06829595,1,0,0,11.94874885,2,0,0
every (small) piece of puzzle counts a lot,15/3/20,8,Vaccination,8,0,-10.70652607,1,0,0,16.3881304,2,0,0
👏🏻👏🏻great job! Great spirit! That’s the way to go SGUnited! God bless! 🌹🌹🌹,27/3/20,13,Vaccination,12,1,-10.57680086,1,0,0,7.558528054,1,0,0
Glenn Yeong Serene Ariel Tan Marc Yeong,19/3/20,7,Vaccination,7,0,-18.26373447,0,0,0,6.984667994,1,0,0
Kiran Kakade Mahesh S Mulik,17/3/20,5,Vaccination,5,0,-18.24605951,0,0,0,9.299331385,1,0,0
Thank you for your hard work and keeping Singapore safe,3/3/20,10,Vaccination,10,0,-10.73582434,1,1,2,11.51657661,2,0,0
Kudos to all the contact tracing team....good job....we can count on you👍👍👍👏👏👏,3/3/20,14,Vaccination,14,1,-10.72075772,2,0,1,11.94874885,2,0,0
No words can describe how thankful and grateful that we are to have you n your team- mates ! Keep going! THANK YOU 😍,2/3/20,22,Vaccination,22,1,-11.65286886,5,1,3,11.94874885,2,0,0
Well done... Keep it up and thanks for the hard work 🙏🙏,2/3/20,11,Vaccination,11,1,-9.806741425,2,1,0,25.06360687,3,0,0
Hurrah! A big thank you to such Singapore heros.,7/3/20,9,Vaccination,9,0,-12.28095043,0,0,1,11.51657661,2,0,0
Thank you and all at the frontline for your patience and kindness and perseverance!,8/3/20,14,Vaccination,14,1,-10.43911421,0,1,2,9.299331385,1,0,0
Hatsoff to the team who is doing such a great job.... Im very proud to say that i live in such country,2/3/20,22,Vaccination,22,1,-10.40229828,4,0,1,9.299331385,1,0,0
Important work done in good cheer! Bravo! 👏🏼👏🏼👏🏼,4/3/20,7,Vaccination,7,0,-11.47855312,1,0,0,16.3881304,2,0,0
So much positivity despite the tough job! 👍🏼 ,7/3/20,7,Vaccination,7,0,-11.04229167,0,0,0,25.06360687,3,0,0
Thank you to all got your hard work to keep Singapore save,2/3/20,12,Vaccination,12,1,-10.43385297,2,0,2,11.51657661,2,0,0
Thanks buddy for your hard work and please stay healthy.,2/3/20,10,Vaccination,10,0,-11.61781156,3,1,1,25.06360687,3,0,0
Thank you for all the hard work to help the community safe!,3/3/20,12,Vaccination,12,1,-9.03931453,1,0,1,16.3881304,2,0,0
We cant thank these people enough. I salute the contact tracing team with all my heart. 🙏,6/3/20,16,Vaccination,16,1,-11.11683316,4,0,1,11.94874885,2,0,0
Heroes! Great job and amazing commitment.,2/3/20,6,Vaccination,6,0,-10.96305125,0,1,0,11.94874885,2,0,0
Thank You to all of you for your hard work! salute!!,4/3/20,11,Vaccination,11,1,-9.351282959,0,0,2,16.3881304,2,0,0
Thank you to all those who are behind the scenes for your efforts 🙏,3/3/20,13,Vaccination,13,1,-9.344679356,1,0,2,16.3881304,2,0,0
"Thank you ,Definitely not a easy job .....",2/3/20,7,Vaccination,7,0,-10.7961811,0,0,1,25.06360687,3,0,0
Thank you for your hard work can visualise it’s no joke with a deadline of 2 hours.,3/3/20,17,Vaccination,17,1,-10.88420998,1,0,2,9.299331385,1,0,0
Thank you all for your hard work. Appreciate❤️,2/3/20,8,Vaccination,8,0,-10.27951544,0,0,2,25.06360687,3,0,0
Such positive vibes after working daily for more than a month 👍👍👍,3/3/20,11,Vaccination,11,1,-10.93262664,1,0,0,24.30676894,3,0,0
"It’s never easy to be in this job,given the timeline and stress level.Kudos to the pple in the team.",1/3/20,20,Vaccination,21,1,-10.14236419,3,1,0,9.299331385,1,0,0
Respect their work! Well done!! Hard work man,1/3/20,8,Vaccination,8,0,-10.48896204,2,0,0,14.00459987,2,0,0
Thank to all of you. Not an easy job. 👏👏👏👍👍👍,3/3/20,9,Vaccination,9,0,-9.015988309,0,0,0,25.06360687,3,0,0
"he has a great personality, can see so tired yet keeping a smile all the time when he talks",2/3/20,19,Vaccination,19,1,-9.95980111,4,2,0,16.3881304,2,0,0
Kudos for sharing with us on the hard and meticulous work our contact tracing teams have done.,1/3/20,17,Vaccination,17,1,-11.15058334,4,1,2,11.94874885,2,0,0
great work and patience sir. I'm so forgetful i don't want to be his customer and waste his valuable time.,3/3/20,18,Vaccination,20,1,-10.98322354,4,2,1,6.336397918,1,0,0
Thank you it's a small but important puzzle piece ! ❤️,1/3/20,8,Vaccination,9,0,-10.81717774,1,1,1,16.3881304,2,0,0
I like this guy!! And I believe everyone like him knows how much they are contributing to the community due to their good works! See you at the National Day parade!!,3/3/20,31,Vaccination,31,2,-9.691837045,7,0,2,7.3097478,1,0,0
I really cant remember what I ate for lunch today.,3/3/20,10,Vaccination,10,0,-11.52033475,2,0,1,25.06360687,3,0,0
Thank you...unsung heroes :)   good to see how ordinary ppl playing a big part in total defence.,3/3/20,17,Vaccination,17,1,-11.88143703,2,0,1,7.340937424,1,0,0
Thank you from all of us,2/3/20,6,Vaccination,6,0,-8.790424532,0,0,1,47.76364542,4,0,0
Wah.. thrn i better start keeping log of my daily movement. Some days.. i cannot recall what i did the day before....,1/3/20,22,Vaccination,22,1,-12.42024982,5,0,3,4.89258987,0,0,0
A big thank you to the team! 👏👏👏,9/3/20,7,Vaccination,7,0,-8.84338049,0,0,1,25.06360687,3,0,0
Thk you for this sharing. Keeping records is good,1/3/20,9,Vaccination,9,0,-11.14165895,2,0,1,16.3881304,2,0,0
Omg I cannot remember leh my days,1/3/20,7,Vaccination,7,0,-13.46250098,2,0,2,47.76364542,4,0,0
I’ve always wondered how contact tracing is done Melvin Foo,3/3/20,11,Vaccination,10,0,-13.40881376,3,0,0,16.3881304,2,0,0
Great job. U can take over liam neeson for Taken 4.,1/3/20,10,Vaccination,11,1,-12.49537069,1,0,0,16.3881304,2,0,0
Yes not bad ! Thumbs up,1/3/20,5,Vaccination,5,0,-10.80771718,0,0,0,47.76364542,4,0,0
thank you very much for all of your hard work to safeguard us👏🙏,1/3/20,13,Vaccination,13,1,-9.840703678,1,0,2,25.06360687,3,0,0
How to share Google timeline location history?,1/3/20,7,Vaccination,7,0,-11.48923843,0,0,0,9.299331385,1,0,0
MOH should advise everyone to keep record of their daily activities for this period of time.. ,5/3/20,16,Vaccination,16,1,-10.74169001,2,0,0,7.3097478,1,1,0
So much hardwork 24/7 and having to see positive cases not thinking whether you will be infected?Thank you. Its such a noble job. Jia yu!,2/3/20,25,Vaccination,27,2,-11.51868604,5,1,1,7.558528054,1,0,0
Good job. And appreciate all the hard work behind the scene.,3/3/20,11,Vaccination,11,1,-9.765554075,1,0,0,16.3881304,2,0,0
"Franco Lorenzo Cachero  Kathy Bagasbas-Cachero  Angelo Salvador Cachero  Singapore ""contact tracing"". It started in ""December"" so even as China was trying to cover up the Wuhan NCovel virus spread.  Awesome, admirable, decisive proactive action to contain the spread of the COVID19 in Sg. And he was so positively pleasant sharing the info on how he did the contact tracing. Kudos, young man to you & your team! Dedication in action.",3/3/20,68,Vaccination,69,3,-12.5102032,11,1,2,1.420004502,0,0,1
Thanks for the kind words. We'll share your compliments with Edwin. Probably make his day even better. #SGUnited #WeWillGetThere,3/3/20,16,Vaccination,17,1,-11.83594751,1,0,1,6.336397918,1,0,0
Nice guy seem very positive in his work . Well done,1/3/20,10,Vaccination,10,0,-10.41068776,2,0,0,11.94874885,2,0,0
Love his bubbly personality! He would make such a great teacher as well!,1/3/20,13,Vaccination,13,1,-10.47673141,2,0,0,16.3881304,2,0,0
wow.... need more people like him... so positive despite on call 24/7.... 100% for him... also glad to know that our gov recognize their sacrifices.... well done PAP.,4/3/20,26,Vaccination,29,2,-11.36098078,5,1,1,6.336397918,1,0,0
"PM Lee, please make sure this team of people are rewarded.  They really deserve it!",3/3/20,15,Vaccination,15,1,-10.55839096,5,0,0,11.94874885,2,0,1
Thank you very much for your good job!,1/3/20,8,Vaccination,8,0,-9.979229017,0,0,2,25.06360687,3,0,0
"Bless them for all their efforts, hardwork and dedication. Thank you to the team.. 👍👍👍",1/3/20,14,Vaccination,14,1,-10.37645828,0,1,1,7.558528054,1,0,0
Thank you. God bless all of you.,4/3/20,7,Vaccination,7,0,-9.637470301,0,0,0,25.06360687,3,0,0
"Good job, keep up the good work!",1/3/20,7,Vaccination,7,0,-9.817531545,1,0,0,25.06360687,3,0,0
well done!  keep up the hard work!,2/3/20,7,Vaccination,7,0,-8.922271764,2,0,0,47.76364542,4,0,0
Thank u Mr Edwin for your dedication n professionalism. We in SG cannot thank u enough. Keep safe n healthy u n your colleagues.👏👏❤🙏🇸🇬,3/3/20,24,Vaccination,24,1,-13.3962412,0,0,2,6.336397918,1,0,0
Thank you for your hard work,3/3/20,6,Vaccination,6,0,-9.806926115,0,0,2,25.06360687,3,0,0
Contact tracing team - Good Job! A big THANK YOU for all the tedious process.,2/3/20,14,Vaccination,15,1,-13.31673953,1,0,1,7.558528054,1,0,0
Oh dear! I am super forgetful one 😔,3/3/20,7,Vaccination,7,0,-12.02071818,1,0,0,47.76364542,4,0,0
No words can describe our deepest appreciation!  👏👏👏🙏🙏🙏 👏👏👏,1/3/20,7,Vaccination,7,0,-12.12510629,1,0,1,25.06360687,3,0,0
Keep up the good work! Thank you,4/3/20,7,Vaccination,7,0,-9.39672346,1,0,0,25.06360687,3,0,0
Thank you for the enlightening video ♥️🌈 🇸🇬 so proud that fellow sporeans are  cooperative citizens ♥️🌈 ,4/3/20,14,Vaccination,14,1,-11.92129312,1,0,1,11.94874885,2,0,0
Thank you 🙏to All of you for your hard work .,4/3/20,10,Vaccination,10,0,-9.161378991,0,0,2,25.06360687,3,0,0
Thank you for all the hard work!! We appreciate you 🏆,7/3/20,10,Vaccination,10,0,-9.192619252,1,0,1,25.06360687,3,0,0
Thank you for all your hardwork,1/3/20,6,Vaccination,6,0,-11.28265206,0,0,2,25.06360687,3,0,0
U hv to take care too!,4/3/20,6,Vaccination,6,0,-11.16024338,1,0,0,16.3881304,2,0,0
Guohao Ter “you have people who cant remember what they ate yesterday.. uncle slowly”,2/3/20,14,Vaccination,14,1,-13.49038331,4,0,1,9.299331385,1,0,0
Angela Lusiastuti epidemiologi iki..critane,2/3/20,5,Vaccination,5,0,-19.98527848,1,0,0,16.3881304,2,0,0
Thanks to your whole team.,3/3/20,5,Vaccination,5,0,-10.13039009,0,0,1,25.06360687,3,0,0
Thank you all for holding for us all👍👍👍,3/3/20,8,Vaccination,8,0,-9.417737714,1,0,2,47.76364542,4,0,0
So funny you Edwin Philip 😂😂😂☺️♥️,2/3/20,5,Vaccination,5,0,-12.43994835,1,0,1,47.76364542,4,0,0
"Michelle Ng, the lady inside looks like Melissa hor?",1/3/20,9,Vaccination,9,0,-13.45985603,1,0,0,9.299331385,1,0,0
Edwin Philip hahah so cuteeeee 😻,3/3/20,5,Vaccination,5,0,-16.49145391,0,0,0,16.3881304,2,0,0
Joseph Seah Zhongda go Google map time-line LOLOL,3/3/20,7,Vaccination,8,0,-17.55876226,1,0,0,9.299331385,1,0,0
Joanne Zee just what we were discussing!! 😆,2/3/20,7,Vaccination,7,0,-12.0476109,2,0,1,25.06360687,3,0,0
Gabby Teng Nisa Safruddin a great insight to what they do,3/3/20,11,Vaccination,11,1,-13.31225722,1,0,0,9.299331385,1,0,0
Hadassah Joann Ramachandran this is one of your friends I think 😲,3/3/20,11,Vaccination,11,1,-12.17735136,2,0,2,11.94874885,2,0,0
Goh Siaw Pheng can go interview Terence Teo,1/3/20,8,Vaccination,8,0,-16.89111255,1,0,0,7.558528054,1,0,0
Brad Vucovich La you’re the only one I know quick enough to take it.  Core Reactor Jenny Chong Aaron Ting Jason Chew Vitalik Kho Koh How Tze ,4/3/20,28,Vaccination,27,2,-14.70625056,3,0,1,2.433629459,0,0,0
Emeline Chen Ada Tong cool,1/3/20,5,Vaccination,5,0,-16.80474687,0,0,0,9.299331385,1,0,0
God bless you for all your work amen,4/3/20,8,Vaccination,8,0,-11.51445359,0,0,2,11.94874885,2,0,0
Bless you and all of your colleagues,9/3/20,7,Vaccination,7,0,-9.582839893,0,1,2,25.06360687,3,0,0
Arabelle Zhuang Yu Ru zi jian?,2/3/20,6,Vaccination,6,0,-20.91518638,0,0,0,7.558528054,1,0,0
Thank you for all the efforts 🙏💪🍀,1/3/20,6,Vaccination,6,0,-8.750314379,0,0,1,25.06360687,3,0,0
Thank you and all your colleagues for doing a great job looking after Singapore 👍👍👍❤ .,3/3/20,14,Vaccination,14,1,-10.28421795,2,1,2,11.51657661,2,0,0
Great job! Thank you very much!,2/3/20,6,Vaccination,6,0,-9.962987275,0,0,1,25.06360687,3,0,0
Well done and thank you very much.👍,3/3/20,7,Vaccination,7,0,-10.03482503,2,1,1,187.4342956,4,0,0
Thank you for all your work!,1/3/20,6,Vaccination,6,0,-9.388939561,0,0,2,25.06360687,3,0,0
Thank you for your hard work,2/3/20,6,Vaccination,6,0,-9.806926115,0,0,2,25.06360687,3,0,0
"Wow, better than pfizer, when is sg buying this? But we still cant choose, what is the point🤔",13/3/21,18,Vaccination,18,1,-11.60936383,4,2,1,11.59359296,2,0,0
"Our government can get this vaccine and vaccinate our population very fast, So that we will be safer ",13/3/21,18,Vaccination,18,1,-10.74771992,3,1,2,15.24612368,2,0,0
U miss out a '?' at the end of the headline.,13/3/21,10,Vaccination,12,1,-8.075431375,1,0,0,15.83767576,2,0,0
"Yes, to acheive herd immunity faster...",13/3/21,6,Vaccination,6,0,-14.16410243,1,0,0,47.76364542,4,0,0
Dutch vaccine you needed one shot 💉,14/3/21,6,Vaccination,6,0,-11.32396163,1,0,1,24.1681395,3,0,0
What is the effectiveness data? Also how safe is it?,13/3/21,10,Vaccination,10,0,-9.41891686,2,0,0,24.30676894,3,0,0
WHO??? The very organization that has part to blame in this Wuhan virus pandemic.,13/3/21,14,Vaccination,14,1,-10.5459184,2,0,0,8.75465279,1,0,0
For the food concerns during COVID 19 and have a bigger military base instead of paying rental for overseas training site   . Time for our government to consider to buy back Christmas Island from Australia. https://m.youtube.com/watch?v=rZlXUiPFHbs&t=4s,13/3/21,33,Vaccination,34,2,-12.01585588,4,2,1,3.404891893,0,0,0
"Listen to the real experts with real degrees, masters, PhD who practice type of experts. Facebook university experts churn out infections diseases specialist are never to be trusted.Vaccination save life and prevent stupidity from brain damage. For those already stupid, I suppose there is no longer a need to be vaccinated... Already stupid",13/3/21,52,Vaccination,54,3,-11.64736465,10,1,1,2.252203029,0,0,1
After the injection you will smell like baby.,14/3/21,8,Vaccination,8,0,-10.64639585,1,0,1,25.06360687,3,0,0
Must avoid any possibility of vaccine discrimination as developed country ,10/3/21,10,Vaccination,10,0,-11.77720424,1,0,0,11.94874885,2,0,0
What's the use? They are well known for faking anything.  They would and may  pay to buy one .,10/3/21,17,Vaccination,18,1,-9.494700729,5,1,0,24.30676894,3,0,0
"Only way to prevent fake is digital portal access through gov managed system verified by airlines before they allow boarding, somewhat like the visa!   Cannot accept paper certification! Too risky! ",9/3/21,30,Vaccination,30,2,-12.48368847,6,0,0,4.203777179,0,0,0
Betcha counterfeit vaccination passports will be the next big money spinner.,9/3/21,11,Vaccination,11,1,-13.50945507,1,1,0,7.3097478,1,0,0
"The world is always a messy place, each country comes up with its own health passport and ways of declaration.  At the end of the day, people will face lots of inconveniences when they are using different standards.",9/3/21,38,Vaccination,38,2,-10.06328517,5,2,0,2.917413783,0,0,1
All of the sudden China comes up with the most useful passport and takes the top spot.,9/3/21,17,Vaccination,17,1,-9.939688539,2,1,0,16.3881304,2,0,0
"What happen if you can’t take the vaccine bec of allergies , so cannot travel ",9/3/21,15,Vaccination,14,1,-11.66841358,3,1,1,11.51657661,2,0,0
So without vaccination mean cannot travel. It'll be messy for world travel now.  So those unable to get vaccination because allergy how?,9/3/21,21,Vaccination,22,1,-11.46199891,3,0,0,8.079858608,1,0,0
Soon there will a Fake vaccine passport. ,9/3/21,7,Vaccination,7,0,-11.81458037,0,0,0,15.79657832,2,0,0
"There should be only one worldwide international vaccination passport, doesn't make much sense if every country does their own.",9/3/21,18,Vaccination,19,1,-11.17313019,3,1,0,11.54854128,2,1,0
identity theft will be on the rise soon...,10/3/21,8,Vaccination,8,0,-9.819671434,1,0,0,16.3881304,2,0,0
Has there been proven data to show that a person who is vaccinated is truly immune and will not be a carrier? Then there is the issue of document authenticity,10/3/21,30,Vaccination,30,2,-9.902465046,7,1,0,6.157359429,1,0,1
I knew this was coming....,9/3/21,5,Vaccination,5,0,-8.842466191,3,0,0,187.4342956,4,0,0
Looks like SG and China collaborating on this digital passport to showcase,9/3/21,12,Vaccination,12,1,-12.32369871,2,1,0,11.94874885,2,0,0
wahlan...jialat...sg is going to believe n trust it.....,9/3/21,10,Vaccination,10,0,-13.8588022,3,0,0,11.94874885,2,0,0
Better to produce effective cure and to focus on it.  Vaccination will take years and this is not solution at all. ,10/3/21,21,Vaccination,21,1,-9.902670241,4,2,0,11.54854128,2,0,0
"They can did everything,,, such as,,,the source of virus from china,,,and they supplies to whole World😷😷 aging they😁😁😁😁",9/3/21,20,Vaccination,20,1,-10.31629146,3,1,0,11.59359296,2,0,1
50 millions 🎲  then  the pandemic will be over,10/3/21,7,Vaccination,8,0,-9.931684218,1,1,0,25.06360687,3,0,0
Can those vaccinated be a carrier???,10/3/21,6,Vaccination,6,0,-11.06789504,2,0,0,47.76364542,4,0,0
This is the way forward.... I am looking for revenge on covid messing up all my holiday plans last year,10/3/21,20,Vaccination,20,1,-10.77989987,4,0,1,7.340937424,1,0,0
"It will just be like the Covid-19 positive travelers we're reporting daily where most if not all were supposed to have cleared departure tests, and the last thing we need is to let Communist China harvest personal information from us thru this facility.",9/3/21,42,Vaccination,43,2,-11.00976085,11,2,2,5.435687195,1,0,0
Haha. We can't even trust their vaccine...,9/3/21,6,Vaccination,7,0,-11.16181133,2,0,0,24.1681395,3,0,0
Look out for fake vaccine passports,10/3/21,6,Vaccination,6,0,-11.75743014,1,0,0,24.1681395,3,0,0
