Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
Copy and paste Singapore idea if you dont have a clue what to implement. 🙂,2/2/21,14,Tracetogether,14,1,-11.99862449,3,2,1,12.5653509,2,0,0
"Dont worry , ""F""MCO ...festive MCO , happy happy .",2/2/21,8,Tracetogether,8,0,-16.7835756,1,0,0,14.71185688,2,0,0
People following “standard operating procedures” be like,2/2/21,7,Tracetogether,7,0,-11.42792861,2,0,0,22.87083564,3,0,0
????????.I thought they said no extension? Prata again?,2/2/21,8,Tracetogether,8,0,-10.73609048,2,0,0,34.97657075,3,0,0
"If Malaysia MCO is extended, will Parliament suspension and GE also be extended?  ",2/2/21,13,Tracetogether,13,1,-12.36353055,4,2,0,16.65822254,2,0,0
"I think this is so wrong.. the demonstration should be a peaceful one. All Myanmars should respect and obey law and order of their country of resident. We can ask for help, we can show our unhappiness towards the military coup in Myanmar but dont cause any nauisance or trouble to our host country..   Pls, pls, pls follow law n order of your country of resident. Pls dont let the world see us as uncivilized thugs, while we are victims.. 🙏🙏🙏",2/2/21,80,Tracetogether,80,3,-11.38654389,10,4,5,2.44632944,0,1,0
"I am very sorry if you get annoy for our messages. But we really need help and your support.  In Myanmar, the military has detained our government, our elected leaders. We can't let them take control of our country like this. We clearly and strongly against the military. We do need your help and support.  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader, #Aung #San #Suu #Kyi #government!!!",2/2/21,54,Tracetogether,55,3,-10.67134691,10,4,7,2.522248616,0,0,0
#ShameOnYou_The_Straits_Times for spreading false news!!! It is true that we all are panic but Myanmar citizens didn’t do any violent demonstrations in other countries.,2/2/21,24,Tracetogether,23,1,-10.98650057,4,1,1,12.94484066,2,0,0
We Citizens do not accept this illegal takeover the Power of Country by military. Please we need special armed forces to destroy Min Aung Hlaing and his dictatorship. He’s using Myanmar Army for his own business and dictatorial purposes.,2/2/21,40,Tracetogether,39,2,-11.70622594,5,2,1,3.923894302,0,0,0
We were there at the event and the fight was between Thai students and the polices. Myanmar ppl didn't fight with the polices at all.  Please don't post if you are not sure about the issue. how could we even believe the further news from your media. 🌚 👎,2/2/21,45,Tracetogether,47,2,-9.754509025,7,2,3,4.985475839,0,0,0
"Guys  People in Photo no. 1,2 and 4 are not myanmar people. We, myanmar people, protested peacefully in every events that we involved. Please don't say that we deserve it. We didn't do anything wrong to deserve that. And please don't judge too early and say that kind of things to us without knowing the real source completely. Right now we are all at risks and we need more recognition and help from wherever we can all around the world.",2/2/21,75,Tracetogether,81,3,-10.28332434,15,3,4,4.019500809,0,0,1
"I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd ",2/2/21,104,Tracetogether,107,4,-11.38423457,11,3,2,1.712083637,0,0,1
"As a media, you should check your source before you post a news. Our Myanmar people in abroad show their support to our democracy leaders peacefully. Not like in photos. These photos may be from somewhere else.",2/2/21,37,Tracetogether,37,2,-10.30630061,4,0,3,7.083926443,1,1,0
"You shouldn't have done this in other foreign land, despite no matter how unhappiness you are in and how unsatisfied with the current situation in our own country, we should respect the law and the country's government which is still allowed us to be in despite our country situation. We can show our concern to the world but not this way, its must be this way then should do this in own country.",2/2/21,71,Tracetogether,73,3,-9.626625598,11,4,5,5.123805464,1,1,1
"Really sorry for disturbing you Hello everyone! This comment is not related with you guys but please spread this to everyone around you and through out the world.  My country Myanmar is not under the control of Military. Which we could say that this is Coup. Our country’s leaders including our President Mr. Win Myint and our De Facto Mrs. Aung Sann Su Kyi have been arrested. And a citizen whom we have always look for Democracy, Freedom, Peace and Development for our country, we cannot stand this unfair situation that has happened today. Please spread this and we kindly ask for the World Leaders, United Nations and the Media to help us from this injustice act done by the military. There is really nothing to be done by us but ask Help from all of you from all around the world. Please help us save our Leaders and Country.  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!! #SOSHelpAndSaveMyanmar_Burma",2/2/21,151,Tracetogether,150,4,-11.01466837,29,7,13,0.950196612,0,0,0
"We, the people of Burma, are calling on the international community to help the military, which has just seized power Do not say that it is not in line with media ethics",2/2/21,32,Tracetogether,32,2,-9.284518629,7,0,0,6.564974895,1,0,0
"If you report such kind of twisted photos news, how can we respect ST as a reliable souce. ",2/2/21,18,Tracetogether,18,1,-11.68271806,2,0,2,12.94484066,2,0,0
"These photos are not Myanmar people.  Yesterday, there is a clash between Thai organizers and Thai police. Myanmar people in Thailand avoid riots during demonstrations. ",2/2/21,25,Tracetogether,25,1,-11.43313552,2,1,0,4.526095227,0,0,0
Apologise to our people the straits times . How dare you as a reputable media platform post such baseless and misleading news during our most difficult time ? ,2/2/21,26,Tracetogether,26,2,-11.24773516,0,1,3,5.197047584,1,0,0
"Kinda feel bad for Tokyo having to put up with these protest, especially so when it got nothing to do with them or their gov",2/2/21,25,Tracetogether,25,1,-10.50307528,4,2,0,10.50364908,2,0,0
I am Thai and I support the protest against Myanmar coup in Bangkok.  fighting! 🇲🇲 🇹🇭,2/2/21,14,Tracetogether,14,1,-10.47820862,3,1,1,12.94484066,2,0,0
Please find and give justice to us. Please dont ignore myanmar current situation. Please force myanmar military to give up the coup.,2/2/21,22,Tracetogether,22,1,-11.93093396,4,1,0,7.671753384,1,0,0
"Don't even think of trying in Singapore, you will be great trouble. Our government don't allow such protest here",2/2/21,17,Tracetogether,19,1,-10.33186829,4,0,1,15.78779751,2,0,0
There are thousands of Burmese in Singapore. While we sympathise with you don't even try to break our law and protest.,2/2/21,20,Tracetogether,21,1,-10.37297006,5,1,3,12.5653509,2,0,0
We as a citizen of Myanmar not agree with the current move and would like to request the world leaders. UN and the world medias help our country- our leaders- our people - from this bitter acts.  We want democracy and want our country to develop as our nabouring countries.  #savemyanmar,2/2/21,49,Tracetogether,50,2,-10.98303641,8,3,2,4.137277198,0,0,0
"You should be ashamed of this information.  They are not Myanmar Citizen.  PHOTOS are wrong.  Our country is facing a military coup. But we are Fighting peacefully together.  Our elected president and leaders have been arrested, But we are protesting peacefully under the guidance of the leaders.  So if you not help,please do not spread false information ❌❌❌ 🚫🚫🚫 We oppose the unjust military junta ❌❌❌❌  🚫🚫🚫Immediately release the illegally arrested community leader 💯💯💯‼‼‼‼",2/2/21,71,Tracetogether,71,3,-10.72594125,21,3,4,4.254941487,0,1,1
Please research seriously before posting it The Straits Time You shouldn’t spread that kind of false information  Some are not the pictures from the event Shame on you,2/2/21,29,Tracetogether,28,2,-10.91210132,4,0,1,5.087460733,1,0,0
"Shame on you ''the straits times''. Stop spreading false news to the world. Photos  1,2,4 aren't Myanmar. We Myanmar only protested peacefully in other countries yesterday. We are already in our hardest time. If you don't want to help, you can step aside. But don't make our people to be wrongly framed by the world.",2/2/21,51,Tracetogether,57,3,-10.88790554,11,0,4,4.368026751,0,0,0
Go home and protest and not protest in other country.,2/2/21,10,Tracetogether,10,0,-9.302672807,1,1,0,16.27391506,2,0,0
"Shame on you The Straits Times. You don't have enough ethics to be a media.  You used wrong photos and wrong information.  You are the same with dictator. Military coup is global issue.  If you ignore it, it will spread into your country.  Don't be selfish.",2/2/21,44,Tracetogether,46,2,-10.0479101,9,1,3,5.087460733,1,0,1
Some photos are not related with the article. You should be ashamed of using wrong photos and giving the audience misleading information.,2/2/21,22,Tracetogether,22,1,-10.16839373,7,1,0,14.3765162,2,1,0
All Myanmar people working overseas should go back and fight as resistance!  It's time to show your support for your PM.  Forwarding Facebook posts will not help.,2/2/21,26,Tracetogether,27,2,-10.67040926,4,1,1,6.564974895,1,1,0
Very shame Straits Times to use the picture that wasn't from the event. Also very shame on people who called themselves democracy state member that scolding with policing judging Myanmar citizens who made noise about their country. They didn't even protests on your land lol,2/2/21,43,Tracetogether,45,2,-11.15112185,8,0,1,3.548797279,0,0,0
"we do not accept the newly appointed cabinet ministers appointed by the Commander-in-Chief Min Aung Hlaing. The current President of our country is U Win Myint. Declaring a state of emergency and handing over power without the order of President Win Myint is completely illegal. I do not accept the re-appointment of the government at all. I totally disagree. As results of the 2020 general election, we will hold the third session of parliament and accept the appointment of a new government.",2/2/21,79,Tracetogether,82,3,-10.7787563,13,2,2,2.161624948,0,0,0
Funny. They protest in other country. Not their own and created so much chaos. This is so wrong,2/2/21,18,Tracetogether,18,1,-9.647495389,3,1,0,22.87083564,3,0,0
"Amazing , i saw a lot of people who know more about our politics than we do under this post 😂 You all should thanks for not being human in our country.  Only we know how our people feel.  All you know is what the media tells you only .",2/2/21,47,Tracetogether,47,2,-9.786785573,11,0,7,6.225385716,1,1,0
"Dear people from all nations, We are very sorry if it is disturbing you. But we really need help to protect our rights.  #WeVotedNLD and always disliked both the speech and act of the military. We people have been against the despicable acts of the military and this time we think they(the military leaders) get what they deserve. They are not getting away with everything they have done over the years.  #HelpUs #HelpMyanmar #SavePeace We truly appreciate your help.",2/2/21,76,Tracetogether,76,3,-10.23581474,16,3,5,3.197282487,0,0,1
"Dear ppl of Myanmar, Spamming our ST comment section, does not help. Worse is it irritates ppl. Go To the western media and do it. They love anything that say ‘unrest in Other countries’.",2/2/21,34,Tracetogether,34,2,-11.8008474,7,1,1,6.225385716,1,0,1
"But why in Japan, Nepal and Thailand..  although millitary coup is wrong.. but shud not do demonstration in other people's country..",2/2/21,20,Tracetogether,21,1,-12.09402455,2,3,0,8.790257254,1,0,0
"All The Pictures Are Not True❗️ They Mixed Some Pictures Of Fights Between Thai Students And The Polices In Last Year Event in Thailand. Please, Don’t Mislead The Situations.",2/2/21,30,Tracetogether,29,2,-14.18962422,1,1,0,3.807099495,0,0,0
Mynmmar will forever not make progress if continue like this. they have so much natural resources and shd be on par with Thailand at this stage but with military continue like that they will be the poor cousin of Asia forever,2/2/21,41,Tracetogether,41,2,-10.7024326,5,3,0,5.197047584,1,0,1
Shame on you The Straits Times.Some of the people in these pics are not even Myanmar.They're from different event.U certainly shd not spread false information in this fragile state.,2/2/21,29,Tracetogether,32,2,-11.21384168,2,0,1,10.02810409,2,0,0
"If they protest and riot in other country, just revoke whatever immigration pass they hold and send then back to Myanmmar.",2/2/21,21,Tracetogether,21,1,-11.07505217,5,2,0,16.65822254,2,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
Shame on you The Straits Times. Why are you even using some old photos which has no relation with this posts? Have some media ethics 🤨,2/2/21,25,Tracetogether,25,1,-10.72310938,4,0,2,7.528648052,1,0,0
Shame on you The Straits Times! Your news is flawed. You used images of people who are not even Burmese from different events. Can you verify the authenticity of images before you publish anything? 👎👎👎👎👎,2/2/21,34,Tracetogether,34,2,-10.65335811,6,0,2,6.225385716,1,0,0
"We are fortunate in Singapore to NOT allow political protests by foreigners to upset our stability, peace and harmony. Live and work here yes but do not bring your chaos from home to our shores. Let the politicians in your homeland sort out their differences.",2/2/21,45,Tracetogether,45,2,-10.81336992,6,3,4,3.198986566,0,0,1
"Will screenshot all these posts. If that some of the photos are added from other protests, there will be a lawsuit on this. ",2/2/21,23,Tracetogether,23,1,-9.517556478,4,0,0,16.65822254,2,0,0
Very shame on you The Straits Times!!!! Some of these photos aren't from the current event.,2/2/21,15,Tracetogether,16,1,-10.49167561,1,0,1,12.94484066,2,0,0
"In Singapore, follow Singapore law hor. No such thing as protest for other countries...",2/2/21,14,Tracetogether,14,1,-11.5287044,1,0,0,9.268151054,1,0,0
"For all the citizen of 🇲🇲,  I strongly suggest all of you working in 🇸🇬, don't do foolish thing like protesting here, is not worth it as I believe all of you know the strict law in our country, the punishment will be very very harsh... Think Twice 🙏",2/2/21,45,Tracetogether,46,2,-9.964338451,8,0,3,8.790257254,1,0,0
This is a big misunderstanding!!! Photos No.1 2 4 are not Myanmar people! Myanmar people didn't protest by this way We 'Myanmar' in foreign countries only protest peacefully. We protested with permission from the Thai police station. Don't spread incorrect news!,2/2/21,37,Tracetogether,42,2,-11.08556534,8,0,1,4.695917837,0,0,0
"Shame on you The Starits Times ! Using the wrong photos which would make everyone misjudge about the situation.  Source of pic ( About two dozen riot police attempted to break up the protest, and clashed with Thai organisers who are part of the kingdom's own protests last year.  A police spokesman said a handful of people were detained for questioning after Thai protesters threw rocks and coloured smoke bombs.)   (Source -https://www.channelnewsasia.com/news/asia/myanmar-migrant-workers-thailand-protest-coup-14089210 ) Myanmar people in foreign countries are protesting peacefully but the people in the country can’t because we can’t let the Military use that as an excuse & claim  that they staged the coup as people are protesting ,making political unrest.",2/2/21,109,Tracetogether,109,4,-11.53448723,20,3,2,1.235289925,0,0,0
"Dear people from all nations,  Myanmar military detained our democratically elected leaders including our state councellor Daw Aung San Su Kyi today. We are being cut off all the telecommunications and broadcasting, currently only connection is through WIFI and not sure when it will be get cut off as well.This is offending the human rights. #Save_Myanmar #Regect_the_Military #We_need_democracy #AungSanSuuKyi_government #crd",2/2/21,54,Tracetogether,56,3,-12.68291937,13,2,1,2.86979634,0,0,0
pls don't cause nuisance in SG THKS,2/2/21,6,Tracetogether,7,0,-15.30773895,0,0,0,16.65822254,2,0,0
#thestraitstimes #usingfakephotos  #wronginformation   Take down this false news with unauthentic images or the next turn around when myanmar situation change. Your media will last with lot of flaws and untrustworthy.  Take action for what u have done wrongly,2/2/21,35,Tracetogether,35,2,-12.39082257,4,4,0,4.277923393,0,0,0
Why protesting in other countries? This is coward. You should all unite and go back to your own country and show solidarity.,2/2/21,22,Tracetogether,22,1,-9.954524455,3,1,1,16.65822254,2,1,0
Go home and protest at home.,2/2/21,6,Tracetogether,6,0,-9.802622873,0,1,0,18.94237036,2,0,0
"For those who are asking why they have to protest in other countries, we are not making fuss. As the citizens of Myanmar, we're just doing as much as we can because we have suffered more than enough from the military juntas' despicable actions. We are not making fuss and we sincerely don't want to cause problems to you. We just need justice!! And I hope you could understand us even if you interest it or not. But please just don't blame! I heard that all Myanmar people protested peacefully!  (I'm sorry if there's any mistake in my letter as I'm not that much efficient in English. I just can't stay calm after seeing some people are blaming without knowing exactly what is happening to us. It's so heartbreaking. So I just speak my mind.)",2/2/21,127,Tracetogether,135,4,-10.22984012,29,7,9,3.431351714,0,0,1
"Shame on you ST 👎🏼👎🏼👎🏼  Your news are quite misleading. 😠 Don’t drag down our image with your unverified photos. We’re saddened, frustrated, distressed and encountering such difficult time in Myanmar. Be responsible for what you did.",2/2/21,37,Tracetogether,35,2,-11.73041005,7,1,5,5.807180241,1,0,0
"Shame on you The Straits Time. Please work professionally. If you want to report such kind of politic news, dont be lazy . Dont just googling and post like misleading information by using other mix pictures of the other separate cases.  You may think it is just a post. It is not a small effect to us. Please have a pride on your logo at least.",2/2/21,65,Tracetogether,65,3,-10.62167928,11,1,3,3.454069854,0,0,0
"The Straits Times can you please stop spreading false news??? People from other countries might misunderstand because of your post. At this moment,people really need to know the real situation of our country. So please help us by not spreading false news!!!! #We_need_democracy",2/2/21,43,Tracetogether,43,2,-10.70297353,9,0,4,5.923027415,1,0,0
Don’t even think about it in Singapore. 😡,2/2/21,8,Tracetogether,7,0,-9.767887078,1,0,0,33.98400183,3,0,0
So glad that street protests and demonstrations is NOT allowed in Singapore. ,2/2/21,12,Tracetogether,12,1,-11.21958004,2,1,0,12.5653509,2,0,0
"Myanmar has been backward in development for  so many years, perhaps it is time for others, like the military, to take over and run the country, for progress.  SK already has her chance but didnt achieve much.",2/2/21,37,Tracetogether,37,2,-10.18573935,7,2,0,6.279548281,1,0,0
it is totally false information with the wrong photos including violence we peacefully and systematically do our protest activities  We know there's covid statement in all countries  Please search the right news and believe we dun do such kind of things,2/2/21,40,Tracetogether,41,2,-11.10736558,8,1,2,5.087460733,1,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,31,Tracetogether,34,2,-13.49004034,5,0,1,3.919268106,0,0,0
"🛑For those who misunderstanding Daw Aung San Suu Kyi coz of rohingya crisis📌📌📌  Media has painted her as a villian, for not speaking up against the Burmese military in the rohingya conflict. Some accused her l, that the power corrupted her. Some accused her for genocide. Media had a feast. And today, This is the testament and proof that she never had that power. The military does NOT report to her. It cannot be clearer who has been trigger-happy behind all thess astrocities. Crd William Wai Aung",2/2/21,86,Tracetogether,87,3,-11.78690489,16,1,0,2.074166465,0,0,0
It’s not Myanmar!We don’t make violent action 🥺,2/2/21,10,Tracetogether,8,0,-10.75212061,2,0,1,22.87083564,3,0,0
"Hey Guys....The 1st, 2nd, and 4th photos are not from the real protests. 😃 I don't know the reason why are you using these old photos which have no relation with the cases that are happening in Myanmar...  Please don't spread wrong information I wish *HAVE SOME MEDIA ETHICS* 🙏🏻",2/2/21,44,Tracetogether,49,2,-11.45526471,12,1,2,4.054284795,0,0,0
You protest to other people country for what ah? What can they do? Why angry with your host country police or military ah? Whats the point?,2/2/21,26,Tracetogether,26,2,-10.42362962,4,1,1,8.755913857,1,0,0
Shame on you The Straits Times. Mixing up real Myanmar photos with other local thai clash news ? Is that what you call your media ethic ? Any respectable local media from Tokyo report that ? #ShameOnYouStraitsTime,2/2/21,33,Tracetogether,33,2,-11.83998442,3,0,3,4.137277198,0,0,0
"We need help and support from international organizations. As citizens, we can't accept this unfairness for our generations, for us, for peace of all.  #Help_and_Support_our_Leader_Aung_San_Suu_Kyi #We_need_Democracy",2/2/21,23,Tracetogether,24,1,-10.96058956,3,1,3,8.790257254,1,0,0
This is a big misunderstanding!!! Photos No.1 2 4 are not Myanmar people! Myanmar people didn't protest by this way We 'Myanmar' in foreign countries only protest peacefully. We protested with permission from the Thai police station. Don't spread incorrect news!,2/2/21,37,Tracetogether,42,2,-11.08556534,8,0,1,4.695917837,0,0,0
"Yesterday,Myanmar people  from foreign country peacefully support to the leaders of democracy .This news may not be the true.",2/2/21,20,Tracetogether,20,1,-10.08922467,2,0,0,8.790257254,1,0,0
"Photo no. 1,2 and 4 are Thai people protesting in Bangkok. The remaining pictures are the Burmese people peacefully protesting in respective areas.  Don't confuse others via your news. Shame on you!!!",2/2/21,29,Tracetogether,33,2,-11.14420332,5,1,1,6.930280885,1,0,0
"Strait time, do your research properly. Don’t mix wrong photos, take pictures out of contexts to come to your own conclusion that resonate with your beliefs. Aren’t you a newspaper, aren’t you supposed to be unbiased and double, triple checked your facts and contents before publishing? What’s the point of sowing contempts and spreading misinformation when you don’t even understand the root of the problem. Can you even call yourself a newspaper? What happened to the journalism integrity?Everyone is protesting peacefully, following the rules and regulations of the countries they are in. No one is even protesting in your country, so don’t get involved. No one dares to protest in your country which lacks freedom of speech and freedom to voices one’s own opinions. And again, do proper research that’s befitting of a ‘national’ newspaper. If not, take a seat and stay out of this.",2/2/21,154,Tracetogether,146,4,-10.75676606,28,6,9,1.249125894,0,0,1
Very shame on you The Straits Times to use the picture that wasn't from the current event.,2/2/21,16,Tracetogether,17,1,-10.12181179,2,0,1,12.94484066,2,0,0
"Massive shame on you The Straits Times‼️ if you don’t know what exact situations in Myanmar, you better not upload this photos. Our country need help and support from all of you. It is okay not to help if you don’t want to but don’t mislead the situations. All of the Myanmar citizens were in their home and trying to stay clam.  ",2/2/21,65,Tracetogether,62,3,-10.24192464,12,5,2,4.024469591,0,0,0
So The Straits Times posted some random photos which are unrelated to actual protests and creates chaos among Myanmar ppl and others.. 👎🏻👎🏻👎🏻,2/2/21,22,Tracetogether,22,1,-11.98608535,3,1,0,6.422261588,1,0,1
We are now peacefully protesting the military government with civil disobedience. Don't foolishly believe what media want to show. ,2/2/21,18,Tracetogether,19,1,-10.85971959,5,0,0,22.34082397,3,0,1
"Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than . Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,88,Tracetogether,93,3,-11.76754006,13,2,5,2.070785658,0,0,0
"Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than . Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2/2/21,88,Tracetogether,93,3,-11.76754006,13,2,5,2.070785658,0,0,0
"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar"" . Pls check and correct.",2/2/21,17,Tracetogether,20,1,-11.88078569,2,1,0,7.083926443,1,0,0
Very shame Straits Times to use the picture that wasn't from the event.,2/2/21,12,Tracetogether,13,1,-10.46403473,2,0,0,16.65822254,2,0,0
"Don't make people confuse by showing Thai Protectors by the name of Myanmar! The violent demonstrating pictures are the pictures of Thai People protested against their own Military Government.We,the people of Myanmar demonstrate our voices peacefully!",2/2/21,35,Tracetogether,38,2,-11.65525193,6,0,2,5.202366646,1,0,0
"Gosh, you need to investigate if the reuters are giving you the right pictures or they're getting away with the money using the old ones",2/2/21,24,Tracetogether,25,1,-10.56410091,7,2,1,12.94484066,2,0,0
"It is not like that.We are not violent because we are being persecuted under our junta. Last night, our junta forcibly took away our newly formed party to form a new democracy.All our people will not only be evil but also fall under the greedy junta. Our country was overthrown with their weapons.",2/2/21,51,Tracetogether,55,3,-10.82602699,13,2,3,7.691741506,1,0,1
"I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd",2/2/21,104,Tracetogether,107,4,-11.38423457,11,3,2,1.712083637,0,0,1
"🇲🇲🇲🇲🇲🇲Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than, please we are all need to help all of your country 🙏🙏🙏 please",2/2/21,69,Tracetogether,71,3,-10.5660397,11,2,4,3.830292512,0,0,0
This is so wrong.you should check real sources as a true media.,2/2/21,11,Tracetogether,13,1,-9.964764714,2,0,1,34.97657075,3,1,0
