,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
10,Reusable Face Mask,2387921215292245586,2020-08-31 14:01:27,maskon__sg,"Photo by Reusable Face Mask on August 31, 2020.","Comfortable. Convenient. Classy.⁠
⁠
Our breathable face masks offer everything you seek! Grab yours today!⁠
⁠
⁠
#AlwaysMaskOn #MaskOn😷⁠",,20,2
11,LIVFIT WITH LAILA ✨,2387921055320572354,2020-08-31 13:59:54,laila_izyan,Photo by LIVFIT WITH LAILA ✨ in Wakuwaku Yakiniku. May be an image of 2 people.,"TRANSFORMATION 23.3KG
MasyaAllah TabarakkAllah I truly grateful for my old self yang berani buat keputusan to change for good. I worked on myself. Alhamdulillah for the nikmat in ideal weight🙏🏼
.
If you want to do it, do it at 500%! You will thank yourself in future ❤️
.
Simple jerr diet ni bila ada complete meal plan dengan program yang besttt! Online pulak tu 🤩
.
LIMITED SEPTEMBER SLOTS! 
GRAB NOW 🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
🧚🏼‍♀️The advantage plan 👇🏼
.
💋 Latest meal plan + recipes
💋 Workout combo
💋 Dieting topics
💋 1-On-1 Coaching with Coach Laila
💋 Support group
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Wakuwaku Yakiniku,3,1
12,LIVFIT WITH LAILA ✨,2387920336500597606,2020-08-31 13:58:40,laila_izyan,,"All is happening NOW. Nak kurus pon is NOW action. If NOW makan untuk slim, InsyaAllah your future akan slim. If NOW makan untuk besar, pandai2 la estimate your future size 🙏🏼
.
Selamat malam ! 💕
#lailadietclass101 #teamlailaizyan",Universal Studios Singapore,0,1
13,LIVFIT WITH LAILA ✨,2387919294191023932,2020-08-31 13:56:24,laila_izyan,Photo by LIVFIT WITH LAILA ✨ in Tang Tea House.,"TRANSFORMATION 12.7KG
In one month anything can happen. Dari solat di kerusi now boleh solat berdiri. Alhamdulillah ❤️Thank you kak liza for this inspiration 🙏🏼
.
Simple jerr diet ni bila ada complete meal plan dengan program yang besttt! Online pulak tu 🤩
.
LIMITED SEPTEMBER SLOTS! 
GRAB NOW🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
🧚🏼‍♀️The advantage plan 👇🏼
.
💋 Latest meal plan + recipes
💋 Workout combo
💋 Dieting topics
💋 1-On-1 Coaching with Coach Laila
💋 Support group
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Tang Tea House,6,1
14,LIVFIT WITH LAILA ✨,2387916559764852026,2020-08-31 13:51:11,laila_izyan,,"CALORIES & QUALITY! 
Don’t rely on calories only.. completekan  macro & micro nutrients dulu baru la boleh turun berat dengan baik 💪🏼
📸 infostache.com
.
Good night! 🧚🏼‍♀️
#lailadietclass101 #teamlailaizyan",Masjid Al-Mawaddah,1,1
15,LIVFIT WITH LAILA ✨,2387911214929735440,2020-08-31 13:41:32,laila_izyan,,"GIVE YOURSELF TIME
Succes is not because we do a thing... but how we do a thing in the “certain way” .. when we learn to do a thing in CERTAIN WAY.. all of process become a law.. like the law of creation. be fair to yourself. before this how long have you committed to ‘gain weight’? years of yearsss commitment😖
.
but.. why now when you just started learn how to live healthily and start to ‘lose weight’, you easily give in to life critics, challenges and many more?
.
Dream slim! 🧚🏼‍♀️
#lailadietclass101 #teamlailaizyan",Duck Store 71 Haji Lane,0,1
16,D for Dough 🇸🇬,2387905900378445771,2020-08-31 13:29:47,dfordough,"Photo by D for Dough 🇸🇬 on August 31, 2020.","Proud to have conceptualised this giftset together with @kavantsharart, award winning jeweler based in Bangkok, to bring this gift of joy to their valued customers in Singapore!

Spent hours discussing the best choice of baked items and plowed through the entire People's Park Complex to source for the right material! We were delighted when we found this fabric that perfectly matched our baked items! 😁

Talk to us to customize a truly unique giftset for your loved & valued ones!

#giftset #kavantsharart #furoshiki #furoshikiwrap #corporategift #giftset #bundleofjoy #sgbakes #8dayseat #straitstimesfood #supportlocalsg #8dayseat #singaporeinsiders #sgfoodtrend #foodporn #cookieporn #cookie #basquecheesecake #sgfoodporn #sgbakes #sgbake #sgbakers #sgfoodies #sgfoodtrend #sgfoodporn #sgfoodporn #sgeats #dessertsg #bakingsg #bakingfromscratch #circuitbreakersg",,61,4
17,NFFITNESSSG,2387878894931048856,2020-08-31 12:36:08,nffitnesssg,Photo by NFFITNESSSG in True Fitness Velocity.,"Working out at TF gym @ Velocity today !
.
Hey peeps do remember to continue getting your sports / bodybuilding supplements from us @ Carousell: nffitnesssg !
.
Our link : https://carousell.com/nffitnesssg
.
#selfietime #sgunited #truefitness #yoloswag #circuitbreakersg #labradanutrition #backtogym #sgfitness #sgboys #cutlernutrition #youngatheart #universalnutrition #optimumnutrition #hydroxycut #bsnnutrition #gymmotivation #keepfit #nffitnesssg #versace #muscletech #musclepharm #thuglife #sportsnutrition #animalcuts #cellucor #blenderbottle #perfectshaker #versagripps #hydrowhey #caffeinefree",True Fitness Velocity,6,1
18,PomadeMart,2387866388178937964,2020-08-31 12:11:17,pomademart,Photo by PomadeMart in True Fitness Velocity.,"Working out at TF gym @ Velocity today !
.
Hey peeps do remember to continue getting your sports / bodybuilding supplements from us @ Carousell: nffitnesssg !
.
Our link : https://carousell.com/nffitnesssg
.
#selfietime #sgunited #truefitness #yoloswag #circuitbreakersg #labradanutrition #backtogym #sgfitness #sgboys #cutlernutrition #youngatheart #universalnutrition #optimumnutrition #hydroxycut #bsnnutrition #gymmotivation #keepfit #nffitnesssg #versace #muscletech #musclepharm #thuglife #sportsnutrition #animalcuts #cellucor #blenderbottle #perfectshaker #versagripps #hydrowhey #caffeinefree",True Fitness Velocity,5,1
19,#SGB • All About Singapore,2387860730541361731,2020-08-31 12:00:02,singaporeguidebook,Photo by #SGB • All About Singapore in Potato Head Singapore with @elysabethyohana.,"24 HOURS GIVEAWAY🔥🔥🔥

🥳Proudly Present: UJAME GAJA x SGB Giveaway Collaboration! Yuk menangin Gopay/OVO senilai IDR 150.000 untuk masing masing 2 pemenang! Caranya super gampang, kamu tinggal ikuti rules berikut ini😚✌🏻

1. Follow @ujamegaja & @singaporeguidebook
2. Follow our sisters @malaysiaguidebook @thailandguidebook @koreaguidebook @tokyoguidebook
3. Like post ini
4. Tag 5 friends di kolom komentar 

🌟Pemenangnya akan diundi secara acak dari postingan giveaway Ujame Gaja & Singapore Guidebook. Dan catat, pemenang akan diumumkan Besok (1 September 2020) pukul 21.00 di Instagram Story SGB. Tunggu apalagi? Try your luck! 💓
.
Photo by: @elysabethyohana 
#TravelWithSGB
#SGBGiveaway",Potato Head Singapore,2036,384
20,Orchid Live Seafood,2387675733257130246,2020-08-31 05:52:29,orchidliveseafood,"Photo shared by Orchid Live Seafood on August 30, 2020 tagging @orchidliveseafood.","Good news must share😁
>> Swipe to find out what we have for you! >> 

(Promo valid for dine-in at HomeTeamNS Khatib only, till 30th September 2020.)",Orchid Live Seafood Restaurant,13,1
21,Wacky Pins Collection,2387864643676576046,2020-08-31 12:07:49,wackypins,Photo by Wacky Pins Collection in True Fitness Velocity.,"Working out at TF gym @ Velocity today !
.
Hey peeps do remember to continue getting your sports / bodybuilding supplements from us @ Carousell: nffitnesssg !
.
Our link : https://carousell.com/nffitnesssg
.
#selfietime #sgunited #truefitness #yoloswag #circuitbreakersg #labradanutrition #backtogym #sgfitness #sgboys #cutlernutrition #youngatheart #universalnutrition #optimumnutrition #hydroxycut #bsnnutrition #gymmotivation #keepfit #nffitnesssg #versace #muscletech #musclepharm #thuglife #sportsnutrition #animalcuts #cellucor #blenderbottle #perfectshaker #versagripps #hydrowhey #caffeinefree",True Fitness Velocity,4,0
22,No Frills Factory Outlet,2387842711719728454,2020-08-31 11:24:14,nofrillsfactoryoutlet,Photo by No Frills Factory Outlet in True Fitness Velocity.,"Working out at TF gym @ Velocity today !
.
Hey peeps do remember to continue getting your sports / bodybuilding supplements from us @ Carousell: nffitnesssg !
.
Our link : https://carousell.com/nffitnesssg
.
#selfietime #sgunited #truefitness #yoloswag #circuitbreakersg #labradanutrition #backtogym #sgfitness #sgboys #cutlernutrition #youngatheart #universalnutrition #optimumnutrition #hydroxycut #bsnnutrition #gymmotivation #keepfit #nffitnesssg #versace #muscletech #musclepharm #thuglife #sportsnutrition #animalcuts #cellucor #blenderbottle #perfectshaker #versagripps #hydrowhey #caffeinefree",True Fitness Velocity,5,1
23,hourboutiqueSG,2387836517763829101,2020-08-31 11:11:56,hourboutiquesg,"Photo by hourboutiqueSG on August 31, 2020. May be an image of text that says '2 22 20 21 4 Grand OS Seiko 0 6 18 15 HI-BEANIT I 16 00 APAN. I 12 10 HOUR BOUT BOUTIQUE QUE (S) PTE LTD'.","Grand Seiko Hi-Beat GMT Green
SBGJ239
__________________________________
SGD7980
____________________________________
#hourboutiquesg #seiko #grandseiko  #madeinjapan #sbgj239 #hibeat #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,113,3
24,La Petite Cuisine,2387804195124977536,2020-08-31 10:07:43,lapetite_cuisine.sg,"Photo by La Petite Cuisine on August 31, 2020.","See you tomorrow.
.
Yes, we are OPEN! Lunch (11:30am - 2:15pm) and dinner (5:30pm - 9:15pm) from Tuesday to Sunday.
.
Call 6314 3173 for reservation
.
Located at No. 10 Jalan Serene #01-02 Serene Centre Singapore 258748
.
Looking forward to welcome all of you and of course with safe distancing measures in place.
.
Takeaway is still available 🙂
.
À bientôt!
.
.
#frenchfood #instafood #restaurant #frenchcuisine #foodstagram #foodphotography #frenchrestaurant #foodlover #foodblogger #gastronomy #gourmet #fooddelivery #lapetitesingapore #frenchbistro #takeaway #menubento #bentoboxlunch #takeawayfood #islandwidedelivery #circuitbreakersg #foodsofinstagram #foodpicsdaily #delicious #foodgasm #foodie #yummy #instafoodgram #foodpornsg",,5,1
25,Albert,2387800603842787889,2020-08-31 10:00:35,albertlee.nf,Photo by Albert in True Fitness Velocity.,"Working out at TF gym @ Velocity today !
.
Hey peeps do remember to continue getting your sports / bodybuilding supplements from us @ Carousell: nffitnesssg !
.
Our link : https://carousell.com/nffitnesssg
.
#selfietime #sgunited #truefitness #yoloswag #circuitbreakersg #labradanutrition #backtogym #sgfitness #sgboys #cutlernutrition #youngatheart #universalnutrition #optimumnutrition #hydroxycut #bsnnutrition #gymmotivation #keepfit #nffitnesssg #versace #muscletech #musclepharm #thuglife #sportsnutrition #animalcuts #cellucor #blenderbottle #perfectshaker #versagripps #hydrowhey #caffeinefree",True Fitness Velocity,4,0
26,wendy low,2387797824287587512,2020-08-31 09:55:03,grouchytigeress,"Photo by wendy low on August 31, 2020.","Stay at home meal, simple food for the day :) 🥬🧄🧅🍳🥢🐂🥩
#homecooking 
#asianfood 
#circuitbreakersg 
#comfortfood #sg",,23,0
27,Fatimah Mahmud,2387796338462321092,2020-08-31 09:52:06,slimfit_with_fatimah,"Photo by Fatimah Mahmud on August 31, 2020.","ORGAN DLM BADAN
.
Usus merupakan organ penting dalam badan.
.
Usus yg tidak dijaga dgn baik akan menyebabkan toksin berkumpul di dalam nya dan mendatangkan masaalah.
.
Oleh itu jaga lah usus kita.. berikan makanan yg baik2 pd cells2 dlm badan kita supaya usus kita pun terpelihara
.
Makanan terbaik tuu mcmana?
🔰Tinggi nutrisi
🔰Tidak berlemak
🔰GI rendah
🔰Rendah gula
.
Selain diet yg sihat, banyak lagi ilmu yg kita bole dpt bila join Group-Coaching ini.
.
JOM join Sept Intake program, kita kurus dgn pemakanan sihat, tak akan cengkung tapi tetap anggun.",,4,1
28,Orangey Hu,2387787997058531599,2020-08-31 09:35:32,orangejimbo,"Photo shared by Orangey Hu on August 31, 2020 tagging @jimborange, and @justinkwokodax.",31.08.20 Lunch - Egg omelette rice vermicelli soup that the 👧🏻 who loves it so much and that she had 2 big servings. She didn’t even waited to dry her hair cause she claimed the aroma from the soup is making her really hungry 😂 That explains the wet hair scenario in the video 😅 #whaticook #whatimade #homecook #homemade #lunch #ricevermicellisoup #stayhome #circuitbreakersg #橘子麻麻的廚房 #自己做 #自己煮 #午餐 #米粉湯 #煮婦人生 #防疫 #隔離生活,,8,0
29,❀ 愛 ❀,2387767537041914205,2020-08-31 08:54:53,tweetification,Photo by ❀ 愛 ❀ in Jewel Bridge @ Sunset Strip. May be an image of text that says '月 @tweetification'.,": Breezy day to stroll a 7km trail! 
꧂ 𝔸𝕦𝕘𝕦𝕤𝕥
#jewelbridge #jewelbridgeatsunsetstrip #northeasternriverineloop #exploringsingapore #naturewalk #mysingapore #gardencity #majulahsingapura #sgig #singaporetogether #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg #insta360onex #insta3601xsg #insta360singapore #insta360sg #tinyplanet #360photography #ai20loveones #ai20cuzzie #ai20lifestyle #ai20in2020  #photooftheday #picoftheday #snapshot #instagood #moment #ihavethisthingwithcolor",Jewel Bridge @ Sunset Strip,10,0
30,❀ 愛 ❀,2387767234305278691,2020-08-31 08:54:17,tweetification,Photo by ❀ 愛 ❀ in Jewel Bridge @ Sunset Strip.,": Breezy day to stroll a 7km trail! 
꧂ 𝔸𝕦𝕘𝕦𝕤𝕥
#jewelbridge #jewelbridgeatsunsetstrip #northeasternriverineloop #exploringsingapore #naturewalk #mysingapore #gardencity #majulahsingapura #sgig #singaporetogether #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg #insta360onex #insta3601xsg #insta360singapore #insta360sg #tinyplanet #360photography #ai20loveones #ai20cuzzie #ai20lifestyle #ai20in2020  #photooftheday #picoftheday #snapshot #instagood #moment #ihavethisthingwithcolor",Jewel Bridge @ Sunset Strip,10,0
31,❀ 愛 ❀,2387766946391559479,2020-08-31 08:53:43,tweetification,Photo by ❀ 愛 ❀ in Jewel Bridge @ Sunset Strip.,": Breezy day to stroll a 7km trail! 
꧂ 𝔸𝕦𝕘𝕦𝕤𝕥
#jewelbridge #jewelbridgeatsunsetstrip #northeasternriverineloop #exploringsingapore #naturewalk #mysingapore #gardencity #majulahsingapura #sgig #singaporetogether #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg #insta360onex #insta3601xsg #insta360singapore #insta360sg #tinyplanet #360photography #ai20loveones #ai20cuzzie #ai20lifestyle #ai20in2020  #photooftheday #picoftheday #snapshot #instagood #moment #ihavethisthingwithcolor",Jewel Bridge @ Sunset Strip,10,0
32,Masketeers SG,2387763494228139811,2020-08-31 08:46:51,masketeerssg,"Photo by Masketeers SG on August 31, 2020. May be an image of text that says 'MasketeersSG'.","🎶 Sunny day! Sweeping the clouds away! On my way to where the air is sweet! Can you tell me how to get! How to get to sesame street!"" 🎶 these masks will get you there!! 

Shop link in bio: www.etsy.com/shop/masksmadewithlovesg 

#MasketeersSG #igsg #circuitbreaker #circuitbreakersg #sesamestreet #sesamestreetmask #elmo #elmomask #mask #masks #masksg #masksforsale",,23,1
33,Masketeers SG,2387762047445044930,2020-08-31 08:43:59,masketeerssg,"Photo by Masketeers SG on August 31, 2020. May be an image of text that says 'MasketeersSG'.","classic and stylish Hello Kitty masks for the japanese cat lovers in us! 

Shop link in bio: www.etsy.com/shop/masksmadewithlovesg 

#MasketeersSG #igsg #circuitbreaker #circuitbreakersg #hellokitty #hello #kitty #hellokittymask #mask #masks #masksg #masksforsale",,23,0
34,Masketeers SG,2387760640524415052,2020-08-31 08:41:11,masketeerssg,"Photo by Masketeers SG on August 31, 2020.","How adorable are these Sanrio character print masks!! Gudetama the notoriously lazy egg, and Bad Badtz Maru the supercool penguin! 

Shop link in bio: www.etsy.com/shop/masksmadewithlovesg 

#MasketeersSG #igsg #circuitbreaker #circuitbreakersg #gudetama #gudetamamask #badbatzmaru #badbatzmarumask #sanriomask #mask #masks #masksg #masksforsale",,17,0
35,Masketeers SG,2387759454308182452,2020-08-31 08:38:49,masketeerssg,"Photo by Masketeers SG on August 31, 2020. May be an image of text that says 'MasketeersSG'.","""Banana!!"" New fun minion masks freshly launched in stores today!

Shop link in bio: www.etsy.com/shop/masksmadewithlovesg 

#MasketeersSG #igsg #circuitbreaker #circuitbreakersg #minions #minionmask #mask #masks #masksg #masksforsale",,11,0
36,Masketeers SG,2387758348412858179,2020-08-31 08:36:38,masketeerssg,"Photo by Masketeers SG on August 31, 2020.","Its Snoopy Town in our store today!! find your favourite Peanuts comic characters like Snoopy, Charlie Brown, and Patty at play and in masks as well in these new designs! 

Shop link in bio: www.etsy.com/shop/masksmadewithlovesg 

#MasketeersSG #igsg #circuitbreaker #circuitbreakersg #snoopy #charliebrown #snoopymask #mask #masks #masksg #masksforsale",,14,0
37,🍀🌻🌸Juewee🌸🌻🍀,2387755501495495978,2020-08-31 08:30:58,limjuewee,"Photo by 🍀🌻🌸Juewee🌸🌻🍀 on August 31, 2020. May be an image of 1 person.","🌈Sun shining through the curtains as you wake. A soft rain falling. Leaf buds opening to spring. A cuckoo calling. Here’s happiness. 🌈 Eversince we started working from home, I now prefer cloudy or light drizzling weather to hot sunny afternoons! As much as I miss face-to-face interactions with my colleagues and friends, I have somehow grown so used to the current lifestyle. I wonder if I will get used to the daily commuting (standing on train) to office, late dinners, insufficient sleep etc. 🤣 For now, let’s all enjoy the work life balance and whatever life throws at us now. ❤️ Today I made baked luncheon meat fries packed in prata skin! 🤩 And I didn’t want to waste the egg wash so I made shredded fried eggs too. 😋😋😋 Oh I tried to create a wooden table texture with my chocolate syrup but not that obvious. 🤣Happy Monday and happy week! 🌻🌻🌻
#happyquote 
#jwmiwa
#staycalmandwfh
#circuitbreaker
#circuitbreakersg
#stayhomesg
#sgunited
#breakfast 
#jwmiwabreakfast
#いただきます
#チョコペンアート
#homecafe
#instaworthyfood 
#chocolateart
#funwithfood 
#funfood
#sgfood 
#foodplating
#foodart
#chocolatepainting
#foodstylings #spamfries #luncheonmeatfries #prataskin #starbucksathome",,21,3
38,LIVFIT WITH LAILA ✨,2387753563197391003,2020-08-31 08:28:02,laila_izyan,,"Best times to drink water! Selamat mencuba guys 🥤 Dah cuba.. stay consistent! Istiqamah 🙏🏼
.
Good evening 💕
#lailadietclass101 #teamlailaizyan",Waterway Point,3,1
39,Andes Bakerea,2387752356521823493,2020-08-31 08:24:43,andes.bakerea,"Photo by Andes Bakerea on August 31, 2020.",Beating the Monday blues with our Black Sesame and Matcha mochi muffins. Served alongside a cup of strong cold brew coffee to keep us going for the rest of the day. The perfect midday pick me up!,,16,1
40,Susucre,2387748921018369210,2020-08-31 08:17:54,susucre_cakes,"Photo by Susucre on August 31, 2020.",Indian Inspiration...wedding cake by www.susucre.net,,23,1
41,🍀🌻🌸Juewee🌸🌻🍀,2387743881033581644,2020-08-31 08:07:53,limjuewee,"Photo shared by 🍀🌻🌸Juewee🌸🌻🍀 on August 31, 2020 tagging @upzcycl3d. May be an image of 2 people.","🌻You have not lived a perfect day, even though you have earned your money, unless you have done something for someone who will never be able to repay you. 🌻 Giving is not easy but is very fulfilling. Often, you will realize you gain more in return (perhaps in other ways) by giving without expectations. Alternatively, let’s start by staying kind. ❤️ Sunday was a bright sunny day, and I think it will be perfect day to view Mt Fuji. I miss my time in Japan especially the short stint in Tokyo 3 years ago. I wonder how have my classmates been? A short period of fate brought us together from different parts of the world. Always grateful for that break and the biggest takeaway: 天下没有不散之筵席. I’ll think of them at times and hope everyone is doing fine! So on Sunday, I did what I’m best at: Shopping for hours in my Mt Fuji mask- from Northpoint city to Causeway point. ❤️ 
#happyquote 
#jwmiwa
#circuitbreaker
#circuitbreakersg
#sgunited
#breakfast 
#jwmiwabreakfast
#いただきます",,15,0
42,🍀🌻🌸Juewee🌸🌻🍀,2387727305647582798,2020-08-31 07:34:57,limjuewee,"Photo by 🍀🌻🌸Juewee🌸🌻🍀 on August 31, 2020. May be an image of 8 people.","🍃Existence is a strange bargain. Life owes us little; we owe it everything. The only true happiness comes from squandering ourselves for a purpose. 🍃 What is true happiness to you? Happiness is spending time with loved ones. My Saturday was fun spending time with my nieces and family even though we spent hours just hanging out at Seletar Mall and shopping in Uniqlo. 🤣 ❤️ Oh we finally completed our sewing. 
#happyquote 
#jwmiwa
#circuitbreaker
#circuitbreakersg
#sgunited
#いただきます",,13,0
43,Coach Nisa•LOSE WEIGHT ONLINE,2387721055914759373,2020-08-31 07:22:32,healthyjourney.nisa,Photo by Coach Nisa•LOSE WEIGHT ONLINE in Jewel. May be an image of text that says 'Belum cuba Belum tahuuu... u Read Caption Register now! #Nomorelater @healthyjourney.nisa'.,"Huh? Diet online? 
Boleh ke ni kurus melalui online je ? 

YES .. BOOOLEH! Saya confident boleh sebab ... saya pun diet melalui online coaching sahaja! 

Senang! Tak perlu nak meet up for anything. 
Ikut sahaja guide yang diberi, recipes, dan workout pun boleh buat dimana sahaja anda beradaaaa 🤩 

Senang kan? 
Apa lagi tunggu? Jom join! 🤩

🍃 Register for September intake🍃

📱Slide in my DM / Whatsapp at 90277422
Link in bio!

About programe:
✏100% Online Coaching
✏ Meal Plan + Recipes
✏ Eat 5 meals a day
✏ Online workout combo
✏ Knowledge on dieting
✏ Online group support

🎈 TAG YOUR PARTNER 🎈

#jomkurus #singapore #diet #Sihat #supportlocal #wfh #halalfoodsingapore #weddingsg #malaybridalsg #FitnessSg #hantarankawin #warna942 #pengantinsg #muishalalcertified #togetherstrongersg #beritahariansg #activesg #workoutfromhome #sgunited #Suria #healthysingapore #workingmum #Diet #onlinediet #circuitbreakersg #mediacorp_suria #nakkurus #healthyjourneynisa #mummysg",Jewel,4,0
