,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
10,YN Wong,2297900461971412060,2020-04-29 09:05:03,ynwong,Photo by YN Wong in Singapore. May be an image of 1 person.,"旧图新发，农历四月初七。 #mbs #marinabaysands 

#sg #singapore #cb #circuitbreaker #circuitbreakersg  #stayhome #stayhomesg #staysafe #staysafesg #stayhomestaysafe #stayhomestaysafesg #day 23",Singapore,3,2
11,PSLE Eng Math Science,2379211162100675897,2020-08-19 13:34:54,teacher_trelyn,Photo by PSLE Eng Math Science in Singapore. May be an image of text that says 'NETFLIX MOVIES ON-DEMAND Spotify MUSIC ON-DEMAND TEACHER TRELYN CUSTOMISED TUITION TUITION ON-DEMAND'.,"Launch of teachertrelyn.com 

PSLE Science lessons by tutor with over 20 years of teaching experience is now available on videos.

In line with the precautionary measure of social distancing, Videos can be watched at home.

Worksheets with answers to reinforce understanding of concepts from the videos are also available.

ALL PRICED AT $2! 

With PSLE in 5 weeks, I hope these materials can help you and your child prepare for the exams better. All the best and stay healthy!

More information at teachertrelyn.com",Singapore,40,4
12,Anthea,2321810681560361551,2020-06-01 08:50:23,antsssy,"Photo shared by Anthea on June 01, 2020 tagging @vncntl.","1st June 2020 - Today marks the end of the Circuit Breaker! Yayyy! Although I have been working from home since 11 Feb and I’m currently doing my confinement at home so I can’t leave house yet (So no difference to me) 😂
.
.
.
.
#sgmummies #sgmom #sgdad #pregnant #pregnancyphotoshoot #circuitbreakersg",,113,1
13,Anthea,2312250904841003548,2020-05-19 04:16:49,antsssy,"Photo shared by Anthea on May 18, 2020 tagging @vncntl. May be an image of 1 person.","Exactly one week has past since baby Nathan’s arrival. I miss that kicking and rolling feeling in my tummy already :’) ♥️ Growing a little human inside is such an amazing thing
.
📷: @vncntl
.
.
.
#sgmummies #sgmom #pregnancy #pregnant #pregnancyphotoshoot #photoshoot #homephotoshoot #cleftstrong #circuitbreakersg",,179,13
14,E s t h e r  Y o n g  美 莲,2295210210901304465,2020-04-25 16:08:06,movestheryong,,2020’s dance experience ; I want to remember this restlessness within 4 walls. So to never ever take the future presents for granted. danse choreography by @derekseong thankful for dance as a form of release I love #activeartsalive #stayhomeforsg #strongertogether #stayhomedancechallenge #contemporarydance #cbactive #circuitbreakersg,,30,0
15,PSLE Eng Math Science,2303599527051212291,2020-05-07 05:48:04,teacher_trelyn,"Photo by PSLE Eng Math Science on May 06, 2020. May be an image of text that says 'MORE ABOUT TEACHER TREL MASTER'S DEGREE Able weaknesses and customised SPECIALIZED IN EMS Guided students achieve PSLE grades; Many admitted 250+ schools OWN MATERIALS Havea collection over past papers; Making self- written extremely curated relevance the YEARS OF EXPERIENCE of teaching experience; students including with special needs foreign students from Indonesia Thailand FULL- TIME students disruption commitments ARRANGEMENTS Online Lesson LIMITED SLOTS SLOTS MOST LEFT WITH TIME SLOTS AVAILABLE'.",,,58,2
16,PSLE Eng Math Science,2292804351819056171,2020-04-22 08:22:18,teacher_trelyn,,This is a preview of the lesson on how to answer open-ended questions. Templates are introduced and examples are provided on how to use the templates. *A prerequisite on control setup is required to understand this preview*,,20,1
17,Teh Tarik by Kak M,2463897084597001999,2020-12-14 09:50:42,teh_tarik_kak_m,"Photo by Teh Tarik by Kak M on December 14, 2020. May be an image of car.","We would like to thank everyone for the ever so busy weekend that just has passed🙏🏻

On another note, we are all likely to enter phase three in two weeks, 28 December! WOOHOO!!!🎉

As mentioned in our earlier posts, we are still having the 50% off all delivery charges till then so what are you waiting for? Go and place your orders, GO GO GO!!! 

Do take your time to browse through our price lists either in our posts or our highlights under “pricelists”. Remember to plan your next order and place it in advanced to avoid disappointment✨

To place an order, head on to the link in our bio or tinyurl.com/tehtarikkakm

We look forward to receiving your orders!💫

#tehtarik #homemade #freshbrew #freshlybrewed #togodrinks #togofood #homebasedbusiness #hbb #dghalalfood #sghalalbusiness #supportlocal #circuitbreakersg #supporthomebasedbusiness #justdojer #raya2020 #eid2020
#power 
#singaporetehtarik #tehtariksg #tetarikcatering #halalsg #sgtehtarik #fnbcatering #localcatering
#localtehtarik #tehtarikkakm #exclusive #tehtarikdelivery
#thebesttehtariksg",,15,2
18,♥ Jamie A. | Gems,2474260862938865302,2020-12-28 17:01:41,jamiegems,"Photo by ♥ Jamie A. | Gems in Thai Village Sharksfin @ Goodwood Park with @joeyjocole, @jamiegems, @jialele, and @jielun11. May be an image of 7 people and people standing.",Phase 3 starts today and we finally get to to dine out together as a family! 😍,Thai Village Sharksfin @ Goodwood Park,39,1
19,"Little Girl, Big Appetite",2454469794130101150,2020-12-01 09:40:22,littlechefathome,"Photo by Little Girl, Big Appetite in Singapore. May be an image of food.",Kway Chap 🥰,Singapore,14,1
20,Shiqs Shiq,2313325041674551804,2020-05-20 15:50:56,shiqssss,"Photo shared by Shiqs Shiq on May 20, 2020 tagging @febr18ry, @chocolateorigin, and @retrowallaby.","Alhamdulillah for the surprises. I’m too speechless, only filled with heartfelt gratitude. Thank you for turning an ordinary day to a special one ❤️⁣
⁣
#chocolateorigin #birthdaycake #happybirthday #surprise #surprisebirthday #csurprisedelivery #ayearolder #chocolate #chocolatecake #birthdaytreat #dinnertreat #birthdaydinner #quarantine #circuitbreakersg #stayhome #surprisecake #ganache #chocolateganache #chocolateganachecake #coffeebeans #coffeebeanandtealeaf #coffeebeansg #coffeebeandinner #cbtl #food #instagood #photooftheday #beautiful #instafoodie #instafood",,26,13
21,Cheah PH,2475874613803095656,2020-12-30 22:27:55,c88_discovery,"Photo by Cheah PH on December 30, 2020. May be an image of cloud.","#齐心抗疫
#DisipinDiri
#新冠肺炎
#bebasCovid19
#Cegahcovid19
#kitajagakita
#stopcovid19
#c88discovery 
#mco
#emco
#cmco
#疫情下的小確幸
#疫情快點結束吧
#疫情下的生活
#2021plans
#decemberdailymemories
#2021calendar
#2021planner
#endofdecember 
#momentnegaraku
#2020
#thrive
#newjob
#newyear
#newnormal
#coronavirus
#circuitbreakersg
#december
#2021ready 

31/12/20",,5,0
22,Cheah PH,2475866561226006935,2020-12-30 22:11:55,c88_discovery,"Photo by Cheah PH on December 30, 2020. May be an image of buildings and skyscraper.","#齐心抗疫
#DisipinDiri
#新冠肺炎
#bebasCovid19
#Cegahcovid19
#kitajagakita
#stopcovid19
#c88discovery 
#mco
#emco
#疫情下的小確幸
#疫情快點結束吧
#疫情下的生活
#疫情退散
#decemberdailymemories
#cmco
#igsg
#2021planner
#endofdecember 
#momentnegaraku
#2020
#emco
#thrive
#newjob
#newyear
#newnormal
#coronavirus
#circuitbreakersg
#december
#2021ready 

31/12/20",,2,0
23,"allaboutfitness,choosehealth🇸🇬",2475658101663999033,2020-12-30 15:17:45,allaboutfeneness,"Photo by allaboutfitness,choosehealth🇸🇬 on December 30, 2020. May be an image of food.","A mini catch up with my precious friend. 🧈🍳🍋
.
.
#eggbenedict #stayhomeforsg #SGUnited #sgfoodie #hollandaise #circuitbreaker #fitness #mealprep #fit #health #circuitbreakersg #healthylifestyle #eatcleanbestrong #healthyrecipes #crossfit #singaporehomecooks #healthyfood #mealplan #sgeats #homecooked #cleaneating #musclefood #sgfoodiary #sgfood #crossfitgirls #sgfoodies #sg #sghomecooking #wfh #gravlax

30•12•20",Blossom Residences,32,4
24,INONE Story,2475656921272753971,2020-12-30 15:15:41,inone.story,,"With Covid-19 on a rampage, many of us are at the end of our tethers, ready to fly off our handles. Frustration is nationwide at best, and suffocation is an understatement for many of us deprived of roaming our frequent haunts with the people we love. 😩😩😩⁣
⁣
Altogether, the year has been an overwhelmingly dark one for billions of people all over the world. While that is the reality, this is also a reality : 𝘞𝘦 𝘨𝘦𝘵 𝘵𝘰 𝘤𝘩𝘰𝘰𝘴𝘦 𝘵𝘰 𝘚𝘦𝘦 𝘛𝘩𝘦 𝘓𝘪𝘨𝘩𝘵. 🌟🌟🌟⁣
⁣
Despite the terrible hand that we have been dealt with, we get to choose to play our cards the best way we can. Despite the storm of death and destruction that the virus has brought, we get to choose to see the very best of humanity - our frontline heroes - resilient and resolved in this fight. 𝘋𝘦𝘴𝘱𝘪𝘵𝘦 𝘵𝘩𝘦 𝘥𝘢𝘳𝘬𝘯𝘦𝘴𝘴, we get to choose to see the good in whatever situation we are in.⁣
⁣
We get to choose to 𝘚𝘦𝘦 𝘛𝘩𝘦 𝘓𝘪𝘨𝘩𝘵.⁣
⁣
“𝐃𝐞𝐬𝐩𝐢𝐭𝐞 𝐂𝐨𝐯𝐢𝐝-𝟏𝟗, 𝐈 𝐚𝐦 𝐇𝐎𝐏𝐄𝐅𝐔𝐋”",,19,1
25,Muiee メイ,2475609517407358882,2020-12-30 13:41:13,muieetoysfoodiary,"Photo by Muiee メイ on December 30, 2020. May be an image of 1 person.",".
あっという間に もうこの時期〜
今年のBest Nine はほぼ隔離期間で
作ったパンやケーキ類 🍞🥐🥖🍰🍪🍩🧁
友人から貰ったケーキも〜美味しかった❣️
来年は風景写真を載せて見たいです❗️

皆さん良い日を❣️Stay Safe & Healthy 💪

今年的Best Nine 
多为隔離期間 所做的面包糕點
还有友人送过来的糕点等 
只有左上为採訪報導中使用 
在哥本哈根 住宿8 House拍的个人照片
希望明年 可以见到 
有風景照片在Best Nine里

㊗️大家 幸福平安 Happy Holidays

#circuitbreakersg 
#StayAtHome
#SGUnited
#今天吃什麼？
#明天吃什麼呢？
#instalife #pandemic2020 #singapore #circuitbreakersg #シンガポール暮らし #コロナウイルスが早く終息しますように #お家カフェ #bestnine2020",,53,0
26,O/N level memes,2475583857224043895,2020-12-30 12:50:14,nolevelmemes2021,"Photo by O/N level memes on December 30, 2020. May be an anime-style image of text that says '27 new Covid-19 cases in S'pore on Dec. 30, including 1 in community More updates tonight. phase 3'.","oh well 😔
tags ignore: #olevels #covid19 #singapore #circuitbreakersg #nlevels #moe #school #sglife",,36,0
27,Destinie Wong,2475548266381506593,2020-12-30 11:39:31,destinie2435,"Photo by Destinie Wong on December 30, 2020. May be an image of coffee cup and coffee.","Another coffee roaster cafe to explore, tried their white and pour over coffee with V60

#circuitbreakersg #dineout #cafehoppingsg #coffeelover #coffeetime #coffeewhite #pourovercoffee #unagiricebowl",City Sprouts,51,0
28,Destinie Wong,2475545711991766073,2020-12-30 11:34:27,destinie2435,"Photo by Destinie Wong on December 30, 2020. May be an image of food.","Favourite barbecue seafood at Alexandra Village, sambal sotong and stingray 

#circuitbreakersg #dineout #sghawkerfood #barbecueseafood #sambalsotong #stirfrynoodles #chengteng",Alexandra Village Hawker Centre,57,0
29,hourboutiqueSG,2475545607084171739,2020-12-30 11:34:14,hourboutiquesg,"Photo by hourboutiqueSG on December 30, 2020. May be an image of wrist watch.","Grand Seiko SkyFlake
Spring Drive

SBGA407
__________________________________
SGD7150
____________________________________
#HOURBOUTIQUESG #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,137,1
30,Esther,2475493335060361104,2020-12-30 09:50:23,_est.mac_,"Photo by Esther in MAC Cosmetics. May be a closeup of 2 people, hair and outerwear.","Gᴇᴛᴛɪɴɢ ʀᴇᴀᴅʏ ᴏғ 2021 ᴘᴀʀᴛʏ ʟᴏᴏᴋ

Bʏ ᴜsɪɴɢ:
• Dazzle liquid eye shadow (Panthertized)
• Nude Model Eye shadow Palette
• Brushtroke Brushblack liner

#MACCosmetics 
#MACCosmeticsSG 
#MACArtistChallengeSG 
#MyArtistCommunity 
#MyArtistCommunitySG
#TrendMACup 
#MACPlayLab 
#MACYesShare 
#MakeupArtCosmetics 
#MACAPACArtistry 
#MACSingapore 
#MACArtistry 
#MACIllusion 
#SgIgMakeup 
#SgIgBeauty 
#MACSGSocial 
#Stayathomemakeup 
#Behomenowsg 
#StayAtHomeSG 
#StayhomenowSG 
#CircuitbreakerSG 
#SGUnited 
#MACmeupSG 
#MACMYDAY
#MACArtist 
#MACDECWEEK5",MAC Cosmetics,20,0
31,Gwen,2475429296621198313,2020-12-30 07:43:09,gwentraveller,"Photo by Gwen on December 29, 2020. May be an image of laptop.",Phase 3 - still working from home 🏠 #igsg #circuitbreakersg #covid_19,,4,0
32,Ivy Yee,2475393345805836172,2020-12-30 06:31:43,ivyyee,"Photo shared by Ivy Yee on December 29, 2020 tagging @josephineyee, @bennick0719, and @tiffanytiffanychong. May be an image of food.","🐥 今日煲ABC汤
#abcsoup#soupoftheday #itswednesday #happymidweek #midoftheweek #getintomybelly #instafood #instaeats #instafollow #followforfollowback #followforfollow #followｍe #jj#igers#igsg#singapore #webstagram #circuitbreakersg #day269",,6,0
33,Singapore Scenery 2020,2475317084810588165,2020-12-30 04:00:12,sgscenery2020,"Photo by Singapore Scenery 2020 on December 29, 2020. May be an image of flower.","Submission by: Betty Chua

#sgscenery2020 #singapore #sg #igsg #sgig #instasg #singaporeinsta #singaporelife #singaporecity #thisissingapore #whatissingapore #singaporescenery #singaporeviews #singaporeinsiders #singaporediaries #singaporetoday #sgscenery #sgviews #sglandscape #sglocallife #sgneighbourhood #singaporetimes #circuitbreaker #circuitbreakersg #stayathomesg #covid19diaries #singaporetogether #togetherstrongersg #travelfromhome #shapesofhome",,36,0
34,Ivy Yee,2475282108652616783,2020-12-30 02:50:43,ivyyee,"Photo by Ivy Yee on December 29, 2020. May be an image of 1 person and food.","🐥 Breakfast of the day！！
#breakfasttime #nomnom #sourdoughbread #trufflescrambledeggs #avocado #cherries #myfav #yummylicious #sogood #healthylifestyle #goodmorning #itswednesday #happymidweek #midoftheweek #getintomybelly #instafood #instaeats #instafollow #followforfollowback #followforfollow #followｍe #jj#igers#igsg#singapore #webstagram #circuitbreakersg #day269",,7,0
35,hourboutiqueSG,2475256288364685238,2020-12-30 01:59:25,hourboutiquesg,"Photo by hourboutiqueSG on December 29, 2020. May be an image of wrist watch.","Seiko Prospex, Remake of a Classic
62Mas, 8L35 Movement
1700pc Limited Edition

SLA043
__________________________________
SGD5688
____________________________________
#HOURBOUTIQUESG #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,142,0
36,Orangey Hu,2475248910593848093,2020-12-30 01:44:45,orangejimbo,"Photo shared by Orangey Hu on December 29, 2020 tagging @jimborange. May be an image of 1 person and food.","25/28/30 Dec 2020 Brekkie 
1. Omelette with ham and smoked 🍅 
2. Toast + sunny side egg, ham & 🍅 
3. Quesadilla with egg + ham & 🥗 
#whatimade #whaticook #homemade #homecook #breakfast #stayhome #circuitbreakersg  #橘子麻麻的廚房 #自己做 #自己煮 #早餐 #墨西哥餅 #歐姆蛋 #吐司雞蛋火腿 #煮婦人生 #防疫 #隔離生活",,15,0
37,Cheah PH,2475159866149492382,2020-12-29 22:47:50,c88_discovery,"Photo by Cheah PH in Singapore. May be an image of nature, tree and cloud.","#齐心抗疫
#DisipinDiri
#新冠肺炎
#bebasCovid19
#Cegahcovid19
#kitajagakita
#stopcovid19
#c88discovery 
#mco
#emco
#疫情下的小確幸
#疫情快點結束吧
#疫情下的生活
#疫情退散
#decemberdailymemories
#cmco
#igsg
#newyear2021 
#end
#momentnegaraku
#2021
#emco
#thrive
#newjob
#newyear
#newnormal
#coronavirus
#circuitbreakersg
#december
#2021planner
#2021ready

30/12/20",Singapore,4,0
38,🌹Yvaine • 欣🎀,2475060349651147742,2020-12-29 19:30:07,mybeautifuljoyy,"Photo by 🌹Yvaine • 欣🎀 on December 29, 2020. May be an image of 2 people, hair and outdoors.","#throwbackto #may2020 #欣2020爱你爱妳 #lastdayofmay #31052020 #circuitbreakersg 

A rare wefie with Le Man to commemorate our 11th Dating Anniversary.

Crazy (Boring) 11 years with this man. How did i survived? 😅

#wefiewithhubby
#datinganniversary",,9,0
39,🌹Yvaine • 欣🎀,2475055771039873785,2020-12-29 19:21:14,mybeautifuljoyy,,"#throwbackto #may2020 #lastdayofmay #circuitbreakersg 

This girl! 🤦🏻‍♀️
Getting so demanding.
Spoilt by the helper. 🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️🤦🏻‍♀️
Gotta start showing her some colours.

#劉家小姐 #我家闺女 
#aureleiarainie #霓霓",,4,0
40,🌹Yvaine • 欣🎀,2475047795730254393,2020-12-29 19:05:11,mybeautifuljoyy,"Photo shared by 🌹Yvaine • 欣🎀 on December 29, 2020 tagging @sewingformissa. May be an image of 1 person and child.","#throwbackto #may2020 #circuitbreakersg 

Masking up would be (is) the new norm. And getting custom prints mask is the trend.

She's obviously delighted with her new mask in a pretty Disney ""Ariel"" fabric; you could see her smile through her eyes.

#劉家小姐 #我家闺女 
#aureleiarainie #霓霓",,5,0
41,🌹Yvaine • 欣🎀,2475040577416994138,2020-12-29 18:50:50,mybeautifuljoyy,"Photo shared by 🌹Yvaine • 欣🎀 on December 29, 2020 tagging @babywearing.sg, and @aureleia.rainie. May be an image of 2 people and child.","#throwbackto #may2020 #欣2020爱你爱妳 #circuitbreakersg 

We had yet another rare up during this CB season.

#babywearing #babywearingmama #babywearingsg #babywearingmoments #preciousmoments",,5,0
42,🌹Yvaine • 欣🎀,2475035622492636088,2020-12-29 18:40:59,mybeautifuljoyy,"Photo by 🌹Yvaine • 欣🎀 on December 29, 2020. May be an image of 3 people and hair.","#throwbackto #may2020 #circuitbreakersg 

CB was a period where each individual evolved into someone they wasn't due to desperate needs yet unavailable resources.

""Holidays"" would be ending soon; the boys hair were growing like hay. Our usual hairdresser, aka 婆婆, wasn't able to pop by our place to help trim their hair (or vice versa), due to CB restrictions. 

So i transformed myself into that home-based amateur hairdresser; borrowed my mum's hairdressing tools and got the job done myself.

Not as fantastic looking. Oh wells... I tried. At least no longer long and still looked reasonable for school.

#劉家男孩 #我家两宝 
#theacesbrothers",,5,0
43,🌹Yvaine • 欣🎀,2475022810974322623,2020-12-29 18:15:32,mybeautifuljoyy,"Photo shared by 🌹Yvaine • 欣🎀 on December 29, 2020 tagging @aureleia.rainie. May be an image of one or more people, braids and outerwear.","#throwbackto #may2020 #circuitbreakersg 

Showing off her freshly braided hair while donning in her #harrypotterinspired dress. Only the helper has such delicate hair braiding skill; i cannot. 😅

#劉家小姐 #我家闺女 
#aureleiarainie #霓霓
#dolliesclosetbyashley 
#hairmilestone",,6,0
44,Ambrose Huan,2474963672259173397,2020-12-29 16:18:02,ambrosehuan,"Photo by Ambrose Huan on December 29, 2020. May be an image of text that says '5 PANDAN GARDENS 4 R 2 Google Maps 5.17 km Outdoor run 29/12/2020,1 Duration 00:31:25 Avg pace 6'05"" Calories 457 kcal'.","Fitness Diary

Rest (curi tulang) for 2 weeks
Suprisingly got improvement lol

#huaweigt2 #circuitbreakersg #running #mmu #ebeerun2020 #virtualrun",,23,2
45,Muiee メイ,2474929180041978336,2020-12-29 15:09:30,muieetoysfoodiary,"Photo by Muiee メイ on December 29, 2020. May be an image of food.","年末のシンガポールは風が強い、雨が降った後は気温が一気に23-24度に下がり、かなり寒いです😨 こんな日は暖かい料理が食べたい気分❣️

今日の夕食はインドネシア風の甘酸味調味料Masak Merahをチキン、トマト、茄子とじゃがいも入りの煮物にしました〜スープは多目にして、残りのRussian Bread と一緒に食べました〜😋 寒い日はやはり身体がポカポカになる料理だね❣️

YouTubeで生食パンをホームベーカリーで作るレシピを見て〜丁度生クリームが有り、試しに作りました😆 

ホームベーカリーで生地を捏ね+２次発酵、生地を出し食パン型に入れ、2/3分の高さまで発酵したら、オーブンに入れ180度15分>160度15分で焼き上がり❣️

綺麗な食パンが初めて焼けて〜🍞…めちゃ嬉しい😆 
しかも食感がふわふわでモッチリ〜美味しい❣️
生クリーム入りでこんな食パン🍞が出来るとは…
素晴らしいです❣️これから我が家の定番にしよう👌

皆さん良い日を❣️Stay Safe & Healthy 

年末的季候風 風特別大
由其雨后 气溫下降 冷風颼颼 
这时候吃热乎乎的食物 最棒了！
晚餐煮了一鍋用印尼式的Masak Merah 调味酱
燜煮半只鸡、番茄、马铃薯和茄子 再搭配剩余的罗宋面包 
簡單又美味 身心也暖起來了～❤️

前阵子从Youtube见到日式吐司 🍞 的recipe 
面团要加入Whipped cream 
刚好冰箱还剩不少whipped cream 就取之試試
用bread maker进行Kneading 和二次發酵
取出放进吐司模型 再继续犮酵至兩倍
接著进烤箱烘焙 没想到居然初次可以烤到这么美 👍
让我惊讶 也太棒了👏
原來加whipped cream後的吐司 口感是这么软松 
口感好像在日本吃到的吐司🍞那样❗️
賛！決定列入家常面包名單中❣️

㊗️大家 幸福平安 Happy Holidays

#circuitbreakersg 
#StayAtHome
#SGUnited
#今天吃什麼？
#明天吃什麼呢？
#instalife #pandemic2020 #singapore #circuitbreakersg #シンガポール暮らし #コロナウイルスが早く終息しますように #お家カフェ #russianbread #羅宋麵包 #羅宋パン #ホームベーカリー食パン #生食パン",,39,4
46,🌹Yvaine • 欣🎀,2474761237525672477,2020-12-29 09:35:50,mybeautifuljoyy,"Photo shared by 🌹Yvaine • 欣🎀 on December 29, 2020 tagging @aureleia.rainie. May be an image of 1 person and standing.","#throwbackto #may2020 #circuitbreakersg 

Rare time like such needa be documented. This was like 4am btw.

Look at that expression she had on her. Wow! Not looking forward to her age of rebellion.

#劉家小姐 #我家闺女 
#aureleiarainie #霓霓
#iwonderwhoshegetsherstubbornnessfrom",,7,4
47,🌹Yvaine • 欣🎀,2474751225168359180,2020-12-29 09:15:57,mybeautifuljoyy,"Photo shared by 🌹Yvaine • 欣🎀 on December 29, 2020 tagging @aureleia.rainie. May be an image of 1 person, screen and text that says 'LeapPad3 Leap Leap Frog'.","#throwbackto #may2020 #circuitbreakersg 

Chanced upon this wefie they took with their leap pad. 😍

Too bad for the low resolution; it's a nice siblings' photo.

#劉家孩儿们 #我家三宝 
#theacestrio 
#siblingslove",,3,0
