,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
23,DAILY | Supplements,2365362556977016173,2020-07-31 11:01:05,thedaily.difference,"Photo by DAILY | Supplements on July 31, 2020.","Milk Thistle Complex⁠ 🌿⁠
⁠
Pill size ⁠
Diameter: 8 mm⁠
Height: 22 mm⁠
⁠
⁠More information:⁠
✔️ Vegan / Vegetarian ⁠
✔️ Dairy free⁠
✔️ Egg free⁠
✔️ Soy free⁠
✔️ Nut free⁠
✔️ Non-GMO⁠
✔️ Made without gluten⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
⁠
#thedailydifference #nutrition #health #healthy #wellness #nutritiongoals #fitfam #lifestyle #nutritionfacts #nutritiontips #nutritions #nutritionplan #nutritionmatters #singapore #sg #singaporean #singapore_insta #thisissingapore #singaporehealth #sgfitness #sgwellness #sgunited #circuitbreaker #circuitbreakersg #sgfitfam #singaporestyle #sghealthyliving #sghealthy #stayhomeforsg #stayhomesg",,16,0
24,Zorba The Greek Taverna 🇬🇷,2365360892970733064,2020-07-31 10:56:53,zorbatavernasg,Photo by Zorba The Greek Taverna 🇬🇷 in Zorba The Greek Taverna. May be an image of 1 person.,"Catch a lazy weekend lunch at Zorba with a view of glistening Singapore River! 🇸🇬We are now open from 11:30 AM to 1:30 PM every Saturday and Sunday. Takeaway & island-wide delivery available. 
.
.
.

#ZorbaTavernaSG #ZorbatheGreekTaverna #sgrestaurant #CircuitBreakerSG #SGUnited
#FooddeliverySG #HomedeliverySG #weekend #lunch",Zorba The Greek Taverna,11,0
25,LIVFIT WITH LAILA ✨,2365344582932093270,2020-07-31 10:25:38,laila_izyan,,"Your habits determine your success. Yes during Raya pon boleh create healthy habits untuk maintain weight. Taknak naik berat kan? 😇
.
Salam Aidul Adha! 💕
#lailadietclass101 #teamlailaizyan",Marina Bay Sands,8,1
26,LIVFIT WITH LAILA ✨,2365344246825673801,2020-07-31 10:23:48,laila_izyan,Photo by LIVFIT WITH LAILA ✨ in Masjid Al-Mawaddah. May be an image of 5 people.,"TRANSFORMATION 6.0KG
Kak Ogy, 38 MasyaAllah TabarakkAllah. Kak ogy da maintain ideal weight for 5 months tau.. best nyeee. Ni mummy anak 4 tau. Amazing kan bila kita commit to keep a healthy life ❤️
.
Simple jerr diet ni bila ada complete meal plan dengan program yang besttt! Online pulak tu 🤩
.
LIMITED AUGUST SLOTS! GRAB NOW 🔥
💋 Coach Laila +6594740557
💋 Program link in bio
.
🧚🏼‍♀️The advantage plan 👇🏼
.
💋 Latest meal plan + recipes
💋 Workout combo
💋 Dieting topics
💋 1-On-1 Coaching with Coach Laila
💋 Support group
.
📍Share & Tag your diet partners
#lailadietclass101 #teamlailaizyan",Masjid Al-Mawaddah,9,1
27,LIVFIT WITH LAILA ✨,2365343259763153300,2020-07-31 10:22:38,laila_izyan,,"If kita nak “besar” elok je kita makan da bertahun-tahun lama. Now bila nak sihat kurus, kita tak sabar-sabar. cari short cut sana sini end up buang masa, buang duit and paling kerugian is body and kesihatan anda. change your mindset & lifestyle🙏🏼
.
Selamat petang ! 💕
#lailadietclass101 #teamlailaizyan",Tampines 1,6,1
28,Udaya Soundari,2365335511777090702,2020-07-31 10:19:24,soundari,,"When we tried to be Rajamaatha, Muthu, Thenali, Anniyan and Gajini ~ @karthikeyansoma chumma jaaliya 😬
from V live Arpanam 2020 
Must truly be thanking @devstudiosg for helping us edit!nailing what we wanted with the soundtracks etc 🙆🏽‍♀️😂
.
It does feel a bit like the virus is long gone and everyone is resuming pre-covid lives
~
while that seems ideal let’s remember that the biggest enemy here is usually the ones we can’t see and can’t tell till you’ve spent good enough time with it (yes we are still talking about the virus 🦠), so let’s still be mindful of where we go and what we do. 
Disclaimer: Free Advice

#vlive #vasanthamtv #actor #circuitbreakersg #rajamatha #Muthu #thenali #anniyan #gajini #tamilcomedy",,1849,41
29,Enrique E Diaz,2365340720155815109,2020-07-31 10:16:48,iamenrique,Photo by Enrique E Diaz in Home. May be an image of 1 person.,"physically in 🇸🇬
spiritually in 🇹🇭
happy weekend!!!

#untiltomorrow #homequarantine #teambahay #workfromhome #workfromhomelife #circuitbreaker #circuitbreakersg #ecq #gcq #stayhomesg #stayhomeforsg #sgunited #singapore #thailand #bangkok #phuket #pattaya #amazingthailand #makeupoftheday #motd #pinoy #pinoyvlogger",Home,30,0
30,sugene_originssg,2365339406046137998,2020-07-31 10:14:11,sugene_originssg,"Photo by sugene_originssg on July 31, 2020.","A bold lip exudes confidence & character.💄 
Get that perfect red pout just in time for National Day, with Origins Blooming Bold Lipstick in #25, red red rose 🌹
Click on the link in my bio to shop! 🛍 🛒 

@origins.sg

#OriginsTribe #OriginsTribeSG #OriginsTribeAtHome #ELCUnited #ELCompany
#MomentsWithOrigins #SkincareRoutine #Skincare #OriginsSG #DiscoverOrigins #ParabenFree #CircuitBreakerSG #SGUnited #StayAtHome #ELC #elcSG #ELCBAChallenge",,10,0
31,hourboutiqueSG,2365334527280575320,2020-07-31 10:04:30,hourboutiquesg,"Photo by hourboutiqueSG on July 31, 2020.","Casio Gshock Bluetooth Gold
GMW-B5000GD-9DR
__________________________________
SGD749 ____________________________________
#hourboutiquesg #casio #gshock  #madeinjapan #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 dgafmtgf #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,95,3
32,Milo & Pepper,2365323218448720835,2020-07-31 09:42:02,_miloandpepper,"Photo by Milo & Pepper on July 31, 2020.","|Donuts Set of 20; Coral Cupcakes Set of 12|
-
Dreamy pastel blue hues for desserts this weekend✨💙
-
WhatsApp/DM for orders ❤️",,121,2
33,Original Whampoa Keng,2365315854240625394,2020-07-31 09:27:24,whampoakeng,"Photo by Original Whampoa Keng on July 31, 2020.","Our deep fried prawn rolls “Hae Chor” has been a signature on our menu for nearly 2 decades 🥳

This traditional family recipe was passed down for generations and till date, nothing has changed. We’re still hand making every single piece of prawn roll to ensure that the quality never strays!

If you’re a first timer at our restaurant, please do try it!

#sgfood #instafoodsg #sgig #sgfoodie #whati8today #hungrygowhere #safefnbsg #supportlocalsg #circuitbreakersg #sgpromo #sgdeals #stayhome #letsexploresg #fishsoup #zichar #whampoakeng #handmade #prawnrolls",,42,2
34,❀ 愛 ❀,2365312615952278903,2020-07-31 09:20:58,tweetification,"Photo shared by ❀ 愛 ❀ on July 31, 2020 tagging @cielpatisserie.",": L'Opéra Gâteau. Luxueusement décadent.
꧂ 𝕁𝕦𝕝𝕪
#operacake @cielpatisserie #stayhome #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg  #sgeats #sgfood #sgfoodlover #stfoodtrending #foodiesg #sgfoodtrend #singaporeeats #sgfoodies #sgcafe #singapore_insta #foodies #instafood #foodstagram #foodporn #foodoftheday #igfood #ai20lifestyle #ai20in2020  #photooftheday #picoftheday #snapshot #ai20foodporn #moment #ihavethisthingwithcolor",,20,6
35,My passion project,2365295079675695223,2020-07-31 08:46:07,knotty.craft,"Photo by My passion project on July 31, 2020.","Sneak peak at my upcoming crochet plant project 🌸
Pattern by @yarnblossomboutique

This marks my 5th amigurumi project with the stash of milk cotton yarns I purchased here in SG in May. Comparing these to the 100% cotton yarn, the latter is definitely my yarn of choice for amigurumi projects which involve plenty of small parts. Unfortunately, 100% cotton yarns are mostly made in US/ UK, with each skein abt 3x more expensive here than in the source countries. With that, I'm torn between going for the better quality materials and keeping this hobby as affordable as possible. I'm also apprehensive towards expanding the range of colours I have, lest the unused skeins end up sitting in the corner of the cupboard (just cos those colours aren't used as frequently). #musingoftheday

Meanwhile, I shall save the decision making for another day and work on projects in the pipeline. Also managed to get my hands on #zoomigurumi6 , hopefully I'll get sth completed this peaceful long weekend

#staysafe #crochetersofinstagram #handmade #makersgonnamake #crochetallday #freecrochetpattern #craftstherapy #stayhomeandcrochet #crochetedwithlove #brighterdaysahead #stayhomestaysafe #crochetlover #craftstherapy #crochetgram #yarnaddict #makersofig #sgunited #circuitbreaker #circuitbreakersg #amigurumilove #amigurumicrochet #amigurumipatterns #crochetplants #crochetdaisy #amigurumicrochet #amigurumay2020",,16,7
36,YouOtterGoThere,2365288184684673557,2020-07-31 08:32:25,youottergothere,Kiap Tacos,"The more we Kiap Together~ 

Heard alot of rave about @kiaptogether, so decided to order in for a (legal!!!) gathering with some friends when phase 2 #circuitbreakersg started, and definitely no ragrets! My favourite are the 𝗧𝗼𝗿𝗶𝗸𝗮𝘁𝘀𝘂 𝗖𝘂𝗿𝗿𝘆 𝗖𝗵𝗶𝗰𝗸𝗲𝗻, 𝗧𝗵𝗮𝗶 𝗕𝗮𝘀𝗶𝗹 𝗣𝗼𝗿𝗸, and 𝗙𝗶𝗹𝗶𝗽𝗶𝗻𝗼 𝗣𝗼𝗿𝗸 𝗕𝗲𝗹𝗹𝘆 𝗦𝗶𝘀𝗶𝗴.
Orders at order.slake.sg. BUT first read our experience on the link in our bio!",Slake,24,1
