,Unnamed: 0,name,comment,processed_comment
25,6,limcheng1819,"Sorry I don’t mean to post repeatedly. The system kept asking me to tab, saying the posting failed to upload.","['sorri', 'mean', 'post', 'repeatedli', 'system', 'kept', 'ask', 'tab', 'say', 'post', 'fail', 'upload']"
26,7,imflormh,how do we know it's our turn to go get vaccinated??,"['know', 'turn', 'go', 'get', 'vaccin']"
27,8,ermmmmmhi,Can children get vaccinated? Just asking XD,"['children', 'get', 'vaccin', 'ask', 'xd']"
28,9,lieke.maria,"Thank You, Sir 😍💪👍🙏","['thank', 'sir']"
29,10,lily_limll,❤️❤️👍🏻,[]
30,11,uluhia,"Thanks you,sir 👍👍","['thank', 'sir']"
31,12,albertpua,👏,[]
32,13,jiro1197,🙌👏👏👏,[]
33,14,ssiva_universe,🌳🌹🌺✍✍🏡🏠🏠🌅🚘🛫💙💘🎂🍨🍨🥂🍻☕📿💍💄👏❤️🌳🌹🌺✍✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍🏡🏡🏠🌅🚘🛫💙💘🎂🍨🥂🥂🍻☕❤️💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💙,[]
34,15,eternalssiva,🌳🌹🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕☕📿💍💄💟👄💑🎂🎇💖💙💘🌳🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💟👄💑🎂💖💙💘🌳🌹🌺✍🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💑🎂🎇💖💙💘💖💙💘💖💙💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘,[]
35,16,rafi_b_ms,I know how much you love us,"['know', 'much', 'love', 'us']"
36,17,_chris0809,Thank you🙏,['thank']
37,18,vijibizi,How will i know when to go for vaccination?,"['know', 'go', 'vaccin']"
38,19,seetha.lakshmi.1023611,🌺🌺🙏,[]
39,20,x._.suck_in_editin._.x,What about kids below 20,['kid']
40,21,catherinechuagek,Honour parents and elders and we will see long lives ! Wonderful to take care of the vulnerable in our community 👏😍😍❤️,"['honour', 'parent', 'elder', 'see', 'long', 'live', 'wonder', 'take', 'care', 'vulner', 'commun']"
41,22,youchoong,Thank you for caring of Singaporeans SG 👏👏👏👏👏👏🏻👏🏻👏👏👏👏👏********,"['thank', 'care', 'singaporean', 'sg']"
42,23,cherrytan7886,Why never protect yr wife by vaccination??,"['never', 'protect', 'yr', 'wife', 'vaccin']"
43,24,x._.cheeku._.x,Best PM❤️🇸🇬,"['best', 'pm']"
44,25,disastrous_monk,感恩 感谢 感激,[]
45,26,teikpenglim.1974,❤️❤️❤️❤️❤️,[]
46,27,m_wedding_creation,😍🙏😍,[]
47,28,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']"
48,29,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']"
49,30,dhunt6458,way to go! we are continuing safe measures to prevent a recurrence. i am surprised why MPs and community leaders have been visiting HDB house to house with CNY wishes and gifts. yes they were wearing masks but not all the residents were. it just takes one .... just my worry,"['way', 'go', 'continu', 'safe', 'measur', 'prevent', 'recurr', 'surpris', 'mp', 'commun', 'leader', 'visit', 'hdb', 'hous', 'hous', 'cni', 'wish', 'gift', 'ye', 'wear', 'mask', 'resid', 'take', 'one', 'worri']"
50,31,sand_artist_lawrence_koh,Stay strong Singapore,"['stay', 'strong', 'singapor']"
51,32,sasanali44,اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا,[]
52,33,sasanali44,اقا فرمودن نه..واکسن نوووچ...نشنیدین؟؟؟یبار میگن دیگه خصوصا اقااااا,[]
53,34,schulte1974,Thank you Singapore!,"['thank', 'singapor']"
54,35,silaschia,Yishun should get vaccinated first @bigbadguy84 @jennhjj,"['yishun', 'get', 'vaccin', 'first']"
55,36,kelsey_karadoc,"Any side effects? Those with side effects... reported in news? Also. Will we get the know if it’s Pfizer, Modena or China vaccines injected into our bodies? Is there a choice for us?","['side', 'effect', 'side', 'effect', 'report', 'news', 'also', 'get', 'know', 'pfizer', 'modena', 'china', 'vaccin', 'inject', 'bodi', 'choic', 'us']"
56,37,raymondtandfs,I am a medical problems patient. I cannot take vaccinated lah.,"['medic', 'problem', 'patient', 'take', 'vaccin', 'lah']"
57,38,babearies,and when is our turn,['turn']
58,39,chongsun1234,i will wait,['wait']
59,40,marcusmarsden,👏🏻,[]
60,41,varunsingla01,👏,[]
61,42,rostinir,Thanks Singapore 🙏,"['thank', 'singapor']"
62,43,martinng5885,"Be careful of the new variant of COVID that is super infectious. If this goes into community, it will derail our vaccination program. The unknown deadly South Africa variant may pose serious risk","['care', 'new', 'variant', 'covid', 'super', 'infecti', 'goe', 'commun', 'derail', 'vaccin', 'program', 'unknown', 'deadli', 'south', 'africa', 'variant', 'may', 'pose', 'seriou', 'risk']"
63,44,hiitspreeti,Any plans for vaccinating students going to other countries for university studies?,"['plan', 'vaccin', 'student', 'go', 'countri', 'univers', 'studi']"
64,45,kenneth_lee_mattson,How about PRs stuck abroad?,"['pr', 'stuck', 'abroad']"
65,46,idevicejp,Can citizen who needs to do essential travel very soon for a Long period of time (more than a year eg studies) get priority for vaccination first. May not able to wait til the normal turn. Would the gov consider that.,"['citizen', 'need', 'essenti', 'travel', 'soon', 'long', 'period', 'time', 'year', 'eg', 'studi', 'get', 'prioriti', 'vaccin', 'first', 'may', 'abl', 'wait', 'til', 'normal', 'turn', 'would', 'gov', 'consid']"
66,0,mariacavichiolli,Luck of Singaporeans and other residents who will soon be vaccinated. Here in Brazil there is no defined plan and the population does not know when it will be vaccinated.,"['luck', 'singaporean', 'resid', 'soon', 'vaccin', 'brazil', 'defin', 'plan', 'popul', 'know', 'vaccin']"
67,1,ajako_83,Side effects such as...?,"['side', 'effect']"
68,2,pakimixsgmsia786,Do check ur dm mssg,"['check', 'ur', 'dm', 'mssg']"
69,3,melwu5057,Does the covid19 vaccination included new born baby due to the side effects of the vaccine cause you have to also protect the new born babies,"['vaccin', 'includ', 'new', 'born', 'babi', 'due', 'side', 'effect', 'vaccin', 'caus', 'also', 'protect', 'new', 'born', 'babi']"
70,4,momo8699,👍,[]
71,5,hansen_khornelius,Does student pass holder considered as long term resident?,"['student', 'pass', 'holder', 'consid', 'long', 'term', 'resid']"
72,6,marie_pidsley,There could still be side effects...?,"['could', 'still', 'side', 'effect']"
73,7,beebee4265,🤲🤲,[]
74,8,capt.peehype,The side effects being??,"['side', 'effect']"
75,9,whimsigalme,It’s new so they won’t probably know the side effects I guess.,"['new', 'probabl', 'know', 'side', 'effect', 'guess']"
76,10,ssiva.2021,👍💑❤👄💋💙💖💞💝😘💟🍷💄🎂💍🍺🍻👍💑❤👄💋💙💖💞💝😘💟💄🎂🍺🍻👍💑❤👄💋💙💘💞😘💟🍷💄🎂🍺🍻💙💘💖💘💙💘💙💘💙💘💙💘💙💘💙💘💙👄💙💙,[]
77,11,sarahlim1386,It's new so they won't probably know the side effects. Plus again it isn't 100% guarantee that it can total prevent you from getting covid-19.Although at least it does some protection Plus I heard other countries news ppl getting vaccine some gotten the side effects of the vaccine include face distortion. & Vaccine usually takes alot more years to do research & trials about 10 year to prove that it is safe. U can't say for sure the side effects could cause health problems if it changes DNA sequence or effect cells in the body.,"['new', 'wo', 'probabl', 'know', 'side', 'effect', 'plu', 'guarante', 'total', 'prevent', 'get', 'least', 'protect', 'plu', 'heard', 'countri', 'news', 'ppl', 'get', 'vaccin', 'gotten', 'side', 'effect', 'vaccin', 'includ', 'face', 'distort', 'vaccin', 'usual', 'take', 'alot', 'year', 'research', 'trial', 'year', 'prove', 'safe', 'u', 'ca', 'say', 'sure', 'side', 'effect', 'could', 'caus', 'health', 'problem', 'chang', 'dna', 'sequenc', 'effect', 'cell', 'bodi']"
78,12,kriiiiizzy,@findinglimu,[]
79,13,ibr_remote,"👍👏👏👏SUPER JOB, SINGAPORE GOVERNMENT. ⭐⭐⭐","['super', 'job', 'singapor', 'govern']"
80,14,lele_vs,@bryantfoguel,[]
81,15,auliaichsn,@jokowi @aniesbaswedan FYI aja Pak he he:),"['fyi', 'aja', 'pak']"
82,16,borsasingapura,@perfectsunday,[]
83,17,siewlooijee,Waiting with fear,"['wait', 'fear']"
84,18,liliesutjiari,👏,[]
85,19,clarence_seow,Is it save to vaccinate? I am not too sure.,"['save', 'vaccin', 'sure']"
86,20,kelsey_karadoc,Remember Thali-domine,['rememb']
87,21,twinflower.butterfly,How about EP and DP?,"['ep', 'dp']"
88,22,jaguar_warriors,Does student pass consider as long term pass,"['student', 'pass', 'consid', 'long', 'term', 'pass']"
89,0,imflormh,how do we know it's our turn to go get vaccinated??,"['know', 'turn', 'go', 'get', 'vaccin']"
90,1,ermmmmmhi,Can children get vaccinated? Just asking XD,"['children', 'get', 'vaccin', 'ask', 'xd']"
91,2,lieke.maria,"Thank You, Sir 😍💪👍🙏","['thank', 'sir']"
92,3,lily_limll,❤️❤️👍🏻,[]
93,4,uluhia,"Thanks you,sir 👍👍","['thank', 'sir']"
94,5,albertpua,👏,[]
95,6,jiro1197,🙌👏👏👏,[]
96,7,ssiva_universe,🌳🌹🌺✍✍🏡🏠🏠🌅🚘🛫💙💘🎂🍨🍨🥂🍻☕📿💍💄👏❤️🌳🌹🌺✍✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄❤️🌳🌹🌺✍🏡🏡🏠🌅🚘🛫💙💘🎂🍨🥂🥂🍻☕❤️💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💘💙💙,[]
97,8,eternalssiva,🌳🌹🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕☕📿💍💄💟👄💑🎂🎇💖💙💘🌳🌹🌺✍🏡🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💟👄💑🎂💖💙💘🌳🌹🌺✍🏠🌅🚘🛫💙💘🎂🍨🥂🍻☕💄💑🎂🎇💖💙💘💖💙💘💖💙💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘💖💙💘,[]
98,9,rafi_b_ms,I know how much you love us,"['know', 'much', 'love', 'us']"
99,10,_chris0809,Thank you🙏,['thank']
100,11,vijibizi,How will i know when to go for vaccination?,"['know', 'go', 'vaccin']"
101,12,seetha.lakshmi.1023611,🌺🌺🙏,[]
102,13,x._.suck_in_editin._.x,What about kids below 20,['kid']
103,14,catherinechuagek,Honour parents and elders and we will see long lives ! Wonderful to take care of the vulnerable in our community 👏😍😍❤️,"['honour', 'parent', 'elder', 'see', 'long', 'live', 'wonder', 'take', 'care', 'vulner', 'commun']"
104,15,youchoong,Thank you for caring of Singaporeans SG 👏👏👏👏👏👏🏻👏🏻👏👏👏👏👏********,"['thank', 'care', 'singaporean', 'sg']"
105,16,cherrytan7886,Why never protect yr wife by vaccination??,"['never', 'protect', 'yr', 'wife', 'vaccin']"
106,17,x._.cheeku._.x,Best PM❤️🇸🇬,"['best', 'pm']"
107,18,disastrous_monk,感恩 感谢 感激,[]
108,19,teikpenglim.1974,❤️❤️❤️❤️❤️,[]
109,20,m_wedding_creation,😍🙏😍,[]
110,21,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']"
111,22,dhunt6458,way to go! we have been taking all the safe measures to prevent a recurrence of Covid-19. BUT i wonder why we have allowed MPs and Community leaders going from house to house with CNY wishes and gifts. nice gesture wrong move.,"['way', 'go', 'take', 'safe', 'measur', 'prevent', 'recurr', 'wonder', 'allow', 'mp', 'commun', 'leader', 'go', 'hous', 'hous', 'cni', 'wish', 'gift', 'nice', 'gestur', 'wrong', 'move']"
112,23,dhunt6458,way to go! we are continuing safe measures to prevent a recurrence. i am surprised why MPs and community leaders have been visiting HDB house to house with CNY wishes and gifts. yes they were wearing masks but not all the residents were. it just takes one .... just my worry,"['way', 'go', 'continu', 'safe', 'measur', 'prevent', 'recurr', 'surpris', 'mp', 'commun', 'leader', 'visit', 'hdb', 'hous', 'hous', 'cni', 'wish', 'gift', 'ye', 'wear', 'mask', 'resid', 'take', 'one', 'worri']"
113,0,heizenberg_el_chino,👏👏👏,[]
114,1,janetankoe,👍👍👍👍👍,[]
115,2,hmahaud07,❤️👏,[]
116,3,hyunjinkimofficial,💖💖💖👏🏼👏🏼👏🏼,[]
117,4,preeti.rmukul,Amazing care shown towards Singaporeans. Filled with immense gratitude. Proud & blessed Singaporean.🙏🇸🇬🇸🇬,"['amaz', 'care', 'shown', 'toward', 'singaporean', 'fill', 'immens', 'gratitud', 'proud', 'bless', 'singaporean']"
118,5,cygwins,🙏🙏🙏,[]
119,6,rhianty_dewwi,Amazing,['amaz']
120,7,melwu5057,Now they have to make another vaccine for the valarnt virus,"['make', 'anoth', 'vaccin', 'valarnt', 'viru']"
121,8,hansrijndorp,👍👍👍,[]
122,9,esmaeilikarin,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻,[]
123,10,kinsquare,Yeah!!,['yeah']
124,11,roger.tan.182,Vaccines won't cure.don't be so happy😢😢,"['vaccin', 'wo', 'happi']"
125,12,bythaqif,👍👍👍👍,[]
126,13,boss__shah,@nmci6493,[]
127,14,my66teng,Well co-ordinated....👍,['well']
128,15,sg_deluxe_launches,bit.ly/D10StarBuy 👏👏👏,[]
129,0,eastanglianmaple,👍,[]
130,1,schulte1974,When can I get it ? Thanks for keeping Singapore so safe🙏,"['get', 'thank', 'keep', 'singapor', 'safe']"
131,2,finnk925,👏👏,[]
132,3,finnk925,👏👏,[]
133,4,gyn2029,👍,[]
134,5,mingkechen,I would like to ask when they conducting the tests how many of them are asians? And why there are people who had vaccinated fall down ( one of the nurse in USA) I don’t want to challenge with the gov but I really want to know more data instead of these ( things can just be found online .....),"['would', 'like', 'ask', 'conduct', 'test', 'mani', 'asian', 'peopl', 'vaccin', 'fall', 'one', 'nurs', 'usa', 'want', 'challeng', 'gov', 'realli', 'want', 'know', 'data', 'instead', 'thing', 'found', 'onlin']"
135,6,pr_aloysius,Some naysayers are apprehensive.....,"['naysay', 'apprehens']"
136,7,william_88_,Moderna?,['moderna']
137,8,philip_yong2,👍,[]
138,9,rikejokanan,@inalasta,[]
139,10,twinflower.butterfly,🤗,[]
140,11,dennet_jade,@jadeeeh.vallehh @dennetnet @janet.valle,[]
141,12,zack17zheng,Are there any long term side effects from this vaccine? Probably cant be answered because there have not been any evidence yet 😔,"['long', 'term', 'side', 'effect', 'vaccin', 'probabl', 'cant', 'answer', 'evid', 'yet']"
142,13,imback.bitchesss,Safe or not im still not taking any of that thing hahahahaha,"['safe', 'im', 'still', 'take', 'thing', 'hahahahaha']"
143,14,imback.bitchesss,"Nahhh . Im not taking any vaccines ,. Not happy ? Want to fine ? Classic lah singapore everything money hahahhahaa","['nahhh', 'im', 'take', 'vaccin', 'happi', 'want', 'fine', 'classic', 'lah', 'singapor', 'everyth', 'money', 'hahahhahaa']"
144,15,sandai_fitness,Propaganda....😢,['propaganda']
145,0,quarantino_cuppercino,Then when can take out mask ah…,"['take', 'mask']"
146,1,heizenberg_el_chino,Till we reach herd immunity I reckon,"['till', 'reach', 'herd', 'immun', 'reckon']"
147,2,namnahessal,"Some say that this social distancing never end, it's so called new normal","['say', 'social', 'distanc', 'never', 'end', 'call', 'new', 'normal']"
148,3,martinng5885,If the more infectious variant goes into community it will spread like wildfire 🔥🔥 🔥protect the borders and happy lunar new year 🧧,"['infecti', 'variant', 'goe', 'commun', 'spread', 'like', 'wildfir', 'protect', 'border', 'happi', 'lunar', 'new', 'year']"
149,4,prakashyeshprakashyesh,"𝘿𝙤𝙣'𝙩 𝙨𝙞𝙩 𝙗𝙖𝙘𝙠 𝙬𝙞𝙩𝙝𝙤𝙪𝙩 𝙩𝙧𝙖𝙙𝙞𝙣𝙜 𝙛𝙤𝙧𝙚𝙭, 𝙄 𝙝𝙖𝙫𝙚 𝙚𝙖𝙧𝙣𝙚𝙙 𝙤𝙫𝙚𝙧 15,000 𝙐𝙎𝘿 𝙖𝙣𝙙 𝙢𝙤𝙧𝙚 𝙛𝙧𝙤𝙢 𝙩𝙧𝙖𝙙𝙞𝙣𝙜 𝙁𝙊𝙍𝙀𝙓.... 𝙖𝙡𝙡 𝙩𝙝𝙖𝙣𝙠𝙨 𝙮𝙤𝙪 𝙖𝙣𝙙 𝙮𝙤𝙪𝙧 𝙩𝙚𝙖𝙢 𝙛𝙤𝙧 𝙮𝙤𝙪𝙧 𝙩𝙧𝙪𝙨𝙩 𝙖𝙣𝙙 𝙝𝙤𝙣𝙚𝙨𝙩𝙮 @𝙢𝙖𝙧𝙠𝙤_𝙛𝙭𝙩 💪",[]
150,5,0341223_faw,"Lol I cant take the vaccine, im still a kid","['lol', 'cant', 'take', 'vaccin', 'im', 'still', 'kid']"
