,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
11,Jay ✨,2475563976550210432,2020-12-30 12:10:44,jay.mezigue.performance,"Photo by Jay ✨ in La Plagne. May be an image of flower and text that says '2020 NOUS AVONS BESOIN DE NOUS RECONNECTER À MÊME NOUS Prenez ce temps pour vous, votre sport et votre mental www.mezigueperformance.com'.","✨✨Www.mezigueperformance.com 
..
.. 
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",La Plagne,4,0
12,Jay ✨,2475562902833589942,2020-12-30 12:08:36,jay.mezigue.performance,Photo by Jay ✨ in Massif des Écrins. May be an image of one or more people and nature.,"Votre projet se construit, votre mental préparé, l'accompagne.✨

Tout est déjà en vous !
Il vous faut juste un petit coup de pouce !
Www.mezigueperformance.com s'en occupe ✨
..
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",Massif des Écrins,12,0
13,Jay ✨,2475561870497876721,2020-12-30 12:06:42,jay.mezigue.performance,,"Préparation mentale pour les athlètes et les coachs ! Www.mezigueperformance.com
... 
...
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",La Plagne Bellecote,4,0
14,Primavera Desta,2475555328585832919,2020-12-30 11:53:33,primavera.desta,"Photo by Primavera Desta on December 30, 2020. May be an image of food.","Dinner. 
#shn #stayhomenotice",,12,0
15,David,2475501249542343778,2020-12-30 10:06:06,incidental_naturalist,Photo by David in Singapore Botanic Gardens. May be an image of animal and nature.,Crab-eating Macaque. Freedom from quarantine for me! A beautiful encounter on my first walk outside for 14 days.,Singapore Botanic Gardens,75,7
16,Jay ✨,2475401271176535765,2020-12-30 06:47:28,jay.mezigue.performance,"Photo by Jay ✨ on December 29, 2020. May be an image of sky, mountain and text that says 'MEZIGUE PERFORMANCE Préparatrice mental certifiée AIDE AU DÉVELOPPEMENT DE vOs COMPÉTENCES POUR L'ATTEINTE DE VOS OBJECTIFS -GESTION DES BLOCAGES DÉCOUVERTE DE SES ÉMOTIONS -RETOUR DE BLESSURES -MÉDITATION -RÉSPIRATION -NUTRITION.'.","Tous les athlètes, amateurs, semi-pros et professionnels peuvent avoir recourt à la préparation mentale ✨
Je vous accompagne pour la suite de vos objectifs ✨
Passage d'examens, compétition, diplôme....
🙏Www.mezigueperformance.com 🙏
..
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",,7,1
17,Jay ✨,2475400552289589766,2020-12-30 06:46:02,jay.mezigue.performance,Photo by Jay ✨ in Serre Chevalier Briançon. May be an image of outerwear and text that says 'MEZIGUE PERFORMANCE VOS OBJECTIFS Www.mezigueperformance.com'.,"Quelque soit le moment de l'année, nous trouvons ensemble vos objectifs à atteindre ✨
Surtout pendant les périodes creuses ou bien en période sanitaire compliqué, je vous accompagne pour trouver un nouvel axe de travail ! Afin d'optimiser l'efficacité de vos entraînements ✨
..
..
Www.mezigueperformance.com
..
... 
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",Serre Chevalier Briançon,5,0
18,Jay ✨,2475398685849502979,2020-12-30 06:42:20,jay.mezigue.performance,"Photo by Jay ✨ in Tignes, France. May be an image of one or more people, outerwear and people skiing.","Un grand bravo à Léandra pour la réussite de son cycle préparatoire ! ✨✨
Un grand pas dans ton diplôme de monitrice de ski !⛷️
Quelle belle persévérance ! 😉
... Www.mezigueperformance.com
...
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale","Tignes, France",11,0
19,Jay ✨,2475398127721675001,2020-12-30 06:41:13,jay.mezigue.performance,Photo by Jay ✨ in Briançon. May be an image of mountain and text that says '«SEUL L'HOMME QUI SAIT CE QUE C'EST D'ÊTRE VAINCU PEUT ATTEINDRE LE PLUS PROFOND DE SON ÂME ET REVENIR AVEC LE SUPPLÉMENT DE FORCE QU'IL FAUT POUR GAGNER.»- MOHAMED ALI'.,"Www.mezigueperformance.com
..
... 
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",Briançon,3,0
20,Jay ✨,2475397662296767523,2020-12-30 06:40:18,jay.mezigue.performance,"Photo by Jay ✨ in La Plagne. May be an image of one or more people, people standing, mountain, nature and sky.","L'approche de mezigue performance sur la préparation mentale se fait sur une collaboration de confiance.💯 Chaques séances et techniques sont adaptées et individualisées, pour répondre au mieux à vos besoins. ✨
..Www.mezigueperformance.com.. 
..
#preparationmentale #preparationphysique #coachingmental #coaching #coachdevie #positive #sport #athlètes #ZEN #preparation #coachdeviepositive #mezigueperformance #performance #sportifsdehautniveau #shn #clubdesport #club #hautniveau #federation #comité#meditation #dialogue #respiration #connaissance #bonheur #sois #auto-hypnose #autoconditionnement #visualisationmentale",La Plagne,7,0
21,Jiezhen,2475380297896503952,2020-12-30 06:05:48,jiezhen,"Photo shared by Jiezhen on December 29, 2020 tagging @jaredkonggg, @jiezhen, @christine_anne_kong, and @bernardkongyoon. May be an image of 6 people, people standing and food.","Our first week out of our 14-day #SHN quarantine was filled with our top three priorities for this trip: family, friends and food. It was also timely that I took my annual holiday digital detox - spending most of my time disconnecting from my devices to reconnect with those around me. While our hearts and bellies are so full from the last week, it did take some time for @jaredkonggg and me to adjust to being around so many people and feeling safe - seeing that we’ve spent the majority of this pandemic isolated at home and seeing the same 6 people. 
.
The holidays also felt so different this year - it was the first Christmas in my entire life that my family has spent apart (with @jiemingg in Europe and @shang285 in the US), and I know so many who are also spending the holidays away from their loved ones this year. And while Singapore has been somewhat of bubble, a reprieve away from Covid for a little while, we know we will be heading back to California soon - and are just soaking in this slice of normalcy as best we can while we’re here. 
.
And as we wrap up the last days of the year that 2020 has been, I hope we all manage to find some hope, love and light, wherever we may be. Sending you and your loved ones so much love as we transition into the new year and lay this year to rest.
.
The next few days for me are often a time of reflection, introspection and setting intentions for the coming year. Am looking forward to seeing what emerges for us all in the new year 💙🌟🍀
.
#theconsciouscalendar #celebratingloveinthetimeofcorona #wukongfam #thewuuus #walkswithpapawu #lunchwithmamawu #family #friends #christmas #holiday #newyear #2020 #2021",Singapore,192,4
22,Hossan Leong,2475374115399954414,2020-12-30 05:58:39,hossanleong,,"Received a care pack from @jyunka_official 

Thank you! Because you know, #SHN skin also needs to be conditioned and looked after! 
You have to check out their products and facial treatments out at the @jyunkaconceptcenter 

Say I recommend one - you may get a little treat or surprise from them ☺️

#agelesseyes #absolutemask #placentaplus #eyeliftingboost #doubleconfirm #SeeHossanNow
 
Recorded with the SHURE MV88+",Swissotel The Stamford,63,2
23,wmwongck,2475350199930148911,2020-12-30 05:06:00,wmwongck,Photo by wmwongck in JEN Singapore Tanglin by Shangri-La. May be an image of food and text that says 'Pacific FOODS™ Pacific FOODS™ ORGANIC Almond PLANT-BASED BEVERAGE Original UNSWEETENED Carrageenan Hazelnut PLANT-BASED BEVERAGE Dairy Free Nature'sNutrition Nature's Chocolate fiamD USDA ORGANIC 100 manuka blend 抗 綠 你 酸 GANICSOD South ENROOIBOS ANTIOXIDANT Africa Rooibos RICH VERIFIED PEVG 1QT SERVINGSUGGESTION'.,"Thank you @jtcl2791 for the goodies 
#SHN #organicfood #pacificfoods #airbornehoney",JEN Singapore Tanglin by Shangri-La,8,0
24,Primavera Desta,2475329866128760196,2020-12-30 04:25:36,primavera.desta,"Photo by Primavera Desta on December 29, 2020. May be an image of 1 person and food.","Lunch.
#stayhomenotice #shn",,13,0
25,HyeSoo Kim,2475320098142048179,2020-12-30 04:06:12,khyehye06,"Photo by HyeSoo Kim on December 29, 2020. May be an image of phone and text that says '12:02 W M 95% English Your quarantine order has ended. Homer, be now uninstall no longer You and your may location will retrieved. ~~. FAQ'.","FYEAHHHHHHH
I’M GETTING OUT✌🏻✌🏻✌🏻✌🏻✌🏻
#theend #shn",,44,2
26,Primavera Desta,2475291281677813868,2020-12-30 03:08:56,primavera.desta,"Photo by Primavera Desta on December 29, 2020. May be an image of chow mein.","Breakfast. 
#shn #stayhomenotice",,14,11
27,Yvonne,2475219422859730406,2020-12-30 00:46:10,yvonne_soh,"Photo by Yvonne in Singapore. May be an image of sky, night and buildings.","Last night's full moon 🌝 outside my quarantine hotel window... So beautiful.

#十五的月亮 #FullMoon #VollMond #QuarantineHotel #QuarantineInSingapore #quarantine #SHN #Travelgram #Instatravel #Travelgram #Traveller #TravelAddict #Travelsee #IGtravel #InstaGo #travelphotography #Singapore #🇸🇬 #Singapur #シンガポール #Asia #Asien #アジア #SoutheastAsia #Südostasien #東南アジア",Singapore,27,2
28,jim bob,2475132083391075733,2020-12-29 21:52:38,th3_gr0wer_huge,"Photo by jim bob on December 29, 2020.","#Repost @solfiregardens2019 @download.ins
---
It’s been too long without a contest!! We bred The Gucci Fruit over a year ago with the intention of fixing some of the things we disliked about Forbidden Fruit much like our Sugar Skullz breed. We took forbidden fruit which we felt that had less than desirable structure but an amazing terp profile and combined it with our GBOG male. We grew some as well as passed some beans to our friends in Oklahoma @beleafcannabis2.0  We both found colorful, uniquely fruity and structurally exceptional phenos. Beleaf found a killer pheno that actually transfers the taste perfectly which we will be doing further breeding with. The sad part of this story is there are only 90 packs of this cross in existence which we will be now releasing through @therealseedsherenow That said, you have a chance to win this rare  gem💎 right here just follow the rules below!! Good Luck guys Happy Holidays 💫
.
.
2-Winners
1-pack each
////////////////////////////////////////////////////
Contest Rules:
⭐️Must follow @solfiregardens2019
⭐️Must like and Tag 3 friends in this post
⭐️One entry per follower
///////////////////////////////////////////////////
Each winner receives 1 pack
Winners will be chosen Jan 1st 2021 at 5pm pst.
.
#NewYearNewStrains #GucciFruit #SHN #ChanceToWin",,8,0
29,Volta ao Mundo em Brasília,2475109276812801906,2020-12-29 21:07:20,sheiladfcosta,"Photo shared by Volta ao Mundo em Brasília on December 29, 2020 tagging @bhotelbrasilia. May be an image of food.","Cont. Volta ao 🌎 em Brasília sempre volta ao B Hotel! #terreo #restauranteterreo Ambiente #agradabilissimo como sempre!
#desserts #dessert #sobremesas #sobremesa #pudim da casa. Delicioso! Sempre! #recomendo @bhotelbrasilia #superrecomendo #ChefJeanYvesPoirey #recomendomuito #prata #aguaprata @apollendistribuicao #restaurant #restaurante Térreo, o restaurante do B Hotel. #bhotel #asanorte #shn quadra 5.",B Hotel Brasília,19,3
30,Steven Chua,2474350987792754144,2020-12-28 20:00:45,_stevenchua,"Photo shared by Steven Chua on December 28, 2020 tagging @dcb1121. May be an image of one or more people.","Trapped in a small room, we are getting to know each other even better during this 14-day quarantine period. Thank you for laughing at my bad jokes and just being here with me @dcb1121 ❤️ #shn #singaporequarantine #workingremotely #besthusbandever #chuabraaten",Value Hotel Balestier Singapore,32,3
31,Ludovica,2474277561217566313,2020-12-28 17:34:51,ludovica.mas,"Photo by Ludovica in Swissotel The Stamford. May be an image of 1 person, skyscraper and night.","Acceptable prison view ⛓❤️🇸🇬

#SHN #Singy #INSEADmoments",Swissotel The Stamford,91,0
32,Mr & Mrs K 🇸🇬🇨🇭,2474198509667855419,2020-12-28 14:57:48,kittymeowsandpawprints,"Photo by Mr & Mrs K 🇸🇬🇨🇭 in Singapore. May be an image of screen, television and text that says 'IRON MAN'.","We've safely arrived in 🇸🇬Singapore and are now serving our 14 days quarantine in a hotel downtown... and what better time than now to do a movie marathon?😃👍 A ""Hotel Quarantine Marvel Movie Marathon"" no less! On our 3rd show now... 💪16 more to go!

#Quarantine #HotelQuarantine #MovieMarathon #QuarantineMovieMarathon #QuarantineHotel #QuarantineInSingapore #SHN #HusbandAndWifeTravels #EhepaaraufReisen #TheTravellingCouple #PaaraufReisen #ふたり旅 #TravellingCouple #TravellerNotTourist #CoupleTravel #Travelsee #Travel #Travelgram #Instatravel #Travelgram #Traveller #IGtravel #InstaGo",Singapore,4,0
33,Zoe Here 👋🏻,2474184419297329428,2020-12-28 14:29:48,glowwithzoe_,"Photo by Zoe Here 👋🏻 on December 28, 2020.","💫Day 8
.
☁️It’s Chemistry 🧪 day! (The toughest subject for me at the moment )😩
.
☁️Do you prefer paper notes or digital notes ?
.
✨I prefer paper notes because  I can highlight and makes notes on it with my highlighters and colour pens (it makes the study process less boring and more fun🤩 ). Also,facing papers won’t hurt my eyes so much like facing the screen (especially for a long time )
.
💖Anyways, hope you have a great day and enjoy the last 3 days of 2020 ! 
.
.
.
.
.
.
.
.
.
.
. .
.

.
.
#studygram #studymotivation #chemistry #chemistrynotes #stabilo #notetaking #studyinspiration #studyingmoodx #studypost #studyhard #quarantine #shn #studygrammer #studygrammalaysia #studygramsingapore #digitalnotes #autodesksketchbook #samsungtab #studytips #studynotes #studentlife #highlighters",,57,1
34,Shireen Shahmardani,2474181340175446816,2020-12-28 14:23:55,shireenbruha,,"We did it.
See you tomorrow. 🙂❤
#ldrnomore #singapore #philippines #shn #lastday #love #happy",Orchard Road,76,3
35,Hossan Leong,2474170755372256998,2020-12-28 14:06:25,hossanleong,,"Yay made it! Happy birthday @chinesedimsum Sharon! 

And thank you @derrickchew , @dwaynelau , @newsstan & @dorcasleong & Micah for the deliveries. Much appreciated ❤️🙏

Thank you @swissotelthestamford for the call to see if I was doing ok. And the lovely ICA ladies who came to check and make sure I was in my room. We had a giggle lol. 

And I wanna gift the keyboard to either church/Home/charity who needs one? DM me? But you gotta come and pick it up from the hotel after I’ve checked out ok? Warning : IT’S HEAVY! 

Update: keyboard has been “choped” thank you all. 

Ok. Time for bed. I have @coachjake_ at 7.30am! 

Kthxbye! 

#SHN #SeeHossanNow",,236,21
36,wmwongck,2474131609302155056,2020-12-28 12:44:53,wmwongck,Photo by wmwongck in JEN Singapore Tanglin by Shangri-La.,Time to inflate my exercise ball  #swissball #exerciseball #14dayscountdown #SHN,JEN Singapore Tanglin by Shangri-La,13,0
37,,2474116272487340534,2020-12-28 12:14:24,___s.tano.__,"Photo by @___s.tano.__ on December 28, 2020. May be an image of food.","お食事編
#SHN  Day 12

もう見慣れた お食事編🍽️😯

今日はザーーという☔も降らず、さわやかなお天気

外を眺めていると、シンガポールでよく見かける鳥さん🐦がピヨピヨ鳴いていたので、音声をお届けします😽

くちばしが黄色い黒い鳥
そんなに大きくないのに鳴き声大きめ

#オオハッカ 🐦",,6,2
38,Primavera Desta,2474062131900661404,2020-12-28 10:26:50,primavera.desta,"Photo by Primavera Desta on December 28, 2020. May be an image of food.","Dinner. 
#shn #stayhomenotice",,12,3
39,Seelsorgeeinheit SHN,2474060442241964721,2020-12-28 10:23:29,seelsorgeeinheit_shn,"Photo by Seelsorgeeinheit SHN on December 28, 2020. May be an image of one or more people and text that says 'DEIN Feuerweg INNEHALTEN ZWISCHEN DEN JAHREN'.","In vier Tagen zwischen den Jahren innehalten und dem Feuer, das in mir brennt, auf die Spur kommen🔥. Für jeden Tag gibt es einen Auszug aus der Geschichte ""Lichtflamme"" von Selma Lagerlöf. Inspiriert von der Geschichte führen Impulse dazu in die eigene Reflexion. 
Die Impulse für jeden Tag findet ihr auf unserer Homepage.📲 Schaut vorbei🥰 Den Link findet ihr in unserer Bio➡️
•
•
•
#deinfeuerweg #feuer #lichtflamme #selbstreflexion #aufdenspuren #neuesjahr #homepage #seelsorgeeinheit #shn #ebfr",,24,0
40,Primavera Desta,2473934179061767476,2020-12-28 06:12:37,primavera.desta,"Photo by Primavera Desta on December 27, 2020. May be an image of 1 person and food.","Lunch. 
#shn #stayhomenotice",,18,0
41,马新社电视华语新闻 Bernama TV Chinese,2473843791533334885,2020-12-28 03:13:02,btvchinese,"Photo by 马新社电视华语新闻 Bernama TV Chinese on December 27, 2020. May be an image of skyscraper.","【一大马女子狮城确诊染疫 或与文华酒店感染群有关】

新加坡卫生部证实，27日录得的5起境外输入新冠确诊个案中，包括一名23岁大马籍女子。

根据文告，这名大马女子原本住在乌节文华酒店，之后被转移到另一指定设施。

由于这所酒店早前有13人在履行居家通知(Stay-Home Notice, SHN)时确诊染疫，因此狮城卫生部正调查大马女子案例，是否与这13起病例有关。

文告提到，这名持工作证件的大马女子，本月19日和21日接受拭子检测，结果呈阴性。不过于平安夜（24日）当天结束居家通知前的检测结果却呈阳性。

#大马女子 #新加坡 #居家通知 #StayHomeNotice #SHN #乌节文华酒店 #感染群 #新冠疫苗 #新冠病毒 #新冠疫情 #COVID19 #新常态 #戴口罩 #勤洗手 #保持肢体距离 #KitaJagaKita #马新社电视华语新闻 #马新社 #华语新闻 #马新社电视 #马新社华语新闻 #bernama #bernamatv #btv #mandarinnews #tvnews #bernamatv502 #astro502",,8,0
42,Inktober and beyond,2473836558574242011,2020-12-28 02:58:40,hisstillsverige,"Photo by Inktober and beyond on December 27, 2020. May be a cartoon.","Quarantine (or SHN: stay home notice) situation: smothered in plastic.

#Singapore #covid19 #quarantine #SHN #somuchplastic",,23,1
43,Didik Wahjudi,2473835841346544835,2020-12-28 02:57:14,dewahjudi,"Photo by Didik Wahjudi in PARKROYAL on Kitchener Road, Singapore with @dianawibisono. May be an image of 1 person, sky and text that says '10:43 English A day dayleft left End date Dec 29, 2020 12:00 PM Submit Report Last Submitted Report Dec28,20208:26 2020 8:26 AM 28, Temperature: 34.7C, Symptoms:Nil'.","Yeayy, in one more day I'll be free!

#shn #quarantine #quarantinelife #covid_19 #grateful #godisgood #allthetime","PARKROYAL on Kitchener Road, Singapore",102,22
44,Aravind_Ganesh83,2473829993688579217,2020-12-28 02:47:11,aravind_ganesh83,,#timelapse #nikond5600 #nisifilters #sigma #swissotelthestamford #shn #singapore,Swissotel The Stamford,9,0
45,Primavera Desta,2473781080092847731,2020-12-28 01:08:26,primavera.desta,"Photo by Primavera Desta on December 27, 2020. May be an image of food.","Breakfast. 
#shn #stayhomenotice",,14,5
46,Aravind_Ganesh83,2473753705615452773,2020-12-28 00:16:08,aravind_ganesh83,,"From under- to over- exposed.
#timelapse #nikon #nikond5600 #sigma #swissotelthestamford #singapore #shn",,10,0
47,Volta ao Mundo em Brasília,2473586037410159445,2020-12-27 18:40:55,sheiladfcosta,"Photo shared by Volta ao Mundo em Brasília on December 27, 2020 tagging @bhotelbrasilia. May be an image of food.","Volta ao 🌎 em Brasília sempre volta ao B Hotel! #terreo #restauranteterreo Ambiente #agradabilissimo como sempre!
#pratoprincipal Ragú de Lentilha e Shimeji com Polenta de Leite de Coco #ragoût Prato leve e nutritivo. Delicioso! @bhotelbrasilia #superrecomendo #ChefJeanYvesPoirey #recomendomuito #recomendo #restaurant #restaurante Térreo, o restaurante do B Hotel. #bhotel #asanorte #shn quadra 5. Continua...",B Hotel Brasília,28,4
48,ڕۆمانی شار,2473476271951461754,2020-12-27 15:02:50,romanyshar,"Photo by ڕۆمانی شار on December 27, 2020. May be an image of animal.",#shn shn ❤️,,19,0
49,Aravind_Ganesh83,2473437010338149113,2020-12-27 13:45:57,aravind_ganesh83,,#timelapse #nikond5600 #sigma #swissotelthestamford #swissotel #shn #singapore #sunset #nikon,Swissotel The Stamford,14,2
50,Aravind_Ganesh83,2473435644622425056,2020-12-27 13:43:54,aravind_ganesh83,,#timelapse #nikond5600 #nisifilters #sigma #swissotelthestamford #swissotel #shn #singapore #monochrome #thunderstorm,Swissotel The Stamford,8,0
51,Aravind_Ganesh83,2473433576268495438,2020-12-27 13:41:15,aravind_ganesh83,,#timelapse #gopro #swissotelthestamford #swissotel #shn #singapore,Swissotel The Stamford,4,0
52,Hossan Leong,2473423676261572226,2020-12-27 13:27:05,hossanleong,,"Well so here’s Day 1. 

Had a nice chill day Trynna get into the whole #SHN vibe. 
I thot I’d take today off and not work. And just figure out how this works. 

Hence this video which @miyagisan helped me splice together.  Thanks Ben! 

Goodness knows what I’ll get up to the next 13 days! 😝 

I’m taking #SHN - #SeeHossanNow song requests coz I bought a red Roland keyboard. Yes. Apologies to my neighbours if you hear wrong chords and strange grunts. It’s me practicing. 
Ps. Anyone wants it after I check out pls PM and I’ll leave it for you 

Have a lovely last Sunday of 2020. 

#doubleconfirm @swissotelthestamford @nespresso.sg @twgteaofficial @t2tea_sg @roland_us @scentbysix @apple @jomalonelondon",,283,26
53,Hossan Leong,2473392998618985378,2020-12-27 12:17:31,hossanleong,,"So I thot I’d IG live the light show. Where got???? 

Anyway watch my daily vlog lah! 

#SHN means #SeeHossanNow #doubleconfirm",,167,7
54,,2473371140892737756,2020-12-27 11:33:58,___s.tano.__,"Photo by @___s.tano.__ on December 27, 2020. May be an image of buildings, twilight and sky.","お食事編
#SHN  Day 11

今日は朝から少し暑いくらいの晴天☀〜 夕方から激しい大雨🌩⚡⚡〜🌈（←3枚目の写真見えるかしら）〜雨上がりは爽やかな風がふく良い気候です

空の色もころころ変わって好きな景色です🐹🇸🇬

お食事は〜、差入れが楽しみな今日この頃😉",,8,2
