,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
10,Just Bike Shop,2.51E+18,9/2/2021 3:24,justbikeshop,Photo by Just Bike Shop in JUST BIKE SHOP.,"貳月貳壹，品牌入駐
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#CamelbakWaterBottles
#NewArrival
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,5,0
11,Just Bike Shop,2.51E+18,9/2/2021 3:23,justbikeshop,"Photo by Just Bike Shop on February 08, 2021. May be an image of bicycle and outdoors.","貳月貳壹，新品推薦
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#26erCrolan893
#NewArrival
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,1,0
12,VIVAX | VXi | Social Media |,2.50E+18,9/2/2021 0:00,vivaxsg,Photo by VIVAX | VXi | Social Media | in Singapore. May be an image of text that says '* Trace Together Token Pebble Token Sleeve HUE TRACE TOGETHER TOKEN EXCLUSIVE VIVAX'.,"CNY is around the corner!
Check HUE out now!

HUE Token Sleeve is exclusively design for the Pebble TraceTogether Token. Lets add some fun in our Fight against COVID-19.

You can now COLOR code your pebble and protect it from dust, water and drops!

Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,6,0
13,HUE,2.50E+18,9/2/2021 0:00,huehuesg,Photo by HUE in Singapore. May be an image of footwear and text that says 'Trace Together Token Pebble Token Sleeve HUE TRACE TOTHE US TOKEN'.,"CNY special !!!
GRAB YOURS NOW! 

HUE Token Sleeve is exclusively design for the Pebble TraceTogether Token. Lets add some fun in our Fight against COVID-19.

You can now COLOR code your pebble and protect it from dust, water and drops!

Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,1,0
14,Just Bike Shop,2.50E+18,8/2/2021 15:37,justbikeshop,"Photo by Just Bike Shop on February 08, 2021. May be an image of 2 people, people standing and bicycle.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#275erPremier5S
#20erCrolanFolding
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,3,0
15,Just Bike Shop,2.50E+18,8/2/2021 2:22,justbikeshop,Photo by Just Bike Shop in JUST BIKE SHOP. May be an image of text.,"春節休假，提前通知
犇向幸福，牛轉錢坤
Stay Safe，Stay Well
Let's Us Moo it Moo it

#justbikeshop
#UseSafeEntry
#traceTogether
#EarlyNotice
#FortuneYearOfTheOx
#BeHealtyBeWealthy
#HelloFebruary
#SGunited",JUST BIKE SHOP,2,0
16,HUE,2.50E+18,8/2/2021 0:00,huehuesg,Photo by HUE in Singapore. May be an image of text that says 'Trace Together Token Pebble Token Sleeve HUE TRACE TOKENEXCLUSIVE TOKEN EXCLUSIVE TOGETHER'.,"CNY is around the corner!
Check HUE out now!

HUE Token Sleeve is exclusively design for the Pebble TraceTogether Token. Lets add some fun in our Fight against COVID-19.

You can now COLOR code your pebble and protect it from dust, water and drops!

Buy yours now @ https://www.ihuehue.com/!

#sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid #covid19sg #tracetogethertokensleeve #tracetogethertokensg #tracetogethertokencover #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek #singapour #igsg #singaporean #huesg #sghue #vivaxsg",Singapore,4,0
17,Edna,2.50E+18,7/2/2021 11:59,crochettee,Photo by Edna in Singapore.,"Let's #TraceTogether, in stealth mode.

Handmade with @knitsirdar Cotton DK in black.

#handmadeinsg #sgunited #tracetogethertoken #tracetogethertokensleeve #tracetogethertokencover #staysafe #crochettee",Singapore,8,0
18,Just Bike Shop,2.50E+18,7/2/2021 11:50,justbikeshop,"Photo by Just Bike Shop on February 07, 2021. May be an image of 1 person and bicycle.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#26erCrolan808
#26erCrolan500-1
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,1,0
19,theindependent.sg,2.50E+18,7/2/2021 4:30,theindependent.sg,"Photo by theindependent.sg on February 06, 2021. May be an image of 2 people and people sitting.",The standard playbook for Parliament used to be different. A battery of government MPs would play around with a couple of lonely Opposition MPs on whatever issue of the day. Now and then an NMP would chip in with some usually forgotten noise.  #PritamSingh #TraceTogether #VivianBalakrishnan,,2,0
20,Just Bike Shop,2.50E+18,6/2/2021 15:09,justbikeshop,"Photo by Just Bike Shop on February 06, 2021. May be an image of bicycle and outdoors.","貳月貳壹，店長推薦
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#20erUrbano3
#20erUrbano5
#275erPremier4S/M
#275erPremier5S/M
#29erSiskiuD7M
#NewArrival
#LimitiedQuantity
#SellingFast
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,4,0
21,A.S,2.50E+18,6/2/2021 13:01,thatssomer_,"Photo shared by A.S on February 06, 2021 tagging @dawnlite74, @jillcyeh, @jojojiuwee, and @candice.gan.5. May be an image of 5 people, people sitting and indoor.","Our one and only photo that night coz we had too much to eat and talk and best was the trace tgt app for sure couldn't trace us cos our movements were too fast and furious!
.
.
.
& ya, cheers to our first lo-hei and wearing mask to loh quietly.
(Whats the rational thou if u finish loh-ing u still remove the mask to eat. The same germs will be there. And i dont think loud voice can create more germs.)
.
.
.
.
#throwback #throwbackphoto #whosthefairestofthemall #whitewhiteface #thehilariousgang #tracetogether #fromcolleaguestofriends #birthdaydinnerforbennjill",,28,1
22,Shin Yi,2.50E+18,6/2/2021 12:39,kohshinyi,"Photo shared by Shin Yi on February 06, 2021 tagging @tankarliang, @ivon_su, @janefufu, and @dennis.lau. May be an image of 11 people, child, people standing and indoor.","We FINALLY meet up after one year!

Also, happy birthday in advance KL!

#covid19 #nomorethan8guests #smm #sgunited #tracetogether",,15,0
23,Just Bike Shop,2.50E+18,6/2/2021 12:31,justbikeshop,"Photo by Just Bike Shop on February 06, 2021. May be an image of 1 person and bicycle.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#24erHarrisLady
#20erTrinxFerro1.5
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,3,0
24,Goh Peng Hong,2.50E+18,6/2/2021 11:05,gohpenghong,"Photo by Goh Peng Hong on February 06, 2021. May be an image of 1 person and standing.","thank you wonderful brothers and sisters for helping with the trace together token collection.. 有你们真好 ❤

#sembawangcentralfamily #tracetogether #wecare #buildingrelationships #ongyekung #gohpenghong",,17,0
25,Just Bike Shop,2.50E+18,6/2/2021 7:03,justbikeshop,"Photo by Just Bike Shop on February 05, 2021. May be an image of text.","貳月貳壹，店長推薦
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#20erUrbano3
#20erUrbano5
#275erPremier4SM
#275erPremier5SM
#29erSiskiuD7M
#NewArrival
#LimitiedQuantity
#SellingFast
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,6,0
26,sfl jhn,2.50E+18,6/2/2021 4:51,wrd.beard,"Photo shared by sfl jhn on February 05, 2021 tagging @mouscase, @supcaseofficial, and @apple. May be an image of saddle-stitched leather.",".

#edc 
#everydaycarry 
#pocketdump 
#mous
#wallet
#supcase 
#apple
#Keys
#tracetogether 
#sg
#sglocal 
#ig
#igsg",,10,1
27,Aurora L 🇸🇬 Momo-chan 🍑,2.50E+18,5/2/2021 13:40,yarnitbunny,"Photo shared by Aurora L 🇸🇬 Momo-chan 🍑 on February 05, 2021 tagging @tinykaki. May be an image of indoor.","More of what's currently readily available!
Top row by #Tinykaki , includes the angbao goldfish!
Bottom row by me, Momo-senpai not for sale :p

Let me know if you see anything you like! Most of these are up in my Etsy too, open to international orders.

#crochet #yarnitbunny #handmade #sgcrafters #supportsmall #amigurumi #supermario #mushrooms #dinosauras #triceratops #pineapple #tracetogether #onglai #tokencover #dustball #sootsprite #cherries #cherryearrings #chicks #piupiu #goldfish #cny #cnydeco #chinesenewyear #momo #momosenpai",,47,2
28,Just Bike Shop,2.50E+18,5/2/2021 12:02,justbikeshop,"Photo by Just Bike Shop on February 05, 2021. May be an image of standing, bicycle and text that says 'JUST BIKE SHOP dc #01-19 05 FEB 2021 PHASE DAY 40 24""POLYGON RELIC 24 THANK YOU 感恩惠顧 低碳 POLSGON 23MLEA'.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#24erPolygonRelic24
#700cWuyangFixie
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,1,0
29,🍄🌈🍀 zheshi ✨☮️🐞,2.50E+18,5/2/2021 10:52,zh3shi,"Photo shared by 🍄🌈🍀 zheshi ✨☮️🐞 on February 05, 2021 tagging @tropical.race.4. May be an image of 1 person, child and outdoors.","don’t you guys hate it when you find your mask stuck in your buttcrack?????? i can assure you that with a mask lanyard, it will never happen again! quote Zheshi Tan... i mean ZHESHI10 for 10 whole percent off a mask lanyard from @backyardlab.sg you’re not just getting a mask lanyard you’re getting a whole string of pure swag. 

#covid19 #relatable #useful #lifehack #sgunited #tracetogether #swag",,388,27
30,Ishak Budiman,2.50E+18,5/2/2021 8:39,wealthpreserver,"Photo by Ishak Budiman on February 05, 2021. May be an image of 1 person and text that says 'ealth Preserver 3 ways to avoid uncomfortable exchanges this Chinese 牛 year Being respectful does not Wealth Preserver's have to cost you your sanity #TGIF Swipe to find out'.","🧧🥳𝕋𝔾𝕀𝔽🥳🧧

Chinese New Year gatherings can be stressful, here are some tips to make it more enjoyable.

#tgif #friday #wfh #CNY #chinesenewyear #lunarnewyear #family #gongxifacai #huat #angpao #angbao #hongbao #hongbaonalai #staysane #staysafe #stayhealthy #tracetogether #safeentry #thankful #perspective #grateful #positivethinking #positivevibesonly #singapore #instagram #igers #weekend #wealthpreserver #yourwealthpreserved",,29,1
31,TehTarik.sg,2.50E+18,5/2/2021 6:29,tehtarik.sg,"Photo by TehTarik.sg on February 04, 2021.","Sekarang SafeEntry sekali ajer.
 
 
-
#tehtarik #tehtariksg #singapore #singapura #safeentry #mall #tracetogether",,22,0
32,Smart Nation Singapore,2.50E+18,5/2/2021 3:35,smartnation.sg,"Photo by Smart Nation Singapore on February 04, 2021. May be an image of text that says 'TraceTogether helped to identify more than three-quarters quarters of the close contacts when a cruise passenger onboard the Royal Caribbean International's Quantum of the Seas initially tested positive for COVID-19 in December 2020. Identified by TraceTogether EJ 1 ...........'.","Digital tools have helped to increase the speed and accuracy of contact tracing. The data provided by #SafeEntry (SE) and #TraceTogether (TT) are useful supplements used in parallel with manual contact tracing.

An example of TraceTogether’s role in contact tracing is demonstrated by the case on the Royal Caribbean International’s Quantum of the Seas in December 2020. When a cruise passenger initially tested positive on board the vessel, TT data helped to identify more than three-quarters of the close contacts.

Although the passenger subsequently tested negative, this incident demonstrates how TT can come into play when TT coverage is high. We need a high level of active participation in the TT Programme, so that we can identify close contacts quickly, and take the necessary actions for quarantine, and follow-up medical attention. So please be reminded to use your TraceTogether device (App or Token) actively by keeping your App in the background, and by bringing your Token with you when you leave home!",,9,0
33,Just Bike Shop,2.50E+18,5/2/2021 2:10,justbikeshop,"Photo by Just Bike Shop on February 04, 2021. May be an image of text.","貳月貳壹，補貨上新
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#LimitSeries
#CrolanSeries
#HarrisSeries
#NewArrival
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,1,0
34,RJ Romero,2.50E+18,4/2/2021 15:57,rjrom,"Photo by RJ Romero on February 04, 2021. May be an anime-style image.","“Oh shit, forgot to wear mask” #tracetogether #toyphotography",,30,0
35,Just Bike Shop,2.50E+18,4/2/2021 13:25,justbikeshop,"Photo by Just Bike Shop on February 04, 2021. May be an image of one or more people, people standing, bicycle and outdoors.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#275erPolygonCascade3
#275erPolygonCascade4
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,7,0
36,| GG.CROCHET |,2.50E+18,4/2/2021 7:36,g.g.crochet,"Photo by | GG.CROCHET | on February 03, 2021.","Such a difficult piece with every small little details. Not easy but am super satisfied with the outcome. 

A different kind of cover for your @tracetogethersg token. Just pull it down to scan, pull back up to cover. 

All orders for CNY are close. Will be setting up a Vday special. So stay tune.. 

#tracetogether #tracetogethertoken #sgcrochet #homemade #diyhandmade",,8,0
37,Just Bike Shop,2.50E+18,3/2/2021 18:30,justbikeshop,"Photo by Just Bike Shop on February 03, 2021. May be an image of 2 people, people standing and bicycle.","貳月貳壹，感恩惠顧
牛轉錢坤，健康出遊
Stay Safe，Stay Well
Thanks for choosing us

#justbikeshop
#UseSafeEntry
#traceTogether
#700cWuyangFixieX2
#29erLimitAlloyHydraulic
#TheBestNewYearGiftEver
#HelloFebruary
#SGunited",JUST BIKE SHOP,3,0
38,TraceCover Inc,2.50E+18,3/2/2021 13:39,tracecover_sg,"Photo by TraceCover Inc on February 03, 2021. May be an image of saddle-stitched leather.","Ready for CNY 😎
#tracetogethertoken #tracetogether #tracetogethertokensg #tracetogethertokensleeve #tracetogethersg #tracetogethertokencover #tracetogethertokencase
#tracetogethertokenssgcover
#covid19 #supportlocal
#3dprint #3dprinting #3dprintingsg #3dprintingsingapore #sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid  #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek",,3,0
39,TraceCover Inc,2.50E+18,3/2/2021 13:37,tracecover_sg,"Photo by TraceCover Inc on February 03, 2021. May be an image of saddle-stitched leather.","Gold Silver Slim
#tracetogethertoken #tracetogether #tracetogethertokensg #tracetogethertokensleeve #tracetogethersg #tracetogethertokencover #tracetogethertokencase
#tracetogethertokenssgcover
#covid19 #supportlocal
#3dprint #3dprinting #3dprintingsg #3dprintingsingapore #sgunited #tracetogether #tracetogethertoken #gift #allbecuaseofcovid  #合力追踪 #govtechsg #tokengowhere #contacttracing #sgparents #straitstimes #smartnationsg #channelnewsasia #phase3 #govsg #singapore #sgartweek",,3,0
40,GovTech (Singapore),2.50E+18,3/2/2021 10:46,govtechsg,,"Do you know how to check if your #TraceTogether Token is working and what you should do if it is faulty? ⚙️

▶️ Watch this video to find out! 

📲 If you're already using the TraceTogether App, give the Token a pass! Both the App and Token perform the same function 😉 

TraceTogether, safer together.

#TechForPublicGood #GovTechSG",,23,0
41,Asian Femifesto,2.50E+18,3/2/2021 9:45,asianfemifesto,"Photo by Asian Femifesto on February 03, 2021. May be an image of text that says 'Asian Femifesto @asianfemi... 6m.. I'm enjoying this possibility of TraceTogether. Had to warn the stranger who threatened to hit me because told him not to cut queue that ATMs have cameras, so know it can curb street violence. The problem is| is don't trust the police. Evidence and persecution is different. Xinghui Kok 郭馨惠 @xing... ・1d Sylvia Lim made the point that sexual assault of a mentally disabled victim even without penetration- would be considered serious and TraceTogether data c... Show this thread'.","What do you think of Govt apps that profess to curb COVID 19 but have weak data protection policies in place? This is the problem with mobilising the police to arrest peaceful protesters, people don’t trust the police and don’t trust the justice system. #tracetogether #sgunited #aimforzerosg #fixschoolsnotstudents",,10,0
42,theindependent.sg,2.50E+18,3/2/2021 9:10,theindependent.sg,"Photo by theindependent.sg on February 03, 2021. May be an image of 1 person, sitting and standing.","Singapore—In his speech in Parliament on Tuesday (Feb 2),  Pritam Singh, the Secretary-General of the Workers’ Party and the Leader of the Opposition, made it clear that it supports the law that restricts the use of the contact tracing technology TraceTogether.
After a debate that lasted five hours, the law was passed.  #PritamSingh #TraceTogether #WP",,4,0
43,theindependent.sg,2.50E+18,3/2/2021 8:25,theindependent.sg,"Photo by theindependent.sg on February 03, 2021. May be an image of 1 person.","Singapore—In Parliament on Tuesday (Feb 2), MP Gerald Giam (WP-Aljunied GRC) pointed out that while the take-up rate for TraceTogether has reached 80 per cent, there is no guarantee that people are using it, given recent concerns over privacy.
He added that there are ways to disable the contact tracing app or token.  #GeraldGiam #TraceTogether #WP",,5,0
44,Karen,2.50E+18,3/2/2021 7:46,seriouslyhandmade,"Photo by Karen on February 02, 2021. May be an image of crochet.","Teddy Bear Trace Together Token Cases (for Oval Tokens) 💕
Pattern by me (freehand)
.
.
.
#seriouslyhandmade #tracetogether #tracetogethersg #tokencase #sgunited🇸🇬 #tracetogethertoken #amigurumi #trace #tracetogethersg #teddybear #puppy #hellokitty #QR #crochetersofinstagram #handmade #crochettokencase #crochetaddict #supportlocal  #qrcode #handmadesg #sgcrafters #amigurumiaddict #covid19 #crochet  #tokengowhere #govtechsg #govsg #safeentrysg #safeentry #合力追踪",,12,0
45,早报 zaobao.sg,2.50E+18,3/2/2021 7:28,zaobaosg,"Photo by 早报 zaobao.sg on February 02, 2021. May be an image of one or more people.","“所有要求调用个人接触者数据的申请，都得由警长（Inspector）提出，这和警方向金融机构要求提供银行数据的级别相同。”

只有高级警官才有权限申请调用防疫数据查案，所有申请也须得到刑事侦查局批准，内政部兼永续发展与环境部政务部长陈国明指出，政府为调用个人接触者追踪数据查案制定了充足的保障措施。

代表内政部答复多名议员提问的陈国明，在冠病（临时援助措施）（修正）法案昨天（2月2日）提出二读时，做出以上表示。他重申，警务人员申请调用防疫数据查案前须得到刑事侦查局批准，任何公务员如果为不属于七种重罪的调查工作泄露个人接触者追踪数据，都算触犯法律。根据相关规定，违例者将被罚款高达两万元或坐牢长达两年，或两者兼施，这比公共部门（治理）法令处以的高达5000元罚款及两年刑期更为严厉。

陈国明说，所有被调取的数据将加密及严格保密，只有得到授权的人员才能接触，当局也会详细记录接触数据的警员身份。🖼：早报制表

#zaobaosg #tracetogether #合力追踪 #国会 #防疫数据 #Privacy #Data #隐私 #covid19 #冠病",,91,4
46,TERU TERU 有晴天ジ 钩针娃娃,2.50E+18,3/2/2021 4:16,teruteruwithcrafts,"Photo by TERU TERU 有晴天ジ 钩针娃娃 on February 02, 2021.","☁︎ 𝙏𝙧𝙖𝙘𝙚𝙩𝙤𝙜𝙚𝙩𝙝𝙚𝙧 token cover
Commission
For version 4 ✨✨✨

$12. Dm to preorder

----
*tracetogether token is a device used in singapore for contact tracing*

Token Base cover pattern available in my posts/highlight ☺️
All four token version available 
---
#tracetogethertoken #合力追踪 #tracetogether #mymelody #minniemouse #米妮 #美乐蒂 #ausgonline
.
.
.
#teruteruwithcrafts #有晴天 #amigurumi #钩针玩偶 #crochet #handmade #手作娃娃 #아미구루미 #編みぐるみ #crochetdoll #instacrafts #instaamigurumi #madeinsg #diy  #handmadesingapore #supportlocalsg #sgcrafters #artistsoninstagram #kawaii",Singapore,47,0
47,TheHomeGround | THGAsia | THG,2.50E+18,3/2/2021 4:12,thehomegroundasia,"Photo by TheHomeGround | THGAsia | THG on February 02, 2021. May be a cartoon of text.","Today's news updates include: TraceTogether-only SafeEntry will allow for single-time check-in at public locations once implemented; Bill on the restriction on usage of TraceTogether data has been passed; Merger of SilkAir and SIA; and more. 

Read more, link in bio.
.
.
.
.
.
#latestnews #sglatestnews #sgbreakingnews #sgnews #sgbreaking  #coronavirus #covid19news #vaccine #thgasia #vaccinenews #covid19vaccine #parliamentupdates #parliament #SIA #businessmerger #malaysiaMCO #tracetogether #dataprivacy",,2,0
