,fullname,postid,timestamp,username,image_desc,text,location,likes,comments
17,Resepi IBU,2452850485974382799,2020-11-29 04:03:08,resepiibu.my,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,14,0
18,Dapur Ibu,2452849448723092860,2020-11-29 04:01:04,dapuribu.my,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,9,0
19,dapur.miera,2452849366061684974,2020-11-29 04:00:55,dapur.miera,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,12,0
20,resepi masakan kampung,2452848931867339228,2020-11-29 04:00:03,resepimasakankampung,,"𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

Coach Hida +6598527394
http://bit.ly/3jNcclv

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,15,0
21,Singapore Scenery 2020,2452818968520794310,2020-11-29 03:00:28,sgscenery2020,"Photo by Singapore Scenery 2020 on November 28, 2020. May be an image of buildings, skyscraper, sky and twilight.","Submission by: Cindy Chan

#sgscenery2020 #singapore #sg #igsg #sgig #instasg #singaporeinsta #singaporelife #singaporecity #thisissingapore #whatissingapore #singaporescenery #singaporeviews #singaporeinsiders #singaporediaries #singaporetoday #sgscenery #sgviews #sglandscape #sglocallife #sgneighbourhood #singaporetimes #circuitbreaker #circuitbreakersg #stayathomesg #covid19diaries #singaporetogether #togetherstrongersg #travelfromhome #shapesofhome",,31,0
22,Ivy Yee,2452805952422739189,2020-11-29 02:34:36,ivyyee,"Photo by Ivy Yee on November 28, 2020. May be an image of sandwich.","🐥今天🉐早餐来点不一样🉐配搭。。
🔰芋泥肉鬆吐司
#芋泥肉鬆吐司 #firstattempt #firsttry #notbad #thumbsup #sogood #breakfasttime #豆奶仙草#yummylicious#breakfasttime #imahappygirl #instafollow #followforfollowback #followforfollow #followme #jj#igers#igsg#singapore #random#yummylicious #webstagram#instagramhub#itssunday #weekendsishere #weekendvibes #circuitbreakersg #day238",,6,0
23,Orangey Hu,2452455535889313122,2020-11-28 14:58:23,orangejimbo,"Photo shared by Orangey Hu on November 28, 2020 tagging @jimborange, and @justinkwokodax. May be an image of dessert.",Midnight diner (深夜食堂 ) ➡️ Soufflé pancakes 🥞 with chantilly cream #whatimade #whaticook #homemade #homecook #supper #soufflepancake #chantillycream #stayhome #circuitbreakersg #橘子麻麻的廚房 #自己做 #自己煮 #宵夜 #舒芙蕾鬆餅 #香草奶油醬 #煮婦人生 #防疫 #隔離生活,,12,0
24,hourboutiqueSG,2452433303366933535,2020-11-28 14:14:13,hourboutiquesg,"Photo by hourboutiqueSG on November 28, 2020. May be an image of wrist watch.","Seiko 5 PVD Rose Gold
Automatic SRPE72K1
__________________________________
SGD318
____________________________________
#hourboutiquesg #seiko #seiko5 #srpe72k1 #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,95,1
25,Ivy Yee,2452398223786798833,2020-11-28 13:04:31,ivyyee,"Photo shared by Ivy Yee on November 28, 2020 tagging @josephineyee. May be an image of food.","🐥晚餐嚟个黑豚鲍鱼拉面🍜 ➕ 溏心蛋🥚
#黑豚拉麵 #溏心蛋 #ramennoodles #dinnertime #abalone #thumbsup #sogood #toogoodtoresist #getinmybelly #yummyinmytummy #happybellyhappylife#instagood#instafood #instafollow #followforfollow #followforfollowback #followme #jj#igers#igsg#singapore #random #webstagram#circuitbreakersg #day237#itssaturday #weekendsishere #weekendvibes",,9,0
26,Iskandar Hasif,2452259065218514146,2020-11-28 08:29:28,darkains,,"A must-have song for those long travels on the open road. Such a deep song.

#acousticguitar #acoustic #acousticcover #instamusic #instadaily #igdaily #igmusic #musicislife #singer #goodmusic #noedits #onetake #recordedusingphone #rawcover #songcover #singers #singerlife  #vocalist #volumeup #music #sgmusic #circuitbreakersg #circuitbreaker #newnormal #oneheadlight #thewallflowers",,13,2
27,Destinie Wong,2452240969085501555,2020-11-28 07:52:05,destinie2435,"Photo by Destinie Wong on November 27, 2020. May be an image of food.","A meal is not complete without dessert and home brew coffee! 
Original and chocolate financier, baked tiramisu from Henri Charpenter 😋 

#circuitbreakersg #afternoontea #coffeelover #financier #bakedtiramisu #stayhomestaysafe",,42,1
28,hourboutiqueSG,2452228077120904549,2020-11-28 07:26:28,hourboutiquesg,"Photo shared by hourboutiqueSG on November 27, 2020 tagging @westendwatchco1886. May be an image of wrist watch.","WestEnd Watch Co.
Green Dial
Swiss Made, ETA2836-2
__________________________________
SGD699
____________________________________
#hourboutiquesg #westend #swissmade #westendwatch #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,80,2
29,Ivy Yee,2452224474794041436,2020-11-28 07:19:19,ivyyee,"Photo shared by Ivy Yee on November 27, 2020 tagging @josephineyee. May be an image of food and text that says 'Great DAY Cheesy Ham & Egg Croissant'.","🐥 Simple lunch：Cheesy Ham & Egg Croissant 🧀🥓🍳🥐
#butterycroissants #toogoodtoresist #yummyinmytummy #simplelunch #simpleeats #croissant #instagood#instafood #instafollow #followforfollow #followforfollowback #followme #jj#igers#igsg#singapore #random #webstagram#circuitbreakersg #day237#itssaturday #weekendsishere #weekendvibes",,7,0
30,Destinie Wong,2452223111358316390,2020-11-28 07:16:36,destinie2435,"Photo by Destinie Wong on November 27, 2020. May be an image of food.","Saturday’s late lunch - Garlic fried egg with Salmon belly, and corn 

#circuitbreakersg #homecooking #garlicfriedrice #salmonbelly #corn #latelunch",,60,3
31,No.1 Milk Cereal Crunch Cookie,2452208343274457728,2020-11-28 06:47:16,kimme.ko,"Photo shared by No.1 Milk Cereal Crunch Cookie on November 27, 2020 tagging @synccycle. May be an image of 1 person and food.","Happy 4th Anniversary @synccycle! We hope you’re enjoying the cookies in your goodie bag! If you liked them, do dm/mention us! We would love to know 💖🙏",Sync Cycle,84,2
32,Singapore Scenery 2020,2452184783221285258,2020-11-28 06:00:27,sgscenery2020,"Photo by Singapore Scenery 2020 on November 27, 2020. May be an image of car.","Submission by: Hey Chung

#sgscenery2020 #singapore #sg #igsg #sgig #instasg #singaporeinsta #singaporelife #singaporecity #thisissingapore #whatissingapore #singaporescenery #singaporeviews #singaporeinsiders #singaporediaries #singaporetoday #sgscenery #sgviews #sglandscape #sglocallife #sgneighbourhood #singaporetimes #circuitbreaker #circuitbreakersg #stayathomesg #covid19diaries #singaporetogether #togetherstrongersg #travelfromhome #shapesofhome",,16,0
33,Little Elephant SG,2452172900272990792,2020-11-28 05:36:51,littleelephantsg,Photo by Little Elephant SG in Little Elephant SG. May be an image of food.,"New dish! Steam Squid with lime and garlic sauce! Perfect dish for wet weather 😋!
.
.
.

⚠️to additional precaution measures, lesser tables, and lesser manpower, we do seek your kind understanding and cooperation to have more patience with our staffs.🙏🏻🙏🏻🙏🏻
.
.
⚠️ Operating hours will be updated as follow: 
 ▶️ Tues - Fri: 11:30am to 3pm; 6pm to 10:30pm
 ▶️ Sat/Sun/PH: 11:30am to 10:30pm
.
.
.
#littleelephantsg #littleelephantthaibistro #tiongbahru #thaifood #thaifoodsg #setlunchsg #sgsetlunch #singaporefood #singapore #sgfood #foodsg #foodinsing #singhabeer #changbeer #lunchsg #dinnersg #takeawaysg #takeaway #tabao #deliverysg #fooddeliverysg #SGUnited #savefnbsg #supportlocal #supportlocalbusiness #circuitbreakersg #steamsquid #thaisteamsquidwithspicychilliandlimesaucerecipe #newdish",Little Elephant SG,33,0
34,Destinie Wong,2452128572819792736,2020-11-28 04:08:46,destinie2435,"Photo by Destinie Wong on November 27, 2020. May be an image of food.","My 3+2+1 dinner for Teochew porridge, ordered steam threadfin, fish cake and Hae Bee Hiam

#circuitbreakersg #dineout #teochewporridge #teochewsteamfish #teochewsteamthreadfin #threadfin #fishcake #haebeehiam",Sin Chao Gardens - 新潮園,58,4
35,Aneka Resepi Mudah,2452119117578355127,2020-11-28 03:49:59,resepi_ala_kampung,"Photo by Aneka Resepi Mudah on November 27, 2020. May be an image of 2 people, headscarf and text that says 'orang yang suka makan Tapi masih nak kurangkan ber@t b@d@n'.","Follow IG @dietwithhida_ ajak kawan2 sekali. 

𝗣𝗘𝗡𝗗𝗔𝗙𝗧𝗔𝗥𝗔𝗡 𝗞𝗜𝗡𝗜 𝗗𝗜𝗕𝗨𝗞𝗔

✔ WhatsApp group Mentoring & Coaching
✔ Meal plan beserta resepi sihat 25 hari
✔ Combo workout step by step dari rumah
✔ Groceries checklist

🔊 PENDAFTARAN SUDAH DI BUKA
🚫 SLOT TERHAD

📲 Click link Whatsapp di bio
@dietwithhida_
@dietwithhida_
@dietwithhida_

#hpbsg #sihatsg #makansihatbadansihat #circuitbreakersg #muslimahsg #activesg #makansg #fitnesssg #islamsg #kekalsihatsg #sukamakan #sihatluardalam #sihatdancantik #jomsihat #kurusdarirumah #muslimahcantik #kuruslangsing #weightloss #dietsihat #dietcepat #healthylifestyle #dudukrumahchallenge #igsg #kurustanpaberlapar #kurusmudah #nakslim #malaysia #resipisihat #bajuplussize #okletsgo",,53,2
36,🌈RainbowDiaries⭐️Shub,2452099030745127618,2020-11-28 03:10:05,shub_sg,"Photo shared by 🌈RainbowDiaries⭐️Shub on November 27, 2020 tagging @shub_sg, @socialmediamomsg, and @browspop. May be a closeup of 3 people and hair.","I found a vacuum Cleaner for my blackheads 😃 and grass cutter for my eyebrows and mopper for my skin !!! #swiperight💡to see all these gadgets in action.

I discovered @browspop during #circuitbreakersg to keep my brows game strong. Many of my friends bought also after that. Now #browspop have launched even better version of the Precision Brows Pen and it can be used not only for eyebrows but also for removing facial hair. 

That hot pink gadget you see in the right of this collage is Browspop Facial Cleanser Massager. It supercleanses the skin and that too gently. It's massaging function helps to improve blood circulation.

And the Vacuum cleaner is a Magic Blackhead Remover that suctions out blackheads and other impurities. Comes with 5 probes for different target areas and No, it's not painful ✅

🛍️🛍️🛍️ Currently there are amazing deals on these products. Head to browspop.com! #freeshipping
#worldwideshipping 🛍️🛍️🛍️🛍️

.
#browspop #rainbowdiaries
#browsgang #browssg #sgbeauty #sgbeautyblogger #beyourownbeautiful #selflove #selfcare #doitall #skincare #skincareroutine #skincaretips  #productreviews #gadgetfreak #productreviewer #techreviewer #techblogger",,1025,77
37,Ivy Yee,2452099012566602597,2020-11-28 03:10:02,ivyyee,"Photo by Ivy Yee on November 27, 2020. May be an image of food.","🐥嚟返个健康嘅早餐：三文鱼炒蛋 🍳
#salmonscrambledeggs #myfav #thumbsup #sogood #yummyinmytummy #yummylicious#breakfasttime #imahappygirl #instafollow #followforfollowback #followforfollow #followme #jj#igers#igsg#singapore #random#yummylicious #webstagram#instagramhub #circuitbreakersg#day237 #itssaturday #weekendsishere #weekendvibes #vsoymultigrain",,3,0
38,Suzie Koh-Caroline,2452024660928128170,2020-11-28 00:42:19,hokeizus,"Photo by Suzie Koh-Caroline on November 27, 2020. May be an image of jewelry.","A perfect gift for a special birthday girl, functional and aesthetic, this 3-in-1super long necklace can be worn as a mask chain or a lanyard! It is made of rose quartz, citrines, sodalites and pink opals - this will make a perfect gift for this extraordinary Christmas 2020....pre-order now as it takes time and effort to make! You just need to let us know your favourite colours or stones.

We are pledging 20% to @HPHPcommunity and @Mettacats_and_Dogs_sanctuary,  for every piece sold, DM for details. 

#HappyPeopleHelpingPeople #elderly #cardboardcollectors #MettaCatsandDogsShelter #dogood #circuitbreaker #chalcedony #sodalite #rosequartz #citrine #pinkopal
#gemstonejewelry #braceletstacks #braceletstyle #colorfuljewelry #jewelrystack #necklace #maskchain #lanyard #beadedjewelryofInstagram #craftworkshops #craftingexperiences #SGcrafters #SGmummy #supportlocalSG #instaSG #SGIG #beatCovid19together #circuitbreakerSG",,11,0
39,TheBeadingBuddies,2452022097604458715,2020-11-28 00:37:13,thebeadingbuddies,"Photo by TheBeadingBuddies on November 27, 2020. May be an image of jewelry.","A perfect gift for a special birthday girl, functional and aesthetic, this 3-in-1super long necklace can be worn as a mask chain or a lanyard! It is made of rose quartz, citrines, sodalites and pink opals - this will make a perfect gift for this extraordinary Christmas 2020....pre-order now as it takes time and effort to make! You just need to let us know your favourite colours or stones.

We are pledging 20% to @HPHPcommunity and @Mettacats_and_Dogs_sanctuary,  for every piece sold, DM for details. 

#HappyPeopleHelpingPeople #elderly #cardboardcollectors #MettaCatsandDogsShelter #dogood #circuitbreaker #chalcedony #sodalite #rosequartz #citrine #pinkopal
#gemstonejewelry #braceletstacks #braceletstyle #colorfuljewelry #jewelrystack #necklace #maskchain #lanyard #beadedjewelryofInstagram #craftworkshops #craftingexperiences #SGcrafters #SGmummy #supportlocalSG #instaSG #SGIG #beatCovid19together #circuitbreakerSG",,25,0
40,❀ 愛 ❀,2451807678970166989,2020-11-27 17:31:13,tweetification,Photo by ❀ 愛 ❀ in Fort Canning. May be an image of nature and tree.,": The source of the fragrance lingering...
꧂ ℕ𝕠𝕧𝕖𝕞𝕓𝕖𝕣
#frangipani #plumeria #yellowfrangipani #yellowplumeria #fortcanningpark #exploringsingapore #naturewalk #mysingapore #gardencity #majulahsingapura #sgig #singaporetogether #sgunited #covid19days #circuitbreakerphase2 #circuitbreakersg #insta360onex #insta3601xsg #insta360singapore #insta360sg #tinyplanet #360photography #ai20loveones #ai20cuzzie #ai20lifestyle #ai20in2020 #photooftheday #picoftheday  #moment #ihavethisthingwithcolor",Fort Canning,31,2
41,Ivy Yee,2451690805922728216,2020-11-27 13:39:00,ivyyee,"Photo by Ivy Yee on November 27, 2020. May be an image of food.","🐥谢谢我🏠大小姐@josephineyee 买🉐番薯包！！
#sweetpotatobun#thankyou #sister#myfav #imahappygirl #breadporn #breadlover #dinnertime#instafollow #followforfollow #followforfollowback #followme #jj#igers#igsg#singapore #random #webstagram #instagramhub#itsfriday #friyay #tgif#circuitbreakersg #day236",,8,0
42,Balli Kaur Jaswal (she/her),2451686478473035452,2020-11-27 13:30:43,ballijaswal,,"My kiddo and I contributed our original lullaby to the @neverbeforesg exhibition, a project curated by the National  Museum of Singapore reflecting everyday lives in a global pandemic. Spoiler: he did not sleep. 
.
.
.
.
#covid19 #2020 #neverbeforesg #nationalmuseumofsingapore #exhibition #pandemic #toddlers #motherhood #lullaby #gothefucktosleep #lockdown #circuitbreaker #circuitbreakersg #sleepisunderrated",,119,5
43,hourboutiqueSG,2451661905287461200,2020-11-27 12:41:35,hourboutiquesg,"Photo by hourboutiqueSG on November 27, 2020. May be an image of wrist watch.","WestEnd Watch Co.
Tibetan Numerals
Swiss Made, ETA2824-2
__________________________________
SGD788
____________________________________
#hourboutiquesg #westend #swissmade #westendwatch #supportsmallbusiness  #circuitbreakersg #supportlocalsg #watchesofinstagram #sgwatch #sgwatches #wristwatch #igers #instawatch #instadaily #samsung #galaxys10 #s10 #photography #marcophotography #singapore #singapore🇸🇬 #Ootd #wotd #singaporefashion #singaporeonlineshop #singaporeWatchclub",Hour Boutique (S) Pte Ltd,88,1
