,Unnamed: 0,Comments,Datetime,num_words
36,39,"I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd ",2021-02-02,104
37,40,"As a media, you should check your source before you post a news. Our Myanmar people in abroad show their support to our democracy leaders peacefully. Not like in photos. These photos may be from somewhere else.",2021-02-02,37
38,41,"You shouldn't have done this in other foreign land, despite no matter how unhappiness you are in and how unsatisfied with the current situation in our own country, we should respect the law and the country's government which is still allowed us to be in despite our country situation. We can show our concern to the world but not this way, its must be this way then should do this in own country.",2021-02-02,71
39,42,"Really sorry for disturbing you Hello everyone! This comment is not related with you guys but please spread this to everyone around you and through out the world.  My country Myanmar is not under the control of Military. Which we could say that this is Coup. Our country’s leaders including our President Mr. Win Myint and our De Facto Mrs. Aung Sann Su Kyi have been arrested. And a citizen whom we have always look for Democracy, Freedom, Peace and Development for our country, we cannot stand this unfair situation that has happened today. Please spread this and we kindly ask for the World Leaders, United Nations and the Media to help us from this injustice act done by the military. There is really nothing to be done by us but ask Help from all of you from all around the world. Please help us save our Leaders and Country.  #Save #Myanmar  #Save #Burma  #Reject #the #Military !!! #We #need #democracy!!! #Help #us #and #support #our #Leader,  #Aung #San #Suu #Kyi #government!!! #SOSHelpAndSaveMyanmar_Burma",2021-02-02,151
40,43,"We, the people of Burma, are calling on the international community to help the military, which has just seized power Do not say that it is not in line with media ethics",2021-02-02,32
41,44,"If you report such kind of twisted photos news, how can we respect ST as a reliable souce. ",2021-02-02,18
42,45,"These photos are not Myanmar people.  Yesterday, there is a clash between Thai organizers and Thai police. Myanmar people in Thailand avoid riots during demonstrations. ",2021-02-02,25
43,47,Apologise to our people the straits times . How dare you as a reputable media platform post such baseless and misleading news during our most difficult time ? ,2021-02-02,26
44,48,"Kinda feel bad for Tokyo having to put up with these protest, especially so when it got nothing to do with them or their gov",2021-02-02,25
45,49,I am Thai and I support the protest against Myanmar coup in Bangkok.  fighting! 🇲🇲 🇹🇭,2021-02-02,14
46,50,Please find and give justice to us. Please dont ignore myanmar current situation. Please force myanmar military to give up the coup.,2021-02-02,22
47,51,"Don't even think of trying in Singapore, you will be great trouble. Our government don't allow such protest here",2021-02-02,17
48,52,There are thousands of Burmese in Singapore. While we sympathise with you don't even try to break our law and protest.,2021-02-02,20
49,53,We as a citizen of Myanmar not agree with the current move and would like to request the world leaders. UN and the world medias help our country- our leaders- our people - from this bitter acts.  We want democracy and want our country to develop as our nabouring countries.  #savemyanmar,2021-02-02,49
50,54,"You should be ashamed of this information.  They are not Myanmar Citizen.  PHOTOS are wrong.  Our country is facing a military coup. But we are Fighting peacefully together.  Our elected president and leaders have been arrested, But we are protesting peacefully under the guidance of the leaders.  So if you not help,please do not spread false information ❌❌❌ 🚫🚫🚫 We oppose the unjust military junta ❌❌❌❌  🚫🚫🚫Immediately release the illegally arrested community leader 💯💯💯‼‼‼‼",2021-02-02,71
51,55,Please research seriously before posting it The Straits Time You shouldn’t spread that kind of false information  Some are not the pictures from the event Shame on you,2021-02-02,29
52,56,"Shame on you ''the straits times''. Stop spreading false news to the world. Photos  1,2,4 aren't Myanmar. We Myanmar only protested peacefully in other countries yesterday. We are already in our hardest time. If you don't want to help, you can step aside. But don't make our people to be wrongly framed by the world.",2021-02-02,51
53,57,Go home and protest and not protest in other country.,2021-02-02,10
54,58,"Shame on you The Straits Times. You don't have enough ethics to be a media.  You used wrong photos and wrong information.  You are the same with dictator. Military coup is global issue.  If you ignore it, it will spread into your country.  Don't be selfish.",2021-02-02,44
55,59,Some photos are not related with the article. You should be ashamed of using wrong photos and giving the audience misleading information.,2021-02-02,22
56,60,All Myanmar people working overseas should go back and fight as resistance!  It's time to show your support for your PM.  Forwarding Facebook posts will not help.,2021-02-02,26
57,61,Very shame Straits Times to use the picture that wasn't from the event. Also very shame on people who called themselves democracy state member that scolding with policing judging Myanmar citizens who made noise about their country. They didn't even protests on your land lol,2021-02-02,43
58,62,"we do not accept the newly appointed cabinet ministers appointed by the Commander-in-Chief Min Aung Hlaing. The current President of our country is U Win Myint. Declaring a state of emergency and handing over power without the order of President Win Myint is completely illegal. I do not accept the re-appointment of the government at all. I totally disagree. As results of the 2020 general election, we will hold the third session of parliament and accept the appointment of a new government.",2021-02-02,79
59,63,Funny. They protest in other country. Not their own and created so much chaos. This is so wrong,2021-02-02,18
60,64,"Amazing , i saw a lot of people who know more about our politics than we do under this post 😂 You all should thanks for not being human in our country.  Only we know how our people feel.  All you know is what the media tells you only .",2021-02-02,47
61,65,"Dear people from all nations, We are very sorry if it is disturbing you. But we really need help to protect our rights.  #WeVotedNLD and always disliked both the speech and act of the military. We people have been against the despicable acts of the military and this time we think they(the military leaders) get what they deserve. They are not getting away with everything they have done over the years.  #HelpUs #HelpMyanmar #SavePeace We truly appreciate your help.",2021-02-02,76
62,66,"Dear ppl of Myanmar, Spamming our ST comment section, does not help. Worse is it irritates ppl. Go To the western media and do it. They love anything that say ‘unrest in Other countries’.",2021-02-02,34
63,67,"But why in Japan, Nepal and Thailand..  although millitary coup is wrong.. but shud not do demonstration in other people's country..",2021-02-02,20
64,68,"All The Pictures Are Not True❗️ They Mixed Some Pictures Of Fights Between Thai Students And The Polices In Last Year Event in Thailand. Please, Don’t Mislead The Situations.",2021-02-02,30
65,69,Mynmmar will forever not make progress if continue like this. they have so much natural resources and shd be on par with Thailand at this stage but with military continue like that they will be the poor cousin of Asia forever,2021-02-02,41
66,70,Shame on you The Straits Times.Some of the people in these pics are not even Myanmar.They're from different event.U certainly shd not spread false information in this fragile state.,2021-02-02,29
67,71,"If they protest and riot in other country, just revoke whatever immigration pass they hold and send then back to Myanmmar.",2021-02-02,21
68,72,"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2021-02-02,31
69,73,Shame on you The Straits Times. Why are you even using some old photos which has no relation with this posts? Have some media ethics 🤨,2021-02-02,25
70,74,Shame on you The Straits Times! Your news is flawed. You used images of people who are not even Burmese from different events. Can you verify the authenticity of images before you publish anything? 👎👎👎👎👎,2021-02-02,34
71,75,"We are fortunate in Singapore to NOT allow political protests by foreigners to upset our stability, peace and harmony. Live and work here yes but do not bring your chaos from home to our shores. Let the politicians in your homeland sort out their differences.",2021-02-02,45
72,76,"Will screenshot all these posts. If that some of the photos are added from other protests, there will be a lawsuit on this. ",2021-02-02,23
73,77,Very shame on you The Straits Times!!!! Some of these photos aren't from the current event.,2021-02-02,15
74,78,"In Singapore, follow Singapore law hor. No such thing as protest for other countries...",2021-02-02,14
75,79,"For all the citizen of 🇲🇲,  I strongly suggest all of you working in 🇸🇬, don't do foolish thing like protesting here, is not worth it as I believe all of you know the strict law in our country, the punishment will be very very harsh... Think Twice 🙏",2021-02-02,45
76,80,This is a big misunderstanding!!! Photos No.1 2 4 are not Myanmar people! Myanmar people didn't protest by this way We 'Myanmar' in foreign countries only protest peacefully. We protested with permission from the Thai police station. Don't spread incorrect news!,2021-02-02,37
77,81,"Shame on you The Starits Times ! Using the wrong photos which would make everyone misjudge about the situation.  Source of pic ( About two dozen riot police attempted to break up the protest, and clashed with Thai organisers who are part of the kingdom's own protests last year.  A police spokesman said a handful of people were detained for questioning after Thai protesters threw rocks and coloured smoke bombs.)   (Source -https://www.channelnewsasia.com/news/asia/myanmar-migrant-workers-thailand-protest-coup-14089210 ) Myanmar people in foreign countries are protesting peacefully but the people in the country can’t because we can’t let the Military use that as an excuse & claim  that they staged the coup as people are protesting ,making political unrest.",2021-02-02,109
78,82,"Dear people from all nations,  Myanmar military detained our democratically elected leaders including our state councellor Daw Aung San Su Kyi today. We are being cut off all the telecommunications and broadcasting, currently only connection is through WIFI and not sure when it will be get cut off as well.This is offending the human rights. #Save_Myanmar #Regect_the_Military #We_need_democracy #AungSanSuuKyi_government #crd",2021-02-02,54
79,83,pls don't cause nuisance in SG THKS,2021-02-02,6
80,84,#thestraitstimes #usingfakephotos  #wronginformation   Take down this false news with unauthentic images or the next turn around when myanmar situation change. Your media will last with lot of flaws and untrustworthy.  Take action for what u have done wrongly,2021-02-02,35
81,85,Why protesting in other countries? This is coward. You should all unite and go back to your own country and show solidarity.,2021-02-02,22
82,86,Go home and protest at home.,2021-02-02,6
83,87,"For those who are asking why they have to protest in other countries, we are not making fuss. As the citizens of Myanmar, we're just doing as much as we can because we have suffered more than enough from the military juntas' despicable actions. We are not making fuss and we sincerely don't want to cause problems to you. We just need justice!! And I hope you could understand us even if you interest it or not. But please just don't blame! I heard that all Myanmar people protested peacefully!  (I'm sorry if there's any mistake in my letter as I'm not that much efficient in English. I just can't stay calm after seeing some people are blaming without knowing exactly what is happening to us. It's so heartbreaking. So I just speak my mind.)",2021-02-02,127
84,88,"Shame on you ST 👎🏼👎🏼👎🏼  Your news are quite misleading. 😠 Don’t drag down our image with your unverified photos. We’re saddened, frustrated, distressed and encountering such difficult time in Myanmar. Be responsible for what you did.",2021-02-02,37
85,89,"Shame on you The Straits Time. Please work professionally. If you want to report such kind of politic news, dont be lazy . Dont just googling and post like misleading information by using other mix pictures of the other separate cases.  You may think it is just a post. It is not a small effect to us. Please have a pride on your logo at least.",2021-02-02,65
86,90,"The Straits Times can you please stop spreading false news??? People from other countries might misunderstand because of your post. At this moment,people really need to know the real situation of our country. So please help us by not spreading false news!!!! #We_need_democracy",2021-02-02,43
87,91,Don’t even think about it in Singapore. 😡,2021-02-02,8
88,92,So glad that street protests and demonstrations is NOT allowed in Singapore. ,2021-02-02,12
89,93,"Myanmar has been backward in development for  so many years, perhaps it is time for others, like the military, to take over and run the country, for progress.  SK already has her chance but didnt achieve much.",2021-02-02,37
90,94,it is totally false information with the wrong photos including violence we peacefully and systematically do our protest activities  We know there's covid statement in all countries  Please search the right news and believe we dun do such kind of things,2021-02-02,40
91,95,"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2021-02-02,31
92,96,"🛑For those who misunderstanding Daw Aung San Suu Kyi coz of rohingya crisis📌📌📌  Media has painted her as a villian, for not speaking up against the Burmese military in the rohingya conflict. Some accused her l, that the power corrupted her. Some accused her for genocide. Media had a feast. And today, This is the testament and proof that she never had that power. The military does NOT report to her. It cannot be clearer who has been trigger-happy behind all thess astrocities. Crd William Wai Aung",2021-02-02,86
93,97,It’s not Myanmar!We don’t make violent action 🥺,2021-02-02,10
94,98,"Hey Guys....The 1st, 2nd, and 4th photos are not from the real protests. 😃 I don't know the reason why are you using these old photos which have no relation with the cases that are happening in Myanmar...  Please don't spread wrong information I wish *HAVE SOME MEDIA ETHICS* 🙏🏻",2021-02-02,44
95,99,You protest to other people country for what ah? What can they do? Why angry with your host country police or military ah? Whats the point?,2021-02-02,26
96,100,Shame on you The Straits Times. Mixing up real Myanmar photos with other local thai clash news ? Is that what you call your media ethic ? Any respectable local media from Tokyo report that ? #ShameOnYouStraitsTime,2021-02-02,33
97,101,"We need help and support from international organizations. As citizens, we can't accept this unfairness for our generations, for us, for peace of all.  #Help_and_Support_our_Leader_Aung_San_Suu_Kyi #We_need_Democracy",2021-02-02,23
98,102,This is a big misunderstanding!!! Photos No.1 2 4 are not Myanmar people! Myanmar people didn't protest by this way We 'Myanmar' in foreign countries only protest peacefully. We protested with permission from the Thai police station. Don't spread incorrect news!,2021-02-02,37
99,103,"Yesterday,Myanmar people  from foreign country peacefully support to the leaders of democracy .This news may not be the true.",2021-02-02,20
100,104,"Photo no. 1,2 and 4 are Thai people protesting in Bangkok. The remaining pictures are the Burmese people peacefully protesting in respective areas.  Don't confuse others via your news. Shame on you!!!",2021-02-02,29
101,105,"Strait time, do your research properly. Don’t mix wrong photos, take pictures out of contexts to come to your own conclusion that resonate with your beliefs. Aren’t you a newspaper, aren’t you supposed to be unbiased and double, triple checked your facts and contents before publishing? What’s the point of sowing contempts and spreading misinformation when you don’t even understand the root of the problem. Can you even call yourself a newspaper? What happened to the journalism integrity?Everyone is protesting peacefully, following the rules and regulations of the countries they are in. No one is even protesting in your country, so don’t get involved. No one dares to protest in your country which lacks freedom of speech and freedom to voices one’s own opinions. And again, do proper research that’s befitting of a ‘national’ newspaper. If not, take a seat and stay out of this.",2021-02-02,154
102,106,Very shame on you The Straits Times to use the picture that wasn't from the current event.,2021-02-02,16
103,107,"Massive shame on you The Straits Times‼️ if you don’t know what exact situations in Myanmar, you better not upload this photos. Our country need help and support from all of you. It is okay not to help if you don’t want to but don’t mislead the situations. All of the Myanmar citizens were in their home and trying to stay clam.  ",2021-02-02,65
104,108,So The Straits Times posted some random photos which are unrelated to actual protests and creates chaos among Myanmar ppl and others.. 👎🏻👎🏻👎🏻,2021-02-02,22
105,109,We are now peacefully protesting the military government with civil disobedience. Don't foolishly believe what media want to show. ,2021-02-02,18
106,110,"Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than . Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2021-02-02,88
107,111,"Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than . Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar""   We ""Myanmar"" in foreign countries only protest peacefully yesterday.  Shame on you #thestraitstimes .  STOP SPREADING INCORRECT NEWS ABOUT MYANMAR ‼️",2021-02-02,88
108,112,"Those photos no.1,2 & 4 are not Myanmar people!they were WRONGLY caption as ""Myanmar"" . Pls check and correct.",2021-02-02,17
109,113,Very shame Straits Times to use the picture that wasn't from the event.,2021-02-02,12
110,114,"Don't make people confuse by showing Thai Protectors by the name of Myanmar! The violent demonstrating pictures are the pictures of Thai People protested against their own Military Government.We,the people of Myanmar demonstrate our voices peacefully!",2021-02-02,35
111,115,"Gosh, you need to investigate if the reuters are giving you the right pictures or they're getting away with the money using the old ones",2021-02-02,24
112,116,"It is not like that.We are not violent because we are being persecuted under our junta. Last night, our junta forcibly took away our newly formed party to form a new democracy.All our people will not only be evil but also fall under the greedy junta. Our country was overthrown with their weapons.",2021-02-02,51
113,117,"I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd",2021-02-02,104
114,118,"🇲🇲🇲🇲🇲🇲Why do you post wrong information and some pictures of your post that's not our citizen we really need support and help  all of your country ,please don't spread wrong info if you do that like this again and more spread wrong info about myanmar citizen, our country situation more difficult and we may get the bad situation than, please we are all need to help all of your country 🙏🙏🙏 please",2021-02-02,69
115,119,This is so wrong.you should check real sources as a true media.,2021-02-02,11
116,120,Very shame Straits Times to use the picture that wasn't from the event. Photos No.1 2 4 are not Myanmar people Don't spread incorrect news,2021-02-02,21
117,121,It is a shame that the media is so popular that they are misrepresenting the people of Burma by covering both the peaceful protest of the Burmese people in the past and Thai protests in the past. This media has trampled on Burmese people who need help and misled others.,2021-02-02,50
118,122,"I'm sure the first, second and fourth pictures are not from the myanmar protesters. These pics are from the last time where Thai people protest their government just a few months ago. Plz don't use false picture cuz we are staying at home and not protesting with violent yet. If u post like those twisted news, we can't trust The Straits Time anymore. Shame on you. #stopspreadingfalserumors",2021-02-02,63
119,123,"I don't understand, what do they wish to happen by protesting?",2021-02-02,10
120,124,We and the majority of Myanmar citizens took part in the previous election and voted to the party led by our leader we believed...  We were not being forced to vote for specific person or party before or on the voting day. We believe it is the same for the majority of Myanmar citizens and the election  provided the result that majority of Myanmar citizens wanted.  Did the majority of Myanmar citizens take part in the recent protests about the election result?  What are the conditions to meet the declaration of the state of emergency?   Is the current situation enough to declare the state of emergency?   #Save_Myanmar 🇲🇲 #Save_Burma 🇲🇲 #We_need_democracy,2021-02-02,106
121,125,"You have some wrong informations. So you should search truth information about us. We do not take to the streets to express our will. This is not to say that we accept it.We intend to follow Gandhi's path.  That is''peaceful protest''.  So you guys don't distribute wrong information. Or we will say like '' You guys are negative''.So,delete this wrong information. We will waiting to see your actions.",2021-02-02,65
122,126,Shame on you The Straits Times! Photo 1/2/4 are clearly not Burmese people protesting due to the military coup. It’s obviously a different protest in Thailand. Focus on accuracy and fact checking!,2021-02-02,32
123,127,"These photos are not Myanmar people.  Yesterday, there is a clash between Thai organizers and Thai police. Myanmar people in Thailand avoid riots during demonstrations. Credit",2021-02-02,26
124,128,"Pic 1,2,4 are false. Those are the pictures from their own country protests.  The media is mixing up the pictures. Myanmar people are on the verge of poverty and darkness because of the unlawful dictatorship. Please do not ignore and misunderstand the situations in Myanmar.",2021-02-02,44
125,129,Should research and check your ground right source before pressing as a news. This is very misleading information and messages to everyone. Most of the pictures were not taken from the current events! Our citizens in overseas only protest peacefully in every event. #STOP Spreading misleading information and news about Myanmar!,2021-02-02,50
126,130,"shame on you "" the strait time"". U should research before posting the news what is fake or real. We, myanmar citizen protested peacefully in other countries yesterday. The news you posted is the edited ones. Don't make our people to be blamed by the world.",2021-02-02,44
127,131,"Dear international friends,🇲🇲🇲🇲🇲🇲  In our country Myanmar, the military has detained our elected democratic government, party leaders and political activists. This is a breach of democracy in the nation. National television channels, some phone services and internet services are cut out nationwide.Please be aware of what is happening in Myanmar right now and support us. This is against the will of citizens. They are using weapons to shut us out.  We, people from Myanmar need urgent ATTENTION and ACTION from the people, governments around the WORLD. Myanmar military is repeating the ugliest history of conducting a coup over unfounded, false claims of vote fraudulent... Myanmar army has coup the Nation and announced to be in power for a year. We need to let the world to know that this is not our choice.   For International friends, please help us in anyway you can. Let the world know by sharing this message.  #Myanmarcoup  #myanmar_military_coup #save_myanmar #Myanmar 🇲🇲",2021-02-02,150
128,132,"The Straits Times Big shame on you 👎👎👎👎👎 you all should be ashamed of yourself for spreading  misleading news in time like this, for your (so called) alliance country .  I got nothing but Zero Respects for YOU people.",2021-02-02,37
129,133,"Guys, these pictures are definitely not Myanmar people. We, as the people who are experiencing this, know exactly what's going on and it's not like this. Check the resources before you trust something:))",2021-02-02,31
130,134,This is false news and fake information. Shame on you Straits Time. Pls get the correct information and correct the news. Myanmar People in all country following the residing country rules. There were no such protests.,2021-02-02,36
131,135,The military seized power yesterday.  We stayed at home and protested peacefully.,2021-02-02,12
132,136,"The 1st,2nd &  4th photos are not myanmar people !!  Stop spreading incorrect news Shame on you the straits times",2021-02-02,16
133,137,"We don't want riots.We are peacefully opposing injustice and just seeking help.Don't seek attention with false information and wrong photos.No wonder you don't understand,since you are not feeling it yourself.But you can empatheize with people who are really in trouble if you still have a human consciousness.Even if you can't help it,don't say bad things about people who are really in trouble.Please be HUMAN!!! We just need help from you and the world. Shame on you The Straits Times.",2021-02-02,72
134,138,"Shame on you The Straits Time. You should review the sources of pics. We, Myanmar people were limited the numbers of protesters to have the permit for the protest. Shame on You 👎👎👎",2021-02-02,32
135,139,Loll Thai government is shameless as ever. That picture are not all Myanmar also Thailand's people who are protesting their gonvernment This is the twice they blame Myanmar.  One was in covid and now .Thai goverment  already lost their democracy right.,2021-02-02,40
136,140,"I dont know why The Straits Times always goes extramile to provide false information on most of the news related to Myanmar affairs!!! .All these photos described here are obviously mixed up with Thai protesters during the previous Thai Protests and Burmese protesters in front of Myanmar Embassy. Pic No: 1,2 and 4 are not burmese protestors !!! Why must you, as a reputable New Media provides such a misleading information to everyone around the world. We are already under too much pressure due to Military Coup 😔 and you are creating such a unnecessary tension between Myanmar and the rest of the world. Very Much Disappointment !  Crd",2021-02-02,104
137,141,"We all need your help right now. We are not protesting. We are just showing off you all our pain. We all always yell about Humanity. This is the time you all show off your empathy and sympathy to world. Let's show off your Humanity. We as Myanmar Citizens need your helps, the world power.   #Reject_the_Military  #SaveMyanmar #we_all_need_theworldpower",2021-02-02,54
138,142,"You have some wrong informations. So you should search truth information about us. We do not take to the streets to express our will. This is not to say that we accept it.We intend to follow Gandhi's path.  That is''peaceful protest''.  So you guys don't distribute wrong information. Or we will say like '' You guys are negative''.So,delete this wrong information. We will waiting to see your actions.",2021-02-02,65
139,143,It's even more embarrssing for you talk about history of Burma without knowing the history of Burma. It is not because of our demonstration leader that the Rohingya were killed and left homeless. Shame on you The Straits Times media.,2021-02-02,39
140,144,"This is a false news. They are not Myanmar People We, Myanmar people don't protest in this way.  This is a big misunderstanding  Shame on you The Straits Times",2021-02-02,28
141,145,"#ShameOnYou_The_Straits_Times for spreading false news!!! To all those who are reading, beware that these photos uploaded in this post have been mixed and matched from different countries's riots to mislead readers.",2021-02-02,29
142,146,It's very shame for printed media believed such kind of wrongful sources and not telling full story about Myanmar.Shame on u guys! Other people who's trying to say violence protests didnt happened or did by myanmar citizens. We r asking for help from other democratic countries for the purpose of releasing our president and our leader Daw Aung San Su Kyi from military government and help us from military coup.Bless u all!❤ #SaveMyanmar ,2021-02-02,68
143,147,"Dear people from all nations, We are very sorry if it is disturbing you. But we really need help to protect our rights.  #WeVotedNLD for our Democracy and always disliked both the speech and act of the military. We people have been against the despicable acts of the military and this time we think they(the military leaders) get what they deserve. They are not getting away with everything they have done over the years.  #HelpUs #HelpMyanmar🇲🇲 #SavePeace🕊️ We truly appreciate your help.",2021-02-02,79
144,148,It has been two days since the Burmese military took power from a democratic government.The people are peacefully opposing the coup government. Internationals called on the international community to put pressure on the coup Burmese Military.🇲🇲🇲🇲🇲🇲,2021-02-02,35
145,149,"#Help_Burma #Save_Burma #Help_Myanmar Myanmar Military detained our head leader ""Daw Aung San Su Kyi"" and many other prime ministers from all over the states of Myanmar(Burma) who are the head leaders of National League for Democracy(NLD). We don't need Myanmar Military for making this aggressive and unrespectful situation.",2021-02-02,46
146,150,"The whole world are accusing & hating Myanmar Democratic Government & Myanmar Citizens because of Rohingya case. Actually we all Myanmar know who are the real culprits and we (Myanmar citizens) are also victims too.  We don’t have any weapons and we can’t even mention our words freely. Then how can we harm other nationalities. Whatever we said/ explain/ need help, end up we will get the negative point of views only.  Please don’t raise such a bad news if don’t have any willingness to help.  Please wake up Straits Times !! We really need any of helps to get back our country from current situation.  Now we all feel like HOPELESS!!",2021-02-02,113
