id,Comment Datetime,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1.25E+18,8/4/20,9:38:12,Sister helping me celebrate the end of my Stay Home Notice - which leads on into the month long shutdown on this island.  https://t.co/wfuTYWKHAC,[],22,Stay Home Notice,23,1,-12.46386508,3,0,2,5.798139011,1,0,0
1.25E+18,4/4/20,16:11:06,"@renzyfrenzy Yes! Naka stay home notice ako required by gov’t. Lemon water muna and I’m also drinking meds given by the doctor! Thanks, Renzy!!",[],25,Stay Home Notice,23,1,-13.6654929,4,2,0,4.971141055,0,0,0
1.25E+18,4/4/20,1:28:13,"[MARCH 31, 2020] ""As currently that I'm aware of the COVID-19 is getting worsened. I'm home the whole day. And I'm terrified to notice that, how hard of their lives can survive? It's not just that. We must all stay…  https://t.co/BBYmE0QEt5",[],34,Stay Home Notice,40,2,-11.0405256,7,0,0,13.49272166,2,0,1
1.25E+18,3/4/20,18:38:45,"Today, I was coughing so my boss sent me home and told me to go to the doctor because the gov’t spot checks companies. I went to the doctor and he told me my throat is red so he has to issue me an MC (sick leave) for 5 days. And it’s a Stay-At-Home Notice which means I can’t,",[],60,Stay Home Notice,59,3,-10.42981758,15,2,6,3.143069379,0,0,0
1.24E+18,31/3/20,7:42:14,That concludes our 14-day #StayHome Notice. 42 SMS location checks and ~10 video interviews. @MOM_sg doing an amazing job of keeping us safe in #Singapore. 🙏🏼#Coronavirus #Covid_19 @leehsienloong #Leadership 🇸🇬  https://t.co/j10j9UTOA8,"['stayhome', 'singapore', 'coronavirus', 'covid_19', 'leadership']",20,Stay Home Notice,22,1,-14.43923306,3,1,2,3.841968174,0,0,0
1.24E+18,29/3/20,21:54:11,"While serving my 14 Day Stay-Home Notice (SHN), i did something awesome with a glass mug and some oil. . Stay Safe and Safe Distancing ya big chungus !! .  All pictures inspired by @7theraYT northborders…  https://t.co/jJxIKq9z8U",[],30,Stay Home Notice,32,2,-14.61166836,3,2,2,2.924745615,0,0,0
1.24E+18,29/3/20,20:54:00,Just listen and obey for everyone’s safety.... ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/a07eDpYCYJ,[],14,Stay Home Notice,15,1,-15.75319252,3,1,0,7.214361665,1,0,0
1.24E+18,29/3/20,16:27:45,ICA cancels Singaporean's passport for breaching stay-home notice  https://t.co/MrBWl2oVMp,[],6,Stay Home Notice,8,0,-17.46212355,1,0,0,10.5295199,2,0,0
1.24E+18,28/3/20,9:14:43,Coronavirus: Man who allegedly breached stay-home notice for bak kut teh likely to be charged  https://t.co/Wbn4XYOP97 yes charged the irresponsible guy with fine and jail time. A lot of Singaporeans are not taking the threat seriously enough,[],35,Stay Home Notice,36,2,-13.14976102,6,1,0,3.515248472,0,0,0
1.24E+18,26/3/20,14:26:09,"SG monopoly version should replace Jail with Stay Home Notice.  You land on chance space and pick up chance card that says, ""You landed in Singapore and been served a Stay Home Notice. Go Home! Do not pick up Bak Kut Teh!",[],42,Stay Home Notice,42,2,-12.72741989,8,1,1,2.465973541,0,1,0
1.24E+18,25/3/20,19:11:01,"I know many of my friends are back from overseas and are currently being quarantined at the moment, and there are also many in other states that are being issued a stay-home notice. ⠀⠀⠀⠀⠀⠀⠀⠀⠀ Please act responsibly…  https://t.co/2h3zZldgWi",[],35,Stay Home Notice,36,2,-11.01806214,9,2,1,7.214361665,1,0,1
1.24E+18,23/3/20,23:33:59,Cb on birthday kenna stay home notice 😂,[],7,Stay Home Notice,7,0,-14.46295436,1,0,0,10.17421263,2,0,0
1.24E+18,23/3/20,22:01:36,"Individuals who are feeling unwell, on Leave of Absence or Stay-Home Notice, or have recent travel history to countries or regions placed under travel restrictions by the Singapore Government will also be refrained from entering the venue.",[],36,Stay Home Notice,37,2,-12.01390584,7,2,0,3.521674981,0,0,0
1.24E+18,23/3/20,16:44:03,"4/5 Noticing lots of singaporeans/PRs coming back (especially students). As most recent cases are imported, the SG gov has issued a stay-home notice for all incoming travellers. This WILL help prevent the spread of the virus. Many COVID-19 carriers are asymptomatic.",[],40,Stay Home Notice,43,2,-12.62854492,9,0,0,4.192663761,0,0,0
1.24E+18,22/3/20,15:59:13,@nicole__yu @AidaHelena_BA @Sophie_Shang The only thing I’m looking forward to this week of stay home notice 🏠,[],14,Stay Home Notice,13,1,-12.57169598,1,0,0,9.818905353,1,0,0
1.24E+18,21/3/20,13:09:56,L O V E in the midst of C O V I D - 1 9. 🦠♥️ One week LDR plus 2-weeks stay-home notice after his travel to Taiwan.  What can I say?  Counting our blessings despite the challenging times.…  https://t.co/eCdCplLwgg,[],35,Stay Home Notice,39,2,-12.78157281,3,0,3,3.148471866,0,0,0
1.24E+18,21/3/20,12:58:56,@darlingbrando Stuck at home because of 14 days stay at home notice. Hbu?,[],11,Stay Home Notice,12,1,-12.37016577,1,0,0,7.568411909,1,0,0
1.24E+18,21/3/20,11:24:47,@PMOIndia @narendramodi pls arrest ppl who violate stay home notice. Ppl need to obey rules and can't put others life in danger. Ppl are not taking things seriously.,[],25,Stay Home Notice,26,2,-12.7791103,6,1,0,4.650903543,0,0,0
1.24E+18,21/3/20,10:32:20,@bearuangz this 14 days stay home notice thingy ah just kecoh,[],9,Stay Home Notice,10,0,-15.09666691,2,0,0,10.17421263,2,0,0
1.24E+18,20/3/20,10:12:20,"Ever since this stay home notice I’ve been expanding my knowledge of cooking beyond just maggie, spaghetti and fried eggs. HAHAHAH LOVING IT",[],24,Stay Home Notice,23,1,-13.63658666,6,1,1,5.082360501,1,0,0
1.24E+18,19/3/20,18:36:41,"Singapore’s Penalties for non-compliance w/ Stay at Home Notice - Fine up to $10K and/or 6-mth imprisonment for 1st offence                - SG PR, Long-Term Pass Holders: Re-entry permit/passes may be revoked - Foreign employee: Work pass may be revoked",[],34,Stay Home Notice,41,2,-16.15529686,4,2,0,2.820286021,0,0,0
1.24E+18,19/3/20,17:00:34,@Luke_Hobson1989 Stay at Home Notice (Home quarantine),[],6,Stay Home Notice,6,0,-15.45951598,0,0,0,11.02461276,2,0,0
1.24E+18,18/3/20,19:40:45,@Akmalhakimwee Alright! You too ma bro. Kena stay home notice ke?,[],10,Stay Home Notice,10,0,-15.04681712,1,0,0,8.581824859,1,0,0
1.24E+18,18/3/20,15:01:21,"@KiyomiMcfarlane @R_Wayne111 @LT3000Lyall @ianbremmer Not forgetting consequences for those caught breaking the stay home notice. Yes we can be seem as somewhat extreme in many areas, but sometimes it works. Esp in a crisis.",[],30,Stay Home Notice,30,2,-12.44807428,6,1,1,5.798139011,1,0,0
1.24E+18,18/3/20,0:30:39,"My supervisor came from Japan one week ago and today (after working for a week alr after she arrived), the company asked her to take SHN (stay at home notice for 1 week). She was laughing when she told us &amp; we were all like “Huh you would’ve infected us already” 😅 medyo weird",[],52,Stay Home Notice,53,3,-11.44558241,12,2,3,3.184425792,0,0,1
1.24E+18,17/3/20,13:05:31,"@charis You’ll get a 2 week stay home notice from ASEAN, UK, Switzerland. No travel history from Italy, South Korea, China allowed.  https://t.co/XdiMduICl4",[],21,Stay Home Notice,21,1,-12.84262497,2,0,0,2.884685839,0,0,0
1.24E+18,17/3/20,9:48:04,I’m on a Stay home notice eversince I got back and my mom is like leaving frozen food and other groceries at my door step so that I don’t go hungry 😂😂 I FEEL LIKE A MONSTER,[],38,Stay Home Notice,36,2,-11.98414321,6,1,2,3.578757613,0,0,0
1.24E+18,16/3/20,23:23:55,"@thebuzzards3 Hey thanks , but still I will have the STAY HOME NOTICE 2 weeks I suppose",[],14,Stay Home Notice,15,1,-13.16200822,2,2,1,8.006236254,1,0,0
1.24E+18,16/3/20,10:52:19,List of Countries/Regions with Mandatory 14-Day Stay-Home Notice (SHN) for Singapore Residents and Long-Term Pass Holders upon Return   https://t.co/8ZnQD7hek2  #news #travel #singapore #sg #covid19 #virus,"['news', 'travel', 'singapore', 'sg', 'covid19', 'virus']",17,Stay Home Notice,19,1,-17.26240797,0,1,0,3.786516399,0,0,0
1.24E+18,16/3/20,7:35:53,"Much of the other social distancing procedures have been done through employers. Employers are in a lot of ways responsible for their employee’s well-being and compliance. If your employee gets sick or has a stay-at-home notice, you need to provide paid leave and meal delivery.",[],44,Stay Home Notice,45,2,-11.25265503,9,3,2,4.320647077,0,0,0
1.24E+18,15/3/20,21:17:06,WAH FUCK I KENA STAY HOME NOTICE BY MY COMPANY. WORK FROM HOME WAHLANNN,[],14,Stay Home Notice,14,1,-18.83457412,0,0,2,3.521209902,0,0,0
1.24E+18,15/3/20,18:43:46,"#Singapore 11.59pm on March 16, all travellers entering SG with recent travel history to ASEAN countries, Japan, Switzerland or the UK within the last 14 days will be issued a 14-day stay-home notice.   https://t.co/1s5HNj1D9K  #covid19sg #covid19asean  https://t.co/w1t2dpLBmJ","['singapore', 'covid19sg', 'covid19asean']",29,Stay Home Notice,33,2,-14.0204119,3,1,0,3.037248332,0,0,0
1.24E+18,15/3/20,18:27:38,I cannot afford to be issued a Stay-home notice if I continue my trip back to the Philippines. 😔💔,[],17,Stay Home Notice,18,1,-10.53763497,5,1,2,18.45413211,2,0,0
1.24E+18,15/3/20,18:17:12,"Singapore has finally imposed a 2 week Stay Home Notice (SHN) on travel from the UK, which was completely forseeable but still weirdly unnerving  https://t.co/KC4BbyO3Kg",[],23,Stay Home Notice,24,1,-13.54929103,4,3,0,4.868940318,0,0,0
1.24E+18,4/3/20,21:55:38,"Individuals who are feeling unwell, on Leave of Absence or Stay-Home Notice, or have recent travel history to mainland China, Iran, northern Italy* or the Republic of Korea will also be refrained from entering the venue.",[],35,Stay Home Notice,36,2,-11.89043861,7,2,0,3.841968174,0,0,0
1.23E+18,26/2/20,18:08:20,"Man loses PR status, barred from re-entering Singapore after breaching Stay-Home Notice  https://t.co/XtRsbMF22B",[],10,Stay Home Notice,12,1,-16.41974469,3,0,0,8.581824859,1,0,0
1.23E+18,26/2/20,15:51:38,"Coronavirus: Singapore Permanent Resident who breached stay-home notice stripped of PR status, barred from re-entering - The Straits Times  https://t.co/nYwPuZDVNf",[],16,Stay Home Notice,19,1,-16.23901613,3,0,0,4.707204081,0,0,0
