id,Comment Datetime,time,Comments,hashtags,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
1.33E+18,16/11/20,20:18:03,Moderna: Covid vaccine shows nearly 95% protection  https://t.co/ATy8g3HQou,[],6,Vaccination,7,0,-16.56117883,1,0,0,8.963978707,1,0,0
1.33E+18,16/11/20,20:09:50,"♫ All I want for Christmas is my two vax shots, my two vax shots... ♫  Moderna's coronavirus vaccine is 94.5% effective, according to company data  https://t.co/0MlvxDC9O2",[],22,Vaccination,25,1,-13.77840768,4,0,2,4.820474232,0,0,0
1.33E+18,16/11/20,20:04:20,"Major breaking news --&gt; Moderna vaxx 94.5% effective.  But the bigger news, maybe: Good for 30 days at refrigerator temperature.",[],17,Vaccination,21,1,-13.04591561,2,0,0,6.984667994,1,0,0
1.28E+18,18/7/20,5:12:02,Moderna's 370% Rally Has Cost Short Sellers $1.5 Billion in 2020  https://t.co/DacZ9OMAJb,[],7,Vaccination,12,1,-16.29264638,0,0,0,5.435687195,1,0,0
1.28E+18,16/7/20,10:03:42,"2020: “We found the Cure for COVID.” 🥺  (It’s still early days for Moderna’s potential coronavirus vaccine. But even so, it’s said to have produced a “robust” immune response in all 45 human patients that took part in its early-stage trial.) Via @finimize  https://t.co/q4lSSylPmR",[],41,Vaccination,41,2,-12.40326167,5,1,1,2.767352861,0,0,0
1.27E+18,15/6/20,23:40:26,Moderna has outlined plans for phase 3 clinical trials for its Covid-19 vaccine. $MRNA @MadMoneyOnCNBC @jimcramer any suggestions? Thanks,[],16,Vaccination,17,1,-14.34458041,2,0,0,4.058908022,0,0,0
1.27E+18,13/6/20,12:01:44,"Stages of Covid-19 vaccine development:  1. Exploratory 2. Pre-clinical (J&amp;J, Merck, Sanofi/GSK) 3. Human trials  - Phase I (Inovio)  - Phase II (Moderna, BioNTech/Pfizer)  - Phase III (Oxford/AZ) 4. Approval 5. Mass production  #Nifty #Market #StockMarket #sharemarket #NSE #BSE","['nifty', 'market', 'stockmarket', 'sharemarket', 'nse', 'bse']",28,Vaccination,38,2,-16.97200722,0,0,1,1.742850508,0,0,0
1.27E+18,4/6/20,8:34:36,"FIVE COMPANIES TRUMP ADMIN. HAS SELECTED AS FINALISTS ARE MODERNA, A COMBINATION OF OXFORD UNIVERSITY AND ASTRAZENECA, J&amp;J, MERCK AND PFIZER - NYT.",[],23,Vaccination,25,1,-19.48631658,1,1,0,1.773465241,0,0,0
1.36E+18,25/2/21,7:34:48,Israel data:  After the second dose of Pfizer vaccine  documented infection ⬇️92% symptomatic infection⬇️ 94% hospitalization ⬇️87% severe disease ⬇️92% death ⬇️72%,[],17,Vaccination,22,1,-14.14982331,1,0,0,4.323468733,0,0,0
1.36E+18,25/2/21,7:19:03,Large real world study confirms #Pfizer vaccine 94% effective  https://t.co/hyHS4YIYVS  https://t.co/PaT5MfvjmT,['pfizer'],7,Vaccination,8,0,-16.06659621,2,0,0,10.28549461,2,0,0
1.36E+18,25/2/21,7:05:58,"While the #Sinovac vaccines do not have the proven effectiveness of the #Pfizer &amp; #Moderna ones, I've met several people who would prefer them (due to older methods of production).  If approved: Hopefully, #Singapore will let people choose which they prefer.","['sinovac', 'pfizer', 'moderna', 'singapore']",35,Vaccination,37,2,-11.82688897,8,0,0,2.923445999,0,0,0
1.36E+18,25/2/21,6:51:07,"In boost for COVID-19 battle, Pfizer vaccine found 94% effective in real world  https://t.co/X0EAlKykj1  https://t.co/iwGLKT0Ofc",[],12,Vaccination,13,1,-14.94843625,1,0,0,6.54164745,1,0,0
1.36E+18,25/2/21,6:43:03,Large real world study confirms Pfizer Covid-19 vaccine 94% effective  https://t.co/5xUYUPpRTp,[],9,Vaccination,10,0,-16.00717129,1,0,0,8.69163941,1,0,0
1.36E+18,25/2/21,5:48:20,For B1.351 Pfizer basically as good as AZ is for wild type garden variety SARS Cov2,[],15,Vaccination,17,1,-14.42039051,1,0,0,9.026992087,1,0,0
1.36E+18,24/2/21,23:39:05,@Owllul moderna/pfizer use mrna hv better efficacy + larger demo during clinical trials.   sinovac 🇨🇳 use old tech + questionable efficacy. The plus to sinovac is that it’s cheaper logistically.   https://t.co/eJIqo0Be90,[],28,Vaccination,27,2,-15.11000898,5,0,0,3.74308768,0,0,0
1.36E+18,24/2/21,23:30:48,"EDIT: The Sinovac vaccines arrived on Tues evening instead of Wed. Also, Singapore's prime minister Lee Hsien Loong has yet to comment on the Sinovac shipment. Previously, when the Pfizer vaccines came, he called it a ""welcome present"", and for Moderna, he said he was ""pleased"".",[],45,Vaccination,46,2,-12.69716888,8,5,0,2.574883552,0,0,0
1.36E+18,24/2/21,23:13:07,@Santhiaaaaaaa Isn’t it suppose to be after 21 days? Pfizer right?,[],10,Vaccination,10,0,-11.83376979,2,0,0,9.026992087,1,0,0
1.36E+18,24/2/21,22:51:46,Politicization of the Covid-19 vaccines is so weird. Western countries won't take the Chinese vaccine while China won't take the Pfizer/Moderna/Astrazeneca vaccine.,[],22,Vaccination,24,1,-12.92336675,4,1,0,7.513336021,1,0,0
1.36E+18,24/2/21,22:51:43,@theoldgumtree I was told Singapore cancelled the order with Sinovac. Apparently not. The bloody ministers sure won't be using them. They already got the Pfizer.,[],23,Vaccination,24,1,-11.24468347,7,0,0,7.07002778,1,0,0
1.36E+18,24/2/21,22:05:41,"Singapore received the first batch of Sinovac vaccines on Wed, the Chinese embassy said, adding that it is a ""new highlight"" to bilateral cooperation. Singapore's health ministry stresses that Sinovac has not been granted approval unlike the Pfizer-BioNTech and Moderna vaccines.",[],39,Vaccination,41,2,-12.30860037,8,1,0,2.662907531,0,0,0
1.36E+18,24/2/21,18:50:17,Malaysia's Prime Minister Muhyiddin receives first jab of Pfizer-BioNTech COVID-19 vaccine - The Online Citizen Asia  https://t.co/b4Ku9HKdHP,[],13,Vaccination,16,1,-16.45742313,1,0,0,4.058908022,0,0,0
1.36E+18,24/2/21,18:42:23,Malaysia’s Prime Minister Muhyiddin receives first jab of Pfizer-BioNTech COVID-19 vaccine  https://t.co/47cfHlLfZd,[],11,Vaccination,11,1,-16.51009602,1,0,0,6.111149617,1,0,0
1.36E+18,24/2/21,16:11:05,"Malaysian Prime Minister Muhyiddin Yassin was the first to be given the vaccine, developed by US drugmaker Pfizer and German partner BioNTech, as part of government efforts to reassure people of the vaccine's safety.   https://t.co/FvGmVQgiyo",[],33,Vaccination,34,2,-12.36025239,5,1,1,2.101667289,0,0,1
1.36E+18,24/2/21,13:04:41,I just suffered a side effect of the Covid-19 vaccine after my 2nd jab today. I had a craving for A&amp;W...... @govsingapore compensate me please.....  #COVID19 #vaccine #Pfizer #vaccinated  https://t.co/cSOlZbuwux,"['covid19', 'vaccine', 'pfizer', 'vaccinated']",24,Vaccination,26,2,-13.59998906,4,0,2,3.049993413,0,0,0
1.36E+18,24/2/21,12:31:23,Pfizer BioNTech COVID-19 vaccine dose #2 done ✅ PSA: In Singapore you can have your Pfizer vaccine if your CD4 &gt; 200. There is no need to declare your HIV status otherwise as it is not relevant.  https://t.co/Xo3roXhI8i,[],32,Vaccination,35,2,-13.1664707,5,1,3,3.015613807,0,0,0
1.36E+18,24/2/21,8:14:33,@boosulyn Make sure it's Pfizer and not something else.,[],7,Vaccination,8,0,-12.39893214,0,1,0,15.89559935,2,0,0
1.36E+18,23/2/21,19:03:18,"Covid-19 infections down 70%, hospitalisations down 75% after 1 dose of Pfizer vaccine: UK study  https://t.co/EPArcSE72i  https://t.co/wjDteN1dbf",[],12,Vaccination,15,1,-15.55103731,0,0,0,4.820474232,0,0,0
1.36E+18,23/2/21,18:36:00,"Malaysia to receive second batch of Pfizer-BioNTech COVID-19 vaccine on 24 Feb, to consider vaccinating teachers during first phase as schools set to reopen  https://t.co/hPMAN3qhPP",[],22,Vaccination,24,1,-13.68156095,5,0,0,5.244301231,1,0,0
1.36E+18,23/2/21,16:59:07,Pfizer's COVID-19 vaccine gets nod in South Korea from first of three expert panels  https://t.co/ttu6XEfU4M  https://t.co/fjAGZpaSuQ,[],13,Vaccination,14,1,-14.84382426,1,0,0,4.681404466,0,0,0
1.36E+18,23/2/21,16:14:03,Pfizer's Covid-19 vaccine gets nod from Korea's first of three expert panels  https://t.co/l10FnU68CA,[],10,Vaccination,12,1,-14.8109157,1,0,0,5.753072637,1,0,0
1.36E+18,23/2/21,15:13:33,Pfizer to ship 13 million COVID-19 vaccine doses per week to US by mid-March: Executive  https://t.co/fNq92JyJYh  https://t.co/wWTC0mMIpy,[],13,Vaccination,15,1,-15.09232131,2,0,1,6.54164745,1,0,0
1.36E+18,23/2/21,14:32:43,From Improved Storage To New Variant Efficacy - Pfizer COVID Vaccine Shines  https://t.co/PpfqEraEdQ  https://t.co/ynq7n5TwQH,[],11,Vaccination,12,1,-18.6835211,1,0,0,4.246330712,0,0,0
1.36E+18,23/2/21,12:52:42,"182,520 more Pfizer vaccine doses to arrive tomorrow  https://t.co/SNGtOXkS1U",[],7,Vaccination,9,0,-15.42574792,2,0,0,11.16142072,2,0,0
1.36E+18,23/2/21,11:28:04,"@tulunsokit @Khairykj @DrAdhamBaba @DGHisham No guarantee that private HCWs will get Pfizer. In Johor, private HCWs are only in the 3rd phase of vaccination.",[],19,Vaccination,20,1,-14.38611225,2,0,0,3.426070416,0,0,0
1.36E+18,23/2/21,10:31:49,"@Abraham60373150 @Khairykj @DrAdhamBaba @DGHisham Pfizer being given to HCW , not sure who gets the 22% of Sinovax  https://t.co/iRIRhoiYM2",[],12,Vaccination,13,1,-15.4644324,3,0,0,6.157359429,1,0,0
1.36E+18,23/2/21,10:23:06,"In Summary (Pfizer-BioNTech COVID-19 Vaccine),  1st dose - arm sore, fatigue (lasted for a week) 2nd dose - arm sore, chills, fever (lasted for 2 days 37.5°C - 38.6°C), headache, nausea, loss of appetite   I’m okay now 48 hours after the 2nd dose 😌",[],35,Vaccination,47,2,-14.88795525,2,0,0,2.262298717,0,0,0
1.36E+18,23/2/21,8:12:47,"My mum is the first in our family to take the vaccine. She is perfectly fine. I think she was administered Pfizer. Singapore has only Pfizer or Moderna. For the rest of us, do hurry and continue the safe distancing measures. We need to be accountable to society #COVID19",['covid19'],48,Vaccination,48,2,-10.56214202,13,2,2,3.515689009,0,0,1
1.36E+18,23/2/21,7:49:02,"Pfizer to ship 13 million Covid-19 vaccine doses per week to US by mid-March, says executive  https://t.co/f8pfrzyx21",[],14,Vaccination,16,1,-14.05426411,3,0,1,7.07002778,1,0,0
1.36E+18,23/2/21,0:29:43,@techboy_88 @drmusanordin @redrun_ Recent development show that Pfizer vaccines could be stable at higher temperatures.,[],12,Vaccination,12,1,-14.61200455,1,0,0,5.951289932,1,0,0
1.36E+18,22/2/21,23:50:02,'Real-world' British data shows 70% decline in Covid-19 infections after first Pfizer shot  https://t.co/uSSzDv6wwt,[],11,Vaccination,13,1,-14.89804319,0,0,0,7.123346794,1,0,0
1.36E+18,22/2/21,19:26:49,Fact-Check: Did an Israeli man die immediately after receiving a second dose of the Pfizer vaccine? #Pfizer #COVID19 #coronavirus #COVID #COVIDー19 #Covid_19 #Israel #vaccine    https://t.co/0Kpn4t0yIx,"['pfizer', 'covid19', 'coronavirus', 'covid', 'covidー19', 'covid_19', 'israel', 'vaccine']",15,Vaccination,16,1,-15.31337875,1,0,0,3.217319832,0,0,0
1.36E+18,22/2/21,19:00:02,"Pfizer Inc, the maker of Japan's only approved COVID-19 vaccine, is ramping up production in Europe, but those increased supplies are not likely to reach Japan until May.   https://t.co/npCHYngV5c",[],27,Vaccination,28,2,-12.49528428,6,1,0,3.788028306,0,0,0
1.36E+18,22/2/21,18:58:26,"#BREAKING The rollout of the #Pfizer and Oxford-#AstraZeneca #vaccines were shown to reduce the risk of hospitalisation from #coronavirus in #Scotland by up to 85% and 94%, according to a study. 💉   https://t.co/VKk7ayakl8","['breaking', 'pfizer', 'astrazeneca', 'vaccines', 'coronavirus', 'scotland']",24,Vaccination,26,2,-12.12671997,4,1,0,3.848882872,0,0,0
1.36E+18,22/2/21,18:30:08,"Over the weekend, Cathay Pacific flew in Hong Kong’s first million doses of Sinovac’s vaccine on Friday, whilst MASKargo transported over 300,000 of Pfizer’s variant to Malaysia on Sunday. @MAS @cathaypacific   https://t.co/t3800xN2Ma",[],31,Vaccination,30,2,-14.08258429,2,0,0,2.140268142,0,0,0
1.36E+18,22/2/21,12:27:49,Pfizer reduces ultra-cold requirements for its COVID-19 vaccine  https://t.co/NvxmX97HrM,[],7,Vaccination,8,0,-16.36951465,1,0,0,11.16142072,2,0,0
1.36E+18,22/2/21,6:26:59,"Don’t blame me, I tried everything and he still doing this.  We now need the help of Pfizer and Moderna on that condition.",[],24,Vaccination,23,1,-10.12445221,4,3,2,5.285074595,1,0,0
1.36E+18,22/2/21,4:30:35,"@ATabarrok because they get paid the same either way, unlike Pfizer?",[],10,Vaccination,10,0,-11.97245023,2,0,0,15.89559935,2,0,1
1.36E+18,22/2/21,3:48:20,Pfizer’s extra vaccine dose was supposed to be a miracle. It’s now a mess  https://t.co/3CelOA8Q1L,[],16,Vaccination,14,1,-12.59137283,3,0,0,7.07002778,1,0,0
1.36E+18,21/2/21,23:50:50,"Some good news for a change! #COVID19  Pfizer-BioNTech Shot Stops Covid’s Spread, Israeli Study Shows  ["" https://t.co/6CkayxDkbt""]",['covid19'],14,Vaccination,14,1,-15.7280243,0,0,0,3.765630717,0,0,0
1.36E+18,21/2/21,22:48:02,"The Pfizer and BioNTech vaccine appeared to stop the vast majority of recipients in Israel becoming infected, providing the first real-world indication that the immunization will curb transmission of Covid  https://t.co/7cPhW0fZ23 via @business",[],30,Vaccination,31,2,-12.99727027,6,1,0,3.116195799,0,0,0
1.36E+18,21/2/21,22:17:27,Yhe future is touch down. #covidvaccine #Pfizer  https://t.co/1OmrHjXZ1W,"['covidvaccine', 'pfizer']",5,Vaccination,5,0,-15.08580103,1,0,0,15.89559935,2,0,0
1.36E+18,21/2/21,22:04:15,@huajern @yoongkhean Unless its because MH doesn't have flights to Belgium and they wanted MH to bring it into Malaysia. Or as proposed in the group Pfizer regional hub is SG and everything goes thru them,[],33,Vaccination,34,2,-12.31464501,7,2,0,3.924197955,0,0,0
1.36E+18,21/2/21,21:59:59,@WalterFRSA @yardeni Surely more upside first ..  now Pfizer data is so positive esp in Israel,[],13,Vaccination,13,1,-13.78810453,1,0,0,8.75465279,1,0,0
1.36E+18,21/2/21,21:47:30,"Pfizer-BioNTech Shot Stops Covid’s Spread, Israeli Study Shows via ⁦@business⁩   https://t.co/fD2ArsRD64",[],9,Vaccination,9,0,-17.88220173,0,0,0,4.746664147,0,0,0
1.36E+18,21/2/21,20:51:00,Coronavirus vaccine: Did Pfizer put profit first?  https://t.co/2rFJJlVZ8T,[],7,Vaccination,7,0,-14.9797473,1,0,0,7.07002778,1,0,0
1.36E+18,21/2/21,20:23:51,Just the kind of news we all want to read. The Pfizer vaccine has shown to reduce transmission and be 85% effective in Israel. This is real ground data after deployment of the vaccine and not some trial data.  https://t.co/pDhVgZfZM4 #COVID19Vaccine,['covid19vaccine'],38,Vaccination,39,2,-10.97673387,7,2,1,3.043339694,0,0,1
1.36E+18,21/2/21,20:21:51,"Pfizer-BioNTech Shot Stops Covid’s Spread, Israeli Study Shows - HOPE! #israel #pfizer   https://t.co/Qtg18ld6B7","['israel', 'pfizer']",9,Vaccination,10,0,-19.02945246,0,0,0,3.667451007,0,0,0
1.36E+18,21/2/21,18:44:57,"Jerusalem – The first dose of the Pfizer-BioNTech Covid-19 vaccine is 85 per cent effective against coronavirus infection two to four weeks later, according to a study published in The Lancet medical journal.   https://t.co/5IOd361iV5  https://t.co/DGJ6238acL",[],30,Vaccination,32,2,-13.22426238,3,0,0,3.892691265,0,0,0
1.36E+18,21/2/21,18:31:27,I had my first Covid vaccination today! It was the Pfizer vaccine. My next dose will be in 21 days 💉  #VaccinePassports #vaccine #covid  https://t.co/NjENZG3qEk,"['vaccinepassports', 'vaccine', 'covid']",19,Vaccination,20,1,-13.00763591,3,1,1,4.036847975,0,0,0
1.36E+18,21/2/21,17:14:32,"@Khairykj hi Sir, I am from SG. I am scheduled to take the Pfizer vaccine last 3 weeks but due to drug allergy that I have I was not allowed to take. My drug is under Nonsteriodal Anti-Inflammatory Drugs(NSAID). I hope this will help.",[],42,Vaccination,44,2,-11.69118331,11,1,2,3.103312427,0,0,0
