Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
You realise no talk of Tracetogether recently?,3/7/21 14:09,ramlee wrote: Vaccination is the flavour of the month But you are living in Australia,3/6/21,15,Tracetogether,15,1,-11.15169102,4,1,1,16.65822254,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Found new distractions: tray, retirement age... Can ditch old distractions liao",3/6/21,11,Tracetogether,11,1,-15.85044993,3,0,0,9.664055563,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,desmond_yee1 wrote: cause alot of TT token now out of batt the battery can only tahan 3-6 months.,3/6/21,16,Tracetogether,18,1,-14.49924263,2,0,0,8.593727813,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Quickly come out with figure say 90% of the people using it (LOL, only kumgong will believe), then faster declare victory to guarantee their bonus can liao. If push too much later will have backlash and headache again.",3/6/21,37,Tracetogether,38,2,-11.73514509,8,2,0,8.593727813,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,The new normal Sent from _eMuu_ using GAGT,3/6/21,7,Tracetogether,8,0,-14.06049655,1,0,0,34.97657075,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,desmond_yee1 wrote: cause alot of TT token now out of batt Sounds true. My auntie one just died today,3/6/21,18,Tracetogether,19,1,-13.70106552,2,0,0,10.26587658,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Why the Smart minister had not mandated this yet? Why arh?,3/6/21,11,Tracetogether,11,1,-11.54106704,2,0,0,22.28290039,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,daylight wrote: the battery can only tahan 3-6 months. those who collectes mid last year most are carrying dead tokens,3/6/21,19,Tracetogether,20,1,-13.10357221,5,0,0,12.94484066,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Let u talk to ur grandchildren...long long time ago got this token that cheng hu came out with.....,3/6/21,19,Tracetogether,19,1,-12.63144861,5,0,0,16.27391506,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"battery dead, go n change lah. they will give u the ADVANCED version blah.",3/6/21,14,Tracetogether,14,1,-13.16055603,2,0,0,8.790257254,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,alot of ppl walking around with dead batteies TT,3/6/21,9,Tracetogether,9,0,-14.57283728,2,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,CC still have a handful of people collecting token during weekend afternoon,3/6/21,12,Tracetogether,12,1,-11.61466714,2,1,0,12.94484066,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"2Blogic wrote: battery dead, go n change lah. they will give u the ADVANCED version blah. batt dead is the best outcome, just use the dead token to scan QR code",3/6/21,30,Tracetogether,31,2,-13.08054568,6,0,0,4.501121572,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Now more important to brainwash vaccines else they expire, more lugi",3/6/21,11,Tracetogether,11,1,-12.83550087,2,0,0,34.97657075,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years.",3/6/21,37,Tracetogether,39,2,-11.58287084,3,0,1,4.403636932,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,will it still work after 1 year?,3/6/21,6,Tracetogether,7,0,-9.108685467,1,1,0,66.4941953,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,JoeNan wrote: As per topic. They quietly let the bluster of imposing it on everyone die down liao? Many took already never bring out keep at home. Already cannot make it.,3/6/21,31,Tracetogether,31,2,-11.46073574,7,0,0,10.26587658,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. the same thing will happen to vaccination. once new version of vaccine is out in next 6-9 months those who jabbed last 2 months will need to go again.",3/6/21,66,Tracetogether,70,3,-11.33219865,10,1,1,2.70509564,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,haoren wrote: will it still work after 1 year? battery only last 6 months I think,3/6/21,14,Tracetogether,16,1,-10.63801518,3,1,1,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"JoeNan wrote: As per topic. They quietly let the bluster of imposing it on everyone die down liao? Waiting to go Parliament to make that law If this thing crash and burn due to TT Vivian's big mouth, Ho Jinx will be absolutely furious",3/6/21,43,Tracetogether,44,2,-12.27406066,8,2,0,3.844973751,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,kanna embarrassed big big liao still keep on talk about it meh,3/6/21,12,Tracetogether,12,1,-13.49516677,3,1,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,mryongtan wrote: battery only last 6 months I think most batt is dead 3-4 months,3/6/21,13,Tracetogether,15,1,-13.14209391,3,0,1,27.98837645,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Now focus on vaccination Sent from Samsung SM-N960F using GAGT,3/6/21,9,Tracetogether,10,0,-14.72034578,3,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. Huh cannot change batt ourselves? Then how ah? Expect us to go trade in?",3/6/21,53,Tracetogether,55,3,-11.93965834,6,0,2,3.161314035,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,nose major crime happening that leequire use of tt data?,3/6/21,10,Tracetogether,10,0,-13.06944178,1,0,0,12.6117896,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,How many million dollars spent on this endeavour which started with a bang and just faded away...,3/6/21,17,Tracetogether,17,1,-11.08197391,3,1,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Execution and deployment is a failure. They should have a internal review to find out what went wrong and why.. Too eager to roll out? Too stubborn to admit shortcomings? SG is the easiest place to roll out such things yet still can screw up so badly,3/6/21,47,Tracetogether,47,2,-11.02687063,9,4,0,6.225385716,1,1,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,Now oredi move on to COVID passport liao.,3/6/21,8,Tracetogether,8,0,-14.70441092,1,0,0,16.22886339,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,tauntme wrote: Execution and deployment is a failure. They should have a internal review to find out what went wrong and why.. Too eager to roll out? Too stubborn to admit shortcomings? SG is the easiest place to roll out such things yet still can screw up so badly Ya How many did Salty Dragon slap for tgis farce This is the opportunity for Salty Lizard to shine,3/6/21,68,Tracetogether,68,3,-12.12856837,13,4,0,2.807335989,0,1,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,Vaccine is the new savior,3/6/21,5,Tracetogether,5,0,-10.91275802,1,0,0,34.97657075,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Really wasted money on this just cause got greedy add in policing. Really draw snake add feet,3/7/21,17,Tracetogether,17,1,-12.42153482,4,0,0,12.94484066,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Tracetogether silently kena phased out? Now March liao. I assume more than 80% collected liao. Still no islandwide complusory?,3/7/21,18,Tracetogether,19,1,-14.48970874,3,0,0,19.47608255,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,I\x92m still using safe entry I guess for their tracing purposes that is enough,3/7/21,14,Tracetogether,15,1,-11.64672028,4,1,1,22.34082397,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,No use TT not happy Use TT also not happy,3/7/21,10,Tracetogether,10,0,-13.06864044,0,1,0,23.21837716,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Is this to fund LHL's son's portfolio? Spent so much money is it to showcase his clown prince? I'm asking only Sent from 10char using GAGT,3/7/21,22,Tracetogether,26,2,-12.74154596,6,0,0,6.564974895,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,xtemujin wrote: No use TT not happy Use TT also not happy Not that. Is they spent so much money on a failed project. And they kept quiet about it.,3/7/21,30,Tracetogether,30,2,-11.41515505,4,1,0,13.16600344,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,You do realise any of the government app is buggy slow and zero updates after created? Do for sake of doing,3/7/21,21,Tracetogether,21,1,-10.7739762,5,1,0,12.315599,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Ya lor i thought they want make mandatory? How come no sound liao? Dont want offend the foreigners is it as fts dont want to use TT?,3/7/21,27,Tracetogether,27,2,-13.12680679,11,0,1,6.564974895,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Many go take becos its free. Jus look at the Chinatown father n son case. Both kana covid n hv token but nvr bring out n just leave at hm. Then in the first place why go collect? Waste time only,3/7/21,41,Tracetogether,41,2,-12.94887801,5,1,0,3.21446613,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,I have my TT token wrapped in aluminium foil. I don't think government is able to track me via TT.,3/7/21,19,Tracetogether,20,1,-11.95353413,6,0,2,11.18114485,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Amazing how u can fail to make people use something even if u have the power make it mandatory,3/7/21,19,Tracetogether,19,1,-10.89589857,5,2,0,12.94484066,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Dracky wrote: I have my TT token wrapped in aluminium foil. I don't think government is able to track me via TT. just remove the batt,3/7/21,25,Tracetogether,26,2,-12.31958274,8,0,3,9.233064923,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Neon92 wrote: What is this overpumped $$ failed app? stupid thing needs data everywhere to check in, should just implement sync in the back ground",3/7/21,24,Tracetogether,24,1,-11.7324322,5,0,0,8.343136358,1,1,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"screwed up liao ... both vivian's name, as well as govtech's name.",3/7/21,9,Tracetogether,11,1,-13.99374411,1,0,0,19.47608255,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,desmond_yee1 wrote: cause alot of TT token now out of batt Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/2020/12/10/new-zealand-adopts-apple-google-contact-tracing-framework-for-covid-19-spore-chooses-to-distribute-more-tracetogether-tokens/,3/7/21,27,Tracetogether,28,2,-14.23164918,5,1,1,5.682824557,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,so will from govtech go back to google?,3/7/21,8,Tracetogether,8,0,-11.47374737,2,0,0,66.4941953,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,TT will die a natural death and with it the millions spent \U0001f601,3/7/21,12,Tracetogether,13,1,-11.2484442,2,1,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,PeanutButtor wrote: Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/202...gether-tokens/ when you collected?,3/7/21,22,Tracetogether,22,1,-14.05741834,6,1,2,10.50364908,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Vivian really good for nothing Waste money for YOG Waste money for TT Only good at gesticulating like a mime in Parliament during his speeches,3/7/21,25,Tracetogether,25,1,-12.95683357,2,0,0,6.550303201,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"PeanutButtor wrote: Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/2020/12/10/new-zealand-adopts-apple-google-contact-tracing-framework-for-covid-19-spore-chooses-to-distribute-more-tracetogether-tokens/ If u no more batt, go CC and get it replaced. They will give u a new token.",3/7/21,37,Tracetogether,37,2,-13.28077203,10,2,1,6.930280885,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,as usual we spend millions to invent the wheel bcos we wanna use it for polis......,3/7/21,16,Tracetogether,16,1,-12.3779305,4,0,1,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Well, it either keeps grassroots bolunteers busy or people gainfully employed in the process. Similar in the security industries, keep adding headcounts to justify security matters Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years.",3/7/21,65,Tracetogether,67,3,-12.12650613,9,1,1,2.153720324,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,desmond_yee1 wrote: when you collected? Should be the first batch ones here: https://forums.hardwarezone.com.sg/e...#post132496863,3/7/21,11,Tracetogether,12,1,-13.97111132,3,1,1,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. Use app also can what. Here's the token: https://forums.hardwarezone.com.sg/e...#post132496863",3/7/21,46,Tracetogether,49,2,-12.4961352,5,1,1,2.99189784,0,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,i dont think govtech roll out ready yet,3/7/21,8,Tracetogether,8,0,-13.89286588,1,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Yeah when I went to collect, the girl told me the battery will die out in 4-6mths (not sure what factors affect the battery life). Then she told me to come back to exchange for a new token -.-\x93\x94\x94 apparently we can\x92t change the batteries ourselves I can\x92t imagine doing that. Honestly I\x92ve better things to do with my time then to queue, hoping they\x92re open or have tokens for me to collect. lemefirefly wrote: Huh cannot change batt ourselves? Then how ah? Expect us to go trade in?",3/7/21,88,Tracetogether,97,3,-12.18094854,22,3,10,3.454069854,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,This kind of innovation so useless.... simi trace with bluetooth... u know how many pings u will get just by taking the MRT? Even MRT pass by the station also ping with everyone on the station... whats the point? Bluetooth is not designed to be used like this... but some scholar thinks its a good idea.. Bloody stupid,3/7/21,58,Tracetogether,58,3,-11.85573603,11,2,0,3.928863083,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,dont you realize they like to do things half way? initial stage say until v big. then later die down again.,3/7/21,21,Tracetogether,21,1,-10.77940688,5,0,1,16.65822254,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Yes, keep the stirring going. Edmwers forgot to stir their daily sh*t pot. So not use to it siah. I am so used to the foul mouth of edmwers.",3/7/21,30,Tracetogether,30,2,-11.68185088,7,0,0,9.664055563,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Its a bit weird still. Just go supermarket , can only check in using the token. Cannot check out. They say use QR code if want to check out out. Sent from An Alternative Viewpoint On Life using GAGT",3/7/21,38,Tracetogether,38,2,-12.00369777,8,1,0,5.558468872,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,Left pocket. Right pocket. Who cares about your pathetic life,3/7/21,10,Tracetogether,10,0,-11.82850364,2,0,1,27.98837645,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,I still haven\x92t collected mine sia,3/7/21,6,Tracetogether,7,0,-14.95610071,2,1,1,34.97657075,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"natsuoto wrote: I still haven\x92t collected mine sia Me too, no plans to get it at all!",3/7/21,17,Tracetogether,18,1,-12.93528106,5,1,3,16.65822254,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,U forgot phitam whipped out his hp on parliament only to discover that most of the pap miw never switch on or carry the trace together token or app? Sia sway crown prince to the max. Suppose to use this to claim credit and parachute in. Nobody talked about that after the incident.,3/7/21,53,Tracetogether,53,3,-11.69484095,9,2,0,3.844973751,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,most using it liao of course no one talk about it la,3/7/21,12,Tracetogether,12,1,-10.8018615,2,0,0,22.87083564,3,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Bro\x92s, this TT token need to Leeturn or not huh??? If leeport loss need to go sign 1206??",3/9/21,17,Tracetogether,19,1,-14.14914343,5,1,0,14.30720149,2,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Why need to install batt??? Afterall u need QR Code from tt for scanning Peasantboy wrote: Yeah when I went to collect, the girl told me the battery will die out in 4-6mths (not sure what factors affect the battery life). Then she told me to come back to exchange for a new token -.-\u201c\u201d\u201d apparently we can\u2019t change the batteries ourselves I can\u2019t imagine doing that. Honestly I\u2019ve better things to do with my time then to queue, hoping they\u2019re open or have tokens for me to collect.",3/9/21,88,Tracetogether,97,3,-12.64062593,21,3,9,2.636299126,0,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Now is VACCINE the in thing to psycho people to take, not TT",3/9/21,13,Tracetogether,13,1,-10.90275654,3,0,0,16.65822254,2,0,1
You realise no talk of Tracetogether recently?,3/7/21 14:09,now agenda is to push vaccine,3/9/21,6,Tracetogether,6,0,-9.951615889,3,0,0,66.4941953,4,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,"Just like crypto, the stir and hype only lasts as much as the number of supporters. Edmw only has finite number of bbfa.",13/3/21,23,Tracetogether,23,1,-11.65172254,3,3,0,8.190545601,1,0,0
You realise no talk of Tracetogether recently?,3/7/21 14:09,thought there was some brief mention a few days abt schools gg to get the students collect the TT token?,13/3/21,20,Tracetogether,20,1,-11.9682452,5,0,0,8.397198373,1,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,I\x92m actually not surprised. The tokens were all snapped up & there wasn\x92t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well.,27/2/21,28,Tracetogether,31,2,-12.37962907,7,0,0,10.23468696,2,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,I haven't collect. So I'm the 10% Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,27/2/21,8,Tracetogether,53,3,-21.83116596,3,0,0,34.97657075,3,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,the actual usage rate should be under 50%,27/2/21,7,Tracetogether,8,0,-10.65581521,1,0,0,34.97657075,3,1,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,"gkhchay wrote: I\x92m actually not surprised. The tokens were all snapped up & there wasn\x92t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well. Had installed long ago when it was first introduced~ use for the first month, after that stop using~ didn't collect the to token either, am in the minority 10%~?",27/2/21,57,Tracetogether,62,3,-11.61129567,15,1,1,5.069831815,1,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,Feels good to be in the 10% Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,27/2/21,10,Tracetogether,53,3,-21.98840859,2,0,0,22.87083564,3,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,"gkhchay wrote: I*********m actually not surprised. The tokens were all snapped up & there wasn*********t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well. When the battery runs out in the dining few months, see how they calculate the % again",27/2/21,48,Tracetogether,49,2,-11.49012879,12,0,1,6.400921319,1,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,"SG needs more FTs. Sinkies have problem reading english. ""About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens""",27/2/21,22,Tracetogether,24,1,-13.41684673,6,1,0,5.023697201,1,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,Something funny leh...  y so many say they are the 10%... and no body say they are the 90%? Shouldnt it be the other way round,27/2/21,24,Tracetogether,26,2,-10.67862807,6,1,0,16.65822254,2,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,What is this % at a recent parliament sitting?,27/2/21,8,Tracetogether,8,0,-9.545745362,2,0,0,64.97506879,4,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,"walterwu wrote: SG needs more FTs. Sinkies have problem reading english. ""About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens"" If those dl the app and still go and collect the token how they count? Count as 1 or 2?",27/2/21,42,Tracetogether,46,2,-12.58682389,11,5,0,4.308951988,0,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,Waiting for it to hit 120% lol,27/2/21,6,Tracetogether,7,0,-11.42977725,2,0,0,66.4941953,4,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,pls help to untiong... TT \u4f7f\u7528\u738790% means what?,27/2/21,7,Tracetogether,10,0,-17.01604321,2,0,0,22.87083564,3,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,Usage is 90% RetroActive wrote: pls help to untiong... TT \u4f7f\u7528\u738790% means what?,27/2/21,11,Tracetogether,15,1,-16.79999757,4,0,0,16.65822254,2,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,He added the app and token. Very soon will exceed 100% lol,27/2/21,11,Tracetogether,12,1,-11.39247101,3,1,0,21.75288872,3,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,"tanakow wrote: Usage is 90% usage =/= ownership la. usage means maybe 60% take liao and keep using, so every mall that has entrants, 90% of them using these token to enter, not safe entry app.. its the repeat usage that is counted for entries (90%), not the % of the population that has the token.. Word play here must read n analyse carefully... these MSM /  white scums like to do these stunts to boost their ratings...",27/2/21,71,Tracetogether,75,3,-12.27010707,16,1,0,2.816048761,0,0,1
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,eAtNeAt wrote: He added the app and token. Very soon will exceed 100% lol,28/2/21,13,Tracetogether,14,1,-12.24784146,4,1,0,21.75288872,3,0,0
Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,28/2/21 10:56,Of the surveyed ppl right?,28/2/21,5,Tracetogether,5,0,-11.39047545,1,0,0,34.97657075,3,0,0
Vivian said 90% use TraceTogether wor,27/2/21 22:20,"Got so many use meh? I myself don't. Quote: SINGAPORE - Close to nine in 10 eligible residents here have joined the Government's digital contact tracing programme, despite a recent public backlash over privacy and trust issues. About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens, and this has allowed the authorities to shave days off the contact tracing process, said Minister-in-charge of the Smart Nation initiative Vivian Balakrishnan in Parliament on Friday (Feb 26). With both the TraceTogether and SafeEntry programmes, the authorities now take 1\xbd days or less to identify and quarantine close contacts of Covid-19 patients, down from the previous average of four days, said Dr Balakrishnan. https://www.straitstimes.com/singapo...ther-programme",26/2/21,108,Tracetogether,117,4,-12.6052336,18,5,1,1.021033577,0,0,1
Vivian said 90% use TraceTogether wor,27/2/21 22:20,maybe he is referring to the 3rd dimension...,26/2/21,7,Tracetogether,8,0,-10.19695866,2,0,0,66.4941953,4,0,0
Vivian said 90% use TraceTogether wor,27/2/21 22:20,Did he think about CPC when he say that? Sent from _eMuu_ using GAGT,26/2/21,13,Tracetogether,14,1,-12.1831783,3,1,0,16.65822254,2,0,0
Vivian said 90% use TraceTogether wor,27/2/21 22:20,"blasterlord2 wrote: Got so many use meh? I myself don't. https://www.straitstimes.com/singapo...ther-programme ok noted, you are from the 10% who doesnt.",26/2/21,17,Tracetogether,19,1,-13.3558501,6,0,2,16.65822254,2,0,0
Vivian said 90% use TraceTogether wor,27/2/21 22:20,how about actual usage percentage? many tokens from last year already out of batt,26/2/21,14,Tracetogether,14,1,-11.52012889,0,0,0,12.94484066,2,0,0
Vivian said 90% use TraceTogether wor,27/2/21 22:20,I think Vivian duo pao only. I doubt the number is that high.,26/2/21,13,Tracetogether,13,1,-10.76241403,3,0,0,22.87083564,3,0,0
