,Unnamed: 0,Threads,Thread Datetime,Comments,Comment Datetime,num_words
22,27,The new mask very good leh,2021-09-03 08:25:00,"Habrosus wrote: Pre-order ends Saturday, 13 Mar, 11:59pm. Collect your free and pre-ordered MaskPlus\x99 Livinguard reusable masks by Sunday, 14 Mar,\u202f11:59pm. https://stayprepared.sg/staymasked/reusable/maskplus/ https://mask.stayprepared.sg/ Oh haha thanks, think will buy one or two more extra",2021-09-03 07:29:00,28
23,28,The new mask very good leh,2021-09-03 08:25:00,Thought someone says wearing the new mask makes her look like a LJ bin.,2021-09-03 07:32:00,14
24,29,The new mask very good leh,2021-09-03 08:25:00,FireEmblem wrote: Maybe her face too small leh or she got one too big for her face? only AMDK can wear nicely...,2021-09-03 07:43:00,22
25,30,The new mask very good leh,2021-09-03 08:25:00,But does it looks like the bulge under a korkor undies when u wear it ???,2021-09-03 08:08:00,15
26,31,The new mask very good leh,2021-09-03 08:25:00,"asiafrenz wrote: But does it looks like the bulge under a korkor undies when u wear it ??? Haha looks ok for me, I guess everyone different.since free, get one and try loh",2021-09-03 08:09:00,31
27,32,The new mask very good leh,2021-09-03 08:25:00,"You can pre order more. If you have DBS PayLah!, can just log in and place extra order. Each mask is $10. FireEmblem wrote: Got myself the XL size, haha like people feedback got extra fabric, but I find it easier to breath. Is almost as good as without mask Being bigger when I yawn will not like stretch the mask till drop down below nose and have to readjust. The mask below portion bigger and also extend beyond the front chin area to below the chin and the opening below is more loose so when breath out, the exhaled air goes out from below instead of above and fog up my glasses. Dunno outside can buy or not",2021-09-03 08:14:00,118
28,33,The new mask very good leh,2021-09-03 08:25:00,"Jeremy1 wrote: You can pre order more. If you have DBS PayLah!, can just log in and place extra order. Each mask is $10. Damn lol I dun have pay lah",2021-09-03 08:25:00,30
29,34,The new mask very good leh,2021-09-03 08:25:00,the trick is to get the largest size every time regardless what kind of mask. unless u got a super small head otherwise bigger mask always more comfy Sent from Motorola Dynatac 8000X using GAGT,2021-09-03 08:34:00,34
30,35,The new mask very good leh,2021-09-03 08:25:00,Fyi https://mask.stayprepared.sg/pre-order-additional-masks FireEmblem wrote: Damn lol I dun have pay lah,2021-09-03 09:29:00,10
31,36,The new mask very good leh,2021-09-03 08:25:00,"Jeremy1 wrote: Fyi https://mask.stayprepared.sg/pre-order-additional-masks Thanks, brought an additional 3",2021-09-03 09:58:00,7
32,37,The new mask very good leh,2021-09-03 08:25:00,"FireEmblem wrote: Surgical mask small, standard size and stuffy leh. Plus the ear loops are tight and hurt the ears after awhile. I am wearing high grade surgical mask which is real surgical standard brought way  before all these random mass production surgical masks on the market How to make surgical mask feels better on you ears..... Loosen the elastic tension on the ear loop... Holding the 2 connecting points (elastic loop and mask) using your thumb and index finger, stretch the elastic loop a few times. This makes the elastic band lose and won't strap to your ear too tightly. Also for mask in the current market, they are mess produced at normal open air factories and not inside Clean Room Environment..... And not certified to medical standards. So it justify the $2.90 for 50 masks catergory. Usual pricing pre Covid-19 is $8~$10 for medical practices purchase. (Dental or clinic).",2021-09-03 11:29:00,146
33,38,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,I am curious to know,2021-07-03 18:10:00,5
34,39,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"maybe if directly after taking jab, within 5 seconds, you stop breathing and died on the spot upon injecting with many member of the public as witness",2021-07-03 18:12:00,26
35,40,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,no need to know. cos will never happen. no evidence.,2021-07-03 18:19:00,10
36,42,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,U know i know can alrdy..,2021-07-03 18:21:00,6
37,43,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,applecrisp wrote: I am curious to know When doctor say so lor. Edmwer say not counted.,2021-07-03 18:22:00,16
38,44,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"If u got other disease and covid and die, it's covid problem. If u got other disease and take vaccine and die, it's other disease problem. Sent from Sinkieland using GAGT",2021-07-03 18:22:00,29
39,45,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Only if this person is less than 12yrs old maybe higher chance to classify. Young kids lesser health problems,2021-07-03 18:34:00,18
40,47,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Depends on how much they want to push that particular vaccine actually.,2021-07-03 18:44:00,12
41,48,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,When the carpet is full,2021-07-03 18:45:00,5
42,49,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,99.99999% above 40 sure have some minor to major underlying health conditions...,2021-07-03 18:46:00,10
43,51,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,eben if jab riao 3s die they will say it ish act of god,2021-07-03 18:46:00,13
44,52,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Get a lawyer Film The whole thing,2021-07-03 18:46:00,7
45,53,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,You will get scolded for having undeclared medical conditions,2021-07-03 18:47:00,9
46,54,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Drop dead immediately after jabbed.,2021-07-03 18:48:00,5
47,56,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Take le within sec or mins u die lo. If not after that no evidence blah blah blah to prove u died cause of vaccine.,2021-07-03 18:56:00,25
48,57,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"maybe all should go for a full checkup before vaccination, what your opinion?",2021-07-03 19:03:00,13
49,58,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"Right before vaccination, must have 100% health checkup report certified super healthy. Then with me minutes of jab, immediately drop and dies. cannot smoke. must have clean record of health, plug all loopholes.",2021-07-03 19:17:00,32
50,59,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Those with severe drug allergies or taking pre-existing medications. You need to declare to the doc. Be safe than sorry.,2021-07-03 19:20:00,19
51,60,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"On the spot got effect. Drop down and die on spot. If not on the spot, might be due to other factors.",2021-07-03 19:23:00,22
52,61,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Within 30 minute on the plastic chair,2021-07-03 19:24:00,6
53,62,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,I think must like chinese wuxia movie eat poison scene. Drink Liao. Vomit blood on spot then u need point finger at the misi then fall back,2021-07-03 19:32:00,27
54,63,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,applecrisp wrote: I am curious to know Don't think death due to vaccine will happened in Singapore. Most probably will categorise as heart failure or other causes. Patient that passed away with covid19 infection are categorized as heart attack in the past.,2021-07-03 19:39:00,41
55,64,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Uplorry within the 30 mins resting period Sent from Samsung SM-G975F using GAGT,2021-07-03 19:40:00,11
56,65,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Jab n die on the spot,2021-07-03 19:40:00,6
57,66,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,applecrisp wrote: I am curious to know When they decide they need a case that is classified as died due to vaccine.,2021-07-03 19:43:00,22
58,67,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,popdod wrote: Those with severe drug allergies or taking pre-existing medications. You need to declare to the doc. Be safe than sorry. How the hell will know if I have never been on any medications or have any health screenings?,2021-07-03 19:43:00,39
59,68,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Krabs. wrote: Within 30 minute on the plastic chair got black and white for this boh?,2021-07-03 19:43:00,15
60,69,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"FireEmblem wrote: maybe if directly after taking jab, within 5 seconds, you stop breathing and died on the spot upon injecting with many member of the public as witness Death was not due to vaccination as it would not have time to have any effect. Patient was found to have pre-existing heart condition and suffered a cardiac arrest due to stress and excitement of getting the vaccination shot.",2021-07-03 19:45:00,66
61,70,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Impossible when there is a powerful driving force behind,2021-07-03 19:53:00,9
62,71,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,ChrisChamber wrote: How the hell will know if I have never been on any medications or have any health screenings?,2021-07-03 19:58:00,20
63,72,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Must die within 30 mins after jab Posted from PCWX using SM-N970F,2021-07-03 20:04:00,10
64,74,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,When 158th say so then it is lor,2021-07-03 20:25:00,7
65,75,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"Must die immediately after jab If past 30min, means not related Once you leave the vaccination centre, if you heart attack right after stepping out of the door No goal",2021-07-03 20:26:00,29
66,76,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Maybe when they investigate and find out precisely the actual biological process for the death of victim after vaccination.,2021-07-03 20:28:00,19
67,77,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Only if this happens immediately on the stop after getting jabbed.,2021-07-03 20:30:00,11
68,78,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"FireEmblem wrote: maybe if directly after taking jab, within 5 seconds, you stop breathing and died on the spot upon injecting with many member of the public as witness they will say u choked on ur own saliva .",2021-08-03 06:52:00,37
69,79,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Err.. What do you think? Hehehe hohoho hahaha!!,2021-08-03 07:02:00,8
70,80,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"before vaccine u declare ur illness and the medicines, they say ok u can still take after vaccine anything happen to u, they say ish not because of vaccine...ish because of ur illness/medicines... how to claim....",2021-08-03 07:02:00,38
71,81,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"1) Must uplorry immediately within 30 mins after vaccination; if uplorry after 30 mins then no goal 2) Must be 100% truthful in medical form before vaccination 3) Must not have any pre-existing medical condition 4) Must not be under any medication, health supplements, drugs etc. 5) Must have rated very healthy medical checkups annually for the past 10 years. 6) Must have BMI in healthy range 7) Must have <10% body fat 8) Must not have taken any vaccination for the past 10 years. 9) Must have not visited any doctors for the past 10 years 10) Must not have consumed any unhealthy food 24 hours before vaccination 11) Must not have any family members with unhealthy medical history 12) Must not have visited any foreign country since the start of Covid pandemic 13) Must not be a known smoker 14) Must not have any alcohol detected in bloodstream 15) Must not have any records of inpatient hospitalisation or hospital visits/consulations for the last 10 years",2021-08-03 07:04:00,143
72,82,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,RIP when still under observation after jab?,2021-08-03 07:11:00,7
73,84,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,"Even if one drop dead immediately after the vaccine jab, the post mortem reveals the cause of death as heart failure, could still say you died of heart attack, not the vaccine. What can the family do to challenge?",2021-08-03 07:18:00,39
74,85,Actually what must happen then is classified as died due to vaccine?,2021-08-03 07:29:00,Think drop dead immediately also not considered,2021-08-03 07:29:00,7
75,86,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"Let's take a look at some findings on what determines an import or a community case. Confirmed on 12th Jan Quote: b) Cases residing in dormitories: 1 There is 1 case residing in a dormitory who is currently unlinked. Case 59243 is a Work Permit holder who arrived from India on 11 December 2020, and served SHN at a dedicated facility until 25 December. His swab done on 21 December during SHN was negative for COVID-19. He resides at Seatown Dormitory and started work in the construction sector on 6 January 2021. He tested negative again for COVID-19 on 27 December. However a subsequent test taken on 12 January as part of Rostered Routine Testing (RRT) came back positive for COVID-19 infection. His serological test result is positive . No of days from arrival till tested positive (11/12/2020 - 12/1/2021): 33 days (Community) Confirmed on 5th Jan Quote: Case 59034 Case 59034 is a 31 year-old male Filipino who arrived from the Philippines on 4 December, and served SHN at a dedicated facility until 18 December. His pre-departure test taken in the Philippines on 1 December was negative for COVID-19 infection, and his test on 14 December during SHN came back negative as well. He is a Work Permit holder who is employed by Singapore General Hospital (SGH), but has not started work yet. As part of his pre-employment health screening, he was tested for COVID-19 on 5 January even though he is asymptomatic, and his test came back positive. He was subsequently conveyed to SGH in an ambulance. His serological test result has come back positive, which indicates a likely past infection. Epidemiological investigations are ongoing. In the meantime, all the identified close contacts of the cases, including their family members and co-workers, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them No of days from arrival till tested positive (4/12/2020 - 5/1/2021): 33 days (Community) Confirmed on 4th Jan Quote: Case 58981 Case 58981, a 49 year-old male Indian national, is a Short-Term Visit Pass holder who is here to visit his Singaporean spouse. He arrived from India on 10 December 2020, and served SHN at a dedicated facility until 24 December. His pre-departure test taken in India on 6 December was negative for COVID-19 infection, and his test on 21 December during SHN came back negative as well. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 3 January in preparation for his return to India. His result came back positive for COVID-19 infection the next day and he was conveyed to Mount Elizabeth Hospital. His serological test result has come back positive, which indicates a likely past infection . No of days from arrival till tested positive (10/12/2020 - 4/1/2021): 26 days (Community) Confirmed on 24th Jan Quote: Case 59629 is a 19 year-old female Singaporean who returned from the UK on 6 December and served SHN at a dedicated facility until 20 December. Her swab done on 16 December during SHN was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 23 January in preparation for her return to the UK. Her test result came back positive the next day, and she was conveyed to the National Centre for Infectious Diseases. Her Ct value was very high, which is indicative of a low viral load, and her serology test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported based on her travel history. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (6/12/2020 - 24/1/2021): 50 days (Import) Confirmed on 27th Jan Quote: Case 59703 is a Work Pass holder who works as a software engineer at Pacific International Lines Pte Ltd. He arrived from India on 27 December 2020 and served SHN at a dedicated facility until 10 January 2021. His swab done on 7 January during SHN was negative for COVID-19. He subsequently worked from home from 11 January to 21 January. He developed nausea on 25 January, and sought medical treatment at a general practitioner clinic on 26 January. As he also reported intermittent cough and a sore throat, he was tested for COVID-19 and his test came back positive on 27 January. He has also tested preliminarily positive for the B117 strain. His serological test result has come back positive, which indicates a likely past infection . Given their recent travel history, we have classified both cases as imported . No of days from arrival till tested positive (27/12/2020 - 27/1/2021): 32 days (Import) Confirmed on 30th Jan Quote: Case 59825 is a 36 year-old male Singapore Permanent Resident who returned from a trip to India on 19 December 2020 and served SHN at a dedicated facility until 2 January 2021. His swab done on 31 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 29 January in preparation for another trip to India. His test result came back positive the next day, and he was conveyed to the National Centre for Infectious Diseases. His Ct value was very high, which is indicative of a low viral load, and his serology test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported based on his travel history. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (19/12/2020 - 30/1/2021): 43 days (Import) Confirmed on 3rd Feb Quote: Case 59935 is a 35 year-old female Indian national who is a Long-Term Visit Pass holder. She travelled to India from 30 November 2020 and returned to Singapore on 6 January 2021. Her pre-departure test taken in India on 4 January before her flight was negative for COVID-19. Upon her return, she served SHN at a dedicated facility until 20 January. Her swab done on 17 January during SHN was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 2 February in preparation for another trip to India. Her test result came back positive the next day, and she was conveyed to KK Women\u2019s and Children\u2019s Hospital in an ambulance. We have classified this case as locally transmitted while her serology test result is pending. Should her serology test come back positive, and epidemiological investigations assess that this is a past infection, we will reclassify this as an imported case. In the meantime, all the identified close contacts of the case, including her family members, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them. Update on Case 59935: The serology test result for Case 59935, who was reported as a local unlinked case yesterday, has come back positive , indicating a likely past infection. Given her serology status and recent travel history to India from 30 November 2020 to 6 January 2021, we have re-classified this case as imported. No of days from arrival till tested positive (6/1/2020 - 3/2/2021): 29 days (Import) Confirmed on 3rd Feb Quote: b) Cases residing in dormitories: 1 There is 1 case residing in a dormitory today. Case 59966, a 31 year-old male Bangladesh national, is a Work Pass holder who arrived in Singapore on 13 December 2020 , and served SHN at a dedicated facility until 27 December . His swab done on 23 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when his test taken on 4 February as part of Rostered Routine Testing (RRT) came back positive for COVID-19 infection. His earlier test from RRT on 13 January was negative for COVID-19. His serology test has come back positive, but given the relatively long time interval between his travel and positive COVID-19 test, we have classified this case as locally transmitted. He has not started work since arriving in Singapore, and stays at a dormitory located at 1 Soon Lee Stree No of days from arrival to Singapore till tested positive (13/12 - 5/2) - 55 Days (Community) Confirmed on 5th FEB Quote: Case 59996 is a 12 year-old female Singapore Permanent Resident who returned from India on 26 December 2020 and served SHN at a dedicated facility upon arrival. While serving SHN, she had been identified as a close contact of Case 59103 [1], a family member who travelled with her, and was subsequently placed on quarantine until 9 January. Her swab done on 8 January 2021 during quarantine was negative for COVID-19. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 4 February in preparation for her return to India. Her test result came back positive the next day, and she was conveyed to KKWomen\u2019s and Children\u2019s Hospital. No of days from arrival to Singapore till tested positive (26/12 - 5/2) - 42 Days (Import) Confirmed on 5th FEB Quote: Case 60013 is a 20 year-old male Singapore Permanent Resident who returned from the UK, where he is studying, on 29 November 2020 and served SHN at a dedicated facility until 13 December. His swab done on 9 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 4 February in preparation for his trip back to the UK. His test result came back positive the next day, and he was conveyed to the National Centre for Infectious Diseases (NCID). Both cases had very high Ct value, which is indicative of a low viral load, and their serology test results have also come back positive. Given that these indicate likely past infection , we have classified the cases as imported based on their travel history. They are likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival to Singapore till tested positive (29/11 - 5/2) - 69 Days (Import) Confirmed on 11th Feb Quote: Case 60162 is a Long-Term Visit Pass holder who arrived from Indonesia on 26 November 2020 and served SHN at a dedicated facility until 10 December. His swab done on 6 December during SHN was negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 10 February 2021 in preparation for his return to Indonesia. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high , which is indicative of a low viral load. His serological test result has also come back positive . He reported that before his trip to Singapore, he had interacted with his sibling in Indonesia who was confirmed to have COVID-19 infection in October 2020 . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (26/11/2020 - 11/2/2021): 78 days (Import) Confirmed on 18th Feb Quote: Case 60316 is a Work Pass holder who arrived from India on 30 December 2020 and served SHN at a dedicated facility until 3 January 2021. As he had been identified as a close contact of Case 58944, he was subsequently placed on quarantine from 3 January to 13 January. His swabs done on 4 January and 10 January during quarantine were negative for COVID-19. He is asymptomatic, and was detected when he took a COVID-19 pre-departure test on 17 February in preparation for his return to India. His test result came back positive for COVID-19 infection the next day, although the Ct value was very high, which is indicative of a low viral load . Another sample taken on 18 February tested negative for COVID-19. His serological test result has also come back positive . Given that these indicate likely past infection, we have classified the case as imported. He is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. No of days from arrival till tested positive (30/12/2020 - 18/2/2021): 51 days (Import) Confirmed on 4th Mar Quote: Case 60666 is a 35 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19, as was her pre-departure test taken on 18 January while she was in Indonesia. She is asymptomatic, and was detected when she took a COVID-19 pre-departure test on 4 March in preparation for her return to Indonesia. Her test result came back positive for COVID-19 infection, and she was conveyed to the National Centre for Infectious Diseases in an ambulance. Another test taken by the National Public Health Laboratory (NPHL) on 5 March came back negative for COVID-19 infection, and her serological test result has come back positive, which indicates a likely past infection. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others. However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure, including placing all her identified close contacts on quarantine No of days from arrival till tested positive (20/1/2021 - 4/3/2021): 44 days (Community) Confirmed on 5th Mar Quote: Case 60664, a 27 year-old female Indian national, is a Work Pass holder who has not started work yet. She arrived in Singapore on 8 February and served SHN at a dedicated facility until 22 February. Her test taken during SHN on 21 February was negative for COVID-19. As part of her pre-employment health screening, she was tested for COVID-19 on 4 March even though she is asymptomatic, and her test came back positive. Another test taken by NPHL on 5 March was negative for COVID-19 infection, and her serological test result has come back positive . She had also earlier tested positive for a COVID-19 antigen test in India on 18 November 2020. Given that these indicate likely past infection, we have classified the case as imported. She is likely to be shedding minute fragments of the virus RNA, which are no longer transmissible and infective to others No of days from arrival till tested positive (8/2/2021 - 5/3/2021): 26 days (Import) Confirmed on 9th Mar Quote: Case 60818 is a 37 year-old female Indonesian national who is a foreign domestic worker. She arrived in Singapore on 20 January 2021 and served SHN at a dedicated facility until 3 February. Her swab done on 2 February during SHN was negative for COVID-19. Her COVID-19 pre-departure test taken in Indonesia on 18 January was also negative.* She is asymptomatic, and was detected when she was tested on 9 March as part of MOH\u2019s investigation into Case 606661. As an added precaution, MOH tested all attendees of the Settling in Programme for foreign domestic workers on 4 February, which both Cases 60666 and 60818 attended, even though they were not close contacts. Her test result came back positive for COVID-19 infection on 9 March, and she was conveyed in an ambulance to the National Centre for Infectious Diseases. Her serological test result has come back positive, which indicates a likely past infection . However as we are unable to definitively confirm her date of infection, we will take all the necessary public health actions as a precautionary measure. No of days from arrival to Singapore till tested positive (20/01 - 9/3) - 49 Days (Community) Confirmed on 11th Mar Quote: Case 60831 is a 36 year-old male Indian national who is a Work Pass holder. He arrived from India on 16 January and served SHN at a dedicated facility until 30 January. His test taken on 29 January during SHN was negative for COVID-19. He works as an IT Engineer at Deutsche Bank but has been working from home since his arrival in Singapore. He developed a runny nose on 1 March and sought medical treatment at a General Practitioner clinic on the same day. As he declined to be tested for COVID-19, he was given 5 days of medical leave and advised to return for a test if he did not recover. He was subsequently detected on 11 March when he took a COVID-19 pre-departure test in preparation for his trip to India. His test result came back positive for COVID-19 infection on the same day, and he was conveyed to the National Centre for Infectious Diseases in an ambulance. His serological test result has come back positive, which indicates a likely past infection. Epidemiological investigations are ongoing. In the meantime, all the identified close contacts of the case, including his household contacts, have been isolated and placed on quarantine, and will be tested at the start and end of their quarantine period so that we can detect asymptomatic cases. We will also conduct serological tests for the close contacts to determine if the case could have been infected by them. No of days from arrival till tested positive (16/1/2021 - 11/3/2021): 55 days (Community) So we have a case that 55 days is considered community but also up to 78 days is considered as import (despite having been in the community for 64 days after SHN has ended). All their serology test came back positive (regardless of community or imported) which indicates a likely past infection but we can see that high CT Value also indicates low viral load which determines it to be a past infection . However that was only tested on the day when they tested positive. Just curious, what were their CT Values if they were detected earlier say after SHN has ended instead of several days/months later on their pre-departure test. And how many days in Singapore till tested positive will they still consider it as import case if they have high CT value. 2-3 months? Half a year?",2021-07-02 00:38:00,2831
76,87,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,"A lot of these cases had prior negatives, is their some phase of the virus in which your shedding a higher load of dead fragments but when asymptomatic with the live virus then the viral load is lower? If vaccinated with the dead virus version, you also will kena positive test?",2021-07-02 00:42:00,51
77,88,Compilation of the no of days since arrival in SG to be considered community/import case,2021-06-03 23:41:00,Wah... WOT in edmw... jsk research,2021-07-02 00:42:00,6
