,Threads,Thread Datetime,Comments,Comment Datetime,num_words
18,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,desmond_yee1 wrote: cause alot of TT token now out of batt the battery can only tahan 3-6 months.,2021-06-03 21:40:00,16
19,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Quickly come out with figure say 90% of the people using it (LOL, only kumgong will believe), then faster declare victory to guarantee their bonus can liao. If push too much later will have backlash and headache again.",2021-06-03 21:44:00,37
20,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,The new normal Sent from _eMuu_ using GAGT,2021-06-03 21:45:00,7
21,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,desmond_yee1 wrote: cause alot of TT token now out of batt Sounds true. My auntie one just died today,2021-06-03 21:45:00,18
22,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Why the Smart minister had not mandated this yet? Why arh?,2021-06-03 21:45:00,11
23,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,daylight wrote: the battery can only tahan 3-6 months. those who collectes mid last year most are carrying dead tokens,2021-06-03 21:46:00,19
24,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Let u talk to ur grandchildren...long long time ago got this token that cheng hu came out with.....,2021-06-03 21:49:00,19
25,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"battery dead, go n change lah. they will give u the ADVANCED version blah.",2021-06-03 21:50:00,14
26,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,alot of ppl walking around with dead batteies TT,2021-06-03 21:53:00,9
27,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,CC still have a handful of people collecting token during weekend afternoon,2021-06-03 22:04:00,12
28,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"2Blogic wrote: battery dead, go n change lah. they will give u the ADVANCED version blah. batt dead is the best outcome, just use the dead token to scan QR code",2021-06-03 22:11:00,30
29,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Now more important to brainwash vaccines else they expire, more lugi",2021-06-03 22:19:00,11
30,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years.",2021-06-03 22:51:00,37
31,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,will it still work after 1 year?,2021-06-03 22:53:00,6
33,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,JoeNan wrote: As per topic. They quietly let the bluster of imposing it on everyone die down liao? Many took already never bring out keep at home. Already cannot make it.,2021-06-03 22:54:00,31
34,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. the same thing will happen to vaccination. once new version of vaccine is out in next 6-9 months those who jabbed last 2 months will need to go again.",2021-06-03 22:54:00,66
35,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,haoren wrote: will it still work after 1 year? battery only last 6 months I think,2021-06-03 22:55:00,14
36,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"JoeNan wrote: As per topic. They quietly let the bluster of imposing it on everyone die down liao? Waiting to go Parliament to make that law If this thing crash and burn due to TT Vivian's big mouth, Ho Jinx will be absolutely furious",2021-06-03 22:58:00,43
37,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,kanna embarrassed big big liao still keep on talk about it meh,2021-06-03 22:59:00,12
38,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,mryongtan wrote: battery only last 6 months I think most batt is dead 3-4 months,2021-06-03 22:59:00,13
39,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Now focus on vaccination Sent from Samsung SM-N960F using GAGT,2021-06-03 23:00:00,9
40,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. Huh cannot change batt ourselves? Then how ah? Expect us to go trade in?",2021-06-03 23:03:00,53
41,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,nose major crime happening that leequire use of tt data?,2021-06-03 23:04:00,10
42,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,How many million dollars spent on this endeavour which started with a bang and just faded away...,2021-06-03 23:48:00,17
43,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Execution and deployment is a failure. They should have a internal review to find out what went wrong and why.. Too eager to roll out? Too stubborn to admit shortcomings? SG is the easiest place to roll out such things yet still can screw up so badly,2021-06-03 23:53:00,47
44,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Now oredi move on to COVID passport liao.,2021-06-03 23:56:00,8
45,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,tauntme wrote: Execution and deployment is a failure. They should have a internal review to find out what went wrong and why.. Too eager to roll out? Too stubborn to admit shortcomings? SG is the easiest place to roll out such things yet still can screw up so badly Ya How many did Salty Dragon slap for tgis farce This is the opportunity for Salty Lizard to shine,2021-06-03 23:58:00,68
46,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Vaccine is the new savior,2021-06-03 23:59:00,5
47,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Really wasted money on this just cause got greedy add in policing. Really draw snake add feet,2021-07-03 00:29:00,17
48,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Tracetogether silently kena phased out? Now March liao. I assume more than 80% collected liao. Still no islandwide complusory?,2021-07-03 01:58:00,18
49,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,I\x92m still using safe entry I guess for their tracing purposes that is enough,2021-07-03 01:59:00,14
50,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,No use TT not happy Use TT also not happy,2021-07-03 01:59:00,10
51,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Is this to fund LHL's son's portfolio? Spent so much money is it to showcase his clown prince? I'm asking only Sent from 10char using GAGT,2021-07-03 02:01:00,22
52,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,xtemujin wrote: No use TT not happy Use TT also not happy Not that. Is they spent so much money on a failed project. And they kept quiet about it.,2021-07-03 02:03:00,30
53,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,You do realise any of the government app is buggy slow and zero updates after created? Do for sake of doing,2021-07-03 02:29:00,21
54,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Ya lor i thought they want make mandatory? How come no sound liao? Dont want offend the foreigners is it as fts dont want to use TT?,2021-07-03 02:50:00,27
55,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Many go take becos its free. Jus look at the Chinatown father n son case. Both kana covid n hv token but nvr bring out n just leave at hm. Then in the first place why go collect? Waste time only,2021-07-03 03:08:00,41
56,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,I have my TT token wrapped in aluminium foil. I don't think government is able to track me via TT.,2021-07-03 09:50:00,19
58,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Amazing how u can fail to make people use something even if u have the power make it mandatory,2021-07-03 12:48:00,19
59,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Dracky wrote: I have my TT token wrapped in aluminium foil. I don't think government is able to track me via TT. just remove the batt,2021-07-03 12:49:00,25
60,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Neon92 wrote: What is this overpumped $$ failed app? stupid thing needs data everywhere to check in, should just implement sync in the back ground",2021-07-03 12:52:00,24
61,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"screwed up liao ... both vivian's name, as well as govtech's name.",2021-07-03 12:52:00,9
62,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,desmond_yee1 wrote: cause alot of TT token now out of batt Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/2020/12/10/new-zealand-adopts-apple-google-contact-tracing-framework-for-covid-19-spore-chooses-to-distribute-more-tracetogether-tokens/,2021-07-03 12:56:00,27
63,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,so will from govtech go back to google?,2021-07-03 12:57:00,8
64,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,TT will die a natural death and with it the millions spent \U0001f601,2021-07-03 12:59:00,12
65,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,PeanutButtor wrote: Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/202...gether-tokens/ when you collected?,2021-07-03 13:00:00,22
66,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Vivian really good for nothing Waste money for YOG Waste money for TT Only good at gesticulating like a mime in Parliament during his speeches,2021-07-03 13:01:00,25
67,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"PeanutButtor wrote: Same as mine no more batt... Pappy rather play pattern rather than using what is adopted worldwide. https://www.theonlinecitizen.com/2020/12/10/new-zealand-adopts-apple-google-contact-tracing-framework-for-covid-19-spore-chooses-to-distribute-more-tracetogether-tokens/ If u no more batt, go CC and get it replaced. They will give u a new token.",2021-07-03 13:03:00,37
68,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,as usual we spend millions to invent the wheel bcos we wanna use it for polis......,2021-07-03 13:03:00,16
69,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Well, it either keeps grassroots bolunteers busy or people gainfully employed in the process. Similar in the security industries, keep adding headcounts to justify security matters Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years.",2021-07-03 13:04:00,65
70,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,desmond_yee1 wrote: when you collected? Should be the first batch ones here: https://forums.hardwarezone.com.sg/e...#post132496863,2021-07-03 13:05:00,11
71,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Peasantboy wrote: Recently, a lot of government failures... Jialat every 4-6mths need to change battery. Can\x92t even change it yourself. Such a huge waste of time. Might as well give us the token with spare batteries to last 2 years. Use app also can what. Here's the token: https://forums.hardwarezone.com.sg/e...#post132496863",2021-07-03 13:06:00,46
72,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,i dont think govtech roll out ready yet,2021-07-03 13:16:00,8
73,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Yeah when I went to collect, the girl told me the battery will die out in 4-6mths (not sure what factors affect the battery life). Then she told me to come back to exchange for a new token -.-\x93\x94\x94 apparently we can\x92t change the batteries ourselves I can\x92t imagine doing that. Honestly I\x92ve better things to do with my time then to queue, hoping they\x92re open or have tokens for me to collect. lemefirefly wrote: Huh cannot change batt ourselves? Then how ah? Expect us to go trade in?",2021-07-03 13:53:00,88
74,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,This kind of innovation so useless.... simi trace with bluetooth... u know how many pings u will get just by taking the MRT? Even MRT pass by the station also ping with everyone on the station... whats the point? Bluetooth is not designed to be used like this... but some scholar thinks its a good idea.. Bloody stupid,2021-07-03 13:54:00,58
75,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,dont you realize they like to do things half way? initial stage say until v big. then later die down again.,2021-07-03 13:55:00,21
76,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Yes, keep the stirring going. Edmwers forgot to stir their daily sh*t pot. So not use to it siah. I am so used to the foul mouth of edmwers.",2021-07-03 13:57:00,30
77,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Its a bit weird still. Just go supermarket , can only check in using the token. Cannot check out. They say use QR code if want to check out out. Sent from An Alternative Viewpoint On Life using GAGT",2021-07-03 14:02:00,38
79,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,Left pocket. Right pocket. Who cares about your pathetic life,2021-07-03 14:03:00,10
80,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,I still haven\x92t collected mine sia,2021-07-03 14:05:00,6
81,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"natsuoto wrote: I still haven\x92t collected mine sia Me too, no plans to get it at all!",2021-07-03 14:06:00,17
82,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,U forgot phitam whipped out his hp on parliament only to discover that most of the pap miw never switch on or carry the trace together token or app? Sia sway crown prince to the max. Suppose to use this to claim credit and parachute in. Nobody talked about that after the incident.,2021-07-03 14:06:00,53
83,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,most using it liao of course no one talk about it la,2021-07-03 14:09:00,12
84,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Bro\x92s, this TT token need to Leeturn or not huh??? If leeport loss need to go sign 1206??",2021-09-03 19:05:00,17
86,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Why need to install batt??? Afterall u need QR Code from tt for scanning Peasantboy wrote: Yeah when I went to collect, the girl told me the battery will die out in 4-6mths (not sure what factors affect the battery life). Then she told me to come back to exchange for a new token -.-\u201c\u201d\u201d apparently we can\u2019t change the batteries ourselves I can\u2019t imagine doing that. Honestly I\u2019ve better things to do with my time then to queue, hoping they\u2019re open or have tokens for me to collect.",2021-09-03 19:06:00,88
87,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Now is VACCINE the in thing to psycho people to take, not TT",2021-09-03 19:17:00,13
88,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,now agenda is to push vaccine,2021-09-03 19:21:00,6
90,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,"Just like crypto, the stir and hype only lasts as much as the number of supporters. Edmw only has finite number of bbfa.",2021-03-13 15:28:00,23
91,You realise no talk of Tracetogether recently?,2021-07-03 14:09:00,thought there was some brief mention a few days abt schools gg to get the students collect the TT token?,2021-03-13 16:00:00,20
93,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,I\x92m actually not surprised. The tokens were all snapped up & there wasn\x92t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well.,2021-02-27 17:00:00,28
94,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,I haven't collect. So I'm the 10% Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,2021-02-27 17:01:00,8
95,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,the actual usage rate should be under 50%,2021-02-27 17:04:00,7
96,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,"gkhchay wrote: I\x92m actually not surprised. The tokens were all snapped up & there wasn\x92t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well. Had installed long ago when it was first introduced~ use for the first month, after that stop using~ didn't collect the to token either, am in the minority 10%~?",2021-02-27 17:06:00,57
97,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,Feels good to be in the 10% Sent from \u4f60\u662f\u6211\u7684\u5c0f\u554a\u5c0f\u82f9\u679c\u513f\u600e\u4e48\u7231\u4f60\u90fd\u4e0d\u5acc\u591a\u7ea2\u7ea2\u7684\u5c0f\u8138\u513f\u6e29\u6696\u6211\u7684\u5fc3\u7a9d\u70b9\u4eae\u6211\u751f\u547d\u7684\u706b\u706b\u706b\u706b\u706b\u706b using GAGT,2021-02-27 17:07:00,10
98,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,"gkhchay wrote: I*********m actually not surprised. The tokens were all snapped up & there wasn*********t any stock until mid-Dec last year. And lots of ppl have downloaded & installed the app as well. When the battery runs out in the dining few months, see how they calculate the % again",2021-02-27 17:18:00,48
99,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,"SG needs more FTs. Sinkies have problem reading english. ""About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens""",2021-02-27 17:24:00,22
100,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,Something funny leh...  y so many say they are the 10%... and no body say they are the 90%? Shouldnt it be the other way round,2021-02-27 17:27:00,24
101,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,What is this % at a recent parliament sitting?,2021-02-27 17:30:00,8
102,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,"walterwu wrote: SG needs more FTs. Sinkies have problem reading english. ""About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens"" If those dl the app and still go and collect the token how they count? Count as 1 or 2?",2021-02-27 17:32:00,42
103,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,Waiting for it to hit 120% lol,2021-02-27 17:34:00,6
104,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,pls help to untiong... TT \u4f7f\u7528\u738790% means what?,2021-02-27 17:34:00,7
105,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,Usage is 90% RetroActive wrote: pls help to untiong... TT \u4f7f\u7528\u738790% means what?,2021-02-27 17:51:00,11
107,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,He added the app and token. Very soon will exceed 100% lol,2021-02-27 21:10:00,11
108,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,"tanakow wrote: Usage is 90% usage =/= ownership la. usage means maybe 60% take liao and keep using, so every mall that has entrants, 90% of them using these token to enter, not safe entry app.. its the repeat usage that is counted for entries (90%), not the % of the population that has the token.. Word play here must read n analyse carefully... these MSM /  white scums like to do these stunts to boost their ratings...",2021-02-27 21:23:00,71
109,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,eAtNeAt wrote: He added the app and token. Very soon will exceed 100% lol,2021-02-28 10:54:00,13
110,Did 158 put words in Vivian's mouth by saying that 90% citizen are using TT?,2021-02-28 10:56:00,Of the surveyed ppl right?,2021-02-28 10:56:00,5
111,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"Got so many use meh? I myself don't. Quote: SINGAPORE - Close to nine in 10 eligible residents here have joined the Government's digital contact tracing programme, despite a recent public backlash over privacy and trust issues. About 4.7 million residents have the TraceTogether app or have collected the TraceTogether tokens, and this has allowed the authorities to shave days off the contact tracing process, said Minister-in-charge of the Smart Nation initiative Vivian Balakrishnan in Parliament on Friday (Feb 26). With both the TraceTogether and SafeEntry programmes, the authorities now take 1\xbd days or less to identify and quarantine close contacts of Covid-19 patients, down from the previous average of four days, said Dr Balakrishnan. https://www.straitstimes.com/singapo...ther-programme",2021-02-26 22:23:00,108
112,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,maybe he is referring to the 3rd dimension...,2021-02-26 22:24:00,7
113,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Did he think about CPC when he say that? Sent from _eMuu_ using GAGT,2021-02-26 22:25:00,13
114,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"blasterlord2 wrote: Got so many use meh? I myself don't. https://www.straitstimes.com/singapo...ther-programme ok noted, you are from the 10% who doesnt.",2021-02-26 22:25:00,17
115,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,how about actual usage percentage? many tokens from last year already out of batt,2021-02-26 22:25:00,14
116,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,I think Vivian duo pao only. I doubt the number is that high.,2021-02-26 22:30:00,13
117,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Anyhow count one la. I got the token (which I never bring out) and my phone has the app (which I disabled access to everything). In my case they probably counted twice.,2021-02-26 22:42:00,32
119,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"\uff0eYes, mine never leave RFID safe pocket Good luck collecting data",2021-02-26 22:44:00,11
120,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,dont see anyone collecting it. his creeps give him wrong data haha,2021-02-26 22:45:00,12
121,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,My whole family don have,2021-02-26 22:46:00,5
122,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Collected but did not use,2021-02-26 22:46:00,5
123,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"the ministers don't even use that, other than wp that time pritan singh got say wad",2021-02-27 08:37:00,15
126,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,unrealx262 wrote: dont see anyone collecting it. his creeps give him wrong data haha Lesser eunuchs feeding false information to eunuchs which in turn report the false information to the Emperor..song dah.,2021-02-27 08:42:00,33
128,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"You see the tokens out there (elderly), some are out of batt even.  Not flashing alr.",2021-02-27 08:42:00,16
129,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"blasterlord2 wrote: Got so many use meh? I myself don't. https://www.straitstimes.com/singapo...ther-programme Probably. Last time, TT app only 20% approval, now shoot up to 30% approval.",2021-02-27 08:43:00,21
130,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"How do they define use? Moi got download once, then delete after a few hours. Wouldnt surprise me if that counts me as ""using""",2021-02-27 08:44:00,24
131,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Wah lan talk blindly sia....,2021-02-27 08:44:00,5
132,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Title of thread misleading. Collected or have doesn't mean use. Read his statement carefully.,2021-02-27 08:44:00,13
133,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"As of today, TraceTogether app android less than 2 million download.",2021-02-27 08:45:00,10
134,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"Dont trust him to take his word as is anymore. must read into the details of what he is saying! he says ""Close to nine in 10 eligible residents"" What is eligible residents? Foreigners?",2021-02-27 08:45:00,33
136,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"Those install liao uninstall they still count. If those install unstalled, then install again ...they count 2 times... so like that sure high percent... OK. 90% lor..OK.",2021-02-27 08:47:00,26
137,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"zphoe222 wrote: Dont trust him to take his word as is anymore. must read into the details of what he is saying! he says ""Close to nine in 10 eligible residents"" What is eligible residents? Foreigners? Sinkies cannot understand Queens england. Must change national working language to PuTongHua from england and drop Hindi too.",2021-02-27 08:49:00,53
138,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"That\x92s only on Android. iPhone leh fandango wrote: As of today, TraceTogether app android less than 2 million download. Posted with HardwareZone Forums app",2021-02-27 08:49:00,23
139,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Issued token to 90% population liao means this 90% ppl all will use the token.,2021-02-27 08:51:00,13
140,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,CyberTan wrote: That\u2019s only on Android. iPhone leh Posted with HardwareZone Forums app Can some one post the download count on App Store?,2021-02-27 08:51:00,23
141,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"fandango wrote: As of today, TraceTogether app android less than 2 million download. Wah.. last time only got 2.5stars only... now got 3.3stars already... wah.... for me if hv negative stars I will give..",2021-02-27 08:52:00,33
142,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Need a poll in hwz,2021-02-27 08:55:00,5
143,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Known liar and twister of facts Living up to his heritage,2021-02-27 08:55:00,11
144,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Not wrong arh. I suck thumb need to use it to enter the cinema. deleted it after that.,2021-02-27 08:55:00,18
145,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,I never use them or take the tt device from them.,2021-02-27 08:55:00,11
146,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,XiaoJinLing wrote: Wah.. last time only got 2.5stars only... now got 3.3stars already... wah.... for me if hv negative stars I will give.. Iphone rating currently 2.4,2021-02-27 08:56:00,26
147,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,Anyhow smoke..hahaha..goes to show how accurate their data is,2021-02-27 08:57:00,11
148,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"This download number indicated in Playstore simply refers to the number of times the app is being downloaded only right? so meaning... if a person download TT app and install on 2 of his hp its counted as 2 user? if a person already using the TT app buy a new hp and reinstall the app on his new hp is also counted as 2 user? if a person downloaded the TT app to try try then delete it the next day also counted as 1 user using the app? if... fandango wrote: As of today, TraceTogether app android less than 2 million download.",2021-02-27 08:58:00,99
149,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,What he says got count meh?,2021-02-27 09:01:00,6
150,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,These people are still living in their own beliefs. people can register for TT but that does not people is using it. They can be leaving the physical token at home while going out or disable the app in their phones. So 90% is actual usage or just registration? Please tell us the truth and dun BS.,2021-02-27 09:01:00,56
151,Vivian said 90% use TraceTogether wor,2021-02-27 22:20:00,"Keyword. ""nine in 10 eligible residents"" ownself set ""eligibility""",2021-02-27 09:02:00,8
