Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
24,24,26,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away Your point one & two contradict each other. Not many married ppl lived with retired parents. If your retired parents and wife keep asking you for help and nagged at you means the issue is more likely from you not WFH?? Sent from EDMWER app!",3/2/21 13:48,114,Circuit Breaker,122,4,-11.908380715923913,19,3,4,2.9925381478745177,0,0,1.0
25,25,27,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"wooooot wrote: moi jobless more stress How you survive? Buy food, pay bills? Sent from middle class using GAGT",3/2/21 13:49,19,Circuit Breaker,19,1,-13.711675569995329,5,0,1,9.101596778429405,1,0,0.0
26,26,28,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"For electricity, use lesser aircon should be ok. My bills from WFH slightly higher than before WFH. For me, I'm lucky the company already are using virtual calls with overseas customers and HQ so in a way we already have the hardware and software for virtual conferences.",3/2/21 13:50,46,Circuit Breaker,47,2,-11.87125764560317,5,1,3,6.540652801523582,1,1,1.0
27,27,29,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"My flat sounds like it is right in the middle of an aircraft carrier. Haizzz And no end to work, keep fiddling laptop even though work hours ended.",3/2/21 13:53,28,Circuit Breaker,28,2,-11.148108784884737,5,3,0,11.8650357776558,2,0,1.0
28,28,30,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too.",3/2/21 14:09,54,Circuit Breaker,55,3,-12.862788136282711,11,3,0,5.464426032961874,1,0,0.0
29,29,31,Anyone here find WFH more stressful than in office?,3/2/21 18:43,My PG neighbour blast 958 radio at least 3hours every day. Close main+bedroom door still can hear BOOM BOOM BOOM from the 'music'. Sent from Pluto using GAGT,3/2/21 16:37,27,Circuit Breaker,29,2,-14.451200287592602,2,1,0,7.578454205216159,1,0,0.0
30,30,32,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"mgx-alander wrote: at the end of the day fark the ccp i prefer to work in office too House in jurong, office in chennai biz park. Like that how?",3/2/21 16:42,28,Circuit Breaker,29,2,-11.903471566135863,4,0,1,8.800095139954296,1,0,0.0
31,31,33,Anyone here find WFH more stressful than in office?,3/2/21 18:43,will prefer not to wfh,3/2/21 16:46,5,Circuit Breaker,5,0,-11.157390908164471,2,0,0,408.4470075175715,4,0,0.0
32,32,34,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away 6) neighbour CECA kids wake up at 6 am and scream non stop till 10 pm. My ears hurt. Posted from PCWX using pigeons",3/2/21 16:49,91,Circuit Breaker,102,4,-12.60877266738161,19,2,1,2.767248171836895,0,0,0.0
33,33,35,Anyone here find WFH more stressful than in office?,3/2/21 18:43,honestly i prefer to work in office than at home. i find bosses are a lot more demanding.,3/2/21 16:51,18,Circuit Breaker,18,1,-10.576874561789628,4,0,1,20.463410136319336,3,0,0.0
34,34,36,Anyone here find WFH more stressful than in office?,3/2/21 18:43,Just felt the hours are longer,3/2/21 16:53,6,Circuit Breaker,6,0,-9.690999852558543,2,0,0,106.4913812901899,4,0,0.0
35,35,37,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Mr. Wood wrote: wfh no day no night anytime must be online and answer phone call. kah pui. and company nvr pay OT, phone bill, internet bill, water and electricity bill. fxxk wfh fxxk humji lee fxxk winnie xi fxxk commie virus hope humji lee go langgar aviva bmw and die lmao, the future working life will be this bro, or you rather wake up 7am every morning to take transport to work and play politics with your colleagues in office.",3/2/21 16:55,80,Circuit Breaker,81,3,-14.066157025000123,14,5,2,2.183908990394165,0,0,0.0
36,36,38,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"agent_719 wrote: Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too. Pls use ur time more efficienter EFFICIENT-ER",3/2/21 16:56,62,Circuit Breaker,64,3,-13.334001027168284,11,3,0,4.937363586216271,0,0,0.0
37,37,39,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"knn u kena monitor by boss and cannot take afternoon nap, and watch netflix while working just say so la. simi wife nag, parents disturb u. LOL",3/2/21 16:57,27,Circuit Breaker,27,2,-14.3490078409441,5,2,0,8.276773536896084,1,0,0.0
38,38,40,Anyone here find WFH more stressful than in office?,3/2/21 18:43,gerrychua wrote: WFH is like siao. Start work 745 till 6. Conf call from 8pmto 11pm. Work from office can go shopping mall for lunch break and use travelling time as excuse,3/2/21 16:57,29,Circuit Breaker,32,2,-13.419403508811367,5,1,0,7.028494355863634,1,0,0.0
39,39,41,Anyone here find WFH more stressful than in office?,3/2/21 18:43,At home no aircon sweat alot le. Somemore need to go Skype or ms team to help user troubleshooting Posted from PCWX using ganyu mobile,3/2/21 16:58,25,Circuit Breaker,25,1,-14.748694464994388,7,1,0,8.132438565269519,1,0,0.0
40,40,42,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"radish wrote: honestly i prefer to work in office than at home. i find bosses are a lot more demanding. Correct. Bosses never see you = automatically thinking that you are not doing work. So, overload you just to be sure that there are enough work to do.",3/2/21 16:59,47,Circuit Breaker,47,2,-10.599096315192316,12,0,3,11.754309792291398,2,0,0.0
41,41,43,Anyone here find WFH more stressful than in office?,3/2/21 18:43,Not much complains as the nature of my job don't actually require to work in an office. Only downside is cannot get to see those sexy milf and syt during lunch and traveling time.,3/2/21 17:03,33,Circuit Breaker,34,2,-11.116740086376913,4,1,1,9.264009927268297,1,0,0.0
42,42,45,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"In a way I agree But also bored leh every day at home see 4 walls Ask qns or help also so difficult but then it works both way, I can also siam when someone asking me qns. In office, may not get enough help also I think my coy lousy. System very slow. Office slightly faster agent_719 wrote: Prefer WFH. Time saved from travelling can use to sleep more or exercise. Food in CBD area also quite expensive. WFH can cook cheap, simple and healthy meals Most impt is don\x92t need see lj colleague and find topic to talk them during lunch. WFH better for mental health as less office politics too.",3/2/21 17:10,112,Circuit Breaker,114,4,-12.466669814708911,20,9,4,2.8043580640042745,0,0,1.0
43,43,46,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"middleclass wrote: How you survive? Buy food, pay bills? Sent from middle class using GAGT moi go coffeeshop eat leftovers sometimes wifey give allowance not enough bills i trade us market to pay",3/2/21 17:13,33,Circuit Breaker,33,2,-13.946138118889218,10,0,3,5.9103061148049525,1,0,0.0
44,44,47,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Esirious0 wrote: lmao, the future working life will be this bro, or you rather wake up 7am every morning to take transport to work and play politics with your colleagues in office. wfh oso got politics. and worse. rather wake up at 7am evyday. after work hours is no calls no emails. but wfh is set push email notification to phone. if no reply within certain time means is skiving. now evyday weekends night oso expected to reply.",3/2/21 18:01,76,Circuit Breaker,78,3,-11.94255533888686,18,3,2,3.539428863968786,0,0,0.0
45,45,48,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away sibeh peceh ones. endless things to do at home very distracted",3/2/21 18:02,81,Circuit Breaker,89,3,-12.301991555000818,14,2,1,3.571607340389864,0,0,0.0
46,46,49,Anyone here find WFH more stressful than in office?,3/2/21 18:43,My girl come bj while i working halfway. Ended up humping her while monitoring the screen. And then 8 monitors become 2.,3/2/21 18:04,20,Circuit Breaker,22,1,-12.495382453707585,6,3,1,26.835207397830867,3,0,0.0
47,47,50,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"kuma-mon wrote: Because need to handle issues at home + work 1) Retired parents asking u help this help that when they got lots of free time 2) For those married, need deal with wife nagging here and there 3) Unnecessary construction noises from town council + neighbour drilling noises 4) Cannot have proper meetings because of 1) and 3), colleagues always say my background noisy 5) Very hard to communicate and ask help from colleagues coz some are away 1 & 3 use rtx voice to solve But yes agree that alot of distraction.",3/2/21 18:05,82,Circuit Breaker,92,3,-12.304243738794206,14,3,1,3.311165309754646,0,0,0.0
48,48,51,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Mr. Wood wrote: wfh oso got politics. and worse. rather wake up at 7am evyday. after work hours is no calls no emails. but wfh is set push email notification to phone. if no reply within certain time means is skiving. now evyday weekends night oso expected to reply. WFH lesser politics because not so much face to face interactions. Also, cheaper food and drink when I buy from hawker centre Work culture is dependent on boss. If the work culture sux, go office or stay at home also the same one, the boss will make you work to death.",3/2/21 18:06,99,Circuit Breaker,100,3,-11.78046887398204,20,4,2,2.5315459323691516,0,0,1.0
49,49,52,Anyone here find WFH more stressful than in office?,3/2/21 18:43,Almost one year WFH I almost ki xiao liao Sent from MI 10 PRO  \u7248\u6b0a@TUV2008 \u7ffb\u5370\u5fc5\u7a76 Lim Kopi using GAGT,3/2/21 18:07,17,Circuit Breaker,24,1,-19.02887564214927,2,0,1,12.05424284301908,2,0,0.0
50,50,53,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"lalalalalala wrote: 1 & 3 use rtx voice to solve But yes agree that alot of distraction. Got way to mute background noise in Microsoft Team. I am sure that 1,3 can be easily solved.",3/2/21 18:07,31,Circuit Breaker,35,2,-12.133487947123562,7,1,0,9.2640099272683,1,0,1.0
51,51,54,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Pros and cons. Personally, if everyone can keep to office work at office hour, wfh should be quite enjoyable. Too bad, many people spoil market.",3/2/21 18:37,25,Circuit Breaker,25,1,-12.117597365426779,3,2,0,8.531123230693057,1,1,1.0
52,52,55,Anyone here find WFH more stressful than in office?,3/2/21 18:43,"Moi work from home jin song. No need travel can wake up later, lunch can jiak cheap cai png near moi house, save alot of marnee",3/2/21 18:43,26,Circuit Breaker,26,2,-14.750318351490685,3,0,0,6.332062694444238,1,0,0.0
53,53,56,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"https://amp.scmp.com/news/hong-kong/...V2cUtpcU1KVQ.. https://www.zaobao.com.sg/znews/grea...27-1127213?amp Hopes that the postponed*air travel bubble*between Singapore and Hong Kong could start soon diminished on Friday, with the number of unlinkedcoronavirus*cases in the latter considered too unstable. Despite the two cities*discussing the possibility*of launching the route, Hong Kong\x92s commerce minister said there needed to be a \x93stable reduction\x94 in new Covid-19 infections before the bubble could start. \x93As we are coming down from the most recent [outbreak], the figures we have seen have not come to the comfort zone that we can sort of confidently say we can start the air travel bubble arrangement,\x94 said Secretary for Commerce and Economic Development Edward Yau Tang-wah.",27/2/21 22:08,106,Circuit Breaker,112,4,-12.817892877801537,21,2,1,2.6070769047186624,0,0,0.0
54,54,57,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"there goes OYK's chance / hope liao! jonesftw wrote: https://amp.scmp.com/news/hong-kong/...V2cUtpcU1KVQ.. https://www.zaobao.com.sg/znews/grea...27-1127213?amp Hopes that the postponed*air travel bubble*between Singapore and Hong Kong could start soon diminished on Friday, with the number of unlinked coronavirus*cases in the latter considered too unstable. Despite the two cities*discussing the possibility*of launching the route, Hong Kong\u2019s commerce minister said there needed to be a \u201cstable reduction\u201d in new Covid-19 infections before the bubble could start. \u201cAs we are coming down from the most recent [outbreak], the figures we have seen have not come to the comfort zone that we can sort of confidently say we can start the air travel bubble arrangement,\u201d said Secretary for Commerce and Economic Development Edward Yau Tang-wah.",27/2/21 22:15,114,Circuit Breaker,121,4,-13.067693613715203,23,2,1,2.238530671350994,0,0,0.0
55,55,58,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,HK no confidence in our CECA?,27/2/21 22:15,6,Circuit Breaker,6,0,-12.76699073536288,0,0,1,36.84829056280764,4,0,0.0
56,56,60,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"Gxgx OYK, he can sleep well tonight!",27/2/21 22:21,7,Circuit Breaker,7,0,-13.968144051087876,1,0,0,56.271755513938814,4,0,0.0
57,57,61,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Everyday importing cases. Ownself sabo ownself. SIA to burn more money,27/2/21 22:23,11,Circuit Breaker,11,1,-14.468957123974363,2,0,0,26.407150855842467,3,0,0.0
58,58,62,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Lol it is Hong Kong that is having high cases .. three also have abt 10-20 cases a day,28/2/21 8:54,17,Circuit Breaker,18,1,-11.632579351859098,6,1,0,23.171478418977532,3,0,0.0
59,59,64,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Wtf is Hong Kong doing? They should stop testing so the cases will go down.,28/2/21 9:00,15,Circuit Breaker,15,1,-10.92047272709198,5,0,0,26.40715085584246,3,1,0.0
60,60,65,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,He is doing OYK a fav our by announcing this news 1st before OYK do a Cantonese video again,28/2/21 9:01,18,Circuit Breaker,19,1,-12.470933778730913,4,0,1,23.615507973257326,3,0,0.0
61,61,66,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,can open jp one bo?,28/2/21 9:02,5,Circuit Breaker,5,0,-14.023339543297638,2,0,0,106.49138129018992,4,0,0.0
62,62,67,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,The whole world knows india is full of virus.,28/2/21 9:02,9,Circuit Breaker,9,0,-11.181990818247717,2,0,0,36.84829056280765,4,0,0.0
63,63,69,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,just stop testing or start categorizing more cases as import lor ...... simple thing like this also dont know.,28/2/21 9:05,18,Circuit Breaker,18,1,-12.439676427634383,6,2,0,16.610322340116003,2,0,0.0
64,64,70,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Ohayo! wrote: HK no confidence in our CECA? They jin scared of them Wait come in and spread more how,28/2/21 9:06,20,Circuit Breaker,20,1,-11.89387231748372,5,1,1,20.832255890004944,3,0,0.0
65,65,71,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,moonlighter_sg wrote: The whole world knows india is full of virus. Only ours dont know lol,28/2/21 9:07,15,Circuit Breaker,16,1,-12.975269695839124,4,0,1,20.832255890004948,3,0,0.0
66,66,72,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,HK not as daft as sinkies,28/2/21 9:07,6,Circuit Breaker,6,0,-13.61900447412694,0,0,0,36.84829056280764,4,0,0.0
67,67,73,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"cleffa3000 wrote: Only ours dont know lol 11 million infected cases in India , are we blind? Tiagong they are getting better in handling the virus now",28/2/21 9:09,25,Circuit Breaker,26,2,-12.33804896050937,8,0,2,26.40715085584246,3,0,0.0
68,68,75,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Curse Ong at work again,28/2/21 9:22,5,Circuit Breaker,5,0,-13.089168981854804,0,0,0,36.26203009049669,4,0,0.0
69,69,76,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,better lock this unknown guy up and stitch his mouth to prevent him from saying anything to jink anything up!,28/2/21 9:23,20,Circuit Breaker,20,1,-11.373413220242869,4,1,0,23.615507973257326,3,0,0.0
70,70,77,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,matey1982 wrote: there goes OYK's chance / hope liao! there are other countries BUT WHETHER THEY WANT TRAVEL BUBBLE IS ANOTHER ISSUE WITH US,28/2/21 9:27,22,Circuit Breaker,23,1,-16.094545356149947,5,1,0,6.793444477670385,1,0,0.0
71,71,78,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"Hongkies stupid la, no test no case ma",28/2/21 9:28,8,Circuit Breaker,8,0,-14.130059694121519,2,0,0,20.832255890004944,3,0,0.0
72,72,79,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,Another sobre reminder to OYK.,28/2/21 9:55,5,Circuit Breaker,5,0,-14.454171157020447,1,0,0,36.84829056280765,4,0,0.0
73,73,81,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,tio jinx by the unknown man again rah https://forums.hardwarezone.com.sg/e...l-6473707.html,28/2/21 9:58,8,Circuit Breaker,8,0,-16.81186708339445,0,0,0,26.835207397830878,3,0,0.0
74,74,82,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"don't think it will happen by this yr. HK so far vaccinated 6k of his people a day only. at the rate its going, it will take a few yrs to complete the vaccination.",28/2/21 10:03,32,Circuit Breaker,34,2,-10.534549253705723,5,0,0,16.610322340116007,2,0,1.0
75,75,83,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"tankgunner wrote: don't think it will happen by this yr. HK so far vaccinated 6k of his people a day only. at the rate its going, it will take a few yrs to complete the vaccination. jsut started this week.. progressively adding vaccine stations and Fosun Biontech just arrived from Germany yesterday",28/2/21 10:06,50,Circuit Breaker,52,3,-11.919761160080885,9,1,0,5.653058076953747,1,0,1.0
76,76,84,ƒ?­Hong Kong-Singapore air travel bubble unlikely to launch soon,28/2/21 10:18,"that was OYK's come last chance to be in line for the throne i guess he will retire soon as an unknown in history now we will remember years from now and our children's children will read history books that talk about fumblers, liars and jlbs as heroes of the 21st century. founders will have a memorial and over years will become deities (just like old China generals) unless",28/2/21 10:07,66,Circuit Breaker,69,3,-11.091098101631198,8,2,3,3.8394888807816128,0,0,0.0
