Threads,Thread Datetime,Comments,Comment Datetime,num_words,Topic,Length,Length Category,Average Loglikelihood,Num Verbs,Num Discourse Relations,Num Pronouns,Relevance score,Relevance Score Category,actionable,valuable
"S'pore????        23       ???? Covid19 Cases ( 03-03-2021) (2 in community, 21 imported)",3/4/21 12:46,"WussRedXLi wrote: Damn sian, one of my kids' classmate also absent from school since monday.  Then now my kid also down with running nose/sore throat/high fever/aches all over + tiredness.  Just kena 5 day SHN, wife need to WFH as well and ""self shn"" due to coy policy. Hope it's not due to CNY.....  (actually we never even visited nobody, but can't say from other pax like my boy's classmates).  Not easy to spread in school, issue is that my parents made the mistake of last week letting the boys go to the playground and mix with other pax (maskless btw, chin diapers).....of which i also saw my boy's classmate (absent since mon) playing with him at the playground just outside the school. Hope everything goes well, elderly parents already booked covid vaccination slot. Die die want to take care of the sick kid. Super metal teeth. Also don't know where the kosong cases of confirmed influenza cases come from.  Is it just a direct function of diagnostic testing?   (btw there is also influenza test in the form of PCR, serology and of coz the good old viral culture) Hopefully nothing serious. Probably due to the unhealthy air recently. Do take extra precautions. Sent from null using GAGT",3/3/21,205,Stay Home Notice,211,4,-12.33982943,27,8,6,0.538502737,0,0,1
"S'pore????        23       ???? Covid19 Cases ( 03-03-2021) (2 in community, 21 imported)",3/4/21 12:46,"Amongst the 21 imported cases, 1 (Case 60618) is a Singapore Permanent Resident who arrived from Indonesia.20 (Cases 60594, 60597, 60598, 60599, 60600, 60601, 60602, 60603, 60604, 60605, 60606, 60607, 60608, 60609, 60610, 60611, 60612, 60613, 60614 and 60616) are Work Pass holders who arrived from India, Nepal and Nigeria. They had all already been placed on SHN upon arrival in Singapore and were tested while serving SHN. https://www.moh.gov.sg/news-highligh...tion3marfullpr",3/3/21,45,Stay Home Notice,69,3,-16.42136245,11,3,0,2.777777731,0,0,0
"S'pore????        23       ???? Covid19 Cases ( 03-03-2021) (2 in community, 21 imported)",3/4/21 12:46,"WussRedXLi wrote: Damn sian, one of my kids' classmate also absent from school since monday.  Then now my kid also down with running nose/sore throat/high fever/aches all over + tiredness.  Just kena 5 day SHN, wife need to WFH as well and ""self shn"" due to coy policy. Hope it's not due to CNY.....  (actually we never even visited nobody, but can't say from other pax like my boy's classmates).  Not easy to spread in school, issue is that my parents made the mistake of last week letting the boys go to the playground and mix with other pax (maskless btw, chin diapers).....of which i also saw my boy's classmate (absent since mon) playing with him at the playground just outside the school. Hope everything goes well, elderly parents already booked covid vaccination slot. Die die want to take care of the sick kid. Super metal teeth. Also don't know where the kosong cases of confirmed influenza cases come from.  Is it just a direct function of diagnostic testing?   (btw there is also influenza test in the form of PCR, serology and of coz the good old viral culture) but govt say 8 months no flu eh lol",3/4/21,194,Stay Home Notice,201,4,-12.38570436,26,9,6,0.588933828,0,0,1
Additional Covid-19 measures may be needed as community cases inch up: Lawrence Wong,3/3/21 23:06,"This is a good move. By reducing community cases through imposing rules on sinkies, we can import more foreigners and conduct international meetings without SHN.",28/2/21,25,Stay Home Notice,25,1,-11.86900059,3,1,1,4.782812482,0,0,0
Additional Covid-19 measures may be needed as community cases inch up: Lawrence Wong,3/3/21 23:06,"tokiya wrote: This is a good move. By reducing community cases through imposing rules on sinkies, we can import more foreigners and conduct international meetings without SHN . rubbish! is there a need to hold these physical boliao meeting?",3/3/21,38,Stay Home Notice,38,2,-11.87442201,6,1,1,3.281587451,0,0,0
Additional Covid-19 measures may be needed as community cases inch up: Lawrence Wong,3/3/21 23:06,I agree additional measure needed. Let start with 21 days SHN. A lot of travellers show symptoms after 14 days even after test negative.,13/3/21,22,Stay Home Notice,24,1,-11.55234463,4,1,0,5.608166126,1,0,0
Additional Covid-19 measures may be needed as community cases inch up: Lawrence Wong,3/3/21 23:06,Vincentlow82 wrote: I agree additional measure needed. Let start with 21 days SHN. A lot of travellers show symptoms after 14 days even after test negative. currently only those coming bck from UK or South Africa have the 21-day SHN?,13/3/21,38,Stay Home Notice,40,2,-12.28962946,7,2,1,4.165382016,0,0,0
Additional Covid-19 measures may be needed as community cases inch up: Lawrence Wong,3/3/21 23:06,"Just before SHN end, tested and clear.  Then release to community.  Few weeks later, fall sick, report sick, test again and tested positive.  What kind of risk management are we managing?",13/3/21,31,Stay Home Notice,31,2,-11.25714364,5,2,1,4.172228821,0,0,0
Josephine Teo says new law to break foreign actors online. CCP IBs jialat?,3/3/21 11:32,Please investigate those Facebook users from India and Middle East who keep whining and discrediting SHN,3/2/21,16,Stay Home Notice,16,1,-12.46259336,2,1,0,5.384615415,1,0,0
[GPGT] This Indian trying to game his way to good SHN hotel,3/2/21 21:34,I thought these Ceca are vegetarian due to religion? Now suddenly can eat meat to get a good SHN hotel??? LMAO,17/1/21,21,Stay Home Notice,21,1,-12.00879349,5,0,0,10.44035361,2,0,0
[GPGT] This Indian trying to game his way to good SHN hotel,3/2/21 21:34,"I think he mentioned his daughter because they may not able to cope in smaller room? Vege/non-vege meal option won't decide which hotel you be getting. To be fair, 14 days in small room cannot go out is mental torture. There's nothing wrong with him trying to game his way hoping to get better SHN hotel. When we heard we cannot choose vaccines, us Singaporeans also thinking of ways how to get our desired brands. (like... book earlier? book later? run away before injection? etc) Anyway, I hope SG stop bringing in the workers' family members here, especially from countries that cannot control the virus. Why cannot just the worker stay here and don't need to bring whole kampong?",18/1/21,115,Stay Home Notice,120,4,-11.20203194,22,2,5,1.393290566,0,0,1
[GPGT] This Indian trying to game his way to good SHN hotel,3/2/21 21:34,"IndigoEyes wrote: I think he mentioned his daughter because they may not able to cope in smaller room? Vege/non-vege meal option won't decide which hotel you be getting. To be fair, 14 days in small room cannot go out is mental torture. There's nothing wrong with him trying to game his way hoping to get better SHN hotel. When we heard we cannot choose vaccines, us Singaporeans also thinking of ways how to get our desired brands. (like... book earlier? book later? run away before injection? etc) Anyway, I hope SG stop bringing in the workers' family members here, especially from countries that cannot control the virus. Why cannot just the worker stay here and don't need to bring whole kampong? What are you saying. Most SHN is in small hotel rooms This is not Bali with big villas",18/1/21,135,Stay Home Notice,140,4,-11.28912446,27,2,7,1.159064081,0,0,1
[GPGT] This Indian trying to game his way to good SHN hotel,3/2/21 21:34,"Why get his family and 2 yo daughter to come to SG if they can\x92t accept 14 days SHN at some lousy hotel? It\x92s a risk that they need to accept, especially if they are on some dependent pass or short term visit pass just to get out of whatever crap place they were in. It\x92s not like SG economy needs these dependent pass and short term pass visitors.",18/1/21,67,Stay Home Notice,72,3,-11.57898619,12,5,0,2.776283875,0,0,1
[GPGT] This Indian trying to game his way to good SHN hotel,3/2/21 21:34,"williewombat615 wrote: Why get his family and 2 yo daughter to come to SG if they can\x92t accept 14 days SHN at some lousy hotel? It\x92s a risk that they need to accept, especially if they are on some dependent pass or short term visit pass just to get out of whatever crap place they were in. It\x92s not like SG economy needs these dependent pass and short term pass visitors. Thats the thing PAP claims these are talents and build industries Singaporeans don't have expertise in",18/1/21,84,Stay Home Notice,90,3,-11.85304579,18,6,0,1.972134345,0,0,0
